condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
"BNT-I (D10, hospital)",MAST CELL,MAST CELL...41,MAST CELL,14,-0.4480655331565534,-1.393788928879792,0.12210526315789473,0.14652631578947367,0.04498614958448753,970,"tags=36%, list=13%, signal=31%",PTGDS/CPLX2/RASGRP1/CLNK/FCER1A,ImmuneGO_BTM_general
"BNT-I (D10, hospital)",EOSINOPHIL,EOSINOPHIL...42,EOSINOPHIL,11,-0.43733742665871345,-1.2789826801118946,0.2,0.20425531914893616,0.06270996640537514,933,"tags=45%, list=12%, signal=40%",CCL4/CCL5/CCL23/XCL1/FCER1A,ImmuneGO_BTM_general
"BNT-I (D10, hospital)",IMMUNOGLOBULIN MEDIATED RESPONSE,IMMUNOGLOBULIN MEDIATED RESPONSE...43,IMMUNOGLOBULIN MEDIATED RESPONSE,72,0.24751921515038883,1.2019566647167124,0.18902439024390244,0.20425531914893616,0.06270996640537514,2019,"tags=42%, list=27%, signal=31%",CH25H/LBP/BMX/NFKBIA/BCL6/FLT3/EPHB2/IL10/TNFAIP3/PRKCE/FCER1G/CD38/GAPT/JAK3/BCL3/HDAC4/HHEX/ADGRG3/TLR4/PTX3/BCL10/ADAM17/RC3H1/SOS2/BST2/STAT5B/PRKCD/IL4R/FGR/HCK,ImmuneGO_BTM_general
"BNT-I (D10, hospital)",IMMUNE SYSTEM,IMMUNE SYSTEM...44,IMMUNE SYSTEM,79,-0.2371896442253951,-1.1853483527894706,0.18972332015810275,0.20425531914893616,0.06270996640537514,1108,"tags=28%, list=15%, signal=24%",CARD11/CD4/ITPR3/CD247/PTGS2/HLA-DOA/ITK/CD1C/CD3D/KLRK1/ZAP70/PLCG1/LCK/UBASH3A/TRAT1/CD3E/CD1B/CD3G/CCR7/THEMIS/CD8A/CD1E,ImmuneGO_BTM_general
"BNT-I (D10, hospital)",B CELL,B CELL...45,B CELL,147,-0.20634010987853635,-1.147186965974425,0.20425531914893616,0.20425531914893616,0.06270996640537514,1508,"tags=31%, list=20%, signal=26%",HHLA2/NR4A1/PIK3R1/LFNG/CTLA4/SLC26A7/HLA-DQA1/SPIB/GPR183/CXCR5/VPREB3/CD200/CCR6/TRPC1/BCL11B/RAG1/CCR9/BCL2/FCER2/SORCS3/IL7/IL2RB/HLA-DOA/ITK/LY9/CHL1/NT5E/KCNH1/ZAP70/RASGRP1/FCRL3/GATA3/NR3C2/TNF/TAS2R10/VCAM1/PLP1/CCR7/TCL1A/CD40LG/IL7R/PLD4/HRH4/IL5RA/LRP1B/NLGN4Y,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",INNATE IMMUNE SYSTEM,INNATE IMMUNE SYSTEM...46,INNATE IMMUNE SYSTEM,232,-0.6576998855575446,-2.56293740746714,1e-10,6e-10,1.5789473684210526e-10,698,"tags=62%, list=20%, signal=53%",BCL6/SLC40A1/TRIM23/IL15/TLR1/CD151/CCR2/SYNGR3/CD274/EHD3/ACTN1/PTPRE/NFKBID/RNF144B/FRAT2/XCL2/FASLG/ANKHD1/MBOAT7/IFITM2/TNFSF11/CD55/IFNGR1/NFE2/GPR18/TMEM140/NFKB2/TMCC3/GRAP2/IL23A/TLR8/TNFAIP2/PTAFR/IRF1/TNFAIP8L2/SH2D2A/PTX3/TSPAN33/CD9/CXCR4/TREM1/GCA/CSF3R/ICAM1/TNFSF14/S1PR3/BCL2A1/FPR1/GIMAP7/VNN1/P2RY13/IL1RN/IL2/SLA/GBP6/XCL1/CD83/HSPA6/IFNG/MXD1/SLC16A3/CEBPB/STEAP4/SDC2/ACSL1/MGAM/TREML4/F13A1/WFDC3/MMRN1/PROK2/BASP1/MANSC1/PDGFA/PBX1/CCR3/LAMB3/PTGS1/KITLG/NRGN/SNCA/ABCC3/LRG1/IL6/CSF1/CA2/IER3/CYP4F3/CCRL2/MPL/S100P/AQP9/TRIM58/PRKAR2B/DGAT2/TMEM158/CCL4/SELP/CXCL8/FPR2/CCL18/CCL3L1/PCSK6/PROS1/TRIM40/KIR3DL3/PF4V1/LRRC32/TNF/CXCL2/CXCL3/ELOVL7/CLU/BTNL8/CCL3/ITGB3/FFAR2/KRT23/CXCL5/ITGA2B/PDGFRA/IL1B/SPARC/EGF/TREML1/KCNJ15/MASP1/CMTM2/IL1R2/MME/TNFRSF10C/CXCR2/TNFAIP6/ALPL/CXCL1/CXCL6/GJB2/KCNJ2/BPIFB3/CXCR1/FCGR3B/CCL20/PI3,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",NEUTROPHIL,NEUTROPHIL...47,NEUTROPHIL,57,-0.7489294497272972,-2.509618662187217,1e-10,6e-10,1.5789473684210526e-10,494,"tags=74%, list=14%, signal=65%",TREM1/CSF3R/FPR1/XCL1/HSPA6/MXD1/STEAP4/MGAM/PROK2/BASP1/MANSC1/CCR3/LRG1/CSF1/CYP4F3/MPL/S100P/DGAT2/CCL4/CXCL8/FPR2/CCL18/CCL3L1/PF4V1/CXCL2/CXCL3/BTNL8/CCL3/FFAR2/KRT23/CXCL5/KCNJ15/CMTM2/MME/TNFRSF10C/CXCR2/ALPL/CXCL1/CXCL6/CXCR1/FCGR3B/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",MONOCYTE,MONOCYTE...48,MONOCYTE,54,-0.73755946185625,-2.4511052640366002,1e-10,6e-10,1.5789473684210526e-10,698,"tags=80%, list=20%, signal=65%",BCL6/SLC40A1/TLR1/CCR2/PTPRE/MBOAT7/NFE2/TLR8/TNFAIP2/PTAFR/PTX3/TREM1/GCA/CSF3R/S1PR3/FPR1/VNN1/P2RY13/IL1RN/XCL1/HSPA6/SLC16A3/CEBPB/STEAP4/ACSL1/MGAM/F13A1/BASP1/NRGN/CSF1/IER3/MPL/AQP9/CCL4/FPR2/CCL18/CCL3L1/CCL3/IL1B/IL1R2/CXCR2/CXCL1/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",LEUKOCYTES,LEUKOCYTES...49,LEUKOCYTES,271,-0.6063262246248955,-2.3809872409266077,1e-10,6e-10,1.5789473684210526e-10,699,"tags=60%, list=20%, signal=52%",CD70/BCL6/SLC40A1/TRIM23/IL15/TLR1/CD151/CCR2/SYNGR3/CD274/EHD3/CRTAM/ACTN1/PTPRE/NFKBID/SLC19A2/ELOVL4/RNF144B/FRAT2/XCL2/FASLG/CXCR3/EBF1/S1PR1/MBOAT7/GPR65/IFITM2/TNFSF11/CD55/IFNGR1/NFE2/GPR18/TMEM140/NFKB2/TMCC3/TNFSF9/GRAP2/IL23A/CCR9/TLR8/TNFAIP2/PTAFR/IRF1/TNFAIP8L2/SH2D2A/JAM3/PTX3/TSPAN33/CD9/CXCR4/TREM1/CXCR5/GCA/CSF3R/ICAM1/TNFSF14/S1PR3/BCL2A1/FPR1/GIMAP7/VNN1/P2RY13/IL1RN/IL2/LGALS12/GBP6/XCL1/CXCR6/CD83/RGS1/PRTFDC1/HSPA6/IFNG/MXD1/SLC16A3/CEBPB/STEAP4/C3AR1/SDC2/ACSL1/IDO2/MGAM/TREML4/F13A1/WFDC3/GPR84/TNFSF15/MMRN1/PROK2/BASP1/MANSC1/ADM/PDGFA/PKHD1L1/CCR3/LAMB3/PTGS1/KITLG/NRGN/SNCA/ABCC3/LRG1/IL6/CSF1/CA2/PF4/IER3/TNFSF4/CYP4F3/CCRL2/S100P/AQP9/PRKAR2B/DGAT2/TMEM158/CCL4/SELP/CXCL8/FPR2/CCL18/CCL3L1/PCSK6/PROS1/KIR3DL3/PF4V1/LRRC32/TNF/CXCL2/CXCL3/ELOVL7/CLU/BMP6/BTNL8/CCL3/ITGB3/FFAR2/KRT23/CXCL5/ITGA2B/PDGFRA/IL1B/SPARC/CSF2/EGF/KCNJ15/MASP1/CMTM2/CA4/IL1R2/MME/PPBP/TNFRSF10C/CXCR2/TNFAIP6/ALPL/CXCL1/CXCL6/GJB2/KCNJ2/CXCR1/FCGR3B/CCL20/PI3,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",DENDRITIC CELL,DENDRITIC CELL...50,DENDRITIC CELL,57,-0.6786098258603627,-2.2739817267740037,6.6584625011573e-9,3.196062000555504e-8,8.410689475146063e-9,677,"tags=67%, list=19%, signal=55%",CD151/CCR2/CD274/NFKBID/RNF144B/IFNGR1/TMEM140/NFKB2/TMCC3/IL23A/TLR8/TSPAN33/CD9/CXCR4/ICAM1/BCL2A1/IL1RN/CD83/IFNG/SDC2/KITLG/ABCC3/CA2/CCRL2/PRKAR2B/TMEM158/CCL4/LRRC32/TNF/CXCL2/ELOVL7/IL1B/IL1R2/CXCR2/TNFAIP6/GJB2/CXCR1/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",ARPP,ARPP...51,ARPP,56,-0.6794975307346239,-2.271174035393901,9.845651768905436e-9,3.9382607075621745e-8,1.036384396726888e-8,728,"tags=62%, list=20%, signal=51%",SLA2/SRC/BCL6/SLC40A1/TLR1/CCR2/NFE2/GRAP2/TLR8/CXCR4/CSF3R/ICAM1/FPR1/P2RY13/SLA/XCL1/HSPA6/MGAM/IL6/CSF1/MPL/AQP9/CCL4/FPR2/CCL18/CCL3L1/TNF/CCL3/IL1B/KCNJ15/IL1R2/CXCR2/KCNJ2/CXCR1/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",SIGNALING,SIGNALING...52,SIGNALING,41,-0.7144092185089057,-2.2622489781792923,6.958449510159578e-8,2.385754117768998e-7,6.278300309918415e-8,560,"tags=66%, list=16%, signal=56%",NFKB2/IL23A/PTX3/CXCR4/ICAM1/BCL2A1/XCL1/CXCR6/CD83/IFNG/IL6/PF4/CCRL2/CCL4/CCL18/TNF/CXCL2/CXCL3/CXCL5/PDGFRA/IL1B/CSF2/PPBP/TNFAIP6/CXCL1/CXCL6/CCL20,ImmuneGO_BTM_general
"ChAd-BNT (V2, D0)",MYELOID CELL,MYELOID CELL...53,MYELOID CELL,24,-0.7690704346648335,-2.2099510727337215,3.480122367949344e-7,1.0440367103848033e-6,2.7474650273284297e-7,791,"tags=96%, list=22%, signal=75%",SLC15A3/FKBP1B/BCL6/CCR2/EHD3/ACTN1/IL23A/TLR8/IL1RN/MMRN1/PDGFA/LAMB3/PTGS1/SNCA/IL6/SELP/PCSK6/PROS1/CLU/ITGB3/ITGA2B/SPARC/EGF,ImmuneGO_BTM_general
