condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
I-BNT (D5),NK CELL,NK CELL...101,NK CELL,17,0.4711697485338425,1.7813404952797298,0.014136185873788773,0.04240855762136632,0.027900366856162054,308,"tags=65%, list=17%, signal=55%",CLIC3/DLL1/PDGFRB/HOPX/FGFBP2/KLRF1/IL2RB/PTGDR/NCAM1/ELOVL6/CTSW,ImmuneGO_BTM_general
I-BNT (D5),SIGNALING,SIGNALING...102,SIGNALING,19,-0.5594509817928465,-1.5919261636849957,0.031407035175879394,0.08375209380234505,0.05510006171206912,667,"tags=79%, list=36%, signal=51%",HCK/ST14/TIMP2/PDE4B/TNF/CXCR6/CXCL6/DUSP6/CISH/CCR1/XCL1/ANXA3/CXCL1/IL1B/CCL2,ImmuneGO_BTM_general
I-BNT (D5),IMMUNE SYSTEM,IMMUNE SYSTEM...103,IMMUNE SYSTEM,22,-0.4933783944368304,-1.4369362831758876,0.07334963325183375,0.17603911980440098,0.11581521039763223,909,"tags=95%, list=49%, signal=49%",HLA-DMA/MYD88/PTPN6/VASP/WDFY4/SYK/HCLS1/CD1D/HCK/FGL2/LYN/MNDA/SLA/TLR10/HLA-DRB1/TLR6/TLR8/TLR1/DUSP6/TLR4/CYP1B1,ImmuneGO_BTM_general
I-BNT (D5),ANTIVIRAL & IFN,ANTIVIRAL & IFN...104,ANTIVIRAL & IFN,18,-0.4982150137253696,-1.3999425043631917,0.11518987341772152,0.2173076923076923,0.14296558704453444,818,"tags=83%, list=44%, signal=47%",IFNAR2/CASP1/RARA/IFNAR1/HCK/IFNGR2/ST14/IFNGR1/IRF1/XCL1/TLR4/ANXA3/FCAR/IL1B/CCL2,ImmuneGO_BTM_general
I-BNT (D5),EOSINOPHIL,EOSINOPHIL...105,EOSINOPHIL,3,-0.7719228335944094,-1.3397698649701328,0.10961214165261383,0.2173076923076923,0.14296558704453444,261,"tags=67%, list=14%, signal=57%",XCL1/CCL2,ImmuneGO_BTM_general
I-BNT (D5),HUMORAL ADAPTIVE IMMUNE SYSTEM,HUMORAL ADAPTIVE IMMUNE SYSTEM...106,HUMORAL ADAPTIVE IMMUNE SYSTEM,75,-0.36044894574093483,-1.2939928061747328,0.11770833333333333,0.2173076923076923,0.14296558704453444,368,"tags=33%, list=20%, signal=28%",AVPR1A/SLC26A7/PDZK1IP1/FCGR2B/CXCL6/BMX/DUSP6/ADGRG3/CCR2/CHL1/XCL1/TLR4/NR4A3/CXCL1/HEPH/EPB42/CSMD1/PF4V1/CHRNA7/SLC12A1/GLP2R/KCNJ16/CCL2/SLC44A5/CADM2,ImmuneGO_BTM_general
I-BNT (D5),INFLAMMATION,INFLAMMATION...107,INFLAMMATION,11,-0.5288720992984349,-1.3088786685543143,0.17397260273972603,0.298238747553816,0.19620970233803692,885,"tags=100%, list=47%, signal=53%",IL20RB/FOSL2/RXRA/PDE4B/TNF/NLRC4/NLRP3/CXCR2/TLR4/IL1B,ImmuneGO_BTM_general
I-BNT (D5),ANTIMICROBIAL,ANTIMICROBIAL...108,ANTIMICROBIAL,7,-0.5465314471273396,-1.194117068238606,0.2712842712842713,0.4227712137486574,0.2781389564135904,471,"tags=71%, list=25%, signal=54%",SLC11A1/CXCL6/XCL1/CXCL1/PF4V1,ImmuneGO_BTM_general
I-BNT (D5),LYMPHOCYTE,LYMPHOCYTE...109,LYMPHOCYTE,5,-0.5835839330790625,-1.1525397644449675,0.3177570093457944,0.4227712137486574,0.2781389564135904,352,"tags=60%, list=19%, signal=49%",ELOVL4/VSIG10/NTRK2,ImmuneGO_BTM_general
I-BNT (D5),T CELL,T CELL...110,T CELL,50,-0.3384707258286085,-1.1458022683742421,0.29067245119305857,0.4227712137486574,0.2781389564135904,945,"tags=78%, list=51%, signal=40%",CRK/DOCK8/PIK3CG/STXBP2/STAT3/IL20RB/PPP3CA/PTPN6/TNFSF8/THEMIS2/FOSL2/WDFY4/APBB1IP/SYK/PTPRJ/CD1D/GPR183/CHST15/HLA-DRB1/IRF1/PDE4B/TNF/IL6R/SPI1/TNFRSF9/TNFAIP8L2/SLC40A1/SLC11A1/NFKBID/LILRB3/CXCR6/GIMAP7/CCR2/F2RL1/XCL1/TLR4/GPR15/CHRNA7/CCL2,ImmuneGO_BTM_general
I-BNT (D5),ADAPTIVE IMMUNE SYSTEM,ADAPTIVE IMMUNE SYSTEM...111,ADAPTIVE IMMUNE SYSTEM,109,-0.3002070197020183,-1.1131781675932246,0.3193877551020408,0.4227712137486574,0.2781389564135904,716,"tags=53%, list=38%, signal=35%",PTPRJ/LYL1/CD1D/CDK14/GPR183/HCK/CHST15/TBC1D9/LYN/MNDA/ALOX5/CDKN2B/TLR10/HLA-DRB1/IRF1/CSF2RB/PDE4B/TNF/GAB2/IL6R/SPI1/TNFRSF9/NFAM1/TNFAIP8L2/SLC40A1/SLC11A1/CCR6/NFKBID/LILRB3/AVPR1A/SLC26A7/CXCR6/PDZK1IP1/FCGR2B/ELOVL4/VSIG10/GIMAP7/BMX/DUSP6/ADGRG3/CCR2/F2RL1/CHL1/XCL1/TLR4/NR4A3/HEPH/GPR15/NTRK2/EPB42/CSMD1/CHRNA7/SLC12A1/GLP2R/KCNJ16/CCL2/SLC44A5/CADM2,ImmuneGO_BTM_general
I-BNT (D5),CELLULAR ADAPTIVE IMMUNE SYSTEM,CELLULAR ADAPTIVE IMMUNE SYSTEM...112,CELLULAR ADAPTIVE IMMUNE SYSTEM,55,-0.3207466873721203,-1.0997620775935069,0.34497816593886466,0.4227712137486574,0.2781389564135904,945,"tags=78%, list=51%, signal=40%",CRK/DOCK8/PIK3CG/STXBP2/STAT3/IL20RB/PPP3CA/PTPN6/TNFSF8/THEMIS2/FOSL2/WDFY4/APBB1IP/SYK/PTPRJ/CD1D/GPR183/CHST15/IFNGR2/IFNGR1/HLA-DRB1/GRN/IRF1/PDE4B/C5AR1/TNF/IL6R/SPI1/TNFRSF9/TNFAIP8L2/SLC40A1/SLC11A1/NFKBID/LILRB3/CXCR6/GIMAP7/CCR2/F2RL1/XCL1/TLR4/GPR15/CHRNA7/CCL2,ImmuneGO_BTM_general
I-BNT (D5),B CELL,B CELL...113,B CELL,62,-0.31053764813401835,-1.0864968835154674,0.3523093447905478,0.4227712137486574,0.2781389564135904,368,"tags=29%, list=20%, signal=24%",AVPR1A/SLC26A7/PDZK1IP1/FCGR2B/BMX/DUSP6/ADGRG3/CHL1/TLR4/NR4A3/HEPH/CSMD1/CHRNA7/SLC12A1/GLP2R/KCNJ16/SLC44A5/CADM2,ImmuneGO_BTM_general
I-BNT (D5),MACROPHAGE,MACROPHAGE...114,MACROPHAGE,7,-0.4912500486205976,-1.0733326891146355,0.4126984126984127,0.4716553287981859,0.3102995584198592,471,"tags=57%, list=25%, signal=43%",SLC11A1/CCR2/TLR4/CCL2,ImmuneGO_BTM_general
I-BNT (D5),MAST CELL,MAST CELL...115,MAST CELL,4,0.4464064689415465,0.9977822354124467,0.4512820512820513,0.4923076923076923,0.3238866396761134,76,"tags=25%, list=4%, signal=24%",PTGDS,ImmuneGO_BTM_general
I-BNT (D5),COMPLEMENT,COMPLEMENT...116,COMPLEMENT,5,-0.4482998045626779,-0.88536253632842,0.6246105919003115,0.6517675741568468,0.4287944566821361,737,"tags=80%, list=40%, signal=48%",CD55/C5AR1/FPR1/FPR2,ImmuneGO_BTM_general
I-BNT (D5),IMMUNOGLOBULIN MEDIATED RESPONSE,IMMUNOGLOBULIN MEDIATED RESPONSE...117,IMMUNOGLOBULIN MEDIATED RESPONSE,27,-0.2556726871147864,-0.7800152762641402,0.7435294117647059,0.7435294117647059,0.48916408668730654,885,"tags=70%, list=47%, signal=38%",NOTCH2/PTPN6/NFKB1/FOSL2/PRKCD/SYK/PTPRJ/LYL1/GPR183/HCK/MNDA/CSF2RB/SPI1/NFAM1/FCGR2B/BMX/ADGRG3/TLR4/CHRNA7,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",INFLAMMATION,INFLAMMATION...118,INFLAMMATION,22,-0.8167882622312211,-3.609980347101587,1e-10,1.4000000000000001e-9,9.473684210526318e-10,816,"tags=82%, list=13%, signal=71%",AIF1/LIPA/CD68/FOSL2/PRDX2/TNFSF13/GPX1/RIPK2/IL1RN/NLRP3/PDE4B/NFKBIA/TNFAIP3/TNFAIP6/CCL4/IL1B/TNF/CCL20,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",IMMUNE SYSTEM,IMMUNE SYSTEM...119,IMMUNE SYSTEM,24,-0.6738650962668468,-2.9133682353205197,5.2027547227351305e-8,3.6419283059145915e-7,2.464462763400852e-7,1385,"tags=83%, list=23%, signal=65%",CD74/CD4/LYN/CD36/HCK/CD53/IL10RA/LAPTM5/AIF1/LY96/PLEK/VASP/CTSH/DUSP6/LIME1/HMOX1/PLAUR/ICAM1/NFKBIA/PTGS2,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",MYELOID CELL,MYELOID CELL...120,MYELOID CELL,31,-0.5906986052605095,-2.8285700756498535,3.5965135981671534e-7,1.678373012478005e-6,1.1357411362633118e-6,582,"tags=81%, list=10%, signal=73%",GPBAR1/LRRC25/GSN/IL23A/ACTN1/SLC2A6/SLC15A3/CD14/SECTM1/MMRN1/SELP/PTGS1/CLU/ITGB3/CCR1/PCSK6/EGF/SPARC/BCL6/IL1RN/THBS1/MARCKS/ITGA2B/NLRP3/PROS1,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",ANTIMICROBIAL,ANTIMICROBIAL...121,ANTIMICROBIAL,22,-0.4547020780749709,-2.009658612322493,0.002876774743090589,0.010068711600817062,0.006813413865214554,318,"tags=50%, list=5%, signal=48%",LGALS3/RPS19/CXCL5/ADM/CXCL1/BCL3/PF4V1/CXCL3/CXCL8/CXCL2/CCL20,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",MACROPHAGE,MACROPHAGE...122,MACROPHAGE,14,-0.4140401055559889,-1.5413164358447051,0.029138209826492643,0.0815869875141794,0.055209239671249216,868,"tags=64%, list=14%, signal=55%",B4GALT1/LIPA/JMJD6/PLCG2/RPL13A/LGALS3/CSF1/TICAM1/CCL3,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",LYMPHOCYTE,LYMPHOCYTE...123,LYMPHOCYTE,16,-0.3471697812870107,-1.3851533233613043,0.05589568057922567,0.1304232546848599,0.08825633775667213,23,"tags=38%, list=0%, signal=37%",ICOSLG/IL23A/CD28/OSM/CCL4/IL1A,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",EOSINOPHIL,EOSINOPHIL...124,EOSINOPHIL,7,-0.44541580876100373,-1.2530018577099473,0.17218543046357615,0.3443708609271523,0.2330329134093512,318,"tags=43%, list=5%, signal=41%",LGALS3/CCL4/CCL3,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",NK CELL,NK CELL...125,NK CELL,26,-0.2522377436030072,-1.1752232714230835,0.2050162827323245,0.35877849478156787,0.2427824400777527,969,"tags=42%, list=16%, signal=36%",LGALS9/PRDX1/PTGER2/PLEKHM2/KLRB1/ARL4C/STAT5B/GZMM/SLC7A5/RNF19B/CCL4,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",B CELL,B CELL...126,B CELL,155,0.39048545543640445,1.0103337864265058,0.46553446553446554,0.7241647241647242,0.4900362795099638,1822,"tags=36%, list=30%, signal=26%",POPDC3/TMEM100/ASTN1/CHRNA4/NKAIN4/CLCA4/GRM5/SLC5A7/TEK/WNT3A/C11orf87/BCAR1/TMEFF2/USH2A/FREM2/SFTPA1/CSMD1/GABRE/PCDH10/FZD9/TPTE/FLRT2/SLC26A7/NRXN3/GLP2R/PLP1/ROBO2/NLGN1/PDPN/HHLA2/PLEKHG1/NCAM2/LRP1B/LRRTM4/DCC/CDH5/C4B/EPHA3/SYT2/KCNE4/CSPG4/SLC44A5/SLC13A1/CHRNB4/SLC5A4/GYPE/CHRM2/ABCA8/SLC26A3/NEDD4/GPR85/TRHDE/CNTNAP3/IL11/LIF/GYPA,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",HUMORAL ADAPTIVE IMMUNE SYSTEM,HUMORAL ADAPTIVE IMMUNE SYSTEM...127,HUMORAL ADAPTIVE IMMUNE SYSTEM,187,0.35473031183283743,0.9212587171764324,0.7592407592407593,0.9753333333333334,0.66,1630,"tags=31%, list=27%, signal=23%",POPDC3/TMEM100/ASTN1/CHRNA4/NKAIN4/NKX3-2/CLCA4/GRM5/SLC5A7/TEK/CXCL12/WNT3A/C11orf87/BCAR1/TMEFF2/USH2A/FREM2/SFTPA1/NKX2-3/CXCL14/CSMD1/GABRE/PCDH10/FZD9/TPTE/F2/FLRT2/SLC26A7/NRXN3/GLP2R/PLP1/HTN3/ROBO2/NLGN1/PDPN/HHLA2/PLEKHG1/NCAM2/LRP1B/LRRTM4/HTN1/DCC/CDH5/C4B/EPHA3/SYT2/PRSS3/KCNE4/CSPG4/SLC44A5/SLC13A1/CHRNB4/SLC5A4/GYPE/CHRM2/ABCA8/SLC26A3/NEDD4,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",COMPLEMENT,COMPLEMENT...128,COMPLEMENT,15,0.3441942968392916,0.769055534978603,0.799575821845175,0.9753333333333334,0.66,1755,"tags=47%, list=29%, signal=33%",CFI/CFHR1/C4B/C4BPB/C7/MASP1/IL33,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",MAST CELL,MAST CELL...129,MAST CELL,4,0.4045009151746413,0.7154960937265559,0.836,0.9753333333333334,0.66,807,"tags=25%, list=13%, signal=22%",CPLX2,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",ADAPTIVE IMMUNE SYSTEM,ADAPTIVE IMMUNE SYSTEM...130,ADAPTIVE IMMUNE SYSTEM,286,0.27610249843243584,0.7246572038628469,1,1,0.6766917293233083,1630,"tags=22%, list=27%, signal=17%",POPDC3/TMEM100/HAND2/ASTN1/CHRNA4/NKAIN4/NKX3-2/CLCA4/GRM5/SLC5A7/TEK/CXCL12/WNT3A/C11orf87/BCAR1/TMEFF2/USH2A/FREM2/SFTPA1/NKX2-3/CSMD1/GABRE/PCDH10/FZD9/CHST3/TPTE/RNF150/SCGB1A1/FLRT2/SLC26A7/NRXN3/GLP2R/PLP1/CD276/ROBO2/NLGN1/PDPN/FOXI3/HHIP/HHLA2/PLEKHG1/NCAM2/LRP1B/LRRTM4/DCC/CDH5/C4B/EPHA3/SYT2/KCNE4/CSPG4/CX3CL1/CSRP2/SLC44A5/ARTN/SLC13A1/CHRNB4/SLC5A4/GYPE/CHRM2/ABCA8/SLC26A3/NEDD4,ImmuneGO_BTM_general
"ZF2001 (V3, D07)",IMMUNOGLOBULIN MEDIATED RESPONSE,IMMUNOGLOBULIN MEDIATED RESPONSE...131,IMMUNOGLOBULIN MEDIATED RESPONSE,47,0.2734208455123598,0.6781735103095773,0.9378757515030061,1,0.6766917293233083,709,"tags=11%, list=12%, signal=9%",CHRNA4/WNT3A/BCAR1/SFTPA1/FZD9,ImmuneGO_BTM_general
"BBIBP (V3, D28)",ANTIMICROBIAL,ANTIMICROBIAL...132,ANTIMICROBIAL,11,-0.8663028066086578,-1.593632669877083,0.009229522313981806,0.17693038881577808,0.14744199067981506,62,"tags=55%, list=4%, signal=53%",CCL20/CXCL2/BPI/CXCL8/REG3G/NTS,ImmuneGO_BTM_general
"BBIBP (V3, D28)",COMPLEMENT,COMPLEMENT...133,COMPLEMENT,3,0.8497743391360413,1.5354483571345503,0.022819167941084174,0.17693038881577808,0.14744199067981506,236,"tags=100%, list=15%, signal=85%",C4B/A2M/CLU,ImmuneGO_BTM_general
"BBIBP (V3, D28)",SIGNALING,SIGNALING...134,SIGNALING,26,-0.7397443235893342,-1.511322435719141,0.036860497669953765,0.17693038881577808,0.14744199067981506,226,"tags=85%, list=15%, signal=74%",BCL3/MAP3K8/DUSP6/PDE4B/IL23A/BCL6/IFIH1/TRIB1/NFKB2/ICAM1/DUSP1/CD83/IL6/PTX3/TNFAIP3/IL1B/NFKBIA/IL1A/G0S2/CCL20/CXCL2/IFNG,ImmuneGO_BTM_general
"BBIBP (V3, D28)",ARPP,ARPP...135,ARPP,33,-0.7049128862297558,-1.5030210689616097,0.033295375215525815,0.17693038881577808,0.14744199067981506,234,"tags=58%, list=15%, signal=50%",JMJD6/TICAM1/DUSP6/BCL6/IFIH1/RIPK2/CSF1/FOS/ICAM1/IL6/TNFAIP3/JUN/IL1B/NFKBIA/CCL3/CCL20/EREG/HLA-DMA/REG3G,ImmuneGO_BTM_general
"BBIBP (V3, D28)",HUMORAL ADAPTIVE IMMUNE SYSTEM,HUMORAL ADAPTIVE IMMUNE SYSTEM...136,HUMORAL ADAPTIVE IMMUNE SYSTEM,48,-0.6458208693703661,-1.4941708618546816,0.0343980343980344,0.17693038881577808,0.14744199067981506,114,"tags=27%, list=7%, signal=26%",CD83/PTX3/TNFAIP3/NFKBIA/CCL20/CXCL2/BPI/CXCL8/HLA-DMA/TMEM100/REG3G/ASTN1/NTS,ImmuneGO_BTM_general
"BBIBP (V3, D28)",ANTIVIRAL & IFN,ANTIVIRAL & IFN...137,ANTIVIRAL & IFN,9,-0.7845136487236211,-1.4517266259586135,0.12240663900414937,0.3672199170124481,0.3060165975103734,297,"tags=89%, list=19%, signal=72%",IRF1/VIM/BCL3/IFIH1/PTX3/IL1B/CCL3/CCL20,ImmuneGO_BTM_general
"BBIBP (V3, D28)",INFLAMMATION,INFLAMMATION...138,INFLAMMATION,12,-0.7642087555195993,-1.4228896670619495,0.11545988258317025,0.3672199170124481,0.3060165975103734,227,"tags=75%, list=15%, signal=65%",IL1RN/PDE4B/NLRP3/RIPK2/TNFAIP3/IL1B/NFKBIA/CCL20/IFNG,ImmuneGO_BTM_general
"BBIBP (V3, D28)",LEUKOCYTES,LEUKOCYTES...139,LEUKOCYTES,128,-0.5185863257471874,-1.3265338059983807,0.09776833156216791,0.3672199170124481,0.3060165975103734,227,"tags=41%, list=15%, signal=38%",IL1RN/BCL3/TICAM1/MAP3K8/DUSP6/PDE4B/GATA3/IL23A/BCL6/IL12A/IFIH1/ADM/TRIB1/TGFA/KLF4/AIMP1/NFKB2/MARCKS/EMP1/NINJ1/GPR84/NLRP3/RIPK2/CSF1/FOS/ICAM1/DUSP1/RNF19B/CD83/ATF3/IL6/PTX3/TNFAIP3/RGS1/LAMB3/MME/GEM/IL1B/NFKBIA/IL1A/CCL3/G0S2/CCL20/CXCL2/BPI/IFNG/CXCL8/EREG/HLA-DMA/NTRK2/REG3G/NTS,ImmuneGO_BTM_general
"BBIBP (V3, D28)",ADAPTIVE IMMUNE SYSTEM,ADAPTIVE IMMUNE SYSTEM...140,ADAPTIVE IMMUNE SYSTEM,80,-0.5206625058787729,-1.2870646965651351,0.16964285714285715,0.4211699164345403,0.35097493036211697,234,"tags=40%, list=15%, signal=36%",JMJD6/BCL3/TICAM1/JUNB/MAP3K8/DUSP6/PDE4B/HGS/GATA3/IL23A/BCL6/IRF2BP2/BRD2/NFKB2/CD69/FOS/RNF19B/CD83/ATF3/PTX3/FOSB/TNFAIP3/JUN/NFKBIA/IL1A/CCL3/CCL20/IFNG/HLA-DMA/NTRK2/TMEM100/ASTN1,ImmuneGO_BTM_general
"BBIBP (V3, D28)",DENDRITIC CELL,DENDRITIC CELL...141,DENDRITIC CELL,32,-0.6065706862346355,-1.2865899681417312,0.17548746518105848,0.4211699164345403,0.35097493036211697,227,"tags=62%, list=15%, signal=54%",IL1RN/BCL3/MAP3K8/PDE4B/IL23A/IFIH1/TGFA/NFKB2/EMP1/NINJ1/ICAM1/CD83/ATF3/IL1B/NFKBIA/CCL20/CXCL2/IFNG/EREG/HLA-DMA,ImmuneGO_BTM_general
"BBIBP (V3, D28)",B CELL,B CELL...142,B CELL,33,-0.559328986584727,-1.192605877605963,0.27785419532324623,0.5129615913659931,0.42746799280499426,226,"tags=39%, list=15%, signal=34%",BCL3/TICAM1/DUSP6/GATA3/BCL6/IRF2BP2/CD69/PTX3/TNFAIP3/NFKBIA/HLA-DMA/TMEM100/ASTN1,ImmuneGO_BTM_general
"BBIBP (V3, D28)",MYELOID CELL,MYELOID CELL...143,MYELOID CELL,20,0.3780888371775329,1.1913005538318695,0.2647814910025707,0.5129615913659931,0.42746799280499426,293,"tags=50%, list=19%, signal=41%",SNCA/SPARC/MMRN1/CLU/ITGA2B/EGF/ITGB3/SELP/PCSK6/PTGS1,ImmuneGO_BTM_general
"BBIBP (V3, D28)",INNATE IMMUNE SYSTEM,INNATE IMMUNE SYSTEM...144,INNATE IMMUNE SYSTEM,118,-0.45612716777668955,-1.1625809993145788,0.2647374062165059,0.5129615913659931,0.42746799280499426,245,"tags=42%, list=16%, signal=38%",P2RY2/PTGER2/JMJD6/IL1RN/BCL3/TICAM1/MAP3K8/DUSP6/PDE4B/GATA3/IL23A/BCL6/IFIH1/IDE/TRIB1/TGFA/KLF4/NFKB2/MARCKS/EMP1/NINJ1/NLRP3/RIPK2/CSF1/FOS/ICAM1/DUSP1/RNF19B/CD83/ATF3/IL6/PTX3/TNFAIP3/LAMB3/MME/JUN/IL1B/NFKBIA/IL1A/CCL3/G0S2/CCL20/CXCL2/BPI/IFNG/CXCL8/EREG/HLA-DMA/REG3G,ImmuneGO_BTM_general
"BBIBP (V3, D28)",IMMUNE SYSTEM,IMMUNE SYSTEM...145,IMMUNE SYSTEM,10,-0.7040057231490975,-1.2798991616999176,0.31185031185031187,0.5172932330827068,0.431077694235589,213,"tags=60%, list=14%, signal=52%",DUSP6/FOS/ICAM1/JUN/NFKBIA/HLA-DMA,ImmuneGO_BTM_general
"BBIBP (V3, D28)",MONOCYTE,MONOCYTE...146,MONOCYTE,25,-0.562393925936535,-1.1428375615709911,0.3233082706766917,0.5172932330827068,0.431077694235589,275,"tags=64%, list=18%, signal=54%",ASGR2/P2RY2/IL1RN/DUSP6/BCL6/KLF4/MARCKS/NINJ1/NLRP3/CSF1/FOS/PTX3/IL1B/CCL3/G0S2/CCL20,ImmuneGO_BTM_general
"BBIBP (V3, D28)",MACROPHAGE,MACROPHAGE...147,MACROPHAGE,6,-0.7145373642041598,-1.3154560398835502,0.3696581196581197,0.5544871794871795,0.4620726495726496,234,"tags=67%, list=15%, signal=57%",JMJD6/TICAM1/CSF1/CCL3,ImmuneGO_BTM_general
"BBIBP (V3, D28)",LYMPHOCYTE,LYMPHOCYTE...148,LYMPHOCYTE,9,-0.6815228491577835,-1.2611442362172132,0.4170124481327801,0.5633652109944493,0.46947100916204104,68,"tags=33%, list=4%, signal=32%",IL23A/IL1A/NTRK2,ImmuneGO_BTM_general
"BBIBP (V3, D28)",T CELL,T CELL...149,T CELL,41,-0.4722484942961605,-1.0518191204141087,0.44599745870393903,0.5633652109944493,0.46947100916204104,385,"tags=63%, list=25%, signal=49%",KLF12/RPS6/ZMYND11/RHOH/CTNNB1/PPP2CA/IRF1/PTGER4/JMJD6/BCL3/JUNB/MAP3K8/PDE4B/HGS/GATA3/IL23A/BCL6/BRD2/FOS/CD83/ATF3/FOSB/JUN/CCL3/CCL20/IFNG,ImmuneGO_BTM_general
"BBIBP (V3, D28)",EOSINOPHIL,EOSINOPHIL...150,EOSINOPHIL,3,-0.5720233022604146,-0.9861135352013922,0.4330357142857143,0.5633652109944493,0.46947100916204104,66,"tags=67%, list=4%, signal=64%",VAMP2/CCL3,ImmuneGO_BTM_general
"BBIBP (V3, D28)",NEUTROPHIL,NEUTROPHIL...151,NEUTROPHIL,17,-0.5346177579425662,-1.0231476217602529,0.5765124555160143,0.6774078052273541,0.5645065043561285,130,"tags=41%, list=8%, signal=38%",CSF1/MME/CCL3/G0S2/CCL20/CXCL2/CXCL8,ImmuneGO_BTM_general
"BBIBP (V3, D28)",CELLULAR ADAPTIVE IMMUNE SYSTEM,CELLULAR ADAPTIVE IMMUNE SYSTEM...152,CELLULAR ADAPTIVE IMMUNE SYSTEM,44,-0.4021884304300011,-0.9076960322928176,0.5927318295739349,0.6774078052273541,0.5645065043561285,385,"tags=59%, list=25%, signal=46%",KLF12/RPS6/ZMYND11/RHOH/CTNNB1/PPP2CA/IRF1/PTGER4/JMJD6/BCL3/JUNB/MAP3K8/PDE4B/HGS/GATA3/IL23A/BCL6/BRD2/FOS/CD83/ATF3/FOSB/JUN/CCL3/CCL20/IFNG,ImmuneGO_BTM_general
"BBIBP (V3, D28)",MAST CELL,MAST CELL...153,MAST CELL,1,-0.6484224082421121,-0.8685852454901843,0.6973415132924335,0.7607361963190183,0.6339468302658486,548,"tags=100%, list=35%, signal=65%",,ImmuneGO_BTM_general
"BBIBP (V3, D28)",IMMUNOGLOBULIN MEDIATED RESPONSE,IMMUNOGLOBULIN MEDIATED RESPONSE...154,IMMUNOGLOBULIN MEDIATED RESPONSE,17,-0.3899462141298677,-0.7462762612615085,0.7775800711743772,0.8113879003558718,0.6761565836298933,226,"tags=47%, list=15%, signal=41%",BCL3/TICAM1/GATA3/BCL6/IRF2BP2/PTX3/TNFAIP3/NFKBIA,ImmuneGO_BTM_general
"BBIBP (V3, D28)",NK CELL,NK CELL...155,NK CELL,9,-0.2814037431497368,-0.5207319302086624,0.8236514522821576,0.8236514522821576,0.6863762102351315,439,"tags=56%, list=28%, signal=40%",ADRB2/ARL4C/PTGER2/GATA3/RNF19B,ImmuneGO_BTM_general
"BNT (V2, D1)",ANTIMICROBIAL,ANTIMICROBIAL...156,ANTIMICROBIAL,11,0.8100165126802182,2.1433890944918734,3.0287331175058497e-5,7.268959482014039e-4,6.0574662350117e-4,201,"tags=91%, list=15%, signal=78%",CXCL3/CXCL12/DEFA3/PRTN3/CAMP/CXCL8/BPI/AZU1/CXCL1/CXCL6,ImmuneGO_BTM_general
"BNT (V2, D1)",HUMORAL ADAPTIVE IMMUNE SYSTEM,HUMORAL ADAPTIVE IMMUNE SYSTEM...157,HUMORAL ADAPTIVE IMMUNE SYSTEM,41,0.5404041696246558,2.053476349742709,1.4228791685712527e-4,0.0017074550022855033,0.0014228791685712528,247,"tags=49%, list=19%, signal=41%",CXCL3/CXCL12/GPR85/DEFA3/PRTN3/CTSG/TEK/CAMP/TRHDE/CXCL8/BPI/EPHB2/C17orf99/AZU1/NRXN3/CXCL1/CXCL6/EPB42/GYPE/SPNS2,ImmuneGO_BTM_general
"BNT (V2, D1)",NK CELL,NK CELL...158,NK CELL,25,-0.5716773577967229,-1.875103222908207,0.0023573165568634906,0.018858532454907925,0.015715443712423272,283,"tags=72%, list=22%, signal=58%",SH2D2A/TIGIT/SLAMF7/TBX21/FASLG/NKG7/LAG3/CCL4/S1PR5/GNLY/C1orf21/GZMB/KLRC3/KIR2DL3/FGFBP2/PDGFRB/KLRC2/GZMH,ImmuneGO_BTM_general
"BNT (V2, D1)",NEUTROPHIL,NEUTROPHIL...159,NEUTROPHIL,20,0.5808056238514341,1.8105895177060631,0.006812356405267178,0.04087413843160306,0.03406178202633589,401,"tags=75%, list=31%, signal=53%",CXCL3/PRTN3/CTSG/CAMP/ELANE/CXCL8/AZU1/CXCL1/CXCL6/MANSC1/CDA/ITGA1/RGL4/NFE2/NLRP12,ImmuneGO_BTM_general
"BNT (V2, D1)",T CELL,T CELL...160,T CELL,37,-0.414034189000563,-1.4901003513785263,0.028770597813863992,0.13809886950654715,0.11508239125545598,295,"tags=59%, list=23%, signal=47%",CRTAM/GFI1/LILRB1/TIGIT/CD8B/PDE4B/SLAMF7/FASLG/NKG7/LAG3/SP140/IRF1/FAS/GPR15/GNLY/TAP2/GZMB/CD8A/FGFBP2/ZNF683/GZMH/IDO1,ImmuneGO_BTM_general
