"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"65","BBIBP (V3, D14)","H-I (D26, moderate)",11,267,1120,350,1131,"CCND3, CR1, FZD5, CMTM4, TSPO, UPP1, JDP2, TCN1, PLK2, BASP1, MARCO",3.14,0.97,4.88050914325819e-276,2.08587885285086e-276,275.680710918856
"66","BBIBP (V3, D14)","H-I (D26, severe)",20,258,1887,350,1907,"FEM1C, OTUD1, BNIP3L, KIF24, CR1, FZD5, ULBP2, C12orf76, UPP1, LOC101928008, TTC21A, EPSTI1, APOM, TXLNB, TCN1, CCIN, CCNL1, PLK2, BASP1, CENPP",5.71,1.05,2.13082032432305e-312,1.48862861544594e-312,311.827213636956
"67","BBIBP (V3, D14)","H-I (D51, moderate)",0,278,37,350,37,"",0,0,4.54092090837486e-49,3.74065990225716e-50,49.4270517757065
"68","BBIBP (V3, D14)","H-I (D51, severe)",36,242,1616,350,1652,"CCND3, FEM1C, OTUD1, TMEM132A, RNF19B, KIF24, ATG3, DENND3, CR1, FZD5, ULBP2, TSPO, SREBF1, FAM157A, SMG1P1, C12orf76, NLRC5, UPK3B, UPP1, GLS, JDP2, LOC101928008, KPTN, TTC21A, NEDD9, NAPA-AS1, SEMA3B-AS1, TXLNB, TCN1, CCIN, SIPA1L1, IER5, CCNL1, ARHGAP26-IT1, PLK2, BASP1",10.29,2.18,4.22470226527638e-268,1.68654367174653e-268,267.773002408609
"69","BBIBP (V3, D14)","I-BNT-I (D2)",0,278,3,350,6,"",0,0,2.7332710147542e-07,1.77311761774543e-08,7.75126245501184
"70","BBIBP (V3, D14)","I-I (D3)",0,278,1,350,1,"",0,0,0.00358422939068101,0.000204408636138038,3.68950075947733
"71","BBIBP (V3, D14)","I-I (D5)",0,278,4,350,4,"",0,0,3.87698016277191e-09,2.64743205337131e-10,9.57717517729208
"72","BBIBP (V3, D28)","BNT (V1, D6)",0,269,2,336,8,"",0,0,2.73336066694e-05,1.66049905499587e-06,5.77976136722621
"73","BBIBP (V3, D28)","BNT (V2, D1)",1,268,347,336,500,"SMTNL1",0.3,0.2,5.58563000487375e-180,1.06238437159986e-180,179.973718326698
"74","BBIBP (V3, D28)","BNT (V3, D1)",3,266,420,336,613,"LINC00513, DISC1-IT1, SMTNL1",0.89,0.49,2.75077043373776e-192,5.94823259031059e-193,192.225612057851
"75","BBIBP (V3, D28)","BNT-MO (V3, D1)",10,259,682,336,929,"LINC00513, BACH1-IT1, AREG, DISC1-IT1, ADAMTSL4-AS1, CADM4, MTCO2P11, SIPA1L1, SMTNL1, CHRNA2",2.98,1.08,2.23603641250475e-223,6.60414554991414e-224,223.180183363812
"76","BBIBP (V3, D28)","ChAd (V1, D3)",1,268,327,336,516,"GDF15",0.3,0.19,6.50702975138672e-175,1.18194065943227e-175,174.927404327116
"77","BBIBP (V3, D28)","ChAd (V1, D6)",1,268,155,336,291,"CCNB2",0.3,0.34,4.90353872599967e-118,6.14263185677646e-119,118.21164551225
"78","BBIBP (V3, D28)","ChAd (V1, D7)",2,267,206,336,260,"CCNB2, HIST1H2AD",0.6,0.77,3.94763274079868e-136,5.53706796495986e-137,136.256720145691
"79","BBIBP (V3, D28)","ChAd (V2, D1)",4,265,473,336,641,"BACH1-IT1, DISC1-IT1, MTCO2P11, FAR1-IT1",1.19,0.62,6.5724635243611e-201,1.51117226319004e-201,200.820686026271
"80","BBIBP (V3, D28)","ChAd (V2, D3)",7,262,175,336,193,"MTRNR2L3, LOC727896, LOC100294362, ZBED2, ADAMTSL4-AS1, SMTNL1, MIR181A1HG",2.08,3.63,1.50102338039717e-116,1.84220782237711e-117,116.734661377928
"81","BBIBP (V3, D28)","ChAd (V2, D7)",0,269,4,336,4,"",0,0,4.41719564793148e-09,3.00502614365225e-10,9.52215174529368
"82","BBIBP (V3, D28)","ChAd-BNT (V2, D3)",11,258,621,336,823,"VASN, MTRNR2L3, FAM71A, LOC100294362, ADAMTSL4-AS1, SRGAP2-AS1, SMTNL1, MIR181A1HG, ALKBH7, TCTEX1D4, GPR152",3.27,1.34,7.25832837358323e-213,1.88343853867552e-213,212.725048547348
"83","BBIBP (V3, D28)","ChAd-BNT (V2, D7)",2,267,283,336,301,"MTRNR2L3, CCNB2",0.6,0.66,9.65547147172728e-161,1.55895594688577e-161,160.807166156969
