"","sample","condition","geo","day","dose"
"230","COVIRS_45_V1","BNT-MO (V1, D6)","GSM6395414",6,1
"231","COVIRS_94_V1","BNT (V1, D6)","GSM6395415",6,1
"232","COVIRS_65_V1","BNT-MO (V1, D6)","GSM6395416",6,1
"233","COVIRS_102_V1","BNT (V1, D6)","GSM6395417",6,1
"234","COVIRS_26_V1","BNT (V1, D6)","GSM6395418",6,1
"235","COVIRS_27_V1","BNT (V1, D6)","GSM6395419",6,1
"236","COVIRS_57_V1","BNT (V1, D6)","GSM6395420",6,1
"237","COVIRS_89_V3A","BNT-MO (V3, D1)","GSM6395421",1,3
"238","COVIRS_93_V3A","BNT (V3, D1)","GSM6395422",1,3
"239","COVIRS_96_V3A","BNT-MO (V3, D1)","GSM6395423",1,3
"240","COVIRS_97_V3A","BNT (V3, D1)","GSM6395424",1,3
"241","COVIRS_90_V3A","BNT (V3, D1)","GSM6395425",1,3
"242","COVIRS_91_V3A","BNT (V3, D1)","GSM6395426",1,3
"243","COVIRS_99_V3A","BNT (V3, D1)","GSM6395427",1,3
"244","COVIRS_100_V3A","BNT (V3, D1)","GSM6395428",1,3
"245","COVIRS_101_V3A","BNT (V3, D1)","GSM6395429",1,3
"246","COVIRS_14_V0","BNT (V1, D0)","GSM6395430",0,1
"247","COVIRS_15_V0","BNT (V1, D0)","GSM6395431",0,1
"248","COVIRS_17_V0","BNT (V1, D0)","GSM6395432",0,1
"249","COVIRS_18_V0","BNT (V1, D0)","GSM6395433",0,1
"250","COVIRS_42_V0","BNT (V1, D0)","GSM6395434",0,1
"251","COVIRS_44_V0","BNT (V1, D0)","GSM6395435",0,1
"252","COVIRS_45_V0","BNT-MO (V1, D0)","GSM6395436",0,1
"253","COVIRS_65_V0","BNT-MO (V1, D0)","GSM6395437",0,1
"254","COVIRS_102_V0","BNT (V1, D0)","GSM6395438",0,1
"255","COVIRS_26_V0","BNT (V1, D0)","GSM6395439",0,1
"256","COVIRS_27_V0","BNT (V1, D0)","GSM6395440",0,1
"257","COVIRS_57_V0","BNT (V1, D0)","GSM6395441",0,1
"258","COVIRS_102_V3A","BNT (V3, D1)","GSM6395442",1,3
"259","COVIRS_95_V0","BNT (V1, D0)","GSM6395443",0,1
"260","COVIRS_78_V0","BNT (V1, D0)","GSM6395444",0,1
