"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"32","BBIBP (V3, D14)","BNT-MO (V3, D1)",14,282,929,374,1254,"TRIM22, ACVRL1, KPTN, LINC01252, PNMA6A, RIMBP3C, FAM225A, BACH1-IT1, EPSTI1, DHX58, MGAT5B, CCIN, SIPA1L1, CADM4",3.74,1.12,1.14205668975125e-262,1.30046885023618e-262,261.885900045877
"33","BBIBP (V3, D14)","ChAd (V1, D3)",6,290,652,374,903,"ACVRL1, VSIG8, FAM225A, SOSTDC1, EPSTI1, MARCO",1.6,0.66,9.40080291519006e-241,7.78528546906944e-241,240.108725458193
"34","BBIBP (V3, D14)","ChAd (V1, D6)",2,294,163,374,302,"IGHV2-5, EPSTI1",0.53,0.66,7.21755042445812e-125,2.19164823982275e-125,124.659229148985
"35","BBIBP (V3, D14)","ChAd (V1, D7)",0,296,268,374,337,"",0,0,9.87218764937289e-169,4.38694126411011e-169,168.357838180239
"36","BBIBP (V3, D14)","ChAd (V2, D1)",10,286,723,374,916,"TRIM22, PAIP1P1, KPTN, FAM225A, TTC21A, BACH1-IT1, EPSTI1, DHX58, MARCO, UBQLNL",2.67,1.09,9.00938904692487e-244,7.81642780855004e-244,243.106991678843
"37","BBIBP (V3, D14)","ChAd (V2, D3)",1,295,200,374,215,"TSPO",0.27,0.47,3.09293170968943e-142,1.07335479907217e-142,141.969256697596
"38","BBIBP (V3, D14)","ChAd (V2, D7)",0,296,9,374,18,"",0,0,1.78981600126275e-17,3.00545979703391e-18,17.5220890770592
"39","BBIBP (V3, D14)","ChAd-BNT (V2, D3)",10,286,898,374,1156,"TRIM22, ACVRL1, LOC101928008, TSPO, FAM225A, SIVA1, FZD5, EPSTI1, DHX58, MARCO",2.67,0.87,1.49221448984077e-266,2.09131848028603e-266,265.679579824811
"40","BBIBP (V3, D14)","ChAd-BNT (V2, D7)",2,294,774,374,972,"OLFML1, BASP1",0.53,0.21,9.76991827300322e-268,1.483344273819e-267,266.828758040565
"41","BBIBP (V3, D14)","ChAd-BNT (V3, D1)",19,277,1013,374,1388,"PDIA3P1, NLRC5, TRIM22, DUOX1, PAIP1P1, CD247, DCLRE1A, KPTN, TMEM132A, FAM225A, TTC21A, BACH1-IT1, EPSTI1, DHX58, TXLNB, SIPA1L1, ARHGAP26-IT1, MARCO, UBQLNL",5.08,1.37,6.1992973706531e-263,7.28690396272443e-263,262.137456954193
"42","BBIBP (V3, D14)","I-BNT-I (D2)",0,296,5,374,10,"",0,0,5.02168647064517e-11,7.78653073352925e-12,11.1086559978966
"43","BBIBP (V3, D14)","I-BNT-I (D5)",0,296,1,374,2,"",0,0,0.00336700336700337,0.000408963516362229,3.38831543367797
"44","BBIBP (V3, D14)","I-I (D1)",1,295,38,374,39,"CNTNAP2",0.27,2.56,2.27818233660657e-49,4.71669813767051e-50,49.326361917127
"45","BBIBP (V3, D14)","I-I (D3)",0,296,3,374,3,"",0,0,2.26729144149628e-07,3.14133223252579e-08,7.50288612946511
"46","BBIBP (V3, D14)","I-I (D5)",0,296,14,374,14,"",0,0,1.55139723793538e-24,2.85509191365316e-25,24.5443799059996
"47","BBIBP (V3, D14)","ZF2001 (V3, D07)",13,283,435,374,552,"PDIA3P1, CCR8, MAP10, PKD1P2, KIAA1522, SLC40A1, CCIN, SIPA1L1, TNNI3, ZNF326, MARCO, LSM, DZANK1",3.48,2.36,6.91441206535269e-189,3.81745206696247e-189,188.418226407365
"48","BBIBP (V3, D14)","ZF2001 (V3, D14)",2,294,277,374,330,"DCHS1, SIPA1L1",0.53,0.61,5.15645514808768e-167,2.21052071544649e-167,166.655505410836
"49","BBIBP (V3, D14)","ZF2001 (V3, D28)",2,294,117,374,137,"KIAA1522, SIPA1L1",0.53,1.46,1.99672196193055e-102,5.59675779508604e-103,102.252063487185
"50","BBIBP (V3, D28)","BNT (V1, D6)",0,287,3,399,9,"",0,0,2.48578133078789e-07,3.41805713843931e-08,7.466220681609
"51","BBIBP (V3, D28)","BNT (V2, D1)",2,285,537,399,694,"RNU5B-1, SMTNL1",0.5,0.29,2.40335754497053e-225,1.71715887730618e-225,224.765189520596
"52","BBIBP (V3, D28)","BNT (V3, D1)",8,279,509,399,708,"CCL3L1, FFAR2, CCL3, DISC1-IT1, RNU5B-1, PRR36, SMTNL1, LINC00513",2.01,1.13,4.11630078904703e-208,2.54224476097986e-208,207.59478263898
"53","BBIBP (V3, D28)","BNT-I-BNT (D51, mild)",2,285,361,399,363,"ZNF721, ZNF320",0.5,0.55,1.23126952557675e-187,6.59791153617124e-188,187.180593511708
"54","BBIBP (V3, D28)","BNT-I-BNT (D51, severe)",2,285,111,399,113,"ZNF721, IL16",0.5,1.77,6.94817653366323e-98,1.84804502218509e-98,97.7332874526785
"55","BBIBP (V3, D28)","BNT-MO (V3, D1)",15,272,928,399,1254,"CCL3L1, FFAR2, CCL3, ADAMTSL4-AS1, AREG, DISC1-IT1, RNU5B-1, G0S2, BACH1-IT1, CADM4, MTCO2P11, SIPA1L1, SMTNL1, CHRNA2, LINC00513",3.76,1.2,3.61967324368615e-255,3.87929423340519e-255,254.411247279153
"56","BBIBP (V3, D28)","ChAd (V1, D3)",6,281,652,399,903,"CCL3L1, CXCL1, G0S2, CXCL8, EGOT, GDF15",1.5,0.66,3.6274833639404e-236,2.81235306742071e-236,235.550930158187
"57","BBIBP (V3, D28)","ChAd (V1, D6)",5,282,160,399,302,"CCNB2, IGHV6-1, IGKV2D-24, IGLV1-36, APOBEC2",1.25,1.66,5.89823718697623e-117,1.73325642250719e-117,116.761137181867
"58","BBIBP (V3, D28)","ChAd (V1, D7)",6,281,262,399,337,"CCL3, CCNB2, HBB, HBA1, FAM71A, HIST1H2AD",1.5,1.78,1.36905217699559e-152,5.1429290888376e-153,152.288789463728
"59","BBIBP (V3, D28)","ChAd (V2, D1)",10,277,723,399,916,"TRAV18, FFAR2, IGLV5-45, DISC1-IT1, RNU5B-1, HBA1, FAR1-IT1, BACH1-IT1, MTCO2P11, GPR68",2.51,1.09,6.67704384612145e-239,5.28918389395916e-239,238.2766113332
"60","BBIBP (V3, D28)","ChAd (V2, D3)",7,280,194,399,215,"ZBED2, ADAMTSL4-AS1, LOC727896, LOC100294362, SMTNL1, MIR181A1HG, MTRNR2L3",1.75,3.26,8.69011547442104e-128,2.70646213860993e-128,127.567598043987
"61","BBIBP (V3, D28)","ChAd (V2, D7)",0,287,9,399,18,"",0,0,2.35217801375333e-17,3.93166008040599e-18,17.4054240370213
"62","BBIBP (V3, D28)","ChAd-BNT (V2, D3)",14,273,894,399,1156,"ADAMTSL4-AS1, CXCL1, LOC100294362, ALKBH7, TCTEX1D4, GPR152, FAM71A, SRGAP2-AS1, SMTNL1, MIR181A1HG, VASN, PTGES, IL1A, MTRNR2L3",3.51,1.21,3.77988696595084e-253,3.82594376599135e-253,252.417261417555
"63","BBIBP (V3, D28)","ChAd-BNT (V2, D7)",17,270,759,399,972,"CCL3L1, SNCA, FFAR2, TRIM58, CCL3, CXCL1, OR2W3, CCNB2, HBB, G0S2, HBA1, CXCL8, CD83, GK3P, CHRNA2, IL1A, MTRNR2L3",4.26,1.75,1.39289177199565e-231,1.05739780840778e-231,230.975761594061
"64","BBIBP (V3, D28)","ChAd-BNT (V3, D1)",23,264,1009,399,1388,"PRKCG, CCL3L1, CCL3, HLA-DMB, ADAMTSL4-AS1, AREG, DISC1-IT1, RNU5B-1, CD247, FAR1-IT1, TXLNB, PSMD6-AS2, CD83, BRSK2, BACH1-IT1, BLZF2P, MTCO2P11, SIPA1L1, GPR68, RIBC1, MIR194-2HG, MYH7B, MIR181A1HG",5.76,1.66,5.90070552857395e-250,5.65825630065112e-250,249.247317384303
"65","BBIBP (V3, D28)","I-BNT-I (D2)",0,287,5,399,10,"",0,0,5.85082457936238e-11,9.03373495802028e-12,11.0441326554126
"66","BBIBP (V3, D28)","I-BNT-I (D5)",0,287,1,399,2,"",0,0,0.00347222222222222,0.000420342484633104,3.37639671299417
"67","BBIBP (V3, D28)","I-I (D1)",1,286,38,399,39,"PAX5",0.25,2.56,6.85174901038824e-49,1.41055638042437e-49,48.8506095502617
"68","BBIBP (V3, D28)","I-I (D3)",0,287,3,399,3,"",0,0,2.48578133078789e-07,3.41805713843931e-08,7.466220681609
"69","BBIBP (V3, D28)","I-I (D5)",0,287,14,399,14,"",0,0,2.36474248174448e-24,4.33005135656884e-25,24.3635069526669
"70","BBIBP (V3, D28)","ZF2001 (V3, D07)",11,276,437,399,552,"FKBPL, ARHGAP15, TACC1, AREG, PLCG1-AS1, ALKBH7, POLR2J4, CD44-AS1, ZNF433, SIPA1L1, BABAM2",2.76,1.99,7.57696345119816e-189,4.12081065696705e-189,188.385017339982
"71","BBIBP (V3, D28)","ZF2001 (V3, D14)",6,281,273,399,330,"ARHGAP15, ALOX5, NNAT, CD83, BAG5, SIPA1L1",1.5,1.82,5.81048958997294e-156,2.35251547195644e-156,155.628467511636
"72","BBIBP (V3, D28)","ZF2001 (V3, D28)",4,283,115,399,137,"AREG, CD83, LOC100133244, SIPA1L1",1,2.92,5.62291860270618e-97,1.48472144239663e-97,96.8283550193285
"73","BNT (V1, D6)","BNT (V2, D1)",2,1,537,9,694,"IFI27, RNU1-4",22.22,0.29,0.00555555555555563,0.000657262794153591,3.18226095124484
"74","BNT (V1, D6)","BNT (V3, D1)",2,1,515,9,708,"IFI27, RNU1-4",22.22,0.28,0.00579150579150575,0.000682960027511982,3.1656047140915
"75","BNT (V1, D6)","BNT-I-BNT (D51, mild)",0,3,363,9,363,"",0,0,1.23388850089951e-07,1.72927809112678e-08,7.76213516072821
"76","BNT (V1, D6)","BNT-I-BNT (D51, severe)",0,3,113,9,113,"",0,0,3.94539572319104e-06,5.20887286732415e-07,6.28325624223967
"77","BNT (V1, D6)","BNT-MO (V3, D1)",1,2,942,9,1254,"RNU1-4",11.11,0.08,6.72585418348132e-06,8.81586481610708e-07,6.05473507798286
"78","BNT (V1, D6)","ChAd (V1, D3)",1,2,657,9,903,"IFI27",11.11,0.11,1.37950062077528e-05,1.78886616869842e-06,5.74742214929841
"79","BNT (V1, D6)","ChAd (V1, D6)",2,1,163,9,302,"IGLV3-10, IFI27",22.22,0.66,0.0180722891566264,0.00209722868397711,2.67835421103471
"80","BNT (V1, D6)","ChAd (V1, D7)",1,2,267,9,337,"IFI27",11.11,0.3,8.26104915324248e-05,1.05621569477234e-05,4.97624738342736
"81","BNT (V1, D6)","ChAd (V2, D1)",1,2,732,9,916,"IFI27",11.11,0.11,1.11216148584775e-05,1.44734508416181e-06,5.83942790959994
"82","BNT (V1, D6)","ChAd (V2, D3)",0,3,201,9,215,"",0,0,7.17255150609237e-07,9.67992922122842e-08,7.01412781820218
"83","BNT (V1, D6)","ChAd (V2, D7)",0,3,9,9,18,"",0,0,0.00454545454545454,0.000541275242244126,3.26658183694488
"84","BNT (V1, D6)","ChAd-BNT (V2, D3)",1,2,907,9,1156,"IFI27",11.11,0.09,7.25347260000722e-06,9.47336001204086e-07,6.02349595807411
"85","BNT (V1, D6)","ChAd-BNT (V2, D7)",0,3,776,9,972,"",0,0,1.27412834363608e-08,1.84236174154676e-09,8.73462509350217
"86","BNT (V1, D6)","ChAd-BNT (V3, D1)",0,3,1032,9,1388,"",0,0,5.42737763034126e-09,7.94242209371119e-10,9.10004703642367
"87","BNT (V1, D6)","I-BNT-I (D2)",0,3,5,9,10,"",0,0,0.0178571428571428,0.00207888232016628,2.68217009419375
"88","BNT (V1, D6)","I-BNT-I (D5)",0,3,1,9,2,"",0,0,0.25,0.0282908767918281,1.54835359266489
"89","BNT (V1, D6)","I-I (D1)",0,3,39,9,39,"",0,0,8.71080139372822e-05,1.10211749019655e-05,4.95777210546228
"90","BNT (V1, D6)","I-I (D3)",0,3,3,9,3,"",0,0,0.1,0.0113870779087108,1.943587707961
"91","BNT (V1, D6)","I-I (D5)",0,3,14,9,14,"",0,0,0.00147058823529412,0.000182266153000573,3.73929397275949
"92","BNT (V1, D6)","ZF2001 (V3, D07)",0,3,448,9,552,"",0,0,6.58439465544688e-08,9.2994747191656e-09,8.03154158187731
"93","BNT (V1, D6)","ZF2001 (V3, D14)",0,3,279,9,330,"",0,0,2.70419366353341e-07,3.69053050809252e-08,7.43291120018869
"94","BNT (V1, D6)","ZF2001 (V3, D28)",0,3,119,9,137,"",0,0,3.38707492209728e-06,4.50439544765691e-07,6.34636348911666
