"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"134","ChAd (V1, D7)","I-I (D3)",0,60,2,77,2,"",0,0,0.000528820729772607,0.000375061139781414,3.42589793092465
"135","ChAd (V1, D7)","I-I (D5)",0,60,10,77,10,"",0,0,2.52076782329689e-12,2.52508078687039e-12,11.5977247226024
"136","ChAd (V2, D1)","ChAd (V2, D3)",0,256,19,275,22,"",0,0,1.03298376782896e-29,1.54416713703217e-29,28.8113056944392
"137","ChAd (V2, D1)","ChAd (V2, D7)",0,256,5,275,14,"",0,0,1.02970968456694e-10,9.90621133165745e-11,10.0040924113431
"138","ChAd (V2, D1)","ChAd-BNT (V2, D3)",6,250,270,275,333,"VIPR2, FBXO27, CDHR1, LINC00469, TNFSF11, SDC2",2.18,1.8,9.16457305805843e-146,7.42070482151476e-145,144.129554843298
"139","ChAd (V2, D1)","ChAd-BNT (V2, D7)",5,251,486,275,671,"DDX11L1, HBA1, HBA2, SDC2, HBG2",1.82,0.75,1.79393786067044e-195,5.8103234041959e-194,193.235799693987
"140","ChAd (V2, D1)","ChAd-BNT (V3, D1)",73,183,100,275,239,"KIR3DL2, KIR3DL1, SNORA3B, RNU2-64P, RNA5SP352, SNORA11, UBBP4, SCARNA22, RNA5-8SN2, IGHV3-23, SNORA22C, RPL7AP20, IGLV3-9, FAT4, PLEKHF1, RNU2-59P, RN7SKP230, RNY1, SH2D1B, IGHV3-30, ERBB2, SNORA12, CLIC3, RN7SKP255, SNORA22, RNU6-3P, SNORD67, TOX-DT, PDGFD, SNORA74A, SNORA79B, SNORD17, LYPD3, ADAMTS1, SCARNA8, SNORA47, PRSS30P, RPL23AP74, SNORD89, RNU6-1, SNORA5A, SNORA7B, MIR3609, BOK, SNHG25, GPR68, SNORD15B, PTGDR, RNU5A-1, RNU6-33P, RNU6-36P, RNU6-4P, RPL7AP50, SPON2, HOPX, NMUR1, SNORD94, SCARNA1, RNA5SP202, NKG7, SNORA23, RNA5S9, SNORA74B, SCARNA6, RNU5B-1, SNORD9, PRSS23, RNU4-1, HBG2, SCARNA5, RNU4-2, SNORA49, SNORA53",26.55,30.54,2.93865525944071e-41,4.83961478013718e-41,40.3151892056115
"141","ChAd (V2, D1)","I-BNT-I (D2)",0,256,2,275,4,"",0,0,3.01631828190511e-05,2.40232356144492e-05,4.61936849922849
"142","ChAd (V2, D1)","I-BNT-I (D5)",0,256,1,275,2,"",0,0,0.00389105058365759,0.0025719570210898,2.58973629300267
"143","ChAd (V2, D1)","I-I (D1)",0,256,39,275,39,"",0,0,1.3434884644489e-49,2.66410922803611e-49,48.574447973135
"144","ChAd (V2, D1)","I-I (D3)",0,256,2,275,2,"",0,0,3.01631828190511e-05,2.40232356144492e-05,4.61936849922849
"145","ChAd (V2, D1)","I-I (D5)",0,256,10,275,10,"",0,0,2.42833224612402e-18,3.02501595301055e-18,17.519272330669
"146","ChAd (V2, D3)","ChAd (V2, D7)",1,18,4,22,14,"RASGEF1B",4.55,7.14,0.000564652738565782,0.000397572665487245,3.40058348251451
"147","ChAd (V2, D3)","ChAd-BNT (V2, D3)",2,17,274,22,333,"MIR25, PDGFA",9.09,0.6,1.12925765460117e-25,1.50308779386573e-25,24.8230156519627
"148","ChAd (V2, D3)","ChAd-BNT (V2, D7)",2,17,489,22,671,"PDGFA, RASGEF1B",9.09,0.3,7.97864177602012e-30,1.211331909327e-29,28.9167368422912
"149","ChAd (V2, D3)","ChAd-BNT (V3, D1)",0,19,173,22,239,"",0,0,1.26538547958962e-26,1.70767222687819e-26,25.7675954847704
"150","ChAd (V2, D3)","I-BNT-I (D2)",0,19,2,22,4,"",0,0,0.00476190476190476,0.00302415077185657,2.51939656047472
"151","ChAd (V2, D3)","I-BNT-I (D5)",0,19,1,22,2,"",0,0,0.05,0.027921254109124,1.55406507886978
"152","ChAd (V2, D3)","I-I (D1)",0,19,39,22,39,"",0,0,1.05562121731176e-15,1.16557333540198e-15,14.9334603963961
"153","ChAd (V2, D3)","I-I (D3)",0,19,2,22,2,"",0,0,0.00476190476190476,0.00302415077185657,2.51939656047472
"154","ChAd (V2, D3)","I-I (D5)",0,19,10,22,10,"",0,0,4.9925087406347e-08,4.41001750962463e-08,7.35555968619695
"155","ChAd (V2, D7)","ChAd-BNT (V2, D3)",0,5,276,14,333,"",0,0,7.09885207582318e-11,6.89766807368653e-11,10.161297708379
"156","ChAd (V2, D7)","ChAd-BNT (V2, D7)",1,4,490,14,671,"RASGEF1B",7.14,0.15,2.02319189318176e-09,1.85457916287213e-09,8.73175462404215
"157","ChAd (V2, D7)","ChAd-BNT (V3, D1)",0,5,173,14,239,"",0,0,7.10702777304216e-10,6.64001160454575e-10,9.1778311616281
"158","ChAd (V2, D7)","I-BNT-I (D2)",0,5,2,14,4,"",0,0,0.0476190476190476,0.02690087605198,1.57023357656467
"159","ChAd (V2, D7)","I-BNT-I (D5)",0,5,1,14,2,"",0,0,0.166666666666667,0.089968485462733,1.04590959041015
"160","ChAd (V2, D7)","I-I (D1)",0,5,39,14,39,"",0,0,9.20803529992412e-07,7.78006634107199e-07,6.10901669974056
"161","ChAd (V2, D7)","I-I (D3)",0,5,2,14,2,"",0,0,0.0476190476190476,0.02690087605198,1.57023357656467
"162","ChAd (V2, D7)","I-I (D5)",1,4,9,14,10,"GSTM1",7.14,10,0.00499500499500499,0.00315158751312815,2.50147062890297
"163","ChAd-BNT (V2, D3)","ChAd-BNT (V2, D7)",145,131,346,333,671,"LURAP1L, LOC101929297, CXCL1, LY6G6F, LOC101928834, GNG11, MTRNR2L2, DGAT2, KY, IL1R2, SELP, HIST1H2BG, HIST1H2BH, MIR744, ADGRG3, NT5M, CLU, NKAIN2, VEPH1, C2orf88, CMTM2, LRRC32, SPX, SPOCD1, VEGFC, TUBB1, TGM3, EHD2, LOC643355, SDPR, CMTM5, CSF2, NECAB2, LINC01151, RGS6, PVALB, CXCR2, CABP5, CTTN, CDR2L, EGF, LINC00593, ACSBG1, PDGFRA, MYCT1, LINC00853, NOV, SDC2, ITGB3, PPBP, LINC00989, FAM81B, VSIG2, LOC101928489, CXCL5, METTL21EP, ITGA2B, MYEOV, CPNE4, PDGFA, FAXDC2, TRIM40, MIR3607, KCND3, AVPR1A, SYTL4, MTRNR2L10, THCAT158, CCL4L2, CAPN11, HIST1H2BJ, RHOBTB1, C15orf26, RPL23P8, PCSK6, LY6G6E, ENKUR, GATA1, USP2, BDKRB2, TRHDE-AS1, SLC24A3, TDRP, TMEM40, FAM212B-AS1, BMP6, AQP10, PHF24, PCYT1B, FILIP1L, PI3, TRAPPC3L, ELAVL3, CXCR1, HRASLS, OR2B6, RALGAPA1P, SH3TC2, TREML1, GFI1B, ELOVL7, VIL1, TMCC3, CALD1, LOC100420587, ZNF331, WASF3, HGD, LTBP1, MEIS1, AP1M2, LINC01088, CNTNAP3, ABCC3, HIST1H2BI, RMRP, ARMC3, LINC00534, LOC102724190, TSPAN9, PDZK1IP1, DDX11L5, PHACTR1, SPARC, SAMD14, CCDC103, TNNC2, TM4SF1, MYLK, PARD3, FSTL1, ITGB5, MYZAP, SH3BGRL2, GPR1, ABLIM3, SEC14L5, BEND2, C6orf25, LOC101927854, LOC105375734, MYL9, HIST1H2BO, ALPL, LOC100287036",43.54,21.61,9.20985582397905e-57,2.03382845954229e-56,55.691685679838
"164","ChAd-BNT (V2, D3)","ChAd-BNT (V3, D1)",1,275,172,333,239,"KIR2DS4",0.3,0.42,1.20012311082189e-126,6.85947760831923e-126,125.163708957247
"165","ChAd-BNT (V2, D3)","I-BNT-I (D2)",0,276,2,333,4,"",0,0,2.59720021816482e-05,2.10299553064592e-05,4.67716165028937
"166","ChAd-BNT (V2, D3)","I-BNT-I (D5)",0,276,1,333,2,"",0,0,0.0036101083032491,0.00241917003111544,2.61633360622262
"167","ChAd-BNT (V2, D3)","I-I (D1)",0,276,39,333,39,"",0,0,8.73911745346006e-51,1.76905161352966e-50,49.7522594960082
"168","ChAd-BNT (V2, D3)","I-I (D3)",0,276,2,333,2,"",0,0,2.59720021816482e-05,2.10299553064592e-05,4.67716165028937
"169","ChAd-BNT (V2, D3)","I-I (D5)",0,276,10,333,10,"",0,0,1.1619973465821e-18,1.46631938564158e-18,17.8337714237506
"170","ChAd-BNT (V2, D7)","ChAd-BNT (V3, D1)",1,490,172,671,239,"HBG2",0.15,0.42,7.21688768684527e-162,1.18025321292102e-160,159.928024808646
"171","ChAd-BNT (V2, D7)","I-BNT-I (D2)",1,490,1,671,4,"ZFY",0.15,25,0.00406504065040651,0.00265089660882173,2.57660721043885
"172","ChAd-BNT (V2, D7)","I-BNT-I (D5)",1,490,0,671,2,"ZFY",0.15,50,1,0.511399812103956,0.291239435876031
"173","ChAd-BNT (V2, D7)","I-I (D1)",2,489,37,671,39,"UTY, DDX3Y",0.3,5.13,6.79174538195496e-55,1.43462280286095e-54,53.8432622704768
"174","ChAd-BNT (V2, D7)","I-I (D3)",2,489,0,671,2,"ZFY, PRKY",0.3,100,1,0.511399812103956,0.291239435876031
"175","ChAd-BNT (V2, D7)","I-I (D5)",9,482,1,671,10,"TXLNGY, BCORP1, LINC00278, UTY, KDM5D, DDX3Y, RPS4Y1, USP9Y, TTTY15",1.34,90,0.0203252032520325,0.0117554641284059,1.92976021941642
"176","ChAd-BNT (V3, D1)","I-BNT-I (D2)",0,173,2,239,4,"",0,0,6.56814449917897e-05,4.9092314917141e-05,4.30898648853495
"177","ChAd-BNT (V3, D1)","I-BNT-I (D5)",0,173,1,239,2,"",0,0,0.00574712643678161,0.00355684765721327,2.44893473561503
"178","ChAd-BNT (V3, D1)","I-I (D1)",1,172,38,239,39,"VPREB3",0.42,2.56,3.37343744951555e-41,5.46305504645123e-41,40.2625644234558
"179","ChAd-BNT (V3, D1)","I-I (D3)",0,173,2,239,2,"",0,0,6.56814449917897e-05,4.9092314917141e-05,4.30898648853495
"180","ChAd-BNT (V3, D1)","I-I (D5)",0,173,10,239,10,"",0,0,1.10647908902301e-16,1.26484832544037e-16,15.8979615498823
"181","I-BNT-I (D2)","I-BNT-I (D5)",1,1,0,4,2,"ZFY",25,50,1,0.511399812103956,0.291239435876031
"182","I-BNT-I (D2)","I-I (D1)",0,2,39,4,39,"",0,0,0.00121951219512195,0.000846393417245223,3.07242772298516
"183","I-BNT-I (D2)","I-I (D3)",1,1,1,4,2,"ZFY",25,50,1,0.511399812103956,0.291239435876031
"184","I-BNT-I (D2)","I-I (D5)",0,2,10,4,10,"",0,0,0.0151515151515152,0.00914417130620663,2.03885564649692
"185","I-BNT-I (D5)","I-I (D1)",0,1,39,2,39,"",0,0,0.025,0.0142891123970223,1.84499474762944
"186","I-BNT-I (D5)","I-I (D3)",1,0,1,2,2,"ZFY",50,50,1,0.511399812103956,0.291239435876031
"187","I-BNT-I (D5)","I-I (D5)",0,1,10,2,10,"",0,0,0.0909090909090909,0.0501890311465659,1.29939118789558
"188","I-I (D1)","I-I (D3)",0,39,2,39,2,"",0,0,0.00121951219512195,0.000846393417245223,3.07242772298516
"189","I-I (D1)","I-I (D5)",2,37,8,39,10,"DDX3Y, UTY",5.13,20,1.43103601330921e-07,1.23051322283948e-07,6.90991371509782
"190","I-I (D3)","I-I (D5)",0,2,10,2,10,"",0,0,0.0151515151515152,0.00914417130620663,2.03885564649692
"191","BNT (V2, D1)","BNT (V1, D6)",1,0,190,1,194,"RNU1-4",100,0.52,1,0.511399812103956,0.291239435876031
"192","BNT (V3, D1)","BNT (V1, D6)",0,1,94,1,95,"",0,0,0.0105263157894737,0.00643270203904347,2.1916065645325
"193","BNT-I-BNT (D51, mild)","BNT (V1, D6)",0,1,239,1,239,"",0,0,0.00416666666666664,0.00268118003034635,2.57167402392798
"194","BNT-I-BNT (D51, severe)","BNT (V1, D6)",0,1,61,1,61,"",0,0,0.0161290322580645,0.00961468081335362,2.01706512882541
"195","BNT-MO (V3, D1)","BNT (V1, D6)",1,0,250,1,325,"RNU1-4",100,0.31,1,0.511399812103956,0.291239435876031
"196","ChAd (V1, D3)","BNT (V1, D6)",0,1,330,1,387,"",0,0,0.00302114803625379,0.00205281651912517,2.68764986616398
