"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue"
"1326","FLUMIST (D7)","BNT (V3, D1)",14,2075,379,2089,393,"DOCK4,DYNLT1,EGR2,EGR3,GK,HBG1,PTGS2,SOCS1,STX11,TNFAIP6,SAMD9L,SP140,TDRD7,TFEC",0.67,3.56,0,0
"1327","FLUMIST (D7)","BNT-I (D1)",108,1981,873,2089,981,"ABHD5,ADORA2A,AMPD2,ANKRD9,AREG,ARL8A,ATG2A,B3GNT5,CBX4,CCDC59,CDK16,CDKN2D,CPEB4,YBX3,CSRNP1,DDIT3,DUSP10,EAF1,EGR3,EIF1,EIF5,ELAVL3,ELL,ETF1,UBALD2,FAM53C,FASTKD5,FBXO33,FEM1C,FOXO3,G0S2,GABARAPL1,GLUL,GRPEL1,GUK1,GZF1,HBA1,HBA2,HBEGF,HBG1,HBG2,HNRNPH2,HOXA5,IFRD1,IRGQ,IRS2,ITPRIP,KLF7,KLHL15,KLHL2,LPAR2,MAPK6,MEF2D,MIR22HG,MMP9,MYLIP,NECAP1,NR4A2,ORAI2,P2RY10,PDZD8,PER1,PFKFB3,PHACTR1,PHF1,PIM3,PLAUR,PNPLA2,PPIF,RAPGEF2,RELT,RNF103,SERTAD1,SERTAD2,SIAH1,SIK1,SLC7A5,SNORD89,TRIB1,YOD1,YPEL5,ZBTB10,ZBTB43,ZFAND2A,ZNF281,ZNF394,CACNA2D4,CPNE2,FGD4,GEMIN6,GIMAP6,GPR171,HLTF,LBH,NUP43,OSGEPL1,PAQR8,SAMD3,SAP30,SGMS2,SLC22A15,SNORA28,STAB1,SULT1A1,SULT1A2,TARP,VCAN,YPEL2",5.17,11.01,0,0
"1328","FLUMIST (D7)","BNT-I (D10, mild)",407,1682,3524,2089,3931,"ABCA1,ABHD5,ACSL1,ADAM22,ADIPOR1,ALG13,AP3M2,ARHGAP5,ARL8A,ATF7IP2,B3GNT2,B3GNT7,BACH1,BASP1,BCL2A1,BCL7A,BEX2,BIRC3,BNIP3L,MPC2,BUD31,VCPKMT,IRF2BPL,C18orf25,R3HDM4,C1D,OSER1,CYSTM1,CCDC28A,CCDC50,CCNG2,CDKN2D,CHMP2B,CHPT1,CLEC2B,CLP1,CNOT6L,CNOT8,COQ10B,CPEB2,CPEB4,CREBRF,CTBS,DDIT3,DENND3,DHRS3,DUSP2,DYRK2,EAF1,EAPP,EIF1,EIF1B,ELF2,UBALD2,FAM169A,FAM8A1,FASTKD5,FBXO21,CCDC71L,FNDC3B,GADD45A,GAS5,GK,GPR160,HERPUD1,HIP1R,IDI1,IFRD1,ING3,IRS2,JMY,KCMF1,KIAA1143,KLHL2,LEPROTL1,LIMK2,LMTK2,MAD2L1BP,MAP1LC3B,MAP2K3,MCL1,MED30,MGAT4A,MIER1,MIR22HG,MKRN1,MMADHC,MTERF4,MTMR3,MTMR6,MXD1,MXD4,MYLIP,NAMPT,OTUD1,P2RY10,PHF11,PIM3,PKD1,PLEKHF2,PTP4A1,PTPRK,RAB1A,RAD23B,RASGEF1B,TRMT10C,RIT1,RPAIN,RRAGD,S100P,SERPINB1,SFXN1,SH3GLB1,SIAH2,SIPA1L2,SLC25A37,SLC3A2,SMNDC1,SRGN,STK17B,STX11,TBPL1,TMEM167B,TMEM183A,CNEP1R1,TMEM70,TNFAIP6,TRIB1,TSPYL4,TUBA1C,UBAP1,UBE2B,UBE2J1,UGCG,USP15,USP36,VAPA,VCPIP1,XRN1,ZBTB5,ZCCHC2,ZFAND2A,ZNF10,ZNF134,ZNF14,ZNF331,ZNF395,ZNF529,ZNF548,ZNF571,ZNF644,ZNF689,ZNF92,ACER3,ADAP2,ADCY9,ADHFE1,AGK,AKAP11,ALDH3B1,ALG10B,ANAPC1,ANKH,ANXA2,ANXA4,APLP2,ASCC1,ATG3,ATG7,ATP6AP1,ATP6V0E1,ATP6V1C1,ATP8B2,B3GALNT2,BDP1,MCMBP,TMEM260,DTD2,SPTSSA,L3HYPDH,C1orf162,RSRP1,GCFC2,MPLKIP,CCZ1B,C9orf72,CALHM2,CAPG,CAPRIN2,CASP8AP2,CBFA2T2,CBX1,VPS50,TRMT13,CD163,CDC14A,CDC25B,CENPJ,CLEC2D,CPNE2,CPSF1,CREBZF,CRIM1,CTSB,DCP1B,DDI2,DECR1,DENND2D,DFFA,DHRS4-AS1,DIAPH2,DIP2A,DIS3L,DIS3L2,DNAJC24,DOCK9,DPY19L4,DTNBP1,DUSP18,ECI2,EEF1A1,EEF2K,EIF5B,ELP3,ENGASE,ERI1,ESYT1,EVL,FCMR,FAM200B,PIEZO1,FAM78A,FASTKD1,FCRL3,FGD4,FIG4,TAPT1-AS1,GALM,GALT,GCN1,GEMIN7,GIMAP1,GOLPH3L,GPALPP1,GPATCH2,GPATCH4,GPD1L,GPD2,GPR171,GPR75,GSE1,GSR,GUSBP2,GVINP1,HADH,HCG18,HERC2P3,HEXB,HLTF,HPCAL1,HSPBAP1,HUWE1,JRK,KLHDC4,KRI1,KRIT1,LBH,LDAH,LDLRAP1,LIMD1,LONP1,MACF1,MANBA,MBOAT1,MDFIC,ME2,MEF2A,MEMO1,METTL17,METTL2A,METTL2B,METTL8,MGA,MGST1,MITD1,MORC2,MPHOSPH9,MRI1,MRPL38,MRPS9,MS4A6A,MSL3,MZF1,NBPF11,NBPF9,NDUFAF1,NFATC3,NMRAL1,NMT2,NPAT,NPIPA1,NSUN5P1,NSUN5P2,NUDCD1,NUMB,NUP210,NVL,OSGEPL1,PALB2,PCCA,PCMT1,PCYOX1,PCYOX1L,PDCD11,PDE4DIP,PDE6D,PHF21A,PLCB1,PMM2,PMS1,PMS2P1,PMS2P5,POLR1B,PPIE,PRDM15,PRKACB,PRKAG2,PRMT2,PSMA7,PTER,PUS7,QRSL1,RAB7A,RAC2,RAI1,RAPGEF6,RASA4,RASGEF1A,RBM41,RBM6,RECK,REEP3,RFC2,RFXAP,RHOT1,RPAP2,RSC1A1,RTN4,SAMD3,SAP30,SCML4,SCPEP1,SDAD1,SESTD1,SF3B3,SFT2D1,SHPRH,SLC22A15,SLC25A45,SLC7A1,SLC7A6,SLFN5,SMARCAD1,SNAPIN,SNHG10,SNX27,SPATA5,SRFBP1,SRGAP2,STAG3L1,STYXL1,TARP,TBCK,TCF7L2,TCTN3,TDRD3,TDRD7,TFEC,THEM4,TMEM165,NEMP1,TMEM63A,TMOD2,TMOD3,TRAF5,TRAPPC3,TRRAP,TSEN2,TSNAX,TTC27,UBASH3A,UBTF,USP28,UVSSA,WDSUB1,WSB1,ZBTB40,ZFP64,ZFP90,ZNF146,ZNF248,ZNF302,ZNF439,ZNF573,ZNF609,ZNF721,ZNF767P",19.48,10.35,0,0
"1329","FLUMIST (D7)","BNT-I (D10, severe)",311,1778,3787,2089,4098,"ABCA1,ABHD5,ACSL1,ADAM22,AP3M2,AQP9,ARHGAP5,ARL8A,ATF7IP2,B3GNT5,B3GNT7,BASP1,BCL2A1,BEX2,BEX5,MPC2,BUD31,IRF2BPL,C18orf25,R3HDM4,C1D,OSER1,CYSTM1,CCDC28A,CCNG2,CDADC1,CDKN2D,CHMP2B,CHPT1,CLEC2B,CLP1,CMTM2,COQ10B,CPEB2,CPEB4,CREBRF,CTBS,DDIT3,DENND3,DHRS3,DOCK4,DUSP2,DUSP8,DYRK2,EAF1,EGLN1,EGR3,EIF1,ELF1,ELL2,UBALD2,FAM169A,FAM8A1,FASTKD5,CCDC71L,FNDC3B,FOXO3,GABARAPL1,GADD45A,GK,GNA13,GPR160,HBA1,HBA2,HBB,HERPUD1,HSF2,ID3,IDI1,IFRD1,IRS2,ITPRIP,JMY,KIF1B,KLHL15,KLHL2,LIMK2,LPAR2,MAD2L1BP,MAFK,MAP1LC3B,MCL1,MIER1,MIR22HG,MKRN1,MMADHC,MMP9,MTERF4,MTMR3,MXD1,MXD4,MYLIP,NAMPT,NECAP1,NR1D2,NRBF2,OTUD1,P2RY10,PER1,PFKFB3,PHACTR1,PHF11,PKD1,PLEKHF2,PPP1R15B,PRDX6,PTGS2,PTP4A1,PTPRK,RAB1A,RAD23B,RIT1,RNF11,RRAGD,S100P,SAMSN1,SERPINB1,SH3GLB1,SIPA1L2,SLC25A37,SLC3A2,SNHG8,SNORD89,SOCS3,SPARC,SRGN,STK17B,STX11,TBPL1,TMCC3,CNEP1R1,TMEM70,TNFAIP6,TRIB1,TUBA1C,UBAP1,UBE2B,UBE2J1,UGCG,USP15,USP36,VAPA,VCPIP1,YOD1,YPEL5,ZBTB5,ZCCHC2,ZFAND2A,ZNF281,ZNF331,ZNF395,ZNF529,ZNF548,ZNF571,ZNF586,ADCY9,ADHFE1,AGAP4,AGK,AKAP11,ALDH3B1,AMY2B,ANKH,ARHGAP26,ATG3,ATP6AP1,ATP6V0E1,ATP6V1C1,ATP8B2,BAZ1A,TMEM260,C1orf162,TCAIM,MPLKIP,TRIQK,CACNA2D3,CALHM2,CAPG,TRMT13,CD163,CD53,CDC14A,CDC25B,CPM,CPSF1,CRYBG3,DAB1,DAPP1,DCP1B,DDI2,DENND2D,DIS3L2,DNAJC13,DNAJC24,DOCK9,EEF1A1,EEF2K,ENGASE,ERI1,ESYT1,EVL,FCMR,FAM200B,PIEZO1,FAM78A,FCRL3,FGD4,FIG4,FKBP5,GALM,GALT,GEMIN7,GIMAP1,GIMAP6,GPD2,GPR171,GPR75,GSR,GUSBP2,HCG18,HIVEP3,INSR,ITPRIPL2,KCTD15,KLHDC4,KLHL8,KRCC1,KRI1,LBH,LDLRAP1,MANBA,MEF2A,METTL8,MGA,MGST1,MORC2,MPHOSPH9,NADK,NBPF11,NBPF9,NDUFAF1,NMT2,NPAT,NSUN5P2,NT5C2,NUDT16,NUMB,NUP210,OSBPL11,OSGEPL1,PAQR8,PCCA,PCMT1,PCYOX1L,PDE4DIP,PHF21A,PID1,PPIE,PRKACB,PTER,RAB7A,RAI1,RAPGEF6,RASA4,RASGEF1A,RECK,RHOT1,RTN1,RTN4,SAMD3,SAMD9L,SAP30,SCML4,SDAD1,SESTD1,SFT2D1,SGMS2,SHPRH,SLC22A15,SLC25A45,SLC7A6,SMARCAD1,SNAPIN,SNX27,SPATA5,SPTLC2,SRFBP1,SRGAP2,STYXL1,SULT1A1,TARP,TDRD7,TGFBI,THEM4,TIMP2,TMEM165,TPCN1,TRAF5,TRAPPC3,TRRAP,TSEN2,TSNAX,TTYH2,UBASH3A,WSB1,ZBTB40,ZNF248,ZNF302,ZNF354A,ZNF573,ZNF721",14.89,7.59,0,0
"1330","FLUMIST (D7)","BNT-I (D26, mild)",267,1822,2041,2089,2308,"ABHD5,ACSL1,ADAM22,ADAM28,ADIPOR1,ARHGAP5,ARL8A,ARPC5L,ATF7IP2,B3GNT2,B3GNT7,BASP1,BCL2A1,BCL7A,BIRC3,BNIP3L,MPC2,BUD31,CACUL1,VCPKMT,R3HDM4,C1D,OSER1,CYSTM1,CCNG2,CDADC1,CDKN2D,CHMP2B,CHPT1,CLEC2B,CLP1,CNOT6L,COQ10B,CPEB2,CPEB4,CTBS,DDIT3,DENND3,DHRS3,DNAJC3,DYRK2,EAF1,EAPP,EIF1,EIF1B,ELF2,ETF1,UBALD2,FAM169A,FAM8A1,FASTKD5,FBXL12,FBXO21,FBXO33,FEM1C,CCDC71L,FNDC3B,GADD45A,GPR160,GRPEL1,HERPUD1,HIP1R,IDI1,IFRD1,IP6K2,IRS2,ITPRIP,JMY,KCMF1,KIF1B,KLF7,KLHL2,LEPROTL1,LIMK2,LONRF1,LPAR2,MAD2L1BP,MAP1LC3B,MAP2K3,LAMTOR3,MCL1,MGAM,MIR22HG,MKRN1,MMADHC,MTERF4,MTMR3,MYLIP,NAMPT,OTUD1,P2RY10,PDZD8,PIM3,PKD1,PPM1A,PPP1R15B,PROK2,PTPRK,RAB1A,RAD23B,RIT1,RNF139,RRAGD,S100P,SERPINB1,SERTAD2,SH3GLB1,SIAH2,SIPA1L2,SLC12A6,SLC25A37,SLC3A2,SMNDC1,SNORD89,SRGN,STK17B,TGIF2,TIPARP,TMEM167B,CNEP1R1,TMEM70,TPM3,TRIB1,TUBA1C,UBAP1,UBE2B,UBE2J1,UGCG,USP15,VAPA,YOD1,YPEL5,ZFAND2A,ZNF10,ZNF281,ZNF529,ZNF548,ZNF571,ZNF586,ZNF92,ACAA1,ACER3,AKAP10,AKAP11,ALDH3B1,ANAPC1,ANKH,APLP2,ATG3,ATP6AP1,ATP6V0E1,ATP8B2,BDP1,TMEM260,DTD2,SPTSSA,GCFC2,C2orf74,C9orf72,CALHM2,CASP8AP2,VPS50,TRMT13,CDC25B,CENPJ,CLEC2D,CPNE2,CPSF1,CTSB,DCP1B,DENND2D,DNAJC24,DOCK9,EIF5B,ELP3,ENGASE,ESYT1,EVL,FCMR,FAM78A,FCRL3,FGD4,FKBP5,GALT,GCN1,GIMAP1,GIMAP6,GOLPH3L,GPATCH4,GPR75,GSE1,GSR,GVINP1,HCG18,HEXB,HSPBAP1,ICAM2,KLHDC4,KRI1,LBH,LDLRAP1,LONP1,LYRM7,MANBA,MAP4K4,MBOAT1,MEF2A,METTL2A,METTL2B,MGST1,MGST2,MRPS18B,MSL3,NMRAL1,NMT2,NPAT,NUDCD1,NUMB,OGFOD1,OSGEPL1,PALB2,PCMT1,PDCD11,PDE4DIP,PHF21A,PMS2P5,POLR1B,POP5,PRDM15,PRKACB,PSMA7,QRSL1,RAB7A,RAD50,RAI1,RBM41,RECK,RHOT1,RPAP2,RTN4,SAMD9L,SCML4,SCPEP1,SDAD1,SLC22A15,SLC25A45,SLFN5,SMARCAD1,SPATA5,TARP,THEM4,TMEM165,NEMP1,TMEM63A,TRAF5,TSEN2,TTC27,UBASH3A,UVSSA,VPS8,ZBTB40,ZC3H14,ZFP90,ZNF248,ZNF439,ZNF573,ZNF721",12.78,11.57,0,0
"1331","FLUMIST (D7)","BNT-I (D26, severe)",65,2024,465,2089,530,"ABHD5,BCL2A1,BCL7A,MPC2,CDKN2D,CHMP2B,CLP1,COQ10B,CPEB2,EIF1,ETF1,UBALD2,FAM8A1,FBXO33,FEM1C,CCDC71L,FOXO3,GADD45A,IDI1,IFRD1,IRGQ,IRS2,ITPRIP,KLHL2,MAP1LC3B,MCL1,MED30,MIR22HG,MYLIP,OTUD1,P2RY10,PKD1,PNPLA8,PPP1R15B,PTP4A1,PTPRK,RAB1A,RNF11,SERTAD2,SIPA1L2,SNHG15,SNORD89,STK17B,TRIB1,UBE2J1,USP15,YPEL5,ZFAND2A,ZNF586,AIMP2,CPSF1,DUSP7,ENGASE,FCMR,FCRL3,HSPBAP1,KRI1,LBH,OGFOD1,PRKACB,RAI1,SLC22A15,TARP,TMEM223,ZNF721",3.11,12.26,0,0
"1332","FLUMIST (D7)","BNT-I (D3)",70,2019,502,2089,572,"ACSL1,ADORA2A,AQP9,AREG,B3GNT5,BASP1,BCL2A1,VCPKMT,CYSTM1,CDKN2D,CHPT1,CHSY1,CLP1,CPEB4,CSRNP1,CTBS,DDIT3,DUSP2,EGR3,EIF1,ETF1,FAM53C,FBXO33,FEM1C,CCDC71L,GADD45A,GK,HCAR3,GPR160,GRPEL1,GZF1,HBEGF,IDI1,ITPRIP,KIF1B,KLHL2,LIMK2,LMTK2,MGAM,MIR22HG,MYLIP,NAMPT,NR4A2,ORAI2,OTUD1,PDZD8,PFKFB3,PIM3,PLAUR,PROK2,RAB1A,RELT,SAMSN1,SERPINB1,SLC2A3,SNORD89,SOCS3,SOD2,SRGN,STX11,TIPARP,TRIB1,TUBA1A,VAPA,YPEL5,ZFAND2A,ZNF281,ZNF394,FKBP5,SNORA28",3.35,12.24,0,0
"1333","FLUMIST (D7)","BNT-I (D4)",22,2067,116,2089,138,"ADORA2A,B3GNT5,CDKN2D,COQ10B,CPEB2,YBX3,DDIT3,EIF1,FBXO33,FOXO3,HBA2,HBB,ISCA1,ITPRIP,MIR22HG,MXI1,PLAUR,RELT,RNF11,SAMSN1,SNORD89,ZFY",1.05,15.94,1.95469083627407e-171,1.95469083627407e-171
"1334","FLUMIST (D7)","BNT-I-BNT (D51, mild)",50,2039,256,2089,306,"BCL7A,BNIP3L,MPC2,CACUL1,C1D,CLP1,EAPP,UBALD2,FBXL12,IRS2,MAP1LC3B,P2RY10,PLEKHF2,PTPRK,SERTAD2,STK17B,CNEP1R1,C2orf74,CASP8AP2,CDC25B,CLEC2D,DCP1B,DENND2D,ELP3,ESYT1,FCMR,FCRL3,GPR75,HCG18,LBH,LDLRAP1,MCM3,NVL,PDE4DIP,PDE7A,PRKACB,PRMT2,RALA,RBM6,RECK,RUVBL1,SDAD1,SF3B3,THEM4,TMEM63A,TRAF5,UVSSA,VPS72,ZNF248,ZNF721",2.39,16.34,2.60826027442674e-292,2.60826027442674e-292
"1335","FLUMIST (D7)","BNT-I-BNT (D51, severe)",18,2071,86,2089,104,"CHSY1,PRKAR1A,PTGS2,SERTAD2,TUBA1C,BRD8,C2orf74,COPB2,DCAF7,DENND2D,FCMR,GIN1,GTF2E1,LBH,MOSPD2,VPS72,ZC3H13,ZNF721",0.86,17.31,8.40481722934579e-137,8.40481722934579e-137
