"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"24","ZF2001 (V3, D14)","ZF2001 (V3, D07)",55,178,207,275,325,"ABR, AC006299.1, AC092747.2, ACAD11, ACLY, ADORA2B, AIDA, AKAP17A_1, ALKBH1, AMZ2, ANAPC1P1, ARHGAP15, ASTE1, ATP5F1C, BCAT2, BSG, BTBD19, C13orf46, C1orf112, C6orf89, CACHD1, CALM2, CATSPER2, CAVIN3, CCDC174, CD300H, CDC42SE2, CFAP410, CIP2A, COL6A3, COX5A, CTAGE15, CTNNBIP1, CTSE, CUX1, DCBLD1, DOK4, EFHD1, FAM135A, IL11RA, KLHL28, KLHL5, LINC01703, LOC100507103, LOC105370846, MIR4755, NCAPD2, PDF, RASA3, SAMD3, SLC1A5, TAS2R10, UBQLN2, ZBTB6, ZNF528",20,16.92,4.04501463261888e-74,5.07744673900684e-75,74.2943546235267
"25","ZF2001 (V3, D14)","BBIBP (V3, D14)",1,232,277,275,350,"DCHS1",0.36,0.29,1.56501435345147e-149,3.6644769572135e-150,149.435988004872
"26","ZF2001 (V3, D14)","BBIBP (V3, D28)",5,228,264,275,336,"ALOX5, ARHGAP15, BAG5, CD83, NNAT",1.82,1.49,2.02860247681451e-138,4.1166383425644e-139,138.385457285232
"27","ZF2001 (V3, D14)","BBIBP (V3, D07)",2,231,37,275,63,"BAG5, NNAT",0.73,3.17,1.48313796388565e-43,1.4332040287943e-44,43.8436919796849
"28","ZF2001 (V3, D14)","ZF2001 (V3, D28)",37,196,29,275,78,"ACLY, ACY3, ALKBH1, AP3M2, BAG3, BMS1P1, BRCA2, BSG, BTBD19, C20orf204, CACHD1, CAVIN3, CBARP, CCDC66, CD83, CDC42P5, CDH23, COQ7, COX10, CPSF1, CSNK2A3, CTNNBIP1, CUL4B, DCBLD1, DNAJC30, EFHD1, LINC01703, LY75-CD302, MTR, NLE1, OR5B21, PARD6G-AS1, RASA3, SLC1A5, SPATA24, TGFB1, WDR77",13.45,47.44,1.46289471971035e-20,1.3292457723587e-21,20.8763947122771
"29","ZF2001 (V3, D14)","BNT-MO (V3, D1)",3,230,689,275,929,"BTBD19, LINC01703, RTEL1P1",1.09,0.32,8.03575913117418e-218,8.153473765582e-218,217.088657321836
"30","ZF2001 (V3, D14)","BNT (V2, D1)",0,233,348,275,500,"",0,0,3.5386699459528e-169,1.07715221791984e-169,168.967722919978
"31","ZF2001 (V3, D14)","BNT (V3, D1)",2,231,421,275,613,"LINC01703, RTEL1P1",0.73,0.33,2.92936431336435e-179,1.11460355000205e-179,178.952879578054
"32","ZF2001 (V3, D14)","ChAd (V1, D3)",0,233,328,275,516,"",0,0,1.25547974855163e-164,3.55498907087896e-165,164.449161730086
"33","ZF2001 (V3, D14)","ChAd (V1, D6)",0,233,156,275,291,"",0,0,4.12687870898053e-113,6.12780400733255e-114,113.212695133698
"34","ZF2001 (V3, D14)","ChAd (V2, D7)",0,233,4,275,4,"",0,0,7.803100007768e-09,6.41951874604265e-10,9.19249752859348
"35","ZF2001 (V3, D14)","BNT (V1, D6)",0,233,2,275,8,"",0,0,3.63702491362066e-05,2.76772736096569e-06,5.55787669292186
