"genes","cluster","gene_set"
"CD83","cluster 2","All genes, shared > 16 conditions"
"RRAD","cluster 2","All genes, shared > 16 conditions"
"FOSB","cluster 2","All genes, shared > 16 conditions"
"PLAU","cluster 2","All genes, shared > 16 conditions"
"CA4","cluster 2","All genes, shared > 16 conditions"
"IL1R2","cluster 2","All genes, shared > 16 conditions"
"ALPL","cluster 2","All genes, shared > 16 conditions"
"PI3","cluster 2","All genes, shared > 16 conditions"
"CA1","cluster 2","All genes, shared > 16 conditions"
"SLC4A1","cluster 2","All genes, shared > 16 conditions"
"SELENBP1","cluster 2","All genes, shared > 16 conditions"
"PARP4","cluster 2","All genes, shared > 16 conditions"
"NCBP1","cluster 2","All genes, shared > 16 conditions"
"PCBP1","cluster 2","All genes, shared > 16 conditions"
"RAB7A","cluster 2","All genes, shared > 16 conditions"
"RPS16","cluster 2","All genes, shared > 16 conditions"
"SLC25A5","cluster 2","All genes, shared > 16 conditions"
"FIG4","cluster 2","All genes, shared > 16 conditions"
"TSPYL4","cluster 2","All genes, shared > 16 conditions"
"TBC1D15","cluster 2","All genes, shared > 16 conditions"
"XPC","cluster 2","All genes, shared > 16 conditions"
"GNS","cluster 2","All genes, shared > 16 conditions"
"NSF","cluster 2","All genes, shared > 16 conditions"
"ANXA2","cluster 2","All genes, shared > 16 conditions"
"EREG","cluster 2","All genes, shared > 16 conditions"
"KLF4","cluster 2","All genes, shared > 16 conditions"
"SLC1A3","cluster 2","All genes, shared > 16 conditions"
"S100A12","cluster 2","All genes, shared > 16 conditions"
"IL1R1","cluster 2","All genes, shared > 16 conditions"
"S100P","cluster 2","All genes, shared > 16 conditions"
"ASGR2","cluster 2","All genes, shared > 16 conditions"
"LMNB1","cluster 2","All genes, shared > 16 conditions"
"DOCK4","cluster 2","All genes, shared > 16 conditions"
"IGF2BP3","cluster 2","All genes, shared > 16 conditions"
"CDCA8","cluster 2","All genes, shared > 16 conditions"
"JAK2","cluster 2","All genes, shared > 16 conditions"
"JMJD6","cluster 2","All genes, shared > 16 conditions"
"TXN","cluster 2","All genes, shared > 16 conditions"
"MYO10","cluster 2","All genes, shared > 16 conditions"
"LCN2","cluster 2","All genes, shared > 16 conditions"
"KCNJ2","cluster 2","All genes, shared > 16 conditions"
"ADM","cluster 2","All genes, shared > 16 conditions"
"ACSL1","cluster 2","All genes, shared > 16 conditions"
"C1GALT1","cluster 2","All genes, shared > 16 conditions"
"NOD2","cluster 2","All genes, shared > 16 conditions"
"DRAM1","cluster 2","All genes, shared > 16 conditions"
"IFNGR2","cluster 2","All genes, shared > 16 conditions"
"RBM47","cluster 2","All genes, shared > 16 conditions"
"RALB","cluster 2","All genes, shared > 16 conditions"
"STX3","cluster 2","All genes, shared > 16 conditions"
"PELI1","cluster 2","All genes, shared > 16 conditions"
"GRINA","cluster 2","All genes, shared > 16 conditions"
"SMARCD3","cluster 2","All genes, shared > 16 conditions"
"GNG11","cluster 2","All genes, shared > 16 conditions"
"MPO","cluster 2","All genes, shared > 16 conditions"
"SEMA4A","cluster 2","All genes, shared > 16 conditions"
"KLF5","cluster 2","All genes, shared > 16 conditions"
"SLC7A5","cluster 2","All genes, shared > 16 conditions"
"RNF10","cluster 2","All genes, shared > 16 conditions"
"PIGA","cluster 2","All genes, shared > 16 conditions"
"SUMO1","cluster 2","All genes, shared > 16 conditions"
"CSF1","cluster 2","All genes, shared > 16 conditions"
"STIL","cluster 2","All genes, shared > 16 conditions"
"TMCO3","cluster 2","All genes, shared > 16 conditions"
"SIRPB1","cluster 2","All genes, shared > 16 conditions"
"IFITM1","cluster 2","All genes, shared > 16 conditions"
"PNRC1","cluster 2","All genes, shared > 16 conditions"
"BUB1B","cluster 2","All genes, shared > 16 conditions"
"CHEK1","cluster 2","All genes, shared > 16 conditions"
"CSAD","cluster 2","All genes, shared > 16 conditions"
"MPC2","cluster 2","All genes, shared > 16 conditions"
"COX7B","cluster 2","All genes, shared > 16 conditions"
"VAPA","cluster 2","All genes, shared > 16 conditions"
"JUN","cluster 2","All genes, shared > 16 conditions"
"TICAM1","cluster 2","All genes, shared > 16 conditions"
"NFKBIE","cluster 2","All genes, shared > 16 conditions"
"LDLR","cluster 2","All genes, shared > 16 conditions"
"PLK3","cluster 2","All genes, shared > 16 conditions"
"DNAJA1","cluster 2","All genes, shared > 16 conditions"
"GZMB","cluster 2","All genes, shared > 16 conditions"
"GTPBP1","cluster 2","All genes, shared > 16 conditions"
"GCNT1","cluster 2","All genes, shared > 16 conditions"
"NOD1","cluster 2","All genes, shared > 16 conditions"
"SRBD1","cluster 2","All genes, shared > 16 conditions"
"KPTN","cluster 2","All genes, shared > 16 conditions"
"TOR1A","cluster 2","All genes, shared > 16 conditions"
"CREG1","cluster 2","All genes, shared > 16 conditions"
"CTSZ","cluster 2","All genes, shared > 16 conditions"
"TLR2","cluster 2","All genes, shared > 16 conditions"
"NADK","cluster 2","All genes, shared > 16 conditions"
"TLR4","cluster 2","All genes, shared > 16 conditions"
"CACNA1A","cluster 2","All genes, shared > 16 conditions"
"TRAFD1","cluster 2","All genes, shared > 16 conditions"
"LHFPL2","cluster 2","All genes, shared > 16 conditions"
"VPS54","cluster 2","All genes, shared > 16 conditions"
"TMEM140","cluster 2","All genes, shared > 16 conditions"
"SP100","cluster 2","All genes, shared > 16 conditions"
"GTPBP2","cluster 2","All genes, shared > 16 conditions"
"TIMM10","cluster 2","All genes, shared > 16 conditions"
"TRIM21","cluster 2","All genes, shared > 16 conditions"
"ZC3HAV1","cluster 2","All genes, shared > 16 conditions"
"RHBDF2","cluster 2","All genes, shared > 16 conditions"
"ETV6","cluster 2","All genes, shared > 16 conditions"
"CDC20","cluster 2","All genes, shared > 16 conditions"
"CDC45","cluster 2","All genes, shared > 16 conditions"
"RRM2","cluster 2","All genes, shared > 16 conditions"
"MELK","cluster 2","All genes, shared > 16 conditions"
"GINS2","cluster 2","All genes, shared > 16 conditions"
"ASPM","cluster 2","All genes, shared > 16 conditions"
"TOP2A","cluster 2","All genes, shared > 16 conditions"
"CCNB2","cluster 2","All genes, shared > 16 conditions"
"DLGAP5","cluster 2","All genes, shared > 16 conditions"
"CENPA","cluster 2","All genes, shared > 16 conditions"
"PBK","cluster 2","All genes, shared > 16 conditions"
"TTK","cluster 2","All genes, shared > 16 conditions"
"KIF14","cluster 2","All genes, shared > 16 conditions"
"CEP55","cluster 2","All genes, shared > 16 conditions"
"HMMR","cluster 2","All genes, shared > 16 conditions"
"UBE2C","cluster 2","All genes, shared > 16 conditions"
"CDKN3","cluster 2","All genes, shared > 16 conditions"
"MKI67","cluster 2","All genes, shared > 16 conditions"
"MCM10","cluster 2","All genes, shared > 16 conditions"
"KIF4A","cluster 2","All genes, shared > 16 conditions"
"CCNA2","cluster 2","All genes, shared > 16 conditions"
"NUSAP1","cluster 2","All genes, shared > 16 conditions"
"PCNA","cluster 2","All genes, shared > 16 conditions"
"SHCBP1","cluster 2","All genes, shared > 16 conditions"
"APOBEC3B","cluster 2","All genes, shared > 16 conditions"
"PLK1","cluster 2","All genes, shared > 16 conditions"
"MYBL2","cluster 2","All genes, shared > 16 conditions"
"KIF11","cluster 2","All genes, shared > 16 conditions"
"CLSPN","cluster 2","All genes, shared > 16 conditions"
"SPAG5","cluster 2","All genes, shared > 16 conditions"
"TNFRSF17","cluster 2","All genes, shared > 16 conditions"
"JCHAIN","cluster 2","All genes, shared > 16 conditions"
"CENPF","cluster 2","All genes, shared > 16 conditions"
"SPC25","cluster 2","All genes, shared > 16 conditions"
"TRIP13","cluster 2","All genes, shared > 16 conditions"
"CENPU","cluster 2","All genes, shared > 16 conditions"
"ESPL1","cluster 2","All genes, shared > 16 conditions"
"KIF23","cluster 2","All genes, shared > 16 conditions"
"CDC6","cluster 2","All genes, shared > 16 conditions"
"TROAP","cluster 2","All genes, shared > 16 conditions"
"KIFC1","cluster 2","All genes, shared > 16 conditions"
"RAD51","cluster 2","All genes, shared > 16 conditions"
"CENPM","cluster 2","All genes, shared > 16 conditions"
"GTSE1","cluster 2","All genes, shared > 16 conditions"
"DIAPH3","cluster 2","All genes, shared > 16 conditions"
"CDC25A","cluster 2","All genes, shared > 16 conditions"
"NEK2","cluster 2","All genes, shared > 16 conditions"
"SKA1","cluster 2","All genes, shared > 16 conditions"
"KIF18B","cluster 2","All genes, shared > 16 conditions"
"IQGAP3","cluster 2","All genes, shared > 16 conditions"
"CDCA2","cluster 2","All genes, shared > 16 conditions"
"CDK1","cluster 2","All genes, shared > 16 conditions"
"HJURP","cluster 2","All genes, shared > 16 conditions"
"EXO1","cluster 2","All genes, shared > 16 conditions"
"DEPDC1B","cluster 2","All genes, shared > 16 conditions"
"NCAPG","cluster 2","All genes, shared > 16 conditions"
"E2F7","cluster 2","All genes, shared > 16 conditions"
"E2F1","cluster 2","All genes, shared > 16 conditions"
"CDCA3","cluster 2","All genes, shared > 16 conditions"
"BUB1","cluster 2","All genes, shared > 16 conditions"
"TPX2","cluster 2","All genes, shared > 16 conditions"
"KIF15","cluster 2","All genes, shared > 16 conditions"
"BIRC5","cluster 2","All genes, shared > 16 conditions"
"PKMYT1","cluster 2","All genes, shared > 16 conditions"
"E2F8","cluster 2","All genes, shared > 16 conditions"
"MCM4","cluster 2","All genes, shared > 16 conditions"
"CDT1","cluster 2","All genes, shared > 16 conditions"
"TYMS","cluster 2","All genes, shared > 16 conditions"
"ZWINT","cluster 2","All genes, shared > 16 conditions"
"RPN2","cluster 2","All genes, shared > 16 conditions"
"HADHA","cluster 2","All genes, shared > 16 conditions"
"EIF2S2","cluster 2","All genes, shared > 16 conditions"
"ARPP19","cluster 2","All genes, shared > 16 conditions"
"GNAS","cluster 2","All genes, shared > 16 conditions"
"PA2G4","cluster 2","All genes, shared > 16 conditions"
"VCP","cluster 2","All genes, shared > 16 conditions"
"FEM1B","cluster 2","All genes, shared > 16 conditions"
"COX10","cluster 2","All genes, shared > 16 conditions"
"ZXDB","cluster 2","All genes, shared > 16 conditions"
"SARAF","cluster 2","All genes, shared > 16 conditions"
"WBP11","cluster 2","All genes, shared > 16 conditions"
"KCMF1","cluster 2","All genes, shared > 16 conditions"
"MORF4L2","cluster 2","All genes, shared > 16 conditions"
"TM9SF2","cluster 2","All genes, shared > 16 conditions"
"DEK","cluster 2","All genes, shared > 16 conditions"
"SEC31A","cluster 2","All genes, shared > 16 conditions"
"CLIC1","cluster 2","All genes, shared > 16 conditions"
"STX6","cluster 2","All genes, shared > 16 conditions"
"PPM1A","cluster 2","All genes, shared > 16 conditions"
"AP1G1","cluster 2","All genes, shared > 16 conditions"
"CTBP2","cluster 2","All genes, shared > 16 conditions"
"COPS2","cluster 2","All genes, shared > 16 conditions"
"TRIM14","cluster 2","All genes, shared > 16 conditions"
"HEXB","cluster 2","All genes, shared > 16 conditions"
"PHF20","cluster 2","All genes, shared > 16 conditions"
"PCMT1","cluster 2","All genes, shared > 16 conditions"
"PPM1B","cluster 2","All genes, shared > 16 conditions"
"KDELR2","cluster 2","All genes, shared > 16 conditions"
"CCDC71","cluster 2","All genes, shared > 16 conditions"
"APOBEC3F","cluster 2","All genes, shared > 16 conditions"
"NMT1","cluster 2","All genes, shared > 16 conditions"
"TPCN1","cluster 2","All genes, shared > 16 conditions"
"XYLT1","cluster 2","All genes, shared > 16 conditions"
"NFE2L1","cluster 2","All genes, shared > 16 conditions"
"GOLPH3L","cluster 2","All genes, shared > 16 conditions"
"SYMPK","cluster 2","All genes, shared > 16 conditions"
"PLAA","cluster 2","All genes, shared > 16 conditions"
"PPM1D","cluster 2","All genes, shared > 16 conditions"
"CKS2","cluster 2","All genes, shared > 16 conditions"
"DENR","cluster 2","All genes, shared > 16 conditions"
"PSMD7","cluster 2","All genes, shared > 16 conditions"
"PSMC3IP","cluster 2","All genes, shared > 16 conditions"
"RAD51AP1","cluster 2","All genes, shared > 16 conditions"
"LAMB1","cluster 2","All genes, shared > 16 conditions"
"CP","cluster 2","All genes, shared > 16 conditions"
"C3orf49","cluster 2","All genes, shared > 16 conditions"
"TSPO2","cluster 2","All genes, shared > 16 conditions"
"CHAF1B","cluster 2","All genes, shared > 16 conditions"
"WDR62","cluster 2","All genes, shared > 16 conditions"
"BRCA2","cluster 2","All genes, shared > 16 conditions"
"NDC80","cluster 2","All genes, shared > 16 conditions"
"DENND1A","cluster 2","All genes, shared > 16 conditions"
"SRC","cluster 2","All genes, shared > 16 conditions"
"CBR1","cluster 2","All genes, shared > 16 conditions"
"DDIT4","cluster 2","All genes, shared > 16 conditions"
"C11orf71","cluster 2","All genes, shared > 16 conditions"
"HEATR4","cluster 2","All genes, shared > 16 conditions"
"ZNF561-AS1","cluster 2","All genes, shared > 16 conditions"
"MYLIP","cluster 2","All genes, shared > 16 conditions"
"CAPZA2","cluster 2","All genes, shared > 16 conditions"
"RPL29","cluster 2","All genes, shared > 16 conditions"
"RBM22","cluster 2","All genes, shared > 16 conditions"
"C1D","cluster 2","All genes, shared > 16 conditions"
"USP48","cluster 2","All genes, shared > 16 conditions"
"HECA","cluster 2","All genes, shared > 16 conditions"
"BCAS2","cluster 2","All genes, shared > 16 conditions"
"AHR","cluster 2","All genes, shared > 16 conditions"
"SPATA2","cluster 2","All genes, shared > 16 conditions"
"BCL7B","cluster 2","All genes, shared > 16 conditions"
"CREBL2","cluster 2","All genes, shared > 16 conditions"
"NXT1","cluster 2","All genes, shared > 16 conditions"
"RNF138","cluster 2","All genes, shared > 16 conditions"
"TLE1","cluster 2","All genes, shared > 16 conditions"
"PPP4R2","cluster 2","All genes, shared > 16 conditions"
"DYNC1I2","cluster 2","All genes, shared > 16 conditions"
"THOC5","cluster 2","All genes, shared > 16 conditions"
"RASSF2","cluster 2","All genes, shared > 16 conditions"
"KRT10","cluster 2","All genes, shared > 16 conditions"
"HABP4","cluster 2","All genes, shared > 16 conditions"
"ITPR3","cluster 2","All genes, shared > 16 conditions"
"RCL1","cluster 2","All genes, shared > 16 conditions"
"CPT2","cluster 2","All genes, shared > 16 conditions"
"DCP2","cluster 2","All genes, shared > 16 conditions"
"PSMB5","cluster 2","All genes, shared > 16 conditions"
"SLC3A2","cluster 2","All genes, shared > 16 conditions"
"ST13","cluster 2","All genes, shared > 16 conditions"
"GIT2","cluster 2","All genes, shared > 16 conditions"
"DENND2D","cluster 2","All genes, shared > 16 conditions"
"WSB2","cluster 2","All genes, shared > 16 conditions"
"EZH2","cluster 2","All genes, shared > 16 conditions"
"PAFAH2","cluster 2","All genes, shared > 16 conditions"
"CASP10","cluster 2","All genes, shared > 16 conditions"
"FBXO38","cluster 2","All genes, shared > 16 conditions"
"P2RY6","cluster 2","All genes, shared > 16 conditions"
"RBBP8","cluster 2","All genes, shared > 16 conditions"
"L3MBTL1","cluster 2","All genes, shared > 16 conditions"
"RANBP3","cluster 2","All genes, shared > 16 conditions"
"MUC1","cluster 2","All genes, shared > 16 conditions"
"MGAT4A","cluster 2","All genes, shared > 16 conditions"
"DGKA","cluster 2","All genes, shared > 16 conditions"
"ZBTB25","cluster 2","All genes, shared > 16 conditions"
"SEMA4C","cluster 2","All genes, shared > 16 conditions"
"ZNF426","cluster 2","All genes, shared > 16 conditions"
"YY1AP1","cluster 2","All genes, shared > 16 conditions"
"RAB32","cluster 2","All genes, shared > 16 conditions"
"PRPF8","cluster 2","All genes, shared > 16 conditions"
"CD8A","cluster 2","All genes, shared > 16 conditions"
"SPOCK2","cluster 2","All genes, shared > 16 conditions"
"ZMYND11","cluster 2","All genes, shared > 16 conditions"
"UQCRFS1","cluster 2","All genes, shared > 16 conditions"
"MRPS15","cluster 2","All genes, shared > 16 conditions"
"TRIM33","cluster 2","All genes, shared > 16 conditions"
"TIPRL","cluster 2","All genes, shared > 16 conditions"
"SRRM2","cluster 2","All genes, shared > 16 conditions"
"IVD","cluster 2","All genes, shared > 16 conditions"
"MAP4K1","cluster 2","All genes, shared > 16 conditions"
"ZBTB40","cluster 2","All genes, shared > 16 conditions"
"ST3GAL1","cluster 2","All genes, shared > 16 conditions"
"AP3M2","cluster 2","All genes, shared > 16 conditions"
"ZNF573","cluster 2","All genes, shared > 16 conditions"
"CD48","cluster 2","All genes, shared > 16 conditions"
"SUPV3L1","cluster 2","All genes, shared > 16 conditions"
"ZNF3","cluster 2","All genes, shared > 16 conditions"
"MRPL44","cluster 2","All genes, shared > 16 conditions"
"CCNI","cluster 2","All genes, shared > 16 conditions"
"YWHAE","cluster 2","All genes, shared > 16 conditions"
"CDC42EP4","cluster 2","All genes, shared > 16 conditions"
"PHKA2","cluster 2","All genes, shared > 16 conditions"
"PSME1","cluster 2","All genes, shared > 16 conditions"
"EEF2","cluster 2","All genes, shared > 16 conditions"
"PSMA5","cluster 2","All genes, shared > 16 conditions"
"SH2D1A","cluster 2","All genes, shared > 16 conditions"
"PCYOX1","cluster 2","All genes, shared > 16 conditions"
"ZSCAN26","cluster 2","All genes, shared > 16 conditions"
"TGFBR3","cluster 2","All genes, shared > 16 conditions"
"ABCB1","cluster 2","All genes, shared > 16 conditions"
"CD247","cluster 2","All genes, shared > 16 conditions"
"TOX","cluster 2","All genes, shared > 16 conditions"
"KAT6B","cluster 2","All genes, shared > 16 conditions"
"AHNAK","cluster 2","All genes, shared > 16 conditions"
"REV1","cluster 2","All genes, shared > 16 conditions"
"ZNF544","cluster 2","All genes, shared > 16 conditions"
"TRIM23","cluster 2","All genes, shared > 16 conditions"
"ABL1","cluster 2","All genes, shared > 16 conditions"
"ARL4C","cluster 2","All genes, shared > 16 conditions"
"PYHIN1","cluster 2","All genes, shared > 16 conditions"
"CD81","cluster 2","All genes, shared > 16 conditions"
"GANAB","cluster 2","All genes, shared > 16 conditions"
"TOP1","cluster 2","All genes, shared > 16 conditions"
"CD27","cluster 2","All genes, shared > 16 conditions"
"LAG3","cluster 2","All genes, shared > 16 conditions"
"LIMA1","cluster 2","All genes, shared > 16 conditions"
"CLCF1","cluster 2","All genes, shared > 16 conditions"
"SLC24A1","cluster 2","All genes, shared > 16 conditions"
"PKIA","cluster 2","All genes, shared > 16 conditions"
"ZNF141","cluster 2","All genes, shared > 16 conditions"
"SART3","cluster 2","All genes, shared > 16 conditions"
"ZNF551","cluster 2","All genes, shared > 16 conditions"
"AGAP1","cluster 2","All genes, shared > 16 conditions"
"DHX35","cluster 2","All genes, shared > 16 conditions"
"ZNF232","cluster 2","All genes, shared > 16 conditions"
"CCL2","cluster 2","All genes, shared > 16 conditions"
"TENT5A","cluster 2","All genes, shared > 16 conditions"
"SP110","cluster 2","All genes, shared > 16 conditions"
"STAT1","cluster 2","All genes, shared > 16 conditions"
"DHX58","cluster 2","All genes, shared > 16 conditions"
"HERC6","cluster 2","All genes, shared > 16 conditions"
"IRF1","cluster 2","All genes, shared > 16 conditions"
"AQP3","cluster 2","All genes, shared > 16 conditions"
"HSPA13","cluster 2","All genes, shared > 16 conditions"
"FUT4","cluster 2","All genes, shared > 16 conditions"
"SOCS3","cluster 2","All genes, shared > 16 conditions"
"PLAUR","cluster 2","All genes, shared > 16 conditions"
"BCL2A1","cluster 2","All genes, shared > 16 conditions"
"ICAM1","cluster 2","All genes, shared > 16 conditions"
"PFKFB3","cluster 2","All genes, shared > 16 conditions"
"STX11","cluster 2","All genes, shared > 16 conditions"
"RIPK2","cluster 2","All genes, shared > 16 conditions"
"SNX10","cluster 2","All genes, shared > 16 conditions"
"MARCKS","cluster 2","All genes, shared > 16 conditions"
"S100A11","cluster 2","All genes, shared > 16 conditions"
"CSTA","cluster 2","All genes, shared > 16 conditions"
"MAP3K8","cluster 2","All genes, shared > 16 conditions"
"AIM2","cluster 2","All genes, shared > 16 conditions"
"IFIT5","cluster 2","All genes, shared > 16 conditions"
"PLSCR1","cluster 2","All genes, shared > 16 conditions"
"ATF3","cluster 2","All genes, shared > 16 conditions"
"TRIM22","cluster 2","All genes, shared > 16 conditions"
"JUP","cluster 2","All genes, shared > 16 conditions"
"MSR1","cluster 2","All genes, shared > 16 conditions"
"SLC6A12","cluster 2","All genes, shared > 16 conditions"
"APOL6","cluster 2","All genes, shared > 16 conditions"
"PML","cluster 2","All genes, shared > 16 conditions"
"SAMD9","cluster 2","All genes, shared > 16 conditions"
"TDRD7","cluster 2","All genes, shared > 16 conditions"
"TOR1B","cluster 2","All genes, shared > 16 conditions"
"CHMP5","cluster 2","All genes, shared > 16 conditions"
"DDX58","cluster 2","All genes, shared > 16 conditions"
"IL1RN","cluster 2","All genes, shared > 16 conditions"
"TNFSF10","cluster 2","All genes, shared > 16 conditions"
"PARP12","cluster 2","All genes, shared > 16 conditions"
"MX2","cluster 2","All genes, shared > 16 conditions"
"EIF2AK2","cluster 2","All genes, shared > 16 conditions"
"GCH1","cluster 2","All genes, shared > 16 conditions"
"SAMD4A","cluster 2","All genes, shared > 16 conditions"
"CTSL","cluster 2","All genes, shared > 16 conditions"
"MYOF","cluster 2","All genes, shared > 16 conditions"
"TCF7L2","cluster 2","All genes, shared > 16 conditions"
"LILRA1","cluster 2","All genes, shared > 16 conditions"
"AURKA","cluster 2","All genes, shared > 16 conditions"
"FOXM1","cluster 2","All genes, shared > 16 conditions"
"STAT2","cluster 2","All genes, shared > 16 conditions"
"SLC27A3","cluster 2","All genes, shared > 16 conditions"
"IRF7","cluster 2","All genes, shared > 16 conditions"
"TYMP","cluster 2","All genes, shared > 16 conditions"
"RTP4","cluster 2","All genes, shared > 16 conditions"
"UBE2L6","cluster 2","All genes, shared > 16 conditions"
"CD38","cluster 2","All genes, shared > 16 conditions"
"P2RX7","cluster 2","All genes, shared > 16 conditions"
"LTBR","cluster 2","All genes, shared > 16 conditions"
"SLC39A1","cluster 2","All genes, shared > 16 conditions"
"TRIM25","cluster 2","All genes, shared > 16 conditions"
"CASP1","cluster 2","All genes, shared > 16 conditions"
"PYGL","cluster 2","All genes, shared > 16 conditions"
"UNC93B1","cluster 2","All genes, shared > 16 conditions"
"IRF9","cluster 2","All genes, shared > 16 conditions"
"CKS1B","cluster 2","All genes, shared > 16 conditions"
"MKLN1","cluster 2","All genes, shared > 16 conditions"
"ARHGAP24","cluster 2","All genes, shared > 16 conditions"
"VRK2","cluster 2","All genes, shared > 16 conditions"
"CNIH4","cluster 2","All genes, shared > 16 conditions"
"SLC11A1","cluster 2","All genes, shared > 16 conditions"
"VPS37C","cluster 2","All genes, shared > 16 conditions"
"PLBD1","cluster 2","All genes, shared > 16 conditions"
"SIGLEC5","cluster 2","All genes, shared > 16 conditions"
"EXT1","cluster 2","All genes, shared > 16 conditions"
"RENBP","cluster 2","All genes, shared > 16 conditions"
"CD55","cluster 2","All genes, shared > 16 conditions"
"INPP5A","cluster 2","All genes, shared > 16 conditions"
"IFNGR1","cluster 2","All genes, shared > 16 conditions"
"MYNN","cluster 2","All genes, shared > 16 conditions"
"PPP3R1","cluster 2","All genes, shared > 16 conditions"
"PMEL","cluster 2","All genes, shared > 16 conditions"
"TBC1D9","cluster 2","All genes, shared > 16 conditions"
"NUDT9","cluster 2","All genes, shared > 16 conditions"
"VPS39","cluster 2","All genes, shared > 16 conditions"
"POLR3B","cluster 2","All genes, shared > 16 conditions"
"PDK3","cluster 2","All genes, shared > 16 conditions"
"UBE4B","cluster 2","All genes, shared > 16 conditions"
"EIF3L","cluster 2","All genes, shared > 16 conditions"
"TBL1X","cluster 2","All genes, shared > 16 conditions"
"LCP2","cluster 2","All genes, shared > 16 conditions"
"STAT4","cluster 2","All genes, shared > 16 conditions"
"CRY1","cluster 2","All genes, shared > 16 conditions"
"DNAJA3","cluster 2","All genes, shared > 16 conditions"
"ZMYM6","cluster 2","All genes, shared > 16 conditions"
"NGRN","cluster 2","All genes, shared > 16 conditions"
"KLHL28","cluster 2","All genes, shared > 16 conditions"
"APEH","cluster 2","All genes, shared > 16 conditions"
"KRIT1","cluster 2","All genes, shared > 16 conditions"
"MAFF","cluster 2","All genes, shared > 16 conditions"
"ARL4A","cluster 2","All genes, shared > 16 conditions"
"TNFAIP3","cluster 2","All genes, shared > 16 conditions"
"PPIF","cluster 2","All genes, shared > 16 conditions"
"DUSP10","cluster 2","All genes, shared > 16 conditions"
"RHOH","cluster 2","All genes, shared > 16 conditions"
"NR1D2","cluster 2","All genes, shared > 16 conditions"
"PMAIP1","cluster 2","All genes, shared > 16 conditions"
"CD69","cluster 2","All genes, shared > 16 conditions"
"DNAJA2","cluster 2","All genes, shared > 16 conditions"
"PECAM1","cluster 2","All genes, shared > 16 conditions"
"HIF1A","cluster 2","All genes, shared > 16 conditions"
"SRSF5","cluster 2","All genes, shared > 16 conditions"
"HEATR1","cluster 2","All genes, shared > 16 conditions"
"PTRH2","cluster 2","All genes, shared > 16 conditions"
"FOSL2","cluster 2","All genes, shared > 16 conditions"
"STK17A","cluster 2","All genes, shared > 16 conditions"
"PDGFRB","cluster 2","All genes, shared > 16 conditions"
"HIPK1","cluster 2","All genes, shared > 16 conditions"
"NFYA","cluster 2","All genes, shared > 16 conditions"
"IDI1","cluster 2","All genes, shared > 16 conditions"
"TIPARP","cluster 2","All genes, shared > 16 conditions"
"DNAJB9","cluster 2","All genes, shared > 16 conditions"
"SLC19A2","cluster 2","All genes, shared > 16 conditions"
"AGTPBP1","cluster 2","All genes, shared > 16 conditions"
"MSRB1","cluster 2","All genes, shared > 16 conditions"
"TLR1","cluster 2","All genes, shared > 16 conditions"
"PTAFR","cluster 2","All genes, shared > 16 conditions"
"HP1BP3","cluster 2","All genes, shared > 16 conditions"
"KLRB1","cluster 2","All genes, shared > 16 conditions"
"SRSF11","cluster 2","All genes, shared > 16 conditions"
"DONSON","cluster 2","All genes, shared > 16 conditions"
"KNTC1","cluster 2","All genes, shared > 16 conditions"
"NOL8","cluster 2","All genes, shared > 16 conditions"
"RALGDS","cluster 2","All genes, shared > 16 conditions"
"DEXI","cluster 2","All genes, shared > 16 conditions"
"CYTIP","cluster 2","All genes, shared > 16 conditions"
"SLC15A3","cluster 2","All genes, shared > 16 conditions"
"ZFP36","cluster 2","All genes, shared > 16 conditions"
"SPI1","cluster 2","All genes, shared > 16 conditions"
"TNFRSF1A","cluster 2","All genes, shared > 16 conditions"
"RXRA","cluster 2","All genes, shared > 16 conditions"
"HCK","cluster 2","All genes, shared > 16 conditions"
"CHST15","cluster 2","All genes, shared > 16 conditions"
"IL10RB","cluster 2","All genes, shared > 16 conditions"
"AIF1","cluster 2","All genes, shared > 16 conditions"
"RHOQ","cluster 2","All genes, shared > 16 conditions"
"MCM6","cluster 2","All genes, shared > 16 conditions"
"HMGCS1","cluster 2","All genes, shared > 16 conditions"
"KPNA2","cluster 2","All genes, shared > 16 conditions"
"FPR1","cluster 2","All genes, shared > 16 conditions"
"KIF1B","cluster 2","All genes, shared > 16 conditions"
"REC8","cluster 2","All genes, shared > 16 conditions"
"WTAP","cluster 2","All genes, shared > 16 conditions"
"PPP3CA","cluster 2","All genes, shared > 16 conditions"
"RCOR3","cluster 2","All genes, shared > 16 conditions"
"UBTF","cluster 2","All genes, shared > 16 conditions"
"OGG1","cluster 2","All genes, shared > 16 conditions"
"AGK","cluster 2","All genes, shared > 16 conditions"
"UVRAG","cluster 2","All genes, shared > 16 conditions"
"ZNF586","cluster 2","All genes, shared > 16 conditions"
"RNF13","cluster 2","All genes, shared > 16 conditions"
"ACSL3","cluster 2","All genes, shared > 16 conditions"
"DOK3","cluster 2","All genes, shared > 16 conditions"
"VASP","cluster 2","All genes, shared > 16 conditions"
"PLIN3","cluster 2","All genes, shared > 16 conditions"
"TMUB2","cluster 2","All genes, shared > 16 conditions"
"CERS2","cluster 2","All genes, shared > 16 conditions"
"ASAP1","cluster 2","All genes, shared > 16 conditions"
"NIN","cluster 2","All genes, shared > 16 conditions"
"KIAA0513","cluster 2","All genes, shared > 16 conditions"
"RAB5A","cluster 2","All genes, shared > 16 conditions"
