"genes","cluster","gene_set"
"PTPN6","cluster 2","All genes, shared > 16 conditions"
"UBE2D3","cluster 2","All genes, shared > 16 conditions"
"IRS2","cluster 2","All genes, shared > 16 conditions"
"MEF2A","cluster 2","All genes, shared > 16 conditions"
"FAM8A1","cluster 2","All genes, shared > 16 conditions"
"TRIM38","cluster 2","All genes, shared > 16 conditions"
"MYD88","cluster 2","All genes, shared > 16 conditions"
"YPEL5","cluster 2","All genes, shared > 16 conditions"
"RAE1","cluster 2","All genes, shared > 16 conditions"
"JOSD1","cluster 2","All genes, shared > 16 conditions"
"LEPROTL1","cluster 2","All genes, shared > 16 conditions"
"RSBN1","cluster 2","All genes, shared > 16 conditions"
"CCDC59","cluster 2","All genes, shared > 16 conditions"
"ILF2","cluster 2","All genes, shared > 16 conditions"
"TINF2","cluster 2","All genes, shared > 16 conditions"
"CDKN1B","cluster 2","All genes, shared > 16 conditions"
"REPIN1","cluster 2","All genes, shared > 16 conditions"
"FBL","cluster 2","All genes, shared > 16 conditions"
"EIF3D","cluster 2","All genes, shared > 16 conditions"
"RPL38","cluster 2","All genes, shared > 16 conditions"
"RPL19","cluster 2","All genes, shared > 16 conditions"
"PCBP2","cluster 2","All genes, shared > 16 conditions"
"GGNBP2","cluster 2","All genes, shared > 16 conditions"
"RPLP0","cluster 2","All genes, shared > 16 conditions"
"STAU1","cluster 2","All genes, shared > 16 conditions"
"ACSL5","cluster 2","All genes, shared > 16 conditions"
"IGBP1","cluster 2","All genes, shared > 16 conditions"
"LASP1","cluster 2","All genes, shared > 16 conditions"
"MAN2A2","cluster 2","All genes, shared > 16 conditions"
"BTN3A2","cluster 2","All genes, shared > 16 conditions"
"GTF3C2","cluster 2","All genes, shared > 16 conditions"
"ZNF419","cluster 2","All genes, shared > 16 conditions"
"GABARAPL2","cluster 2","All genes, shared > 16 conditions"
"IL18","cluster 2","All genes, shared > 16 conditions"
"ARGLU1","cluster 2","All genes, shared > 16 conditions"
"CPEB3","cluster 2","All genes, shared > 16 conditions"
"CDK5R1","cluster 2","All genes, shared > 16 conditions"
"HMGN2","cluster 2","All genes, shared > 16 conditions"
"PPP1R2","cluster 2","All genes, shared > 16 conditions"
"ETF1","cluster 2","All genes, shared > 16 conditions"
"RAP2C","cluster 2","All genes, shared > 16 conditions"
"CD53","cluster 2","All genes, shared > 16 conditions"
"RGS19","cluster 2","All genes, shared > 16 conditions"
"COX4I1","cluster 2","All genes, shared > 16 conditions"
"GNG5","cluster 2","All genes, shared > 16 conditions"
"EIF2S3","cluster 2","All genes, shared > 16 conditions"
"TSPYL1","cluster 2","All genes, shared > 16 conditions"
"PLEKHO2","cluster 2","All genes, shared > 16 conditions"
"STXBP2","cluster 2","All genes, shared > 16 conditions"
"DUSP11","cluster 2","All genes, shared > 16 conditions"
"TTC19","cluster 2","All genes, shared > 16 conditions"
"NR2C1","cluster 2","All genes, shared > 16 conditions"
"TAPBPL","cluster 2","All genes, shared > 16 conditions"
"RPS4X","cluster 2","All genes, shared > 16 conditions"
"MORF4L1","cluster 2","All genes, shared > 16 conditions"
"TAF7","cluster 2","All genes, shared > 16 conditions"
"LEMD3","cluster 2","All genes, shared > 16 conditions"
"HERPUD1","cluster 2","All genes, shared > 16 conditions"
"WDR46","cluster 2","All genes, shared > 16 conditions"
"APOL2","cluster 2","All genes, shared > 16 conditions"
"N4BP2L2","cluster 2","All genes, shared > 16 conditions"
"CCNK","cluster 2","All genes, shared > 16 conditions"
"YTHDC1","cluster 2","All genes, shared > 16 conditions"
"RHOT1","cluster 2","All genes, shared > 16 conditions"
"SUSD6","cluster 2","All genes, shared > 16 conditions"
"PANK2","cluster 2","All genes, shared > 16 conditions"
"PJA2","cluster 2","All genes, shared > 16 conditions"
"RAB22A","cluster 2","All genes, shared > 16 conditions"
"MFNG","cluster 2","All genes, shared > 16 conditions"
"CAMLG","cluster 2","All genes, shared > 16 conditions"
"SIAH1","cluster 2","All genes, shared > 16 conditions"
"RNF216","cluster 2","All genes, shared > 16 conditions"
"PEBP1","cluster 2","All genes, shared > 16 conditions"
"PSME4","cluster 2","All genes, shared > 16 conditions"
"UBAP1","cluster 2","All genes, shared > 16 conditions"
"PAFAH1B1","cluster 2","All genes, shared > 16 conditions"
"MXI1","cluster 2","All genes, shared > 16 conditions"
"ZNF430","cluster 2","All genes, shared > 16 conditions"
"GLG1","cluster 2","All genes, shared > 16 conditions"
"FAM53C","cluster 2","All genes, shared > 16 conditions"
"DECR1","cluster 2","All genes, shared > 16 conditions"
"TP53BP2","cluster 2","All genes, shared > 16 conditions"
"RNF19B","cluster 2","All genes, shared > 16 conditions"
"PROS1","cluster 2","All genes, shared > 16 conditions"
"PTGS1","cluster 2","All genes, shared > 16 conditions"
"NR4A2","cluster 2","All genes, shared > 16 conditions"
"SGK1","cluster 2","All genes, shared > 16 conditions"
"KLF11","cluster 2","All genes, shared > 16 conditions"
"UTRN","cluster 2","All genes, shared > 16 conditions"
"NFIL3","cluster 2","All genes, shared > 16 conditions"
"BCL6","cluster 2","All genes, shared > 16 conditions"
"PTTG1","cluster 2","All genes, shared > 16 conditions"
"HLX","cluster 2","All genes, shared > 16 conditions"
"VNN3","cluster 2","All genes, shared > 16 conditions"
"NXF1","cluster 2","All genes, shared > 16 conditions"
"KLF6","cluster 2","All genes, shared > 16 conditions"
"CTSA","cluster 2","All genes, shared > 16 conditions"
"STOM","cluster 2","All genes, shared > 16 conditions"
"PGRMC1","cluster 2","All genes, shared > 16 conditions"
"LITAF","cluster 2","All genes, shared > 16 conditions"
"CBX7","cluster 2","All genes, shared > 16 conditions"
"DUSP5","cluster 2","All genes, shared > 16 conditions"
"RBL2","cluster 2","All genes, shared > 16 conditions"
"APEX1","cluster 2","All genes, shared > 16 conditions"
"TRIM52","cluster 2","All genes, shared > 16 conditions"
"USP36","cluster 2","All genes, shared > 16 conditions"
"CASP2","cluster 2","All genes, shared > 16 conditions"
"CAPN2","cluster 2","All genes, shared > 16 conditions"
"CSK","cluster 2","All genes, shared > 16 conditions"
"ECH1","cluster 2","All genes, shared > 16 conditions"
"ATG2A","cluster 2","All genes, shared > 16 conditions"
"ABCC5","cluster 2","All genes, shared > 16 conditions"
"TRAF5","cluster 2","All genes, shared > 16 conditions"
"PDLIM5","cluster 2","All genes, shared > 16 conditions"
"ZNF7","cluster 2","All genes, shared > 16 conditions"
"IDH1","cluster 2","All genes, shared > 16 conditions"
"KCNMB1","cluster 2","All genes, shared > 16 conditions"
"SLC43A3","cluster 2","All genes, shared > 16 conditions"
"CD300C","cluster 2","All genes, shared > 16 conditions"
"TMEM51","cluster 2","All genes, shared > 16 conditions"
"DUSP7","cluster 2","All genes, shared > 16 conditions"
"SEC61A2","cluster 2","All genes, shared > 16 conditions"
"BTN3A3","cluster 2","All genes, shared > 16 conditions"
"ZFYVE26","cluster 2","All genes, shared > 16 conditions"
"CNNM3","cluster 2","All genes, shared > 16 conditions"
"IL16","cluster 2","All genes, shared > 16 conditions"
"GNA15","cluster 2","All genes, shared > 16 conditions"
"STAT5B","cluster 2","All genes, shared > 16 conditions"
