"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"282","ChAd-BNT (V3, D1)","ChAd (V2, D1)",99,226,126,325,225,"LYPD3, SNORA79B, RNU2-59P, TOX-DT, SNORA54, RNU6-36P, RNU6-1, SNORA53, RNA5SP352, RNA5S9, ERBB2, SNORD17, PDGFD, NMUR1, FAT4, NKG7, PRSS30P, RPL12P14, SH2D1B, HES6, IGHV3-30, ENSG00000263464, PRSS23, SPON2, SNORA38B, TRDC, PODN, ADAMTS1, KIR3DL1, RNU6-6P, KIR3DL2, RBFOX2, IGKC, IGLV3-9, HOPX, RNA5SP298, HBG2, RNU2-64P, RNU6-33P, HBA2, SNORA74A, SNORA7B, NUDT11, LINGO2, KIR2DL1, XCR1, PTGES, SNORA80E, RNU4-2, RNU4-1, RNU5B-1, SCARNA1, SNORA5A, SNORA22, SNORA22C, UBBP4, RPL23AP74, SNORA23, SCARNA22, SNORD67, SCARNA6, SNORA49, SNORD15B, ENSG00000269028, RNU6-3P, SNORD13, SNORD94, RPL7AP50, SNORA11, SNORA3B, SNORA74B, PLEKHF1, CLIC3, RN7SL396P, SCARNA5, SNORA12, EEF1A1P35, SCARNA8, SNORD9, GPR68, IGKV4-1, SNORA47, RPL7AP20, RNU6-4P, PTGDR, FGFBP2, IGHV3-23, BOK, RNU1-67P, RN7SKP230, RNY1, RNA5SP202, SNORA73B, RNA5-8SN2, SNHG25, SNORD89, MIR3609, RN7SKP255, RNU5A-1",30.46,44,1.28412619874089e-49,48.8913922934606
"283","ZF2001 (V3, D07)","ChAd (V2, D1)",1,324,226,325,230,"TRBV30",0.31,0.43,6.82040717910822e-159,158.166189697138
"284","ZF2001 (V3, D14)","ChAd (V2, D1)",1,324,77,325,78,"TRBV30",0.31,1.28,8.16121299765064e-83,82.0882452874428
"285","ZF2001 (V3, D28)","ChAd (V2, D1)",0,325,95,325,95,"",0,0,6.51340033611959e-97,96.1861922277641
"286","ChAd-BNT (V2, D3)","ChAd (V2, D7)",0,5,355,5,355,"",0,0,2.04071828575966e-11,10.6902169440269
"287","ChAd-BNT (V2, D7)","ChAd (V2, D7)",1,4,544,5,545,"RASGEF1B",20,0.18,1.33551378181163e-09,8.874351625925
"288","ChAd-BNT (V3, D1)","ChAd (V2, D7)",0,5,225,5,225,"",0,0,1.94781983648058e-10,9.71045121565083
"289","ZF2001 (V3, D07)","ChAd (V2, D7)",0,5,227,5,230,"",0,0,1.86458899184816e-10,9.72941688409335
"290","ZF2001 (V3, D14)","ChAd (V2, D7)",0,5,78,5,78,"",0,0,3.44419081423288e-08,7.4629127958732
"291","ZF2001 (V3, D28)","ChAd (V2, D7)",0,5,95,5,95,"",0,0,1.32824138715155e-08,7.87672299154823
"292","ChAd-BNT (V2, D7)","ChAd-BNT (V2, D3)",167,188,378,355,545,"ZNF331, ENKUR, FILIP1L, RHOBTB1, TMCC3, SPARC, CABP5, VSIG2, CCL4L2, HGD, BMP6, LOC102724190, FAXDC2, C6orf25, SH3BGRL2, CTTN, MTRNR2L2, HIST1H2BJ, MEIS1, TUBB1, LOC101927854, MYLK, C2orf88, RGS6, SEC14L5, ABCC3, PDGFA, VIL1, SELP, CXCL5, GFI1B, SLC24A3, CCDC103, MYEOV, TSPAN9, ACSBG1, ELOVL7, ITGB5, ABLIM3, MYZAP, LRRC32, VEPH1, BEND2, IL1R2, THCAT158, SDPR, TMEM40, MIR3607, SYTL4, C15orf26, HIST1H2BI, CSF2, RPL23P8, TREML1, EGF, NT5M, ARMC3, CNTNAP3, SH3TC2, AP1M2, PHACTR1, PVALB, LINC00534, PCSK6, LOC100287036, LTBP1, PPBP, HIST1H2BG, ITGB3, METTL21EP, TGM3, CXCR1, HIST1H2BH, OR2B6, LOC643355, GNG11, TNNC2, USP2, GATA1, HIST1H2BO, PARD3, TDRP, VEGFC, CALD1, PCYT1B, LOC101928834, RMRP, AVPR1A, RALGAPA1P, LY6G6F, CMTM5, FAM212B-AS1, CLU, AQP10, FSTL1, TRAPPC3L, FAM81B, CXCL1, LINC00989, WASF3, NECAB2, PI3, LOC101928489, DDX11L5, MYCT1, CXCR2, CAPN11, LINC01151, PDGFRA, ITGA2B, TM4SF1, SDC2, LY6G6E, LINC00853, MYL9, EHD2, NOV, CPNE4, LOC392232, ELAVL3, CMTM2, LOC100420587, KCND3, GPR1, SPOCD1, BDKRB2, PHF24, SAMD14, CDR2L, TRHDE-AS1, MIR744, SPX, LINC00593, TRIM40, LOC101929297, PDZK1IP1, NKAIN2, KY, ALPL, LINC01088, DGAT2, LURAP1L, HRASLS, MTRNR2L10, ADGRG3, LOC105375734, CXCL6, CA4, MAOB, S100P, MMP1, DDX11L9, TBX15, SLC35D3, LINC00929, WFDC3, OTX1, LY6G6D, MME, DYNC1I1, LOC284648, L3MBTL4-AS1, LUM, LOC255187, TRIM15, ERC2, CHST8",47.04,30.64,2.82878181712002e-75,74.5484005482217
"293","ChAd-BNT (V3, D1)","ChAd-BNT (V2, D3)",3,352,222,355,225,"PTGES, KIR2DS4, KIR2DL1",0.85,1.33,5.78842698556585e-160,159.23743944047
"294","ZF2001 (V3, D07)","ChAd-BNT (V2, D3)",2,353,225,355,230,"PDZK1IP1, SLC35D3",0.56,0.87,4.58967268694842e-163,162.338218285121
"295","ZF2001 (V3, D14)","ChAd-BNT (V2, D3)",1,354,77,355,78,"OR7D2",0.28,1.28,1.79540708854167e-85,84.7458370644882
"296","ZF2001 (V3, D28)","ChAd-BNT (V2, D3)",1,354,94,355,95,"CTTN",0.28,1.05,1.81656645067019e-97,96.7407487108585
"297","ChAd-BNT (V3, D1)","ChAd-BNT (V2, D7)",3,542,222,545,225,"HBA2, HBG2, PROK2",0.55,1.33,2.28687961597934e-193,192.640756696562
"298","ZF2001 (V3, D07)","ChAd-BNT (V2, D7)",7,538,220,545,230,"TTC7B, NRGN, PDZK1IP1, F2RL3, HCAR2, SLC35D3, LEFTY1",1.28,3.04,8.2058287122146e-186,185.085877552701
"299","ZF2001 (V3, D14)","ChAd-BNT (V2, D7)",2,543,76,545,78,"NRGN, FCGR3B",0.37,2.56,3.60771217748457e-96,95.4427681176701
"300","ZF2001 (V3, D28)","ChAd-BNT (V2, D7)",3,542,92,545,95,"CTTN, LYPD2, DCSTAMP",0.55,3.16,1.80490343205367e-108,107.743546029242
"301","ZF2001 (V3, D07)","ChAd-BNT (V3, D1)",1,224,226,225,230,"TRBV6-5",0.44,0.43,1.04079974125584e-132,131.982632824413
"302","ZF2001 (V3, D14)","ChAd-BNT (V3, D1)",0,225,78,225,78,"",0,0,1.69177157284093e-74,73.7716582768477
"303","ZF2001 (V3, D28)","ChAd-BNT (V3, D1)",0,225,95,225,95,"",0,0,6.14770094002612e-84,83.2112872672711
"304","ZF2001 (V3, D14)","ZF2001 (V3, D07)",33,194,45,230,78,"LOC105377779, GSK3A, HK2, GAS5, HOXA5, LINC02280, AIG1P1, RPL38, MBD6, SIPA1L1, HOXB2, KLHL5, GAS6-AS1, TRBV28, RABL2B, HOXA9, TRBV30, PLCL1, ALG1L13P, CEP83, CYB561D2_1, CRYBA1, KCNMB3, DEDD2, SLC38A9, NRGN, TUBB2B, POM121B, FIP1L1, EIF3B, LOC105375787, LTV1, NAB1",14.35,42.31,1.71577044138322e-30,29.7655408182994
"305","ZF2001 (V3, D28)","ZF2001 (V3, D07)",42,185,53,230,95,"RN7SL460P, CTU2, HK2, GAS5, HOXA5, LINC02280, RPL38, MBD6, SIPA1L1, HOXB2, TMEM62, KLHL5, GAS6-AS1, TRBV28, RABL2B, KIAA1522, HOXA9, GAS7, TRBV3-1, PLCL1, ACE, C15orf40, BRPF3, CEP83, CYB561D2_1, CREBL2, SCNM1, RABL2A, DDB1, SCT, NDUFS5, ERO1A, MORN4, POM121B, RFTN2, RELT, ZC3H14, FIP1L1, EIF3B, OSBPL9, LTV1, NAB1",18.26,44.21,2.83213297718754e-31,30.5478863590674
"306","ZF2001 (V3, D28)","ZF2001 (V3, D14)",31,47,64,78,95,"CYP1B1, SIPA1L1, DAB2, CYB561D2_1, BEST4, HOXB2, MCCC1-AS1, HOXA5, FIP1L1, RPL38, RABL2B, MBD6, PLCL1, LINC02280, HK2, KLHL5, GABPB1-AS1, FANCI, TRBV28, MYO1E, PROB1, GAS5, CEP83, MOSMO, HOXA9, LYAR, NAB1, LTV1, GAS6-AS1, EIF3B, POM121B",39.74,32.63,6.7836675951126e-17,16.1685354409909
