"","genes","infection_vaccination","n_conditions","comparison"
"644","RHOA","Infection",3,"Infection only"
"645","RNF125","Infection",3,"Infection only"
"646","ROCK1","Infection",3,"Infection only"
"647","RSAD2","Infection",3,"Infection only"
"648","SEMA7A","Infection",3,"Infection only"
"649","SERPING1","Infection",3,"Infection only"
"650","SH2B2","Infection",3,"Infection only"
"651","SH2D1B","Infection",3,"Infection only"
"652","SIRPB1","Infection",3,"Infection only"
"653","SLC15A3","Infection",3,"Infection only"
"654","SMPDL3B","Infection",3,"Infection only"
"655","SNCA","Infection",3,"Infection only"
"656","SPHK2","Infection",3,"Infection only"
"657","SPNS2","Infection",3,"Infection only"
"658","SPON2","Infection",3,"Infection only"
"659","SPPL2A","Infection",3,"Infection only"
"660","ST6GAL1","Infection",3,"Infection only"
"661","STAT2","Infection",3,"Infection only"
"662","STAT5B","Infection",3,"Infection only"
"663","SUSD4","Infection",3,"Infection only"
"664","TENM1","Infection",3,"Infection only"
"665","TFEB","Infection",3,"Infection only"
"666","TMEM229B","Infection",3,"Infection only"
"667","TNFRSF13C","Infection",3,"Infection only"
"668","TNFRSF17","Infection",3,"Infection only"
"669","TNFSF13B","Infection",3,"Infection only"
"670","TNFSF9","Infection",3,"Infection only"
"671","TNIP1","Infection",3,"Infection only"
"672","TRAF4","Infection",3,"Infection only"
"673","TRAFD1","Infection",3,"Infection only"
"674","TREML2","Infection",3,"Infection only"
"675","TRIM6","Infection",3,"Infection only"
"676","TSPAN32","Infection",3,"Infection only"
"677","TTLL1","Infection",3,"Infection only"
"678","ULBP2","Infection",3,"Infection only"
"679","USP18","Infection",3,"Infection only"
"680","WNT1","Infection",3,"Infection only"
"681","WNT10B","Infection",3,"Infection only"
"682","XCL2","Infection",3,"Infection only"
"683","XKR8","Infection",3,"Infection only"
"684","ZP3","Infection",3,"Infection only"
"685","ACTB","Infection",2,"Infection only"
"686","ACTG1","Infection",2,"Infection only"
"687","ADA","Infection",2,"Infection only"
"688","ADAMDEC1","Infection",2,"Infection only"
"689","ADAR","Infection",2,"Infection only"
"690","ADGRE2","Infection",2,"Infection only"
"691","ADORA1","Infection",2,"Infection only"
"692","AIRE","Infection",2,"Infection only"
"693","ALAS2","Infection",2,"Infection only"
"694","APOBEC3B","Infection",2,"Infection only"
"695","ARRB2","Infection",2,"Infection only"
"696","B2M","Infection",2,"Infection only"
"697","BLNK","Infection",2,"Infection only"
"698","BPGM","Infection",2,"Infection only"
"699","BRD1","Infection",2,"Infection only"
"700","BTN2A2","Infection",2,"Infection only"
"701","BTN3A3","Infection",2,"Infection only"
"702","BTNL8","Infection",2,"Infection only"
"703","C2","Infection",2,"Infection only"
"704","C4BPA","Infection",2,"Infection only"
"705","C5","Infection",2,"Infection only"
"706","CARD9","Infection",2,"Infection only"
"707","CASP4","Infection",2,"Infection only"
"708","CCDC88B","Infection",2,"Infection only"
"709","CCL2","Infection",2,"Infection only"
"710","CCL28","Infection",2,"Infection only"
"711","CD14","Infection",2,"Infection only"
"712","CD226","Infection",2,"Infection only"
"713","CD300C","Infection",2,"Infection only"
"714","CD36","Infection",2,"Infection only"
"715","CD38","Infection",2,"Infection only"
"716","CD74","Infection",2,"Infection only"
"717","CD86","Infection",2,"Infection only"
"718","CDC42","Infection",2,"Infection only"
"719","CDH26","Infection",2,"Infection only"
"720","CDKN1A","Infection",2,"Infection only"
"721","CFH","Infection",2,"Infection only"
"722","CFP","Infection",2,"Infection only"
"723","CHID1","Infection",2,"Infection only"
"724","CIITA","Infection",2,"Infection only"
"725","CLEC6A","Infection",2,"Infection only"
"726","CLU","Infection",2,"Infection only"
"727","CTSL","Infection",2,"Infection only"
"728","CXCL5","Infection",2,"Infection only"
"729","CXCR6","Infection",2,"Infection only"
"730","CYP7B1","Infection",2,"Infection only"
"731","DAPK2","Infection",2,"Infection only"
"732","DHX58","Infection",2,"Infection only"
"733","DNASE1","Infection",2,"Infection only"
"734","DNASE2","Infection",2,"Infection only"
"735","DUSP10","Infection",2,"Infection only"
"736","DUSP3","Infection",2,"Infection only"
"737","EFNB1","Infection",2,"Infection only"
"738","ENPP2","Infection",2,"Infection only"
"739","EPHB3","Infection",2,"Infection only"
"740","EPS8","Infection",2,"Infection only"
"741","ERBB2","Infection",2,"Infection only"
"742","FAU","Infection",2,"Infection only"
"743","FBXO38","Infection",2,"Infection only"
"744","FCGRT","Infection",2,"Infection only"
"745","FGR","Infection",2,"Infection only"
"746","FKBP1A","Infection",2,"Infection only"
"747","FLOT2","Infection",2,"Infection only"
"748","FOS","Infection",2,"Infection only"
"749","G3BP1","Infection",2,"Infection only"
"750","GAS6","Infection",2,"Infection only"
"751","GBP4","Infection",2,"Infection only"
"752","GBP5","Infection",2,"Infection only"
"753","GPAM","Infection",2,"Infection only"
"754","GPNMB","Infection",2,"Infection only"
"755","GPRC5B","Infection",2,"Infection only"
"756","GSN","Infection",2,"Infection only"
"757","GTPBP1","Infection",2,"Infection only"
"758","GZMB","Infection",2,"Infection only"
"759","HDAC5","Infection",2,"Infection only"
"760","HLA-DQB2","Infection",2,"Infection only"
"761","HLA-DRA","Infection",2,"Infection only"
"762","HLA-DRB1","Infection",2,"Infection only"
"763","HLA-DRB5","Infection",2,"Infection only"
"764","HSPH1","Infection",2,"Infection only"
"765","IFIT2","Infection",2,"Infection only"
"766","IFITM3","Infection",2,"Infection only"
"767","IFNL2","Infection",2,"Infection only"
"768","IKBKE","Infection",2,"Infection only"
"769","IL10RB","Infection",2,"Infection only"
"770","IL12B","Infection",2,"Infection only"
"771","IL13","Infection",2,"Infection only"
"772","IL16","Infection",2,"Infection only"
"773","IL27","Infection",2,"Infection only"
"774","IL27RA","Infection",2,"Infection only"
"775","IL4I1","Infection",2,"Infection only"
"776","IL4R","Infection",2,"Infection only"
"777","IRF1","Infection",2,"Infection only"
"778","IRF7","Infection",2,"Infection only"
"779","IRGM","Infection",2,"Infection only"
"780","ITFG2","Infection",2,"Infection only"
"781","ITGA2","Infection",2,"Infection only"
"782","JUNB","Infection",2,"Infection only"
"783","KAT2A","Infection",2,"Infection only"
"784","KAT6B","Infection",2,"Infection only"
"785","KAT7","Infection",2,"Infection only"
"786","KCNQ1","Infection",2,"Infection only"
"787","KDM5D","Infection",2,"Infection only"
"788","KIR2DL1","Infection",2,"Infection only"
"789","KIR3DL1","Infection",2,"Infection only"
"790","KLRB1","Infection",2,"Infection only"
"791","KYNU","Infection",2,"Infection only"
"792","LAPTM5","Infection",2,"Infection only"
"793","LCP1","Infection",2,"Infection only"
"794","LCP2","Infection",2,"Infection only"
"795","LDLR","Infection",2,"Infection only"
"796","LEO1","Infection",2,"Infection only"
"797","LGALS9B","Infection",2,"Infection only"
"798","LILRB1","Infection",2,"Infection only"
"799","LILRB3","Infection",2,"Infection only"
"800","LRP1","Infection",2,"Infection only"
"801","MAD2L2","Infection",2,"Infection only"
"802","MADCAM1","Infection",2,"Infection only"
"803","MAPT","Infection",2,"Infection only"
"804","MCOLN2","Infection",2,"Infection only"
"805","MIR17HG","Infection",2,"Infection only"
"806","MSRB1","Infection",2,"Infection only"
"807","MT1G","Infection",2,"Infection only"
"808","MX2","Infection",2,"Infection only"
"809","MZB1","Infection",2,"Infection only"
"810","NCAPG2","Infection",2,"Infection only"
"811","NEURL3","Infection",2,"Infection only"
"812","NFE2L2","Infection",2,"Infection only"
"813","NINJ1","Infection",2,"Infection only"
"814","NLRP3","Infection",2,"Infection only"
"815","NLRP6","Infection",2,"Infection only"
"816","ORM1","Infection",2,"Infection only"
"817","OSM","Infection",2,"Infection only"
"818","P4HTM","Infection",2,"Infection only"
"819","PAG1","Infection",2,"Infection only"
"820","PAK3","Infection",2,"Infection only"
"821","PARP3","Infection",2,"Infection only"
"822","PAWR","Infection",2,"Infection only"
"823","PDCD1LG2","Infection",2,"Infection only"
"824","PF4","Infection",2,"Infection only"
"825","PI3","Infection",2,"Infection only"
"826","PIP5K1C","Infection",2,"Infection only"
"827","PLA2G7","Infection",2,"Infection only"
"828","PLVAP","Infection",2,"Infection only"
"829","POLR3B","Infection",2,"Infection only"
"830","POU2AF1","Infection",2,"Infection only"
"831","POU4F1","Infection",2,"Infection only"
"832","PPP1R14B","Infection",2,"Infection only"
"833","PRDX2","Infection",2,"Infection only"
"834","PRELID1","Infection",2,"Infection only"
"835","PREX1","Infection",2,"Infection only"
"836","PRKCQ","Infection",2,"Infection only"
"837","PRKDC","Infection",2,"Infection only"
"838","PRLR","Infection",2,"Infection only"
"839","PRTN3","Infection",2,"Infection only"
"840","PSMB10","Infection",2,"Infection only"
"841","PSME1","Infection",2,"Infection only"
"842","PTGDS","Infection",2,"Infection only"
"843","PTK2","Infection",2,"Infection only"
"844","PYCARD","Infection",2,"Infection only"
"845","RAC1","Infection",2,"Infection only"
"846","RAPGEF3","Infection",2,"Infection only"
"847","RBCK1","Infection",2,"Infection only"
"848","RBPJ","Infection",2,"Infection only"
"849","RELB","Infection",2,"Infection only"
"850","RGS1","Infection",2,"Infection only"
"851","RHAG","Infection",2,"Infection only"
"852","RIPK3","Infection",2,"Infection only"
"853","RNF19B","Infection",2,"Infection only"
"854","RNF213","Infection",2,"Infection only"
"855","S1PR4","Infection",2,"Infection only"
"856","SAMHD1","Infection",2,"Infection only"
"857","SARM1","Infection",2,"Infection only"
"858","SECTM1","Infection",2,"Infection only"
"859","SEMG1","Infection",2,"Infection only"
"860","SERPINE1","Infection",2,"Infection only"
"861","SHPK","Infection",2,"Infection only"
"862","SKAP2","Infection",2,"Infection only"
"863","SLC12A2","Infection",2,"Infection only"
"864","SLC39A10","Infection",2,"Infection only"
"865","SLC7A1","Infection",2,"Infection only"
"866","SLC7A11","Infection",2,"Infection only"
"867","SLC7A5","Infection",2,"Infection only"
"868","SMAD6","Infection",2,"Infection only"
"869","SPG21","Infection",2,"Infection only"
"870","SPHK1","Infection",2,"Infection only"
"871","SPI1","Infection",2,"Infection only"
"872","SPPL2B","Infection",2,"Infection only"
"873","SRC","Infection",2,"Infection only"
"874","ST3GAL4","Infection",2,"Infection only"
"875","STAP1","Infection",2,"Infection only"
"876","STAT1","Infection",2,"Infection only"
"877","STAT3","Infection",2,"Infection only"
"878","STK39","Infection",2,"Infection only"
"879","STXBP2","Infection",2,"Infection only"
"880","STXBP3","Infection",2,"Infection only"
"881","SUCNR1","Infection",2,"Infection only"
"882","TLR4","Infection",2,"Infection only"
"883","TLR7","Infection",2,"Infection only"
"884","TMEM33","Infection",2,"Infection only"
"885","TNF","Infection",2,"Infection only"
"886","TNFSF10","Infection",2,"Infection only"
"887","TOR2A","Infection",2,"Infection only"
"888","TPD52","Infection",2,"Infection only"
"889","TREM2","Infection",2,"Infection only"
"890","TREX1","Infection",2,"Infection only"
"891","TRIM21","Infection",2,"Infection only"
"892","TRIM55","Infection",2,"Infection only"
"893","TRPM4","Infection",2,"Infection only"
"894","TRPV4","Infection",2,"Infection only"
"895","VAMP3","Infection",2,"Infection only"
"896","VEGFA","Infection",2,"Infection only"
"897","VEGFB","Infection",2,"Infection only"
"898","VEGFC","Infection",2,"Infection only"
"899","WDFY1","Infection",2,"Infection only"
"900","WFDC12","Infection",2,"Infection only"
"901","ZBTB12","Infection",2,"Infection only"
"902","ZBTB25","Infection",2,"Infection only"
"903","ZC3H12A","Infection",2,"Infection only"
"904","ZDHHC18","Infection",2,"Infection only"
"905","ZFP36","Infection",2,"Infection only"
"906","ZFP36L2","Infection",2,"Infection only"
"907","ACKR2","Infection",1,"Infection only"
"908","ADAM8","Infection",1,"Infection only"
"909","ADGRE5","Infection",1,"Infection only"
"910","AIF1","Infection",1,"Infection only"
"911","AKT1","Infection",1,"Infection only"
"912","APOBEC3C","Infection",1,"Infection only"
"913","APOBEC3F","Infection",1,"Infection only"
"914","APOE","Infection",1,"Infection only"
"915","APOL1","Infection",1,"Infection only"
"916","APPL2","Infection",1,"Infection only"
"917","ARID5A","Infection",1,"Infection only"
"918","ARMC5","Infection",1,"Infection only"
"919","ATAD3A","Infection",1,"Infection only"
"920","AXL","Infection",1,"Infection only"
"921","B4GALT1","Infection",1,"Infection only"
"922","BAD","Infection",1,"Infection only"
"923","BID","Infection",1,"Infection only"
"924","BLOC1S6","Infection",1,"Infection only"
"925","BMI1","Infection",1,"Infection only"
"926","BMPR1A","Infection",1,"Infection only"
"927","BSG","Infection",1,"Infection only"
"928","BTLA","Infection",1,"Infection only"
"929","BTN2A1","Infection",1,"Infection only"
"930","BTNL9","Infection",1,"Infection only"
"931","C5AR1","Infection",1,"Infection only"
"932","CACNB3","Infection",1,"Infection only"
"933","CAMLG","Infection",1,"Infection only"
"934","CCL24","Infection",1,"Infection only"
"935","CCL27","Infection",1,"Infection only"
"936","CCL3L1","Infection",1,"Infection only"
"937","CCL4","Infection",1,"Infection only"
"938","CCR1","Infection",1,"Infection only"
"939","CCR2","Infection",1,"Infection only"
"940","CCR5","Infection",1,"Infection only"
"941","CD101","Infection",1,"Infection only"
"942","CD180","Infection",1,"Infection only"
"943","CD276","Infection",1,"Infection only"
"944","CD300LD","Infection",1,"Infection only"
"945","CD320","Infection",1,"Infection only"
"946","CD34","Infection",1,"Infection only"
"947","CD44","Infection",1,"Infection only"
"948","CD68","Infection",1,"Infection only"
"949","CD83","Infection",1,"Infection only"
"950","CHST2","Infection",1,"Infection only"
"951","CLC","Infection",1,"Infection only"
"952","CMKLR1","Infection",1,"Infection only"
"953","CMTM7","Infection",1,"Infection only"
"954","CNN2","Infection",1,"Infection only"
"955","CORO1A","Infection",1,"Infection only"
"956","CREB3","Infection",1,"Infection only"
"957","CRTC3","Infection",1,"Infection only"
"958","CSF1","Infection",1,"Infection only"
"959","CSK","Infection",1,"Infection only"
"960","CTNNB1","Infection",1,"Infection only"
"961","CTSH","Infection",1,"Infection only"
"962","CXCL17","Infection",1,"Infection only"
"963","CYBA","Infection",1,"Infection only"
"964","CYP11B1","Infection",1,"Infection only"
"965","DDT","Infection",1,"Infection only"
"966","DDX21","Infection",1,"Infection only"
"967","DDX3X","Infection",1,"Infection only"
"968","DGKZ","Infection",1,"Infection only"
"969","DROSHA","Infection",1,"Infection only"
"970","DYRK3","Infection",1,"Infection only"
"971","EBI3","Infection",1,"Infection only"
"972","EDA","Infection",1,"Infection only"
"973","EDN3","Infection",1,"Infection only"
"974","ENDOU","Infection",1,"Infection only"
"975","ENPP1","Infection",1,"Infection only"
"976","EP300","Infection",1,"Infection only"
"977","ERCC2","Infection",1,"Infection only"
"978","EVPL","Infection",1,"Infection only"
"979","EXOSC6","Infection",1,"Infection only"
"980","EZH2","Infection",1,"Infection only"
"981","F2","Infection",1,"Infection only"
"982","F2RL1","Infection",1,"Infection only"
"983","FAM210B","Infection",1,"Infection only"
"984","FAM3A","Infection",1,"Infection only"
"985","FANCA","Infection",1,"Infection only"
"986","FBXO7","Infection",1,"Infection only"
"987","FCGR2A","Infection",1,"Infection only"
"988","FCGR2B","Infection",1,"Infection only"
"989","FCGR3A","Infection",1,"Infection only"
"990","FCGR3B","Infection",1,"Infection only"
"991","FCRLB","Infection",1,"Infection only"
"992","FER","Infection",1,"Infection only"
"993","FES","Infection",1,"Infection only"
"994","FKBP1B","Infection",1,"Infection only"
"995","FOSL2","Infection",1,"Infection only"
"996","FOXJ1","Infection",1,"Infection only"
"997","GAB2","Infection",1,"Infection only"
"998","GAPT","Infection",1,"Infection only"
"999","GATA1","Infection",1,"Infection only"
"1000","GATA6","Infection",1,"Infection only"
"1001","GCNT1","Infection",1,"Infection only"
"1002","GFER","Infection",1,"Infection only"
"1003","GFI1","Infection",1,"Infection only"
"1004","GLI3","Infection",1,"Infection only"
"1005","GP1BA","Infection",1,"Infection only"
"1006","GPR137","Infection",1,"Infection only"
"1007","GPR55","Infection",1,"Infection only"
"1008","GPR65","Infection",1,"Infection only"
"1009","GPR89A","Infection",1,"Infection only"
"1010","GRAMD4","Infection",1,"Infection only"
"1011","GRB2","Infection",1,"Infection only"
"1012","GRN","Infection",1,"Infection only"
"1013","GSDMD","Infection",1,"Infection only"
"1014","GZMA","Infection",1,"Infection only"
"1015","HAVCR2","Infection",1,"Infection only"
"1016","HCK","Infection",1,"Infection only"
"1017","HCLS1","Infection",1,"Infection only"
"1018","HELLS","Infection",1,"Infection only"
"1019","HLA-DMA","Infection",1,"Infection only"
"1020","HLA-DMB","Infection",1,"Infection only"
"1021","HLA-DQA2","Infection",1,"Infection only"
"1022","HLA-F","Infection",1,"Infection only"
"1023","HMOX1","Infection",1,"Infection only"
"1024","HRAS","Infection",1,"Infection only"
"1025","HSD3B7","Infection",1,"Infection only"
"1026","HSF1","Infection",1,"Infection only"
"1027","HSPA1B","Infection",1,"Infection only"
"1028","ICOSLG","Infection",1,"Infection only"
"1029","IDO1","Infection",1,"Infection only"
"1030","IFNG","Infection",1,"Infection only"
"1031","IFNLR1","Infection",1,"Infection only"
"1032","IL11","Infection",1,"Infection only"
"1033","IL17RC","Infection",1,"Infection only"
"1034","IL1A","Infection",1,"Infection only"
"1035","IL1RAP","Infection",1,"Infection only"
"1036","IL1RL1","Infection",1,"Infection only"
"1037","IL23A","Infection",1,"Infection only"
"1038","IL2RA","Infection",1,"Infection only"
"1039","IL31RA","Infection",1,"Infection only"
"1040","IL7","Infection",1,"Infection only"
"1041","IPO7","Infection",1,"Infection only"
"1042","IRF3","Infection",1,"Infection only"
"1043","IRF9","Infection",1,"Infection only"
"1044","ISG20","Infection",1,"Infection only"
"1045","ITGA1","Infection",1,"Infection only"
"1046","ITGA4","Infection",1,"Infection only"
"1047","ITGB2","Infection",1,"Infection only"
"1048","ITPKB","Infection",1,"Infection only"
"1049","JAM2","Infection",1,"Infection only"
"1050","JAM3","Infection",1,"Infection only"
"1051","JUND","Infection",1,"Infection only"
"1052","KCNN4","Infection",1,"Infection only"
"1053","KITLG","Infection",1,"Infection only"
"1054","KLHL6","Infection",1,"Infection only"
"1055","KLRC1","Infection",1,"Infection only"
"1056","KLRD1","Infection",1,"Infection only"
"1057","KLRF2","Infection",1,"Infection only"
"1058","L3MBTL1","Infection",1,"Infection only"
"1059","LAG3","Infection",1,"Infection only"
"1060","LAMP1","Infection",1,"Infection only"
"1061","LGALS9","Infection",1,"Infection only"
"1062","LGMN","Infection",1,"Infection only"
"1063","LILRA3","Infection",1,"Infection only"
"1064","LILRB4","Infection",1,"Infection only"
"1065","LIMK1","Infection",1,"Infection only"
"1066","LOXL3","Infection",1,"Infection only"
"1067","LRRC32","Infection",1,"Infection only"
"1068","LST1","Infection",1,"Infection only"
"1069","LTA","Infection",1,"Infection only"
"1070","LYL1","Infection",1,"Infection only"
"1071","MAP2K4","Infection",1,"Infection only"
"1072","MAP2K7","Infection",1,"Infection only"
"1073","MAP3K14","Infection",1,"Infection only"
"1074","MDK","Infection",1,"Infection only"
"1075","MFNG","Infection",1,"Infection only"
"1076","MIR142","Infection",1,"Infection only"
"1077","MIR181B1","Infection",1,"Infection only"
"1078","MITF","Infection",1,"Infection only"
"1079","MMP2","Infection",1,"Infection only"
"1080","MOSPD2","Infection",1,"Infection only"
"1081","MPL","Infection",1,"Infection only"
"1082","MRGPRX2","Infection",1,"Infection only"
"1083","MTURN","Infection",1,"Infection only"
"1084","MYB","Infection",1,"Infection only"
"1085","MYO1G","Infection",1,"Infection only"
"1086","NCF1","Infection",1,"Infection only"
"1087","NCK2","Infection",1,"Infection only"
"1088","NCR3LG1","Infection",1,"Infection only"
"1089","NCSTN","Infection",1,"Infection only"
"1090","NFAM1","Infection",1,"Infection only"
"1091","NFKB2","Infection",1,"Infection only"
"1092","NLRC5","Infection",1,"Infection only"
"1093","NOS2","Infection",1,"Infection only"
"1094","NR1H3","Infection",1,"Infection only"
"1095","NRROS","Infection",1,"Infection only"
"1096","OPRM1","Infection",1,"Infection only"
"1097","ORM2","Infection",1,"Infection only"
"1098","P2RY12","Infection",1,"Infection only"
"1099","PADI2","Infection",1,"Infection only"
"1100","PATZ1","Infection",1,"Infection only"
"1101","PDE4B","Infection",1,"Infection only"
"1102","PDGFB","Infection",1,"Infection only"
"1103","PHLPP1","Infection",1,"Infection only"
"1104","PHPT1","Infection",1,"Infection only"
"1105","PIGR","Infection",1,"Infection only"
"1106","PIK3R3","Infection",1,"Infection only"
"1107","PKN1","Infection",1,"Infection only"
"1108","PKNOX1","Infection",1,"Infection only"
"1109","PLA2G2D","Infection",1,"Infection only"
"1110","PLA2G6","Infection",1,"Infection only"
"1111","PLCB1","Infection",1,"Infection only"
"1112","PLD2","Infection",1,"Infection only"
"1113","PLD3","Infection",1,"Infection only"
"1114","PLEKHM2","Infection",1,"Infection only"
"1115","POLL","Infection",1,"Infection only"
"1116","PPP2R1A","Infection",1,"Infection only"
"1117","PRAM1","Infection",1,"Infection only"
"1118","PRKAR1A","Infection",1,"Infection only"
"1119","PRKCZ","Infection",1,"Infection only"
"1120","PTGDR","Infection",1,"Infection only"
"1121","PTMS","Infection",1,"Infection only"
"1122","PTPRD","Infection",1,"Infection only"
"1123","PURB","Infection",1,"Infection only"
"1124","PVRIG","Infection",1,"Infection only"
"1125","PXDN","Infection",1,"Infection only"
"1126","RAB27A","Infection",1,"Infection only"
"1127","RAB33A","Infection",1,"Infection only"
"1128","RAB34","Infection",1,"Infection only"
"1129","RAB3B","Infection",1,"Infection only"
"1130","RAC2","Infection",1,"Infection only"
"1131","RASAL3","Infection",1,"Infection only"
"1132","RASSF2","Infection",1,"Infection only"
"1133","RASSF5","Infection",1,"Infection only"
"1134","RELA","Infection",1,"Infection only"
"1135","RFX1","Infection",1,"Infection only"
"1136","RGCC","Infection",1,"Infection only"
"1137","RHBDF2","Infection",1,"Infection only"
"1138","RHOH","Infection",1,"Infection only"
"1139","RNASET2","Infection",1,"Infection only"
"1140","RPS19","Infection",1,"Infection only"
"1141","RPS6","Infection",1,"Infection only"
"1142","RPS6KA3","Infection",1,"Infection only"
"1143","SAMD9","Infection",1,"Infection only"
"1144","SART1","Infection",1,"Infection only"
"1145","SBDS","Infection",1,"Infection only"
"1146","SBNO2","Infection",1,"Infection only"
"1147","SCG2","Infection",1,"Infection only"
"1148","SEMA3C","Infection",1,"Infection only"
"1149","SERINC3","Infection",1,"Infection only"
"1150","SFXN1","Infection",1,"Infection only"
"1151","SH3RF1","Infection",1,"Infection only"
"1152","SHB","Infection",1,"Infection only"
"1153","SIGLEC10","Infection",1,"Infection only"
"1154","SIPA1","Infection",1,"Infection only"
"1155","SIRT2","Infection",1,"Infection only"
"1156","SLAMF7","Infection",1,"Infection only"
"1157","SLC22A5","Infection",1,"Infection only"
"1158","SLC25A38","Infection",1,"Infection only"
"1159","SLC25A5","Infection",1,"Infection only"
"1160","SLC26A6","Infection",1,"Infection only"
"1161","SLC4A2","Infection",1,"Infection only"
"1162","SLC9B2","Infection",1,"Infection only"
"1163","SMAD3","Infection",1,"Infection only"
"1164","SMARCA4","Infection",1,"Infection only"
"1165","SNAP23","Infection",1,"Infection only"
"1166","SOCS1","Infection",1,"Infection only"
"1167","SOCS6","Infection",1,"Infection only"
"1168","SOX4","Infection",1,"Infection only"
"1169","SPIRE1","Infection",1,"Infection only"
"1170","SRF","Infection",1,"Infection only"
"1171","STK11","Infection",1,"Infection only"
"1172","TACR1","Infection",1,"Infection only"
"1173","TAL1","Infection",1,"Infection only"
"1174","TAPBP","Infection",1,"Infection only"
"1175","TAPBPL","Infection",1,"Infection only"
"1176","TCIRG1","Infection",1,"Infection only"
"1177","TESC","Infection",1,"Infection only"
"1178","TFE3","Infection",1,"Infection only"
"1179","THEMIS2","Infection",1,"Infection only"
"1180","THOC1","Infection",1,"Infection only"
"1181","TICAM1","Infection",1,"Infection only"
"1182","TMEM14C","Infection",1,"Infection only"
"1183","TMOD3","Infection",1,"Infection only"
"1184","TNFRSF11A","Infection",1,"Infection only"
"1185","TNFRSF13B","Infection",1,"Infection only"
"1186","TNFRSF14","Infection",1,"Infection only"
"1187","TNFRSF4","Infection",1,"Infection only"
"1188","TNFSF13","Infection",1,"Infection only"
"1189","TRAF2","Infection",1,"Infection only"
"1190","TREML4","Infection",1,"Infection only"
"1191","TRIM11","Infection",1,"Infection only"
"1192","TRIM34","Infection",1,"Infection only"
"1193","TRIM35","Infection",1,"Infection only"
"1194","TRIM4","Infection",1,"Infection only"
"1195","TRIM40","Infection",1,"Infection only"
"1196","TRIM59","Infection",1,"Infection only"
"1197","TRIM65","Infection",1,"Infection only"
"1198","TSPO2","Infection",1,"Infection only"
"1199","TWSG1","Infection",1,"Infection only"
"1200","TYRO3","Infection",1,"Infection only"
"1201","TYROBP","Infection",1,"Infection only"
"1202","UBA7","Infection",1,"Infection only"
"1203","UBASH3B","Infection",1,"Infection only"
"1204","UBQLN1","Infection",1,"Infection only"
"1205","UFL1","Infection",1,"Infection only"
"1206","UNC13D","Infection",1,"Infection only"
"1207","UNC93B1","Infection",1,"Infection only"
"1208","UNG","Infection",1,"Infection only"
"1209","VAMP2","Infection",1,"Infection only"
"1210","VAV2","Infection",1,"Infection only"
"1211","VCAM1","Infection",1,"Infection only"
"1212","VSTM1","Infection",1,"Infection only"
"1213","WFDC3","Infection",1,"Infection only"
"1214","WFDC5","Infection",1,"Infection only"
"1215","WNT4","Infection",1,"Infection only"
"1216","XRCC4","Infection",1,"Infection only"
"1217","YTHDF3","Infection",1,"Infection only"
"1218","ZBTB17","Infection",1,"Infection only"
"1219","ZBTB39","Infection",1,"Infection only"
"1220","ZBTB45","Infection",1,"Infection only"
"1221","ZC3H8","Infection",1,"Infection only"
"1222","ZDHHC11","Infection",1,"Infection only"
"1223","ZNF134","Infection",1,"Infection only"
"1224","ZNF3","Infection",1,"Infection only"
"1225","ZNFX1","Infection",1,"Infection only"
"1226","IDO2","Vaccination",10,"Vaccination only"
"1227","CXCL10","Vaccination",9,"Vaccination only"
"1228","BATF2","Vaccination",8,"Vaccination only"
"1229","CCL2","Vaccination",8,"Vaccination only"
"1230","CCL3","Vaccination",8,"Vaccination only"
"1231","CCL8","Vaccination",8,"Vaccination only"
"1232","CXCL11","Vaccination",8,"Vaccination only"
"1233","CXCL2","Vaccination",8,"Vaccination only"
"1234","FCGR1A","Vaccination",8,"Vaccination only"
"1235","IFI27","Vaccination",8,"Vaccination only"
"1236","IFIT1","Vaccination",8,"Vaccination only"
"1237","IFIT3","Vaccination",8,"Vaccination only"
"1238","RSAD2","Vaccination",8,"Vaccination only"
"1239","SERPING1","Vaccination",8,"Vaccination only"
"1240","AIM2","Vaccination",7,"Vaccination only"
"1241","C1QB","Vaccination",7,"Vaccination only"
"1242","C1QC","Vaccination",7,"Vaccination only"
"1243","C2","Vaccination",7,"Vaccination only"
"1244","CLEC6A","Vaccination",7,"Vaccination only"
"1245","DDX60","Vaccination",7,"Vaccination only"
"1246","FFAR3","Vaccination",7,"Vaccination only"
"1247","GBP1","Vaccination",7,"Vaccination only"
"1248","GBP4","Vaccination",7,"Vaccination only"
"1249","GBP5","Vaccination",7,"Vaccination only"
"1250","IDO1","Vaccination",7,"Vaccination only"
"1251","IFI35","Vaccination",7,"Vaccination only"
"1252","IFI44","Vaccination",7,"Vaccination only"
"1253","IFI44L","Vaccination",7,"Vaccination only"
"1254","IFI6","Vaccination",7,"Vaccination only"
"1255","IFIH1","Vaccination",7,"Vaccination only"
"1256","IFIT2","Vaccination",7,"Vaccination only"
"1257","IFITM3","Vaccination",7,"Vaccination only"
"1258","IL1RN","Vaccination",7,"Vaccination only"
"1259","IL27","Vaccination",7,"Vaccination only"
"1260","IL31RA","Vaccination",7,"Vaccination only"
"1261","IRF7","Vaccination",7,"Vaccination only"
"1262","ISG15","Vaccination",7,"Vaccination only"
"1263","LAMP3","Vaccination",7,"Vaccination only"
"1264","MX1","Vaccination",7,"Vaccination only"
"1265","OAS1","Vaccination",7,"Vaccination only"
