"","genes","infection_vaccination","n_conditions","comparison"
"130","CD55","Infection",7,"Infection only"
"131","CD6","Infection",7,"Infection only"
"132","CD96","Infection",7,"Infection only"
"133","CH25H","Infection",7,"Infection only"
"134","CLEC10A","Infection",7,"Infection only"
"135","CLEC5A","Infection",7,"Infection only"
"136","CR2","Infection",7,"Infection only"
"137","CXCR5","Infection",7,"Infection only"
"138","CYP26B1","Infection",7,"Infection only"
"139","DNAJA3","Infection",7,"Infection only"
"140","DUSP1","Infection",7,"Infection only"
"141","EOMES","Infection",7,"Infection only"
"142","FCER1A","Infection",7,"Infection only"
"143","FCER1G","Infection",7,"Infection only"
"144","FCER2","Infection",7,"Infection only"
"145","FLNB","Infection",7,"Infection only"
"146","FLOT1","Infection",7,"Infection only"
"147","FTH1","Infection",7,"Infection only"
"148","GATA2","Infection",7,"Infection only"
"149","GATA3","Infection",7,"Infection only"
"150","GCSAML","Infection",7,"Infection only"
"151","GPR17","Infection",7,"Infection only"
"152","HLA-C","Infection",7,"Infection only"
"153","HLA-DOA","Infection",7,"Infection only"
"154","HMGN2","Infection",7,"Infection only"
"155","IL10","Infection",7,"Infection only"
"156","IL18R1","Infection",7,"Infection only"
"157","IL36A","Infection",7,"Infection only"
"158","IRAK1BP1","Infection",7,"Infection only"
"159","ITGB7","Infection",7,"Infection only"
"160","ITK","Infection",7,"Infection only"
"161","JAK2","Infection",7,"Infection only"
"162","LAT","Infection",7,"Infection only"
"163","LCK","Infection",7,"Infection only"
"164","LILRA5","Infection",7,"Infection only"
"165","LILRA6","Infection",7,"Infection only"
"166","MIR221","Infection",7,"Infection only"
"167","MPO","Infection",7,"Infection only"
"168","MS4A2","Infection",7,"Infection only"
"169","MTUS1","Infection",7,"Infection only"
"170","NAIP","Infection",7,"Infection only"
"171","NFKBIZ","Infection",7,"Infection only"
"172","PLCG1","Infection",7,"Infection only"
"173","POLR3H","Infection",7,"Infection only"
"174","PPP2R3C","Infection",7,"Infection only"
"175","RAB20","Infection",7,"Infection only"
"176","RARG","Infection",7,"Infection only"
"177","RFTN1","Infection",7,"Infection only"
"178","SELP","Infection",7,"Infection only"
"179","SFRP1","Infection",7,"Infection only"
"180","SIRPG","Infection",7,"Infection only"
"181","SLC15A4","Infection",7,"Infection only"
"182","SLC18A2","Infection",7,"Infection only"
"183","TCF7","Infection",7,"Infection only"
"184","THBS1","Infection",7,"Infection only"
"185","TREML1","Infection",7,"Infection only"
"186","VIM","Infection",7,"Infection only"
"187","ZAP70","Infection",7,"Infection only"
"188","ZBTB46","Infection",7,"Infection only"
"189","ZNF572","Infection",7,"Infection only"
"190","ZNF675","Infection",7,"Infection only"
"191","ADGRG3","Infection",6,"Infection only"
"192","ADM","Infection",6,"Infection only"
"193","AHSP","Infection",6,"Infection only"
"194","AIM2","Infection",6,"Infection only"
"195","ALOX5","Infection",6,"Infection only"
"196","AQP3","Infection",6,"Infection only"
"197","AZU1","Infection",6,"Infection only"
"198","BCL10","Infection",6,"Infection only"
"199","C3AR1","Infection",6,"Infection only"
"200","CACNA1C","Infection",6,"Infection only"
"201","CARD11","Infection",6,"Infection only"
"202","CD247","Infection",6,"Infection only"
"203","CD4","Infection",6,"Infection only"
"204","CD40","Infection",6,"Infection only"
"205","CEACAM7","Infection",6,"Infection only"
"206","CLNK","Infection",6,"Infection only"
"207","CRTAM","Infection",6,"Infection only"
"208","CTSF","Infection",6,"Infection only"
"209","CTSK","Infection",6,"Infection only"
"210","CXCL3","Infection",6,"Infection only"
"211","DBH","Infection",6,"Infection only"
"212","DLL4","Infection",6,"Infection only"
