"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"21","BBIBP (V3, D14)","ChAd-BNT (V2, D3)",2,42,906,44,1156,"IDO2, MSANTD1",4.54545454545455,0.173010380622837,2.87505335113809e-71,7.57536376962011e-72,71.1205965074665
"22","BBIBP (V3, D14)","ChAd-BNT (V2, D7)",2,42,774,44,972,"FFAR2, CCL3",4.54545454545455,0.205761316872428,1.79055426851626e-68,4.63002774920056e-69,68.3344164061119
"23","BBIBP (V3, D14)","ChAd-BNT (V3, D1)",6,38,1026,44,1388,"SEMA3B, COL20A1, IDO2, MSANTD1, RPL21P123, CCL3",13.6363636363636,0.432276657060519,5.48797153127428e-64,1.37874780921072e-64,63.8605151646322
"24","BBIBP (V3, D14)","I (D10, moderate)",6,38,3133,44,3139,"SEMA3B, PDE4C, PPP1R1A, NDUFAF1, ALOX15, ASTL",13.6363636363636,0.191143676330041,3.86449569787084e-82,1.06741700007207e-82,81.9716658847452
"25","BBIBP (V3, D14)","I (D10, severe)",7,37,4089,44,4096,"SEMA3B, PDE4C, C4orf19, ALOX15, GJB7, C9orf131, NLRP9",15.9090909090909,0.1708984375,9.78450452582887e-84,2.7258211821253e-84,83.564502637923
"26","BBIBP (V3, D14)","I (D26, moderate)",1,43,2020,44,2021,"ASTL",2.27272727272727,0.049480455220188,1.21172510951069e-88,3.4247558444969e-89,88.4653703845124
"27","BBIBP (V3, D14)","I (D26, severe)",5,39,3974,44,3979,"PDE4C, GJB7, C9orf131, TAC4, NLRP9",11.3636363636364,0.125659713495853,7.40253412813476e-89,2.09831289152755e-89,88.6781297511606
"28","BBIBP (V3, D14)","I (D51, moderate)",0,44,51,44,51,"",0,0,3.99158129484938e-28,7.936336438863e-29,28.1003799297595
"29","BBIBP (V3, D14)","I (D51, severe)",7,37,2293,44,2300,"SEMA3B, PDE4C, FITM1, WNT4, GJB7, C9orf131, ADRA2B",15.9090909090909,0.304347826086957,1.60772376733437e-74,4.30614607056403e-75,74.3659112423797
"30","BBIBP (V3, D14)","I-BNT-I (D2)",0,44,5,44,10,"",0,0,5.2441574841469e-07,8.1841132263895e-08,7.08702837083353
"31","BBIBP (V3, D14)","I-BNT-I (D5)",0,44,1,44,2,"",0,0,0.0222222222222222,0.00301336875696975,2.52094771886839
"32","BBIBP (V3, D14)","I-I (D1)",0,44,39,44,39,"",0,0,1.37429427722302e-24,2.67235213405505e-25,24.5731063157321
"33","BBIBP (V3, D14)","I-I (D2)",0,44,1,44,1,"",0,0,0.0222222222222222,0.00301336875696975,2.52094771886839
"34","BBIBP (V3, D14)","I-I (D3)",0,44,3,44,3,"",0,0,6.16712920135677e-05,9.29623904974858e-06,5.03169271706951
"35","BBIBP (V3, D14)","I-I (D5)",0,44,14,44,14,"",0,0,9.85907367535522e-14,1.75560746935273e-14,13.7555725800874
"36","BBIBP (V3, D14)","ZF2001 (V3, D07)",15,29,2419,44,2434,"SEMA3B, COL20A1, CCN4, PDE4C, FFAR2, PPP1R1A, ITGB1BP2, FGD5, ALOX15, GJB7, SNORC, IDO2, MSANTD1, RPL21P123, CCL3",34.0909090909091,0.616269515201315,1.06536510038596e-56,2.5575692002543e-57,56.5921726067333
"37","BBIBP (V3, D14)","ZF2001 (V3, D14)",13,31,249,44,262,"SEMA3B, CCN4, PDE4C, WNT4, GJB7, SUMO4, SNORC, IDO2, MORF4L1P1, SRRM5, RPL21P123, NPM1P20, HMGB1P51",29.5454545454545,4.9618320610687,7.44569054603815e-32,1.53372301373145e-32,31.8142530657258
"38","BBIBP (V3, D14)","ZF2001 (V3, D28)",1,43,37,44,38,"CCL3",2.27272727272727,2.63157894736842,2.39831970532819e-22,4.5721540031118e-23,22.3398791497607
"39","BBIBP (V3, D28)","BNT (V1, D6)",0,16,3,16,9,"",0,0,0.00103199174406605,0.000148427194117691,3.82848652241765
