"","condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction_wide","x1","vaccine","day","dose","infection","type","regimen","disease_vac","severity","gse_id","variant","prior_infection","previous_vaccination"
"6878","ChAd-BNT (V2, D3)","TNFRSF18",43.8317414704341,1.35182513647759,0.376972277576046,3.58600676200888,0.00033578025477816,0.0034153344370191,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6879","ChAd-BNT (V2, D3)","LAP3",9094.68416737718,2.41122199603276,0.21878759392445,11.0208351066989,3.03232654177778e-28,9.72062811742564e-25,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6880","ChAd-BNT (V2, D3)","CLU",3233.21789686622,-1.00324739424736,0.296231103537609,-3.38670511727676,0.00070737375502288,0.00610939685860361,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6881","ChAd-BNT (V2, D3)","HAMP",5.39955060856082,1.58763614231486,0.395124306118194,4.0180675238945,5.86773842966019e-05,0.00087207558735403,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6882","ChAd-BNT (V2, D3)","CMTM2",530.684716736069,-1.80917287914466,0.635374540179172,-2.84741166782428,0.004407632424441,0.0248757048273762,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6883","ChAd-BNT (V2, D3)","CFB",65.1027928866883,2.45873827119778,0.275189270979614,8.93471704927016,4.08221533785226e-19,1.37749701417983e-16,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6884","ChAd-BNT (V2, D3)","TMEM238",1.68054849603144,1.35962183679315,0.525644995377427,2.58657810642125,0.00969341982904396,0.0451379436949393,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6885","ChAd-BNT (V2, D3)","CES1P1",16.6351318663868,2.22079813526329,0.760107989643696,2.92168766217587,0.00348140473025519,0.0206734605068627,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6886","ChAd-BNT (V2, D3)","C2orf91",2.31489894662165,-3.25847276577835,1.00127542124293,-3.25432213419707,0.00113663311711019,0.00881341448462434,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6887","ChAd-BNT (V2, D3)","ISG15",620.10336078146,2.80550043879232,0.383260095544961,7.32009533839715,2.4779484488561e-13,3.40434717609272e-11,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6888","ChAd-BNT (V2, D3)","MIR4426",1107.00160411598,-1.27860490736182,0.351130692646768,-3.64139317393163,0.00027116664189524,0.0028831504644628,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6889","ChAd-BNT (V2, D3)","MZT2A",75.919583525394,2.14836051061272,0.39243801613869,5.47439448336594,4.39010128969368e-08,2.04949534480505e-06,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6890","ChAd-BNT (V2, D3)","MX1",6706.61014016567,2.29854513822478,0.318654359025217,7.21328634968674,5.46173907159324e-13,6.86608426817153e-11,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6891","ChAd-BNT (V2, D3)","LRRC32",667.093338142875,-1.27582590448832,0.319724716937416,-3.9903887216141,6.59650930322655e-05,0.00095756422594912,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6892","ChAd-BNT (V2, D3)","CYBA",5301.53986875836,1.39611387866357,0.321769844444285,4.33885866798592,1.43224588835515e-05,0.00027302098529854,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6893","ChAd-BNT (V2, D3)","CCL24",7.81367887231936,-1.47114830625447,0.520138227585004,-2.82837951189435,0.00467843083095194,0.0260102700030456,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6894","ChAd-BNT (V2, D3)","SPX",27.7085222674838,-1.01821989250152,0.371722890096373,-2.73919072413738,0.00615906323825934,0.0319998439558833,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
