"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"61","BBIBP (V3, D28)","I (D10, moderate)",2,13,2967,15,2969,"KDELR3, HSP90AB4P",13.33,0.07,4.55245884529345e-34,1.57893687913922e-34,33.801635231353
"62","BBIBP (V3, D28)","I (D10, severe)",4,11,3897,15,3901,"KDELR3, C4orf19, KCNA3, HSP90AB4P",26.67,0.1,1.68272214719127e-29,5.57927302774352e-30,29.2534223854007
"63","BBIBP (V3, D28)","I (D26, moderate)",1,14,1905,15,1906,"HSP90AB4P",6.67,0.05,1.4822264927229e-34,5.16347764900584e-35,34.2870576985568
"64","BBIBP (V3, D28)","I (D26, severe)",2,13,3798,15,3800,"KDELR3, HSP90AB4P",13.33,0.05,1.85308330642951e-35,6.48395648861635e-36,35.1881599082
"65","BBIBP (V3, D28)","I (D51, moderate)",0,15,47,15,47,"",0,0,1.07465926677137e-14,3.16504642868706e-15,14.4996199148489
"66","BBIBP (V3, D28)","I (D51, severe)",2,13,2152,15,2154,"KDELR3, HSP90AB4P",13.33,0.09,2.91719935482079e-32,1.00080338673063e-32,31.9996512336544
"67","BBIBP (V3, D28)","I-BNT-I (D2)",0,15,5,15,5,"",0,0,6.44994840041281e-05,1.65063613438392e-05,4.78234865190099
"68","BBIBP (V3, D28)","I-BNT-I (D5)",0,15,1,15,1,"",0,0,0.0625,0.0137669950415979,1.86116084400371
"69","BBIBP (V3, D28)","I-I (D1)",0,15,32,15,32,"",0,0,1.33046608215883e-12,3.83978432948206e-13,12.4156931681185
"70","BBIBP (V3, D28)","I-I (D2)",0,15,1,15,1,"",0,0,0.0625,0.0137669950415979,1.86116084400371
"71","BBIBP (V3, D28)","I-I (D3)",0,15,3,15,3,"",0,0,0.00122549019607843,0.000292334381446997,3.53412010426412
"72","BBIBP (V3, D28)","I-I (D5)",0,15,14,15,14,"",0,0,1.28934500757877e-08,3.45036663072613e-09,8.46213475500168
"73","BBIBP (V3, D28)","ZF2001 (V3, D07)",3,12,2357,15,2360,"TLL2, RPL21P16, DUX4L25",20,0.13,7.06440842490378e-30,2.36209979514133e-30,29.6267017580503
"74","BBIBP (V3, D28)","ZF2001 (V3, D14)",4,11,248,15,252,"TLL2, HMGB1P51, DUX4L25, HSP90AB4P",26.67,1.59,1.6174486335887e-16,4.82656557125866e-17,16.3163617893304
"75","BBIBP (V3, D28)","ZF2001 (V3, D28)",1,14,29,15,30,"RPL21P16",6.67,3.33,1.30484924529467e-10,3.63966039326229e-11,10.4389391372886
"76","BNT (V1, D6)","BNT (V2, D1)",1,0,496,1,497,"RNU1-4",100,0.2,1,0.21343487049646,0.670734625084813
"77","BNT (V1, D6)","BNT (V3, D1)",1,0,465,1,466,"RNU1-4",100,0.21,1,0.21343487049646,0.670734625084813
"78","BNT (V1, D6)","BNT-I (D1)",0,1,1046,1,1046,"",0,0,0.000955109837631323,0.000230971903177386,3.63644084710859
"79","BNT (V1, D6)","BNT-I (D10, mild)",0,1,4208,1,4208,"",0,0,0.00023758612497032,5.97384584845213e-05,4.22374598829874
