"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"33","BBIBP (V3, D07)","H-I (D51, severe)",2,52,2298,81,2300,"FAM71A, MIR589",2.47,0.09,9.86731512475272e-105,2.3806812293901e-105,104.623298752258
"34","BBIBP (V3, D07)","H-I-I (D2)",0,54,1,81,1,"",0,0,0.0181818181818182,0.00233533251855768,2.63165127325924
"35","BBIBP (V3, D07)","I-BNT-I (D2)",0,54,5,81,10,"",0,0,1.99744885831815e-07,2.97875900783412e-08,7.52596463132724
"36","BBIBP (V3, D07)","I-BNT-I (D5)",0,54,1,81,2,"",0,0,0.0181818181818182,0.00233533251855768,2.63165127325924
"37","BBIBP (V3, D07)","I-I (D1)",0,54,39,81,39,"",0,0,4.07056918165602e-27,7.31585637569319e-28,27.1357348291464
"38","BBIBP (V3, D07)","I-I (D3)",0,54,3,81,3,"",0,0,3.41763499658236e-05,4.86532963965963e-06,5.31288772973575
"39","BBIBP (V3, D07)","I-I (D5)",0,54,14,81,14,"",0,0,8.11462526401981e-15,1.35334090839776e-15,14.8685927902562
"40","BBIBP (V3, D14)","BBIBP (V3, D28)",21,275,266,374,399,"SNX9, CD247, Z99496.2, MFSD13B, MALAT1, LOC107984343, LOC401218, LDLRAD4, CCDC57, MIF4GD, LOC107984546, LOC105374502, EXOC2, BACH1-IT1, RPS12P20, TXLNB, SIPA1L1, CADM4, RASA2-IT1, RRP1, RASA3-IT1",5.61,5.26,1.74666261473053e-136,4.70445283269484e-137,136.327490881389
"41","BBIBP (V3, D14)","BNT (V1, D6)",0,296,3,374,9,"",0,0,2.26729144149628e-07,3.36568404834935e-08,7.47292665559096
"42","BBIBP (V3, D14)","BNT (V2, D1)",6,290,533,374,694,"FAM225A, TRIM22, KPTN, EPSTI1, DHX58, MARCO",1.6,0.86,2.66246776424471e-220,1.0609668820551e-220,219.974298172334
"43","BBIBP (V3, D14)","BNT (V3, D1)",7,289,510,374,708,"FAM225A, TRIM22, KPTN, EPSTI1, DHX58, MGAT5B, MARCO",1.87,0.99,4.64389676102618e-214,1.81338702912965e-214,213.741509495035
"44","BBIBP (V3, D14)","BNT-MO (V3, D1)",14,282,929,374,1254,"PNMA6A, RIMBP3C, FAM225A, TRIM22, LINC01252, ACVRL1, KPTN, BACH1-IT1, EPSTI1, DHX58, MGAT5B, CCIN, SIPA1L1, CADM4",3.74,1.12,1.14205668975125e-262,5.58009870853637e-263,262.25335811859
"45","BBIBP (V3, D14)","ChAd (V1, D3)",6,290,652,374,903,"VSIG8, FAM225A, SOSTDC1, ACVRL1, EPSTI1, MARCO",1.6,0.66,9.40080291519006e-241,4.1547946416338e-241,240.381450437153
"46","BBIBP (V3, D14)","ChAd (V1, D6)",2,294,163,374,302,"IGHV2-5, EPSTI1",0.53,0.66,7.21755042445812e-125,1.85164579173338e-125,124.732442087529
"47","BBIBP (V3, D14)","ChAd (V1, D7)",0,296,268,374,337,"",0,0,9.87218764937289e-169,3.13688986490202e-169,168.503500728961
"48","BBIBP (V3, D14)","ChAd (V2, D1)",10,286,723,374,916,"FAM225A, TRIM22, PAIP1P1, KPTN, TTC21A, BACH1-IT1, EPSTI1, DHX58, MARCO, UBQLNL",2.67,1.09,9.00938904692487e-244,4.03685270257656e-244,243.393957096917
"49","BBIBP (V3, D14)","ChAd (V2, D3)",1,295,200,374,215,"TSPO",0.27,0.47,3.09293170968943e-142,8.51928057256427e-143,142.069597078538
"50","BBIBP (V3, D14)","ChAd (V2, D7)",0,296,9,374,18,"",0,0,1.78981600126275e-17,3.02654989144652e-18,17.5190521625242
"51","BBIBP (V3, D14)","ChAd-BNT (V2, D3)",10,286,898,374,1156,"FAM225A, SIVA1, FZD5, TRIM22, TSPO, ACVRL1, LOC101928008, EPSTI1, DHX58, MARCO",2.67,0.87,1.49221448984077e-266,7.55678941373871e-267,266.121662680168
"52","BBIBP (V3, D14)","ChAd-BNT (V2, D7)",2,294,774,374,972,"OLFML1, BASP1",0.53,0.21,9.76991827300322e-268,5.05289620581381e-268,267.29645962274
"53","BBIBP (V3, D14)","ChAd-BNT (V3, D1)",19,277,1013,374,1388,"TMEM132A, FAM225A, CD247, TRIM22, PDIA3P1, NLRC5, DUOX1, PAIP1P1, DCLRE1A, KPTN, TTC21A, BACH1-IT1, EPSTI1, DHX58, TXLNB, SIPA1L1, ARHGAP26-IT1, MARCO, UBQLNL",5.08,1.37,6.1992973706531e-263,3.04427986155966e-263,262.516515425244
"54","BBIBP (V3, D14)","ZF2001 (V3, D07)",13,283,435,374,552,"PKD1P2, KIAA1522, MAP10, PDIA3P1, CCR8, TNNI3, SLC40A1, CCIN, SIPA1L1, ZNF326, MARCO, LSM, DZANK1",3.48,2.36,6.91441206535269e-189,2.42707269553326e-189,188.614917215511
"55","BBIBP (V3, D14)","ZF2001 (V3, D14)",2,294,277,374,330,"DCHS1, SIPA1L1",0.53,0.61,5.15645514808768e-167,1.61732331174712e-167,166.79120315358
"56","BBIBP (V3, D14)","ZF2001 (V3, D28)",2,294,117,374,137,"KIAA1522, SIPA1L1",0.53,1.46,1.99672196193055e-102,4.7701329246737e-103,102.321469518728
"57","BBIBP (V3, D14)","BNT-I-BNT (D51, mild)",7,289,356,374,363,"MIR600HG, BNIP3L, CMTM4, DUOX1, CNTNAP2, C8orf37, SLC29A2",1.87,1.93,4.20977416699023e-180,1.39225492897539e-180,179.85628123591
"58","BBIBP (V3, D14)","BNT-I-BNT (D51, severe)",2,294,111,374,113,"CBY1, NAGK",0.53,1.77,3.82382933641628e-99,9.02419727029912e-100,99.0445914195148
"59","BBIBP (V3, D14)","H-BNT-I (D1)",16,280,1085,374,1101,"FEM1C, TMEM132A, ZBED8, SIVA1, CMTM4, THNSL1, NUP43, CBY1, TNNT1, JDP2, CCR5, CCR8, APOM, CXCR6, CCIN, CCNL1",4.28,1.45,1.65594070656836e-275,8.84668756866996e-276,275.053219310086
"60","BBIBP (V3, D14)","H-BNT-I (D10, mild)",56,240,4392,374,4448,"GOLGA8B, GPSM1, KMT2A, CCND3, MIR600HG, SNX9, URI1, OTUD1, ZNF880, BNIP3L, RNF19B, FAM225A, CD247, ATG3, DENND3, CR1, RFTN1, FASTKD1, CMTM4, TRIM22, TSPO, LINC01252, THNSL1, LDLRAD4, UPP1, TNNT1, AZIN2, DUOX1, PODXL2, ALKBH8, PPFIA3, CCR8, KPTN, CNTNAP2, FAAHP1, SLC35G2, DCHS1, EXOC2, EPSTI1, APOM, TMBIM4, ZBTB20-AS1, CXCR6, SEMA3B-AS1, ZNF84, FAM98B, C8orf37, TCN1, RSC1A1, CCNL1, PLK2, BASP1, SLC29A2, PITPNC1, SMPD3, DZANK1",14.97,1.26,0,0,0
"61","BBIBP (V3, D14)","H-BNT-I (D10, severe)",60,236,4575,374,4635,"GPSM1, KMT2A, CCND3, MIR600HG, SNX9, OTUD1, ZNF880, FAM225A, CD247, KIF24, ATG3, DENND3, CR1, RFTN1, FZD5, TRIM22, TSPO, THNSL1, SLC35G5, C12orf76, LDLRAD4, UPK3B, ARPC5, CBY1, UPP1, AZIN2, DUOX1, MSRB1, JDP2, ALKBH8, PPFIA3, CCR8, KPTN, CNTNAP2, PRR29-AS1, FAAHP1, NEDD9, DCHS1, NAPA-AS1, CYSLTR2, EPSTI1, DHX58, APOM, MYLPF, RGS5, TMBIM4, MAFK, SEMA3B-AS1, ZNF84, TXLNB, FAM98B, C8orf37, TCN1, CCIN, CCNL1, PLK2, BASP1, SLC29A2, SMPD3, UBQLNL",16.04,1.29,0,0,0
"62","BBIBP (V3, D14)","H-BNT-I (D26, mild)",43,253,2550,374,2593,"GOLGA8B, KMT2A, CCND3, MIR600HG, SNX9, FEM1C, OTUD1, ZNF880, BNIP3L, CD247, KIF24, ATG3, DENND3, CR1, RFTN1, CMTM4, TSPO, LINC01252, THNSL1, C12orf76, CBY1, UPP1, AZIN2, DUOX1, ALKBH8, PPFIA3, LOC101928008, CNTNAP2, FAAHP1, DCHS1, APOM, ZNF84, FAM98B, C8orf37, TCN1, IER5, CCNL1, RRP1, PLK2, BASP1, SLC29A2, MARCO, DZANK1",11.5,1.66,7.9175897195514e-318,5.20161699188935e-318,317.283861629155
"63","BBIBP (V3, D14)","H-BNT-I (D26, severe)",9,287,584,374,593,"FEM1C, OTUD1, KIF24, C12orf76, JDP2, DCHS1, CCNL1, PLK2, SLC29A2",2.41,1.52,7.24066989852427e-224,2.90918056948074e-224,223.536229321759
"64","BBIBP (V3, D14)","H-BNT-I (D3)",13,283,651,374,664,"FEM1C, OTUD1, CR1, TSPO, UPP1, MSRB1, NAPA-AS1, APOM, SEMA3B-AS1, CCIN, CCNL1, ARHGAP26-IT1, BASP1",3.48,1.96,8.63367849480056e-228,3.57219621205154e-228,227.447064694389
"65","BBIBP (V3, D14)","H-BNT-I (D4)",2,294,148,374,150,"ZNF84, CCIN",0.53,1.33,5.10210751134382e-118,1.28519668556288e-118,117.891030403136
"66","BBIBP (V3, D14)","H-I (D10, moderate)",36,260,3103,374,3139,"GPSM1, CCND3, FAM225A, LENG9, CD247, CR1, RFTN1, FZD5, TRIM22, THNSL1, NUDT14, UPP1, AZIN2, DUOX1, PODXL2, JDP2, ACVRL1, PPFIA3, KPTN, FAAHP1, DCHS1, NAPA-AS1, CYSLTR2, EPSTI1, ZBTB20-AS1, MAFK, SEMA3B-AS1, TCN1, CCIN, IER5, CCNL1, PLK2, BASP1, SLC29A2, MARCO, SMPD3",9.63,1.15,0,0,0
"67","BBIBP (V3, D14)","H-I (D10, severe)",52,244,4044,374,4096,"GPSM1, CCND3, FEM1C, OTUD1, BNIP3L, KIF24, DENND3, CR1, RFTN1, ULBP2, TRIM22, KIAA1522, TSPO, MAP10, THNSL1, PEA15, SRM, PDIA3P1, C12orf76, UPK3B, UPP1, AZIN2, DUOX1, HSD17B11, JDP2, ALKBH8, PPFIA3, CCR8, LOC101928008, NRL, TTC21A, FAAHP1, NEDD9, DCHS1, CYSLTR2, EPSTI1, APOM, TMBIM4, MAFK, SEMA3B-AS1, TXLNB, FAM98B, TCN1, CCIN, ARHGAP19, RSC1A1, CCNL1, RRP1, PLK2, BASP1, SLC29A2, SMPD3",13.9,1.27,0,0,0
"68","BBIBP (V3, D14)","H-I (D26, moderate)",23,273,1998,374,2021,"GPSM1, CCND3, CD247, CR1, RFTN1, FZD5, CMTM4, TSPO, THNSL1, UPP1, AZIN2, PODXL2, JDP2, PPFIA3, PRR29-AS1, DCHS1, ZBTB20-AS1, TCN1, PLK2, BASP1, SLC29A2, MARCO, NTN1",6.15,1.14,0,0,0
"69","BBIBP (V3, D14)","H-I (D26, severe)",45,251,3934,374,3979,"GPSM1, FEM1C, OTUD1, UBA7, BNIP3L, ENTPD6, CD247, KIF24, CR1, RFTN1, FZD5, ULBP2, CTU2, TRIM22, KIAA1522, MAP10, THNSL1, NUDT14, C12orf76, UPP1, AZIN2, DUOX1, PPFIA3, TXN2, LOC101928008, TTC21A, PRR29-AS1, FAAHP1, DCHS1, CYSLTR2, EPSTI1, DHX58, APOM, MYLPF, MAFK, TXLNB, TCN1, CCIN, CCNL1, RRP1, PLK2, BASP1, SLC29A2, SMPD3, CENPP",12.03,1.13,0,0,0
"70","BBIBP (V3, D14)","H-I (D51, moderate)",0,296,51,374,51,"",0,0,2.05674966352426e-62,4.23688554381906e-63,62.3729532679696
