"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"21","BNT (V2, D1) UP","BNT (V3, D1) UP",285,74,164,359,449,"ANKRD22, GBP1P1, SERPING1, GBP1, BATF2, GBP4, CXCL10, GBP5, FBXO6, LAMP3, LAP3, SIMALR, IDO1, CD274, P2RY14, ALMS1P1, PSME2, WARS1, UBE2L6, SAMD4A, STAT1, EPSTI1, APOL6, GBP6, FCGR1A, RTP4, TRIM22, PDCD1LG2, MYOF, ATF3, ETV7, STAT2, GCH1, APOL4, SEPTIN4, AIM2, WDFY1, VAMP5, SAMD9L, IFIH1, SPATS2L, IFI35, C2, PML, XAF1, RMI2, DDX60, PARP12, SOCS1, APOL1, CARD17P, CMPK2, PARP9, OAS1, MOV10, TAP1, FCGR1CP, PARP14, IFI44, CYBB, IFIT3, PSTPIP2, RNF213, ZBP1, TNFSF10, OAS2, GRIN3A, GRAMD1B, GBP2, OAS3, SCO2, IFI6, DHX58, TRIM5, SCARF1, SLAMF8, ISG15, IRF7, RIGI, RSAD2, NUB1, CEACAM1, LGALS3BP, SP140, BISPR, RHBDF2, TRAFD1, TDRD7, FCGR1BP, IFIT5, TFEC, TMEM268, LINC02555, IFIT2, GBP3, OTOF, PLSCR1, EIF2AK2, APOL2, ODF3B, TYMP, P2RX7, IFI44L, DTX3L, SDC3, TAP2, TNFAIP6, HERC5, SORT1, IFITM3, CALHM6, SLC6A12, OASL, TNFSF13B, CTSL, KPTN, ASPHD2, IFI16, LY6E, SMCO4, RUFY4, SECTM1, LACTB, MX1, RIPK2, LHFPL2, TIMM10, RAB39A, TLR7, TIFA, CXCL9, SIGLEC16, DHRS9, RAB1AP1, DDX60L, TCN2, USP18, IRF1, IFIT1, STX11, EXOC3L1, C1QC, LRRK2-DT, XXYLT1-AS2, CCRL2, PSME2P1, C1QB, ISG20, IL31RA, GPR84, FBXO39, HELZ2, ETV7-AS1, IL27, CLEC6A, LINC02471, LINC02068, FRMD3, SIGLEC1, DOCK4, PLAAT4, FAS, KLF5, VPS9D1, AGRN, MT2A, EFCAB2, PRRG4, TRIM6, TRPV4, FAM225A, KCNJ10, CXCL11, HES4, LPCAT2, CCDC194, MIR130AHG, SAT1, RSPH9, GK, NRIR, LINC02773, RN7SKP26, NGFR, NRN1, RNU7-40P, CCL2, MSR1, CASP5, C15orf48, CACNA1E, GADD45G, PSME2P2, PRAL, MTND5P14, FDPSP3, GARIN4, ACOD1, FAM20A, MTND4P14, KLHDC7B-DT, ENSG00000272567, IDO2, MARCO, RN7SL124P, P2RY6, GK-IT1, CCL8, CAPNS2, MIR4736, HESX1, PRMT5-DT, LMNB1-DT, CDHR5, KCNJ2, C1QA, CDC45, RNU6-275P, FAP, RPL7AP42, NASPP1, RPS29P14, SLC1A3, KCNMA1, BNIP5, LAP3P2, BCL2L14, GBP7, LIF, LINC02574, MIR4308, NDUFB4P11, VWA3B, HMGA2-AS1, GSDMC, SIGLEC11, DNM1P33, TMEM51, IFI27, RNU7-41P, CAPNS1P1, H2BP2, OR7E100P, LINC01556, CFB, LYPD5, RPS3AP43, LINC00487, FGF13, SMTNL1, ZDHHC19, RPL21P57, NMRAL2P, PLSCR2, METTL7B, CFAP97D1, KCTD14, SLIT2, IMMP1LP2, STAT4-AS1, MMADHCP2, GPR42, GLDN, OOSP3, F3, HCAR1, NUDCP1, LINC01415, MYBPHL, SLC30A4-AS1, RNA5SP237, RNU1-28P, RCBTB2P1, COL1A1, RPL38P4, FAM225B, EDNRB, SLC8A2, GLRX3P2, SFRP1, EXOC3L4, OR52B4, CIBAR1P1, PLA1A, LINC03019",79.39,63.47,6.83115121941343e-14,13.1655061006951
"22","BNT (V2, D1) UP","BNT-MO (V3, D1) UP",295,64,470,359,765,"ANKRD22, GBP1P1, SERPING1, GBP1, BATF2, GBP4, CXCL10, GBP5, FBXO6, LAMP3, LAP3, SIMALR, IDO1, CD274, P2RY14, ALMS1P1, PSME2, WARS1, UBE2L6, SAMD4A, STAT1, EPSTI1, APOL6, GBP6, FCGR1A, RTP4, TRIM22, PDCD1LG2, MYOF, ATF3, ETV7, STAT2, GCH1, APOL4, SEPTIN4, AIM2, WDFY1, VAMP5, SAMD9L, IFIH1, SPATS2L, IFI35, C2, PML, XAF1, RMI2, DDX60, PARP12, SOCS1, APOL1, CARD17P, CMPK2, PARP9, OAS1, MOV10, TAP1, FCGR1CP, PARP14, IFI44, CYBB, IFIT3, PSTPIP2, RNF213, ZBP1, TNFSF10, OAS2, GRIN3A, GRAMD1B, GBP2, OAS3, SCO2, IFI6, DHX58, TRIM5, SCARF1, SLAMF8, ISG15, IRF7, RIGI, RSAD2, NUB1, CEACAM1, LGALS3BP, SP140, BISPR, RHBDF2, BST2, TRAFD1, TDRD7, FCGR1BP, IFIT5, TFEC, TMEM268, LINC02555, IFIT2, GBP3, OTOF, PLSCR1, EIF2AK2, APOL2, ODF3B, ZCCHC2, TYMP, P2RX7, IFI44L, DTX3L, SDC3, TAP2, TNFAIP6, HERC5, SORT1, IFITM3, CALHM6, SAMD9, SLC6A12, OASL, NMI, TNFSF13B, TRIM21, KPTN, ASPHD2, IFI16, LY6E, SMCO4, RUFY4, SECTM1, LACTB, MX1, RIPK2, CARD16, LHFPL2, TIMM10, RAB39A, TIFA, CXCL9, SIGLEC16, DHRS9, RAB1AP1, DDX60L, TCN2, IRF9, USP18, IRF1, IFIT1, STX11, EXOC3L1, C1QC, LRRK2-DT, XXYLT1-AS2, CCRL2, PSME2P1, C1QB, ISG20, IL31RA, GPR84, FBXO39, HELZ2, ETV7-AS1, IL27, CLEC6A, LINC02471, LINC02068, FRMD3, SIGLEC1, DOCK4, PLAAT4, FAS, KLF5, VPS9D1, AGRN, MT2A, EFCAB2, PRRG4, TRIM6, TRPV4, FAM225A, KCNJ10, CXCL11, HES4, LPCAT2, CCDC194, MIR130AHG, SAT1, RSPH9, GK, NRIR, LINC02773, RN7SKP26, NGFR, NRN1, RNU7-40P, CCL2, MSR1, CASP5, C15orf48, CACNA1E, GADD45G, PSME2P2, PRAL, MTND5P14, FDPSP3, GARIN4, ACOD1, FAM20A, MUC1, CACNA1A, MTND4P14, KLHDC7B-DT, CFAP58-DT, ENSG00000272567, IDO2, RN7SL124P, P2RY6, GK-IT1, CCL8, CAPNS2, MIR4736, HESX1, PRMT5-DT, LMNB1-DT, CDHR5, INSYN2B, RNF213-AS1, KCNJ2, C1QA, RNU6-275P, FAP, OR51R1P, RPL7AP42, NASPP1, RPS29P14, SLC1A3, KCNMA1, BNIP5, CIBAR1, RNU1-100P, LAP3P2, BCL2L14, GBP7, LIF, LINC02574, MIR4308, RNU6-1294P, NDUFB4P11, VWA3B, HMGA2-AS1, GSDMC, SIGLEC11, DNM1P33, TMEM51, IFI27, RNU7-41P, CAPNS1P1, H2BP2, LYPD5, RPS3AP43, LINC00487, FGF13, SMTNL1, ZDHHC19, RPL21P57, PLSCR2, METTL7B, KCTD14, SLIT2, IMMP1LP2, STAT4-AS1, LINC03062, MMADHCP2, GPR42, GLDN, UBE2V1P6, OOSP3, F3, HCAR1, LINC01415, MYBPHL, SLC30A4-AS1, RNA5SP237, RCBTB2P1, DNAAF1, COL1A1, CALHM6-AS1, FAM225B, EDNRB, SLC8A2, GLRX3P2, ITPR2-AS1, SFRP1, PDE4DIPP7, HNRNPA1P24, RPL12P19, CIBAR1P1, APOBEC3B-AS1, LINC03019",82.17,38.56,1.68219308129722e-25,24.7741241575694
"23","BNT (V2, D1) UP","ChAd-BNT (V3, D1) UP",269,90,873,359,1142,"ANKRD22, GBP1P1, SERPING1, GBP1, BATF2, GBP4, CXCL10, GBP5, FBXO6, LAMP3, LAP3, SIMALR, IDO1, CD274, P2RY14, ALMS1P1, PSME2, WARS1, UBE2L6, SAMD4A, STAT1, EPSTI1, APOL6, GBP6, FCGR1A, RTP4, TRIM22, PDCD1LG2, MYOF, ATF3, ETV7, STAT2, GCH1, APOL4, SEPTIN4, AIM2, WDFY1, VAMP5, SAMD9L, IFIH1, SPATS2L, IFI35, C2, PML, XAF1, RMI2, DDX60, PARP12, SOCS1, APOL1, CARD17P, CMPK2, PARP9, OAS1, MOV10, TAP1, FCGR1CP, PARP14, IFI44, IFIT3, PSTPIP2, RNF213, ZBP1, TNFSF10, OAS2, GRIN3A, GRAMD1B, GBP2, OAS3, SCO2, IFI6, DHX58, TRIM5, SCARF1, SLAMF8, ISG15, IRF7, RIGI, RSAD2, NUB1, CEACAM1, LGALS3BP, SP140, BISPR, RHBDF2, BST2, TRAFD1, TDRD7, FCGR1BP, IFIT5, TFEC, TMEM268, LINC02555, IFIT2, GBP3, PLSCR1, EIF2AK2, APOL2, ODF3B, ZCCHC2, TYMP, P2RX7, IFI44L, DTX3L, SDC3, TAP2, TNFAIP6, HERC5, SORT1, IFITM3, CALHM6, SAMD9, SLC6A12, OASL, NMI, TNFSF13B, TRIM21, KPTN, ASPHD2, IFI16, LY6E, SMCO4, RUFY4, SECTM1, LACTB, MX1, EPB41L3, RIPK2, LHFPL2, RAB39A, TLR7, TIFA, CXCL9, SIGLEC16, DHRS9, RAB1AP1, DDX60L, TCN2, IRF9, MLKL, USP18, IRF1, IFIT1, STX11, EXOC3L1, C1QC, LRRK2-DT, XXYLT1-AS2, PSME2P1, C1QB, ISG20, IL31RA, GPR84, FBXO39, HELZ2, HERC6, ETV7-AS1, IL27, CLEC6A, LINC02471, LINC02068, FRMD3, SIGLEC1, DOCK4, FAS, KLF5, VPS9D1, AGRN, MT2A, PRRG4, TRIM6, TRPV4, FAM225A, CXCL11, HES4, LPCAT2, CCDC194, SAT1, RSPH9, GK, LINC02773, RN7SKP26, NRN1, RNU7-40P, CCL2, MSR1, CASP5, C15orf48, CACNA1E, PSME2P2, PRAL, MTND5P14, FDPSP3, GARIN4, ACOD1, FAM20A, MUC1, CACNA1A, MTND6P5, MTND4P14, KLHDC7B-DT, CFAP58-DT, ENSG00000272567, IDO2, MTND1P11, MARCO, RN7SL124P, P2RY6, FAM72A, GK-IT1, CCL8, CAPNS2, MIR4736, HESX1, LMNB1-DT, CDHR5, RNF213-AS1, KCNJ2, C1QA, RNU6-275P, FAP, OR51R1P, RPL7AP42, NASPP1, RPS29P14, SLC1A3, BNIP5, CIBAR1, RNU1-100P, CBX3P10, LAP3P2, BCL2L14, LIF, LINC02574, MIR4308, RNU6-1294P, VWA3B, GSDMC, SIGLEC11, DNM1P33, RNU7-41P, JPH4, H2BP2, OR7E100P, CFB, LYPD5, RPS3AP43, LINC00487, FGF13, RPL21P57, PLSCR2, METTL7B, KCTD14, SLIT2, STAT4-AS1, GPR42, GLDN, F3, HCAR1, LINC01415, SLC30A4-AS1, RNA5SP237, COL1A1, FAM225B, SLC8A2, HNRNPA1P24, LINC01474, LINC03019, KRT18P34",74.93,23.56,8.79042166711478e-53,52.0559902917853
"24","BNT (V2, D1) UP","BBIBP (V3, D07) UP",0,359,95,359,95,"",0,0,1.57277078422979e-100,99.8033345668858
"25","BNT (V2, D1) UP","BBIBP (V3, D14) UP",8,351,479,359,492,"EPSTI1, CMPK2, DHX58, IFIT2, KPTN, FAM225A, CCDC194, MARCO",2.23,1.63,8.05487357196775e-231,230.093941271809
"26","BNT (V2, D1) UP","BBIBP (V3, D28) UP",3,356,473,359,492,"FCGR1A, CDHR5, SMTNL1",0.84,0.61,5.64529550695007e-239,238.248313319695
"27","BNT (V2, D1) UP","ZF2001 (V3, D07) UP",8,351,464,359,476,"CXCL10, FCGR1A, DDX60, TLR7, CCL2, C15orf48, MARCO, NASPP1",2.23,1.68,3.03131723946845e-227,226.5183686106
"28","BNT (V2, D1) UP","ZF2001 (V3, D14) UP",1,358,390,359,395,"CCL2",0.28,0.25,8.59949450448129e-222,221.065527076706
"29","BNT (V2, D1) UP","ZF2001 (V3, D28) UP",1,358,131,359,133,"CXCL10",0.28,0.75,9.04522706999804e-121,120.043580526205
"30","BNT (V2, D1) UP","ChAd (V1, D3) UP",117,242,233,359,350,"ANKRD22, GBP1P1, SERPING1, GBP1, BATF2, GBP4, CXCL10, GBP5, FBXO6, LAMP3, LAP3, IDO1, PSME2, UBE2L6, SAMD4A, STAT1, EPSTI1, FCGR1A, RTP4, PDCD1LG2, MYOF, ETV7, APOL4, AIM2, VAMP5, SPATS2L, IFI35, C2, XAF1, DDX60, CMPK2, PARP9, OAS1, IFI44, IFIT3, PSTPIP2, TNFSF10, OAS2, OAS3, IFI6, SLAMF8, ISG15, IRF7, RSAD2, LGALS3BP, OTOF, PLSCR1, ODF3B, TYMP, IFI44L, SDC3, IFITM3, SLC6A12, OASL, CTSL, LY6E, SMCO4, RUFY4, SECTM1, MX1, EPB41L3, RAB39A, TLR7, CXCL9, DHRS9, TCN2, USP18, IFIT1, EXOC3L1, C1QC, C1QB, IL31RA, GPR84, FBXO39, HERC6, IL27, CLEC6A, FRMD3, SIGLEC1, AGRN, MT2A, TRPV4, FAM225A, KCNJ10, CXCL11, HES4, NRIR, NGFR, CCL2, MSR1, CASP5, FAM20A, IDO2, MARCO, P2RY6, CCL8, HESX1, C1QA, CDC45, KCNMA1, BCL2L14, GBP7, SIGLEC11, IFI27, JPH4, CFB, LYPD5, LINC00487, METTL7B, SLIT2, GLDN, FAM225B, EDNRB, EXOC3L4, CD276, CCL25, DPYS",32.59,33.43,7.17877248282887e-76,75.1439498105641
