genes,infection_vaccination,n_conditions,comparison
PRKCA,Infection,5,Infection only
PRKCG,Infection,5,Infection only
PRMT7,Infection,5,Infection only
PRR16,Infection,5,Infection only
PRR29,Infection,5,Infection only
PRR34,Infection,5,Infection only
PRRG1,Infection,5,Infection only
PRSS30P,Infection,5,Infection only
PRSS58,Infection,5,Infection only
PSMB3,Infection,5,Infection only
PTGDR2,Infection,5,Infection only
PTH2R,Infection,5,Infection only
PTPRM,Infection,5,Infection only
PTPRS,Infection,5,Infection only
PWARSN,Infection,5,Infection only
PXYLP1,Infection,5,Infection only
PYCR1,Infection,5,Infection only
QSOX1,Infection,5,Infection only
R3HDM4,Infection,5,Infection only
RAB21,Infection,5,Infection only
RAB25,Infection,5,Infection only
RAB5A,Infection,5,Infection only
RABAC1,Infection,5,Infection only
RAF1,Infection,5,Infection only
RAP1A,Infection,5,Infection only
RAPGEFL1,Infection,5,Infection only
RASGRF2,Infection,5,Infection only
RASSF8,Infection,5,Infection only
RBMS1,Infection,5,Infection only
RDH13,Infection,5,Infection only
REG4,Infection,5,Infection only
REXO4,Infection,5,Infection only
RGL1,Infection,5,Infection only
RGS18,Infection,5,Infection only
RHBDF2,Infection,5,Infection only
RHPN1,Infection,5,Infection only
RNF126,Infection,5,Infection only
RNF181,Infection,5,Infection only
RNF43,Infection,5,Infection only
RNFT2,Infection,5,Infection only
ROGDI,Infection,5,Infection only
RPL12,Infection,5,Infection only
RPL26L1,Infection,5,Infection only
RPL36,Infection,5,Infection only
RPL36A,Infection,5,Infection only
RPL7,Infection,5,Infection only
RPS18,Infection,5,Infection only
RPS2,Infection,5,Infection only
RPS27A,Infection,5,Infection only
RPS8,Infection,5,Infection only
RSBN1,Infection,5,Infection only
RUFY4,Infection,5,Infection only
S1PR5,Infection,5,Infection only
SATB1-AS1,Infection,5,Infection only
SAXO2,Infection,5,Infection only
SCN2B,Infection,5,Infection only
SCNN1D,Infection,5,Infection only
SCUBE2,Infection,5,Infection only
SDAD1,Infection,5,Infection only
SDC4,Infection,5,Infection only
SDK1,Infection,5,Infection only
SELENBP1,Infection,5,Infection only
SELK,Infection,5,Infection only
SEMA3B-AS1,Infection,5,Infection only
SEMA4A,Infection,5,Infection only
SEMA4F,Infection,5,Infection only
SEMA6C,Infection,5,Infection only
SEMA7A,Infection,5,Infection only
SEPT8,Infection,5,Infection only
SEPT9,Infection,5,Infection only
SERPINA1,Infection,5,Infection only
SFT2D1,Infection,5,Infection only
SGCD,Infection,5,Infection only
SGK1,Infection,5,Infection only
SH3BP4,Infection,5,Infection only
SH3YL1,Infection,5,Infection only
SHISA4,Infection,5,Infection only
SHOC2,Infection,5,Infection only
SIAH3,Infection,5,Infection only
SIDT1,Infection,5,Infection only
SIRPG,Infection,5,Infection only
SLC19A2,Infection,5,Infection only
SLC22A17,Infection,5,Infection only
SLC25A45,Infection,5,Infection only
SLC26A1,Infection,5,Infection only
SLC27A3,Infection,5,Infection only
SLC28A3,Infection,5,Infection only
SLC35A2,Infection,5,Infection only
SLC5A10,Infection,5,Infection only
SLITRK4,Infection,5,Infection only
SMIM14,Infection,5,Infection only
SMPD3,Infection,5,Infection only
SNORA21,Infection,5,Infection only
SNORA51,Infection,5,Infection only
SNORA80E,Infection,5,Infection only
SNORD1A,Infection,5,Infection only
SNORD31,Infection,5,Infection only
SNORD45C,Infection,5,Infection only
SNORD54,Infection,5,Infection only
SNX16,Infection,5,Infection only
SNX29P1,Infection,5,Infection only
SOCS2,Infection,5,Infection only
SOCS5,Infection,5,Infection only
SOGA3,Infection,5,Infection only
SOX13,Infection,5,Infection only
SPATA1,Infection,5,Infection only
SPATA2,Infection,5,Infection only
SPATC1,Infection,5,Infection only
SPIB,Infection,5,Infection only
SPINK9,Infection,5,Infection only
SPRED1,Infection,5,Infection only
SPRN,Infection,5,Infection only
SPTBN5,Infection,5,Infection only
SRGAP2,Infection,5,Infection only
ST6GALNAC3,Infection,5,Infection only
ST8SIA1,Infection,5,Infection only
STAB1,Infection,5,Infection only
STARD10,Infection,5,Infection only
STX1B,Infection,5,Infection only
SYNGAP1,Infection,5,Infection only
SYT15,Infection,5,Infection only
TAB1,Infection,5,Infection only
TANK,Infection,5,Infection only
TAS2R3,Infection,5,Infection only
TAS2R40,Infection,5,Infection only
TBC1D19,Infection,5,Infection only
TBC1D8,Infection,5,Infection only
TBL3,Infection,5,Infection only
TCEAL1,Infection,5,Infection only
TESK2,Infection,5,Infection only
TEX29,Infection,5,Infection only
TFF3,Infection,5,Infection only
THOP1,Infection,5,Infection only
TK1,Infection,5,Infection only
TLE1,Infection,5,Infection only
TLR8-AS1,Infection,5,Infection only
TMC8,Infection,5,Infection only
TMEM102,Infection,5,Infection only
TMEM123,Infection,5,Infection only
TMEM144,Infection,5,Infection only
TMEM191A,Infection,5,Infection only
TMEM52B,Infection,5,Infection only
TMEM67,Infection,5,Infection only
TMEM8B,Infection,5,Infection only
TMEM92-AS1,Infection,5,Infection only
TMIE,Infection,5,Infection only
TNFAIP8L3,Infection,5,Infection only
TNFRSF21,Infection,5,Infection only
TNIP1,Infection,5,Infection only
TNKS1BP1,Infection,5,Infection only
TNNT1,Infection,5,Infection only
TNNT3,Infection,5,Infection only
TNS1,Infection,5,Infection only
TOMM40L,Infection,5,Infection only
TP53I3,Infection,5,Infection only
TRAP1,Infection,5,Infection only
TREX2,Infection,5,Infection only
TRIM14,Infection,5,Infection only
TRIM69,Infection,5,Infection only
TSEN2,Infection,5,Infection only
TSEN54,Infection,5,Infection only
TSNAX,Infection,5,Infection only
TTC16,Infection,5,Infection only
TTC39C-AS1,Infection,5,Infection only
TTYH3,Infection,5,Infection only
TUBB2A,Infection,5,Infection only
TUBGCP6,Infection,5,Infection only
TXLNB,Infection,5,Infection only
TXNDC2,Infection,5,Infection only
TYMP,Infection,5,Infection only
TYSND1,Infection,5,Infection only
UBC,Infection,5,Infection only
UBE2A,Infection,5,Infection only
UBE2D3,Infection,5,Infection only
UBE2R2,Infection,5,Infection only
UBE2W,Infection,5,Infection only
UBL5,Infection,5,Infection only
UBQLNL,Infection,5,Infection only
UBXN2B,Infection,5,Infection only
UHRF1BP1L,Infection,5,Infection only
UIMC1,Infection,5,Infection only
USP10,Infection,5,Infection only
USP20,Infection,5,Infection only
UST,Infection,5,Infection only
VASP,Infection,5,Infection only
VCPKMT,Infection,5,Infection only
VIPR2,Infection,5,Infection only
VPREB3,Infection,5,Infection only
VPS9D1,Infection,5,Infection only
WDR24,Infection,5,Infection only
WDR3,Infection,5,Infection only
WDR62,Infection,5,Infection only
WDR66,Infection,5,Infection only
WDR83OS,Infection,5,Infection only
WDR89,Infection,5,Infection only
YIPF2,Infection,5,Infection only
YJEFN3,Infection,5,Infection only
ZBTB16,Infection,5,Infection only
ZCCHC18,Infection,5,Infection only
ZCCHC6,Infection,5,Infection only
ZDHHC17,Infection,5,Infection only
ZFP28,Infection,5,Infection only
ZFP64,Infection,5,Infection only
ZMYM3,Infection,5,Infection only
ZMYND11,Infection,5,Infection only
ZNF14,Infection,5,Infection only
ZNF141,Infection,5,Infection only
ZNF154,Infection,5,Infection only
ZNF157,Infection,5,Infection only
ZNF16,Infection,5,Infection only
ZNF204P,Infection,5,Infection only
ZNF227,Infection,5,Infection only
ZNF230,Infection,5,Infection only
ZNF239,Infection,5,Infection only
ZNF280B,Infection,5,Infection only
ZNF286A,Infection,5,Infection only
ZNF354B,Infection,5,Infection only
ZNF385A,Infection,5,Infection only
ZNF429,Infection,5,Infection only
ZNF43,Infection,5,Infection only
ZNF439,Infection,5,Infection only
ZNF528,Infection,5,Infection only
ZNF544,Infection,5,Infection only
ZNF550,Infection,5,Infection only
ZNF552,Infection,5,Infection only
ZNF555,Infection,5,Infection only
ZNF566,Infection,5,Infection only
ZNF571-AS1,Infection,5,Infection only
ZNF572,Infection,5,Infection only
ZNF607,Infection,5,Infection only
ZNF614,Infection,5,Infection only
ZNF626,Infection,5,Infection only
ZNF684,Infection,5,Infection only
ZNF772,Infection,5,Infection only
ZSCAN12,Infection,5,Infection only
ZSWIM5,Infection,5,Infection only
ZWINT,Infection,5,Infection only
ADGRG2,Vaccination,5,Vaccination only
APOBEC3B,Vaccination,5,Vaccination only
APOL4,Vaccination,5,Vaccination only
ATP5MC2P3,Vaccination,5,Vaccination only
B3GALNT1P1,Vaccination,5,Vaccination only
BLZF2P,Vaccination,5,Vaccination only
C15orf48,Vaccination,5,Vaccination only
C16orf89,Vaccination,5,Vaccination only
C3orf70,Vaccination,5,Vaccination only
CA1,Vaccination,5,Vaccination only
CA4,Vaccination,5,Vaccination only
CABP1,Vaccination,5,Vaccination only
CALB1,Vaccination,5,Vaccination only
CAPN13,Vaccination,5,Vaccination only
CBLL1P1,Vaccination,5,Vaccination only
CCN4,Vaccination,5,Vaccination only
CDC25C,Vaccination,5,Vaccination only
CEP55,Vaccination,5,Vaccination only
CERS1,Vaccination,5,Vaccination only
CFAP100,Vaccination,5,Vaccination only
CHRM4,Vaccination,5,Vaccination only
CHRNA2,Vaccination,5,Vaccination only
CNTN2,Vaccination,5,Vaccination only
CPXM2,Vaccination,5,Vaccination only
CR1L,Vaccination,5,Vaccination only
CREB3L1,Vaccination,5,Vaccination only
CXCL10,Vaccination,5,Vaccination only
DCC,Vaccination,5,Vaccination only
DMRTC1B,Vaccination,5,Vaccination only
EIF4BP5,Vaccination,5,Vaccination only
ENAM,Vaccination,5,Vaccination only
ENTPD2,Vaccination,5,Vaccination only
EREG,Vaccination,5,Vaccination only
ERVFRD-3,Vaccination,5,Vaccination only
F3,Vaccination,5,Vaccination only
FAM110D,Vaccination,5,Vaccination only
FAM133EP,Vaccination,5,Vaccination only
FAXC,Vaccination,5,Vaccination only
FCF1P1,Vaccination,5,Vaccination only
FFAR2,Vaccination,5,Vaccination only
FOSB,Vaccination,5,Vaccination only
FUT1,Vaccination,5,Vaccination only
GBP1P1,Vaccination,5,Vaccination only
GCKR,Vaccination,5,Vaccination only
GDF1,Vaccination,5,Vaccination only
GINS2,Vaccination,5,Vaccination only
GJB6,Vaccination,5,Vaccination only
GJB7,Vaccination,5,Vaccination only
GLDN,Vaccination,5,Vaccination only
GLP2R,Vaccination,5,Vaccination only
GLRX5P3,Vaccination,5,Vaccination only
H1-6,Vaccination,5,Vaccination only
H2AZP2,Vaccination,5,Vaccination only
H3C5P,Vaccination,5,Vaccination only
HBA2,Vaccination,5,Vaccination only
HIGD1AP17,Vaccination,5,Vaccination only
HIKESHIP2,Vaccination,5,Vaccination only
HMGN1P36,Vaccination,5,Vaccination only
HNRNPA1P3,Vaccination,5,Vaccination only
HSPA8P3,Vaccination,5,Vaccination only
IFIT1B,Vaccination,5,Vaccination only
IGF1,Vaccination,5,Vaccination only
IGHG1,Vaccination,5,Vaccination only
IGHV3-49,Vaccination,5,Vaccination only
IGKV1-6,Vaccination,5,Vaccination only
IGLV2-11,Vaccination,5,Vaccination only
IL1B,Vaccination,5,Vaccination only
KASH5,Vaccination,5,Vaccination only
KAZN,Vaccination,5,Vaccination only
KIF4A,Vaccination,5,Vaccination only
KIF5C,Vaccination,5,Vaccination only
KIFC1,Vaccination,5,Vaccination only
KRT18P4,Vaccination,5,Vaccination only
LAMB1,Vaccination,5,Vaccination only
LAMB3,Vaccination,5,Vaccination only
LOXL4,Vaccination,5,Vaccination only
LRRC73,Vaccination,5,Vaccination only
MCM10,Vaccination,5,Vaccination only
MTND4P23,Vaccination,5,Vaccination only
MYOM3,Vaccination,5,Vaccination only
NDUFA5P11,Vaccination,5,Vaccination only
NDUFAB1P1,Vaccination,5,Vaccination only
NEBL,Vaccination,5,Vaccination only
OSR2,Vaccination,5,Vaccination only
OTUD4P1,Vaccination,5,Vaccination only
PDCL3P5,Vaccination,5,Vaccination only
PDE4C,Vaccination,5,Vaccination only
PDIA2,Vaccination,5,Vaccination only
PDSS1P1,Vaccination,5,Vaccination only
PHACTR2P1,Vaccination,5,Vaccination only
PLA1A,Vaccination,5,Vaccination only
PLAU,Vaccination,5,Vaccination only
PPP1R1A,Vaccination,5,Vaccination only
PSMA2P1,Vaccination,5,Vaccination only
PTPRVP,Vaccination,5,Vaccination only
RAB1AP1,Vaccination,5,Vaccination only
RAPSN,Vaccination,5,Vaccination only
RBPMSLP,Vaccination,5,Vaccination only
RCOR2,Vaccination,5,Vaccination only
RNA5SP493,Vaccination,5,Vaccination only
RNA5SP514,Vaccination,5,Vaccination only
RPL10P9,Vaccination,5,Vaccination only
RPL17P28,Vaccination,5,Vaccination only
RPL21P44,Vaccination,5,Vaccination only
RPL21P48,Vaccination,5,Vaccination only
RPL7P18,Vaccination,5,Vaccination only
RPS20P2,Vaccination,5,Vaccination only
RPS27P16,Vaccination,5,Vaccination only
RPS3AP28,Vaccination,5,Vaccination only
RPS3AP38,Vaccination,5,Vaccination only
RXFP4,Vaccination,5,Vaccination only
SCN3B,Vaccination,5,Vaccination only
SGCD,Vaccination,5,Vaccination only
SHH,Vaccination,5,Vaccination only
SLC16A12,Vaccination,5,Vaccination only
SLC1A2,Vaccination,5,Vaccination only
SLCO2B1,Vaccination,5,Vaccination only
SLIT3,Vaccination,5,Vaccination only
SPATA32,Vaccination,5,Vaccination only
SPP1,Vaccination,5,Vaccination only
SRP14P5,Vaccination,5,Vaccination only
ST13P15,Vaccination,5,Vaccination only
TDGF1P6,Vaccination,5,Vaccination only
TLL2,Vaccination,5,Vaccination only
TMEM82,Vaccination,5,Vaccination only
TPM3P7,Vaccination,5,Vaccination only
TPT1P10,Vaccination,5,Vaccination only
TPTEP2,Vaccination,5,Vaccination only
TSPO2,Vaccination,5,Vaccination only
TYMS,Vaccination,5,Vaccination only
UBE2V1P1,Vaccination,5,Vaccination only
UNC13A,Vaccination,5,Vaccination only
VANGL2,Vaccination,5,Vaccination only
VINAC1P,Vaccination,5,Vaccination only
WFDC1,Vaccination,5,Vaccination only
YES1P1,Vaccination,5,Vaccination only
ZNF415P1,Vaccination,5,Vaccination only
SCN2B,Infection,5,Infection and vaccination
SELENBP1,Infection,5,Infection and vaccination
APOBEC3B,Vaccination,5,Infection and vaccination
APOL4,Vaccination,5,Infection and vaccination
C15orf48,Vaccination,5,Infection and vaccination
C16orf89,Vaccination,5,Infection and vaccination
C3orf70,Vaccination,5,Infection and vaccination
CA1,Vaccination,5,Infection and vaccination
CA4,Vaccination,5,Infection and vaccination
CABP1,Vaccination,5,Infection and vaccination
CALB1,Vaccination,5,Infection and vaccination
CAPN13,Vaccination,5,Infection and vaccination
CDC25C,Vaccination,5,Infection and vaccination
CEP55,Vaccination,5,Infection and vaccination
CHRM4,Vaccination,5,Infection and vaccination
CHRNA2,Vaccination,5,Infection and vaccination
CPXM2,Vaccination,5,Infection and vaccination
CR1L,Vaccination,5,Infection and vaccination
CXCL10,Vaccination,5,Infection and vaccination
ENAM,Vaccination,5,Infection and vaccination
ENTPD2,Vaccination,5,Infection and vaccination
EREG,Vaccination,5,Infection and vaccination
F3,Vaccination,5,Infection and vaccination
FFAR2,Vaccination,5,Infection and vaccination
FOSB,Vaccination,5,Infection and vaccination
FUT1,Vaccination,5,Infection and vaccination
GBP1P1,Vaccination,5,Infection and vaccination
GCKR,Vaccination,5,Infection and vaccination
GINS2,Vaccination,5,Infection and vaccination
GJB6,Vaccination,5,Infection and vaccination
GJB7,Vaccination,5,Infection and vaccination
GLDN,Vaccination,5,Infection and vaccination
GLP2R,Vaccination,5,Infection and vaccination
HBA2,Vaccination,5,Infection and vaccination
IFIT1B,Vaccination,5,Infection and vaccination
IGF1,Vaccination,5,Infection and vaccination
IL1B,Vaccination,5,Infection and vaccination
KAZN,Vaccination,5,Infection and vaccination
KIF4A,Vaccination,5,Infection and vaccination
KIF5C,Vaccination,5,Infection and vaccination
KIF5C,Infection,5,Infection and vaccination
KIFC1,Vaccination,5,Infection and vaccination
LAMB1,Vaccination,5,Infection and vaccination
LAMB3,Vaccination,5,Infection and vaccination
LOXL4,Vaccination,5,Infection and vaccination
MCM10,Vaccination,5,Infection and vaccination
NEBL,Vaccination,5,Infection and vaccination
PDE4C,Vaccination,5,Infection and vaccination
PDE4C,Infection,5,Infection and vaccination
PLA1A,Vaccination,5,Infection and vaccination
PLAU,Vaccination,5,Infection and vaccination
PPP1R1A,Vaccination,5,Infection and vaccination
RPL21P44,Vaccination,5,Infection and vaccination
RXFP4,Vaccination,5,Infection and vaccination
SCN3B,Vaccination,5,Infection and vaccination
SGCD,Vaccination,5,Infection and vaccination
SGCD,Infection,5,Infection and vaccination
SLC16A12,Vaccination,5,Infection and vaccination
SLC1A2,Vaccination,5,Infection and vaccination
SLCO2B1,Vaccination,5,Infection and vaccination
SLIT3,Vaccination,5,Infection and vaccination
SPATA32,Vaccination,5,Infection and vaccination
TLL2,Vaccination,5,Infection and vaccination
TSPO2,Vaccination,5,Infection and vaccination
TYMS,Vaccination,5,Infection and vaccination
WFDC1,Vaccination,5,Infection and vaccination
CENPF,Infection,5,Infection and vaccination
CTAGE7P,Infection,5,Infection and vaccination
DNAH9,Infection,5,Infection and vaccination
FER1L4,Infection,5,Infection and vaccination
FZD4,Infection,5,Infection and vaccination
LINGO2,Infection,5,Infection and vaccination
OR2B6,Infection,5,Infection and vaccination
TAS2R3,Infection,5,Infection and vaccination
TEX29,Infection,5,Infection and vaccination
ACBD7,Infection,5,Infection and vaccination
C10orf82,Infection,5,Infection and vaccination
CDC42EP2,Infection,5,Infection and vaccination
CLVS1,Infection,5,Infection and vaccination
DNAH3,Infection,5,Infection and vaccination
ERICH3,Infection,5,Infection and vaccination
GNAZ,Infection,5,Infection and vaccination
HIST1H2BO,Infection,5,Infection and vaccination
IGLL5,Infection,5,Infection and vaccination
LINC00672,Infection,5,Infection and vaccination
MIR4454,Infection,5,Infection and vaccination
MND1,Infection,5,Infection and vaccination
MUC12,Infection,5,Infection and vaccination
PARD3B,Infection,5,Infection and vaccination
PAX6,Infection,5,Infection and vaccination
PYCR1,Infection,5,Infection and vaccination
TFF3,Infection,5,Infection and vaccination
TUBB2A,Infection,5,Infection and vaccination
AHCTF1P1,Infection,5,Infection and vaccination
ALPK3,Infection,5,Infection and vaccination
ANTXRL,Infection,5,Infection and vaccination
ATF3,Infection,5,Infection and vaccination
BSN,Infection,5,Infection and vaccination
BTN1A1,Infection,5,Infection and vaccination
CACNG6,Infection,5,Infection and vaccination
CLDN18,Infection,5,Infection and vaccination
CMTM2,Infection,5,Infection and vaccination
CRYBA1,Infection,5,Infection and vaccination
DUSP8,Infection,5,Infection and vaccination
GOLGA6C,Infection,5,Infection and vaccination
GPR143,Infection,5,Infection and vaccination
HBB,Infection,5,Infection and vaccination
IER3,Infection,5,Infection and vaccination
INHBA-AS1,Infection,5,Infection and vaccination
KIF11,Infection,5,Infection and vaccination
LGALS3BP,Infection,5,Infection and vaccination
LGR6,Infection,5,Infection and vaccination
LOC101928977,Infection,5,Infection and vaccination
LOC284648,Infection,5,Infection and vaccination
LRRC70,Infection,5,Infection and vaccination
MIR5587,Infection,5,Infection and vaccination
MIR628,Infection,5,Infection and vaccination
MIR765,Infection,5,Infection and vaccination
MZT2A,Infection,5,Infection and vaccination
ORM2,Infection,5,Infection and vaccination
PDCD1,Infection,5,Infection and vaccination
PLAT,Infection,5,Infection and vaccination
PLSCR4,Infection,5,Infection and vaccination
PRCD,Infection,5,Infection and vaccination
PRKCG,Infection,5,Infection and vaccination
RNFT2,Infection,5,Infection and vaccination
RUFY4,Infection,5,Infection and vaccination
SDK1,Infection,5,Infection and vaccination
TMEM52B,Infection,5,Infection and vaccination
TNS1,Infection,5,Infection and vaccination
VIPR2,Infection,5,Infection and vaccination
YJEFN3,Infection,5,Infection and vaccination
ZWINT,Infection,5,Infection and vaccination
ADAMTS14,Infection,5,Infection and vaccination
AGRN,Infection,5,Infection and vaccination
ALDH7A1,Infection,5,Infection and vaccination
AMPH,Infection,5,Infection and vaccination
ANKHD1-EIF4EBP3,Infection,5,Infection and vaccination
ATP1B1,Infection,5,Infection and vaccination
C1orf177,Infection,5,Infection and vaccination
C21orf62,Infection,5,Infection and vaccination
C21orf91-OT1,Infection,5,Infection and vaccination
C2orf48,Infection,5,Infection and vaccination
C5orf64,Infection,5,Infection and vaccination
CCDC150,Infection,5,Infection and vaccination
CCDC17,Infection,5,Infection and vaccination
CCM2L,Infection,5,Infection and vaccination
CDH5,Infection,5,Infection and vaccination
CEACAM4,Infection,5,Infection and vaccination
CRELD1,Infection,5,Infection and vaccination
DGKH,Infection,5,Infection and vaccination
EIF4A3,Infection,5,Infection and vaccination
EXOC3L1,Infection,5,Infection and vaccination
FAM221B,Infection,5,Infection and vaccination
FGFR4,Infection,5,Infection and vaccination
GPBAR1,Infection,5,Infection and vaccination
HIST2H2BC,Infection,5,Infection and vaccination
KCNH2,Infection,5,Infection and vaccination
KCNK10,Infection,5,Infection and vaccination
KLK14,Infection,5,Infection and vaccination
KRT2,Infection,5,Infection and vaccination
LCN10,Infection,5,Infection and vaccination
LOC100289561,Infection,5,Infection and vaccination
LOC101927043,Infection,5,Infection and vaccination
LOC101927543,Infection,5,Infection and vaccination
LOC145474,Infection,5,Infection and vaccination
LOC399815,Infection,5,Infection and vaccination
MIR4441,Infection,5,Infection and vaccination
MS4A3,Infection,5,Infection and vaccination
MUC20,Infection,5,Infection and vaccination
NETO1,Infection,5,Infection and vaccination
NNMT,Infection,5,Infection and vaccination
NOCT,Infection,5,Infection and vaccination
ODF3B,Infection,5,Infection and vaccination
P3H3,Infection,5,Infection and vaccination
PLSCR2,Infection,5,Infection and vaccination
PODN,Infection,5,Infection and vaccination
PP2D1,Infection,5,Infection and vaccination
PRKCA,Infection,5,Infection and vaccination
PRSS30P,Infection,5,Infection and vaccination
PTH2R,Infection,5,Infection and vaccination
PWARSN,Infection,5,Infection and vaccination
RAB25,Infection,5,Infection and vaccination
RASGRF2,Infection,5,Infection and vaccination
RGL1,Infection,5,Infection and vaccination
RGS18,Infection,5,Infection and vaccination
SATB1-AS1,Infection,5,Infection and vaccination
SCUBE2,Infection,5,Infection and vaccination
SDC4,Infection,5,Infection and vaccination
SEMA3B-AS1,Infection,5,Infection and vaccination
SGK1,Infection,5,Infection and vaccination
SH3YL1,Infection,5,Infection and vaccination
SIAH3,Infection,5,Infection and vaccination
SNORA80E,Infection,5,Infection and vaccination
SPINK9,Infection,5,Infection and vaccination
STX1B,Infection,5,Infection and vaccination
SYT15,Infection,5,Infection and vaccination
TK1,Infection,5,Infection and vaccination
TNNT1,Infection,5,Infection and vaccination
TYMP,Infection,5,Infection and vaccination
A2MP1,Infection,4,Infection only
AARS,Infection,4,Infection only
AATBC,Infection,4,Infection only
ABCA9,Infection,4,Infection only
ABCB4,Infection,4,Infection only
ABHD14B,Infection,4,Infection only
ABHD16A,Infection,4,Infection only
ABHD17A,Infection,4,Infection only
ACBD4,Infection,4,Infection only
ACCSL,Infection,4,Infection only
ACER3,Infection,4,Infection only
ACO1,Infection,4,Infection only
ACSS3,Infection,4,Infection only
ACVR1C,Infection,4,Infection only
ADAMDEC1,Infection,4,Infection only
ADAMTS5,Infection,4,Infection only
ADAMTS7P1,Infection,4,Infection only
ADAMTSL5,Infection,4,Infection only
ADAP2,Infection,4,Infection only
ADGRA2,Infection,4,Infection only
ADSSL1,Infection,4,Infection only
AFF3,Infection,4,Infection only
AGAP7P,Infection,4,Infection only
AGPAT9,Infection,4,Infection only
AIG1,Infection,4,Infection only
AKAP1,Infection,4,Infection only
AKAP7,Infection,4,Infection only
AKT3,Infection,4,Infection only
ALAS1,Infection,4,Infection only
ALAS2,Infection,4,Infection only
ALDH18A1,Infection,4,Infection only
ALDH5A1,Infection,4,Infection only
ALKBH8,Infection,4,Infection only
ANGPT1,Infection,4,Infection only
ANKRD13A,Infection,4,Infection only
ANKRD13B,Infection,4,Infection only
ANKRD16,Infection,4,Infection only
ANKRD2,Infection,4,Infection only
ANKRD36,Infection,4,Infection only
ANKRD36C,Infection,4,Infection only
ANKS6,Infection,4,Infection only
ANKUB1,Infection,4,Infection only
ANO5,Infection,4,Infection only
ANO8,Infection,4,Infection only
ANXA10,Infection,4,Infection only
ANXA6,Infection,4,Infection only
AOC2,Infection,4,Infection only
APEX1,Infection,4,Infection only
APMAP,Infection,4,Infection only
APOA2,Infection,4,Infection only
APOLD1,Infection,4,Infection only
ARFGAP3,Infection,4,Infection only
ARHGAP33,Infection,4,Infection only
ARHGEF10L,Infection,4,Infection only
ARL4C,Infection,4,Infection only
ARPC2,Infection,4,Infection only
ARVCF,Infection,4,Infection only
ASAH2B,Infection,4,Infection only
ASAP1,Infection,4,Infection only
ATAD3B,Infection,4,Infection only
ATIC,Infection,4,Infection only
ATP6V0E1,Infection,4,Infection only
ATP6V1C1,Infection,4,Infection only
ATP8B4,Infection,4,Infection only
B3GAT1,Infection,4,Infection only
B4GALT4,Infection,4,Infection only
BACH2,Infection,4,Infection only
BAHCC1,Infection,4,Infection only
BAZ1A,Infection,4,Infection only
BBS5,Infection,4,Infection only
BCL2L15,Infection,4,Infection only
BISPR,Infection,4,Infection only
BLVRB,Infection,4,Infection only
BNIP2,Infection,4,Infection only
BOK,Infection,4,Infection only
BPHL,Infection,4,Infection only
BTN2A3P,Infection,4,Infection only
BVES,Infection,4,Infection only
C10orf25,Infection,4,Infection only
C10orf35,Infection,4,Infection only
C11orf45,Infection,4,Infection only
C15orf39,Infection,4,Infection only
C15orf54,Infection,4,Infection only
C15orf65,Infection,4,Infection only
C16orf52,Infection,4,Infection only
C16orf58,Infection,4,Infection only
C1RL-AS1,Infection,4,Infection only
C1orf74,Infection,4,Infection only
C2-AS1,Infection,4,Infection only
C20orf197,Infection,4,Infection only
C21orf140,Infection,4,Infection only
C2orf69,Infection,4,Infection only
C4orf45,Infection,4,Infection only
C6orf163,Infection,4,Infection only
C8orf37,Infection,4,Infection only
C8orf82,Infection,4,Infection only
C8orf88,Infection,4,Infection only
CAMSAP2,Infection,4,Infection only
CAND2,Infection,4,Infection only
CAPN10,Infection,4,Infection only
CAPN14,Infection,4,Infection only
CAPNS2,Infection,4,Infection only
CARNS1,Infection,4,Infection only
CCDC124,Infection,4,Infection only
CCDC126,Infection,4,Infection only
CCDC142,Infection,4,Infection only
CCDC154,Infection,4,Infection only
CCDC170,Infection,4,Infection only
CCDC28A,Infection,4,Infection only
CCDC59,Infection,4,Infection only
CCDC65,Infection,4,Infection only
CCDC68,Infection,4,Infection only
CCDC86,Infection,4,Infection only
CCDC92,Infection,4,Infection only
CCNE2,Infection,4,Infection only
CCR3,Infection,4,Infection only
CCR8,Infection,4,Infection only
CD200,Infection,4,Infection only
CD200R1L,Infection,4,Infection only
CD300E,Infection,4,Infection only
CD72,Infection,4,Infection only
CD8A,Infection,4,Infection only
CDCA3,Infection,4,Infection only
CDHR5,Infection,4,Infection only
CDK15,Infection,4,Infection only
CDON,Infection,4,Infection only
CELA1,Infection,4,Infection only
CENPT,Infection,4,Infection only
CEP131,Infection,4,Infection only
CEP170B,Infection,4,Infection only
CERCAM,Infection,4,Infection only
CFAP97,Infection,4,Infection only
CHCHD2,Infection,4,Infection only
CHKB-AS1,Infection,4,Infection only
CHRNA2,Infection,4,Infection only
CHST8,Infection,4,Infection only
CLCF1,Infection,4,Infection only
CLEC12A,Infection,4,Infection only
CLIC4,Infection,4,Infection only
CLMP,Infection,4,Infection only
CMTM1,Infection,4,Infection only
CMTM4,Infection,4,Infection only
CNBP,Infection,4,Infection only
COBLL1,Infection,4,Infection only
COLGALT2,Infection,4,Infection only
COQ4,Infection,4,Infection only
CPM,Infection,4,Infection only
CPSF3L,Infection,4,Infection only
CRABP2,Infection,4,Infection only
CRADD,Infection,4,Infection only
CRHBP,Infection,4,Infection only
CRIPAK,Infection,4,Infection only
CRYZ,Infection,4,Infection only
