genes,infection_vaccination,n_conditions,comparison
MIR4263,Infection,12,Infection only
MIR5586,Infection,12,Infection only
MIR579,Infection,12,Infection only
MPO,Infection,12,Infection only
MT2A,Infection,12,Infection only
NEBL,Infection,12,Infection only
NELL2,Infection,12,Infection only
OAS1,Infection,12,Infection only
OAS3,Infection,12,Infection only
P2RY10,Infection,12,Infection only
PFKFB2,Infection,12,Infection only
PLSCR1,Infection,12,Infection only
RASSF6,Infection,12,Infection only
RD3L,Infection,12,Infection only
RMI2,Infection,12,Infection only
RSAD2,Infection,12,Infection only
SIGLEC1,Infection,12,Infection only
SKA1,Infection,12,Infection only
SLC9A4,Infection,12,Infection only
SNORA61,Infection,12,Infection only
SNORD12,Infection,12,Infection only
SNORD1B,Infection,12,Infection only
TPX2,Infection,12,Infection only
TTC3P1,Infection,12,Infection only
UBE2J1,Infection,12,Infection only
USP18,Infection,12,Infection only
VSIG10L,Infection,12,Infection only
XAF1,Infection,12,Infection only
ZCCHC2,Infection,12,Infection only
ZFP37,Infection,12,Infection only
ZNF287,Infection,12,Infection only
ZNF416,Infection,12,Infection only
ZNF438,Infection,12,Infection only
SKA1,Infection,12,Infection and vaccination
NEBL,Infection,12,Infection and vaccination
CDK1,Infection,12,Infection and vaccination
DTL,Infection,12,Infection and vaccination
E2F7,Infection,12,Infection and vaccination
KIAA0101,Infection,12,Infection and vaccination
KIF23,Infection,12,Infection and vaccination
SLC9A4,Infection,12,Infection and vaccination
EXO1,Infection,12,Infection and vaccination
ISG15,Infection,12,Infection and vaccination
TPX2,Infection,12,Infection and vaccination
BUB1B,Infection,12,Infection and vaccination
FIGNL2,Infection,12,Infection and vaccination
KLF10,Infection,12,Infection and vaccination
MARCKS,Infection,12,Infection and vaccination
MIR5586,Infection,12,Infection and vaccination
MIR579,Infection,12,Infection and vaccination
OAS1,Infection,12,Infection and vaccination
RSAD2,Infection,12,Infection and vaccination
SIGLEC1,Infection,12,Infection and vaccination
USP18,Infection,12,Infection and vaccination
XAF1,Infection,12,Infection and vaccination
AMIGO1,Infection,12,Infection and vaccination
ARNTL2,Infection,12,Infection and vaccination
CMPK2,Infection,12,Infection and vaccination
E2F2,Infection,12,Infection and vaccination
LOC101927412,Infection,12,Infection and vaccination
LY6E,Infection,12,Infection and vaccination
MIR4263,Infection,12,Infection and vaccination
MT2A,Infection,12,Infection and vaccination
OAS3,Infection,12,Infection and vaccination
PLSCR1,Infection,12,Infection and vaccination
RASSF6,Infection,12,Infection and vaccination
RD3L,Infection,12,Infection and vaccination
SNORD1B,Infection,12,Infection and vaccination
AIM2,Infection,11,Infection only
ANKRD45,Infection,11,Infection only
C1orf145,Infection,11,Infection only
C5orf47,Infection,11,Infection only
C6orf222,Infection,11,Infection only
C8orf76,Infection,11,Infection only
CACNA1E,Infection,11,Infection only
CD163,Infection,11,Infection only
CD63,Infection,11,Infection only
CDC6,Infection,11,Infection only
CDH1,Infection,11,Infection only
CDHR3,Infection,11,Infection only
CLP1,Infection,11,Infection only
CLRN1-AS1,Infection,11,Infection only
CNGB1,Infection,11,Infection only
CNIH4,Infection,11,Infection only
COL5A3,Infection,11,Infection only
CRISP2,Infection,11,Infection only
DDX60L,Infection,11,Infection only
DGCR9,Infection,11,Infection only
DIAPH3,Infection,11,Infection only
DSC1,Infection,11,Infection only
ENAM,Infection,11,Infection only
EPHX2,Infection,11,Infection only
FAM151B,Infection,11,Infection only
FOXC1,Infection,11,Infection only
GADD45A,Infection,11,Infection only
GGH,Infection,11,Infection only
GPR160,Infection,11,Infection only
HMP19,Infection,11,Infection only
INHBA,Infection,11,Infection only
IRF2BPL,Infection,11,Infection only
ITGA7,Infection,11,Infection only
KIFC1,Infection,11,Infection only
KLF5,Infection,11,Infection only
KLF6,Infection,11,Infection only
LACTB,Infection,11,Infection only
LBH,Infection,11,Infection only
LINC00173,Infection,11,Infection only
LINC00487,Infection,11,Infection only
LINC00671,Infection,11,Infection only
LINC01268,Infection,11,Infection only
LOC100130899,Infection,11,Infection only
LOC100506985,Infection,11,Infection only
LOC100996286,Infection,11,Infection only
LOC344887,Infection,11,Infection only
LY9,Infection,11,Infection only
MAB21L3,Infection,11,Infection only
MAP1LC3B2,Infection,11,Infection only
MCL1,Infection,11,Infection only
MCM10,Infection,11,Infection only
MIR3064,Infection,11,Infection only
MLNR,Infection,11,Infection only
MT1F,Infection,11,Infection only
NPHP1,Infection,11,Infection only
NRCAM,Infection,11,Infection only
NRN1,Infection,11,Infection only
PAPPA2,Infection,11,Infection only
PCOLCE2,Infection,11,Infection only
PMEL,Infection,11,Infection only
PPAP2B,Infection,11,Infection only
PTGER4P2-CDK2AP2P2,Infection,11,Infection only
RAB32,Infection,11,Infection only
RNASE1,Infection,11,Infection only
S100A6,Infection,11,Infection only
SCN1B,Infection,11,Infection only
SIPA1L2,Infection,11,Infection only
SLC1A3,Infection,11,Infection only
SLC26A8,Infection,11,Infection only
SLC30A1,Infection,11,Infection only
SNORA16A,Infection,11,Infection only
SNORA31,Infection,11,Infection only
SNORA53,Infection,11,Infection only
SPATS2L,Infection,11,Infection only
SPC25,Infection,11,Infection only
SPTY2D1-AS1,Infection,11,Infection only
TCTEX1D1,Infection,11,Infection only
TLR2,Infection,11,Infection only
TRIM32,Infection,11,Infection only
TROAP,Infection,11,Infection only
TSPAN6,Infection,11,Infection only
ZNF208,Infection,11,Infection only
ZNF30,Infection,11,Infection only
ZNF358,Infection,11,Infection only
ZNF470,Infection,11,Infection only
ZNF667-AS1,Infection,11,Infection only
SPC25,Infection,11,Infection and vaccination
ENAM,Infection,11,Infection and vaccination
KIFC1,Infection,11,Infection and vaccination
MCM10,Infection,11,Infection and vaccination
ANKRD45,Infection,11,Infection and vaccination
CDC6,Infection,11,Infection and vaccination
CNGB1,Infection,11,Infection and vaccination
DIAPH3,Infection,11,Infection and vaccination
CACNA1E,Infection,11,Infection and vaccination
MLNR,Infection,11,Infection and vaccination
TROAP,Infection,11,Infection and vaccination
INHBA,Infection,11,Infection and vaccination
KLF5,Infection,11,Infection and vaccination
KLF6,Infection,11,Infection and vaccination
LINC00487,Infection,11,Infection and vaccination
NRN1,Infection,11,Infection and vaccination
PAPPA2,Infection,11,Infection and vaccination
