genes,condition,log2fold_change,direction,meta_p,fdr,bioprocess
MOB4,"BBIBP (V3, D14)",-0.3888252043324846,NEUTRAL,3.296803885539188e-5,0.002767469958050147,Other
MOB4,"BBIBP (V3, D28)",-0.336045145956007,NEUTRAL,3.241106829536658e-4,0.014837290411694815,Other
MOBP,"ZF2001 (V3, D07)",1.8904648133799336,UP,1.3727367662388796e-5,0.0014294631830695835,Other
MOCS1,"I (D10, moderate)",2.826711208793128,UP,1.0041137599130342e-4,0.006325896669235212,Other
MOCS1,"I (D10, severe)",3.3909940479126948,UP,5.770993738311101e-5,0.004214939223280836,Other
MOCS2,"I (D10, moderate)",-0.714073004327069,NEUTRAL,1.170388946868277e-4,0.0070838663415585664,Other
MOCS2,"I (D26, severe)",0.7667043833041995,NEUTRAL,1.806073012573653e-4,0.009733358782633659,Other
MOCS3,"ChAd-BNT (V2, D3)",-0.30516764820312714,NEUTRAL,0.00123578750909697,0.0380082116950134,Other
MOCS3,"ChAd-BNT (V2, D7)",-0.4193786426419662,NEUTRAL,1.6144680412598735e-4,0.008967535456148342,Other
MOCS3,"I (D26, severe)",1.328762221853818,UP,4.0154173351838546e-4,0.017274129679712903,Other
MOG,"I (D26, moderate)",5.414286265174852,UP,0.0012675536837660985,0.03866695443483874,Other
MOGAT1,"ChAd-BNT (V2, D3)",1.4156611457953387,UP,6.03769924850371e-4,0.02306530283403346,Other
MOGS,"I (D26, moderate)",0.6410202590002695,NEUTRAL,0.0010822917744242552,0.03469011176225566,Other
MOK,"ChAd (V1, D3)",-0.3103199809911869,NEUTRAL,8.994144296988386e-5,0.005841659808991177,Other
MOK,"ZF2001 (V3, D07)",0.8596208332322848,NEUTRAL,9.279458669640542e-4,0.03112312571815097,Other
MON1A,"ChAd-BNT (V2, D7)",0.4660013777345484,NEUTRAL,0.0016672276312123602,0.04647910778046886,Other
MON1A,"ZF2001 (V3, D14)",-0.8316416321144704,NEUTRAL,3.308276997731328e-4,0.015045169661643725,Other
MON1B,BNT-I (D1),0.5819089678156922,NEUTRAL,6.16533171700314e-4,0.02340848227676332,Other
MON1B,"ChAd-BNT (V2, D3)",-0.1704042183716662,NEUTRAL,0.00117939171709325,0.03686045280817789,Other
MON1B,"I (D10, moderate)",0.7867018897212135,NEUTRAL,9.106895473328618e-4,0.030738520146403926,Other
MON2,"BBIBP (V3, D07)",0.2739553809717779,NEUTRAL,7.801723081685203e-4,0.027609083271575227,Other
MON2,"ChAd-BNT (V2, D3)",0.27698673162515175,NEUTRAL,1.2253999109772522e-9,6.896746308396939e-7,Other
MON2,"ChAd-BNT (V2, D7)",0.2142992060824564,NEUTRAL,6.0482054859626554e-5,0.004371293598389726,Other
MON2,"ZF2001 (V3, D07)",0.25812528779864746,NEUTRAL,0.00164176205503609,0.04600995935844179,Other
MORC1,"ChAd-BNT (V2, D3)",-1.754673680965552,DOWN,4.288189567584125e-5,0.0033773313633385974,Other
MORC1,"ZF2001 (V3, D14)",-1.3579330751827334,DOWN,0.00154481505042728,0.0441421986458851,Other
MORC1,"ZF2001 (V3, D28)",-1.3486007739036183,DOWN,0.00165868477759606,0.046323994742713044,Other
MORC2,"BNT-I (D26, severe)",0.8849377339378108,NEUTRAL,1.8310499953627836e-4,0.009832546729055109,Other
MORC2,"BNT-I (D51, severe)",1.013335107053418,UP,0.0013696369545833668,0.040744464519928386,Other
MORC2,"I (D26, moderate)",1.0788817788142344,UP,9.849204374930127e-8,2.784745774150204e-5,Other
MORC2,"I (D26, severe)",1.1324966629540307,UP,1.6316416250544916e-6,2.758748929955028e-4,Other
MORC2,"I (D51, moderate)",0.8793780575300535,NEUTRAL,1.9969646044108822e-4,0.010491351516975389,Other
MORC2,"I (D51, severe)",0.8648347916025322,NEUTRAL,2.5377139016795124e-4,0.012456925753555186,Other
MORC4,"ZF2001 (V3, D07)",1.4389854419730566,UP,9.835836174585838e-7,1.843534031817015e-4,Other
MORF4L1,"BBIBP (V3, D07)",-0.3922998598671426,NEUTRAL,2.4028543816806595e-4,0.011976007643001317,Other
MORF4L1,"BBIBP (V3, D14)",-0.38984001339643426,NEUTRAL,2.6362404114149723e-4,0.012799402187186486,Other
MORF4L1,"BNT-I (D26, severe)",-0.5535597762154605,NEUTRAL,9.139213491831055e-4,0.03081796368736927,Other
MORF4L1,"ChAd-BNT (V2, D3)",-0.18500395127434188,NEUTRAL,5.530616748933507e-4,0.021668071455936855,Other
MORF4L1,"ChAd-BNT (V2, D7)",-0.3399135928404668,NEUTRAL,6.188565667831466e-8,1.9042162327112152e-5,Other
MORF4L1,"I (D10, moderate)",0.5379399114735028,NEUTRAL,1.6781292427929106e-4,0.009222084301673978,Other
MORF4L1,"I (D26, moderate)",-0.6489528474629626,NEUTRAL,5.62419042831089e-6,7.21007523196446e-4,Other
MORF4L1,"I (D26, severe)",-0.6321450397796595,NEUTRAL,1.526359870070838e-4,0.008600934441181799,Other
MORF4L1,"I (D51, moderate)",-0.5933563362293115,NEUTRAL,3.7879094328779786e-4,0.01657902903262426,Other
MORF4L1P1,"BBIBP (V3, D14)",0.9706431701620536,NEUTRAL,6.945677009714702e-5,0.004843031656477872,Other
MORF4L1P1,"BBIBP (V3, D28)",0.929227826699687,NEUTRAL,1.349242301783902e-4,0.007863220238393536,Other
MORF4L1P1,"ZF2001 (V3, D07)",0.8532079114817618,NEUTRAL,7.233319007823954e-4,0.026176317366841645,Other
MORF4L1P1,"ZF2001 (V3, D14)",1.2357662173082613,UP,3.33759526782867e-7,7.631718290888093e-5,Other
MORF4L1P3,"BBIBP (V3, D14)",1.3605296052684095,UP,1.1997712951077203e-4,0.007215953306888657,Other
MORF4L1P3,"BBIBP (V3, D28)",1.664153178365771,UP,2.392634742390462e-6,3.7124845001560304e-4,Other
MORF4L1P3,"ZF2001 (V3, D14)",1.5350952784363083,UP,1.4180098588870916e-5,0.0014687022008434388,Other
MORF4L2,"BBIBP (V3, D14)",-0.2753169824701269,NEUTRAL,0.0012990003357090899,0.03932169961789013,Other
MORF4L2,"ChAd-BNT (V2, D3)",-0.18809037000320572,NEUTRAL,0.00181847752656763,0.049274155635355164,Other
MORF4L2,"ChAd-BNT (V2, D7)",-0.22921884120950023,NEUTRAL,0.00118806836912821,0.037042483831128556,Other
MORF4L2,"I (D10, moderate)",0.693180051581386,NEUTRAL,1.5140266279615384e-4,0.008551769768033398,Other
MORF4L2,"I (D51, moderate)",-0.7141501592714162,NEUTRAL,8.363060836788981e-4,0.028945118095555205,Other
MORF4L2-AS1,"ChAd-BNT (V2, D3)",0.614357804048484,NEUTRAL,6.910341799493272e-4,0.025338035749748255,Other
MORF4L2-AS1,"ChAd-BNT (V2, D7)",1.121652122455845,UP,8.96081308571246e-8,2.5726950279619053e-5,Other
MORN1,"I (D26, moderate)",1.1642584293201415,UP,1.8838504649344797e-6,3.0823779800097525e-4,Other
MORN3,"I (D26, moderate)",1.762377085413131,UP,1.806994872618984e-5,0.001763974297026045,Other
MORN3,"I (D26, severe)",1.5328327387797833,UP,0.0013903048282510222,0.04115773148165742,Other
MORN3,I-BNT-I (D2),-1.9612258163128435,DOWN,3.0098803155276715e-4,0.014073636234805715,Other
MORN4,"I (D26, moderate)",1.323194377300805,UP,0.0010869954241117786,0.034802245490100386,Other
MOSMO,"BBIBP (V3, D07)",0.22893760957672277,NEUTRAL,0.00168665304374312,0.046846903176829276,Other
MOV10,"ChAd-BNT (V2, D3)",0.4067743577842536,NEUTRAL,1.37994515325746e-5,0.0014352180375544771,Other
MOXD1,"ChAd (V1, D7)",1.2409786295387424,UP,3.1192325929165813e-13,5.271119433100482e-10,Other
MOXD1,"I (D10, severe)",3.423423875333444,UP,1.4818607223381402e-5,0.0015174282608033335,Other
MPC1,"ChAd (V1, D3)",0.15206287749317002,NEUTRAL,4.113094041029808e-4,0.01757391169042329,Other
MPC1,"I (D51, moderate)",-0.9121652552255246,NEUTRAL,6.643161641871575e-5,0.004680333489067132,Other
