condition,term_ancestor,genes,gse_id,samples,condition_grouped,vaccine,day,week,dose,infection,type,gmt_nab_wt,gmt_igg_sarscov2,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination,country,enroll_time,sequencer
"BBIBP (V3, D07)",Cellular,"AASDH,AASDH,ABCD3,ABCD3,ABHD10,ABHD10,ABHD6,ABHD6,ACE2,ACE2,ACO1,ACO1,ACTL6A,ACTL6A,ACVR2A,ACVR2A,ADM,ADM,ADNP,ADNP,ADORA3,ADORA3,AGGF1,AGGF1,AGL,AGL,AHR,AHR,AHSG,AHSG,AKAP8,AKAP8,AKIRIN1,AKIRIN1,AKIRIN2,AKIRIN2,ALKBH8,ALKBH8,AMD1,AMD1,ANKFY1,ANKFY1,ANKRD50,ANKRD50,ANO2,ANO2,ANXA1,ANXA1,APAF1,APAF1,APEX2,APEX2,APLF,APLF,ARF1,ARF1,ARFGEF1,ARFGEF1,ARHGAP25,ARHGAP25,ARID3B,ARID3B,ARL4A,ARL4A,ARL6IP1,ARL6IP1,ARL8A,ARL8A,ARRDC3,ARRDC3,ARRDC4,ARRDC4,ASIC5,ASIC5,ASXL2,ASXL2,ATF3,ATF3,ATF4,ATF4,ATG2B,ATG2B,ATP6AP2,ATP6AP2,ATP6V1C1,ATP6V1C1,ATPAF2,ATPAF2,ATRAID,ATRAID,AZIN1,AZIN1,B3GNT2,B3GNT2,B4GALT1,B4GALT1,BACH1,BACH1,BAG3,BAG3,BCAS2,BCAS2,BCL3,BCL3,BCL6,BCL6,BCL7B,BCL7B,BCLAF1,BCLAF1,BHLHE40,BHLHE40,BIN3,BIN3,BLOC1S2,BLOC1S2,BMP2K,BMP2K,BMS1,BMS1,BNIP1,BNIP1,BRD2,BRD2,BRD8,BRD8,BTG3,BTG3,BTRC,BTRC,BUD31,BUD31,BYSL,BYSL,BZW1,BZW1,C12orf57,C12orf57,C18orf54,C18orf54,C1D,C1D,C1QA,C1QA,C1orf131,C1orf131,C2CD5,C2CD5,C2orf69,C2orf69,C3orf38,C3orf38,CAMTA1,CAMTA1,CAND1,CAND1,CASP10,CASP10,CASP2,CASP2,CBLC,CBLC,CBR4,CBR4,CCDC87,CCDC87,CCL3,CCL3,CCL8,CCL8,CCNG1,CCNG1,CCNL1,CCNL1,CCNT1,CCNT1,CCR2,CCR2,CD69,CD69,CD80,CD80,CD83,CD83,CDC23,CDC23,CDC42,CDC42,CDC42EP4,CDC42EP4,CDH15,CDH15,CDK9,CDK9,CDKN1A,CDKN1A,CDKN2AIP,CDKN2AIP,CELF1,CELF1,CENPA,CENPA,CEP192,CEP192,CEP70,CEP70,CEPT1,CEPT1,CETN3,CETN3,CFAP20,CFAP20,CFAP45,CFAP45,CFL2,CFL2,CGRRF1,CGRRF1,CHCHD2,CHCHD2,CHMP1B,CHMP1B,CHMP4B,CHMP4B,CHST1,CHST1,CHST7,CHST7,CITED4,CITED4,CKAP5,CKAP5,CLK1,CLK1,CLUAP1,CLUAP1,CMTR2,CMTR2,CNIH1,CNIH1,COG2,COG2,COIL,COIL,COPB2,COPB2,COPS2,COPS2,COPS3,COPS3,COQ10B,COQ10B,COX4I1,COX4I1,COX7B,COX7B,CPEB2,CPEB2,CPSF2,CPSF2,CPT2,CPT2,CRCP,CRCP,CREBRF,CREBRF,CRY1,CRY1,CRY2,CRY2,CSF1,CSF1,CSF3,CSF3,CSNK1G3,CSNK1G3,CSNK2A3,CSNK2A3,CSRNP1,CSRNP1,CSTF1,CSTF1,CSTF2,CSTF2,CTNNB1,CTNNB1,CTR9,CTR9,CUL3,CUL3,CUL4A,CUL4A,CWC15,CWC15,CWC25,CWC25,CXCL5,CXCL5,CXCL8,CXCL8,CXCR4,CXCR4,CYCS,CYCS,DAP3,DAP3,DAZAP2,DAZAP2,DBF4,DBF4,DCP1A,DCP1A,DCTN3,DCTN3,DDI1,DDI1,DDIT3,DDIT3,DDX4,DDX4,DDX47,DDX47,DEDD,DEDD,DEGS2,DEGS2,DENND5A,DENND5A,DERL2,DERL2,DIDO1,DIDO1,DNAAF2,DNAAF2,DNAJB1,DNAJB1,DNAJB9,DNAJB9,DNAJC27,DNAJC27,DNTTIP2,DNTTIP2,DOCK8,DOCK8,DPH3,DPH3,DUSP1,DUSP1,DUSP10,DUSP10,DUSP28,DUSP28,DUSP4,DUSP4,DUSP5,DUSP5,DUSP6,DUSP6,DYNLT3,DYNLT3,DYRK1A,DYRK1A,EAF1,EAF1,EARS2,EARS2,EBP,EBP,ECD,ECD,EEF1B2,EEF1B2,EEF2K,EEF2K,EFR3A,EFR3A,EHHADH,EHHADH,EIF1,EIF1,EIF1B,EIF1B,EIF2A,EIF2A,EIF2S3,EIF2S3,EIF3H,EIF3H,EIF4A1,EIF4A1,EIF4A2,EIF4A2,EIF4A3,EIF4A3,EIF4G2,EIF4G2,EIF5,EIF5,EIF5A,EIF5A,EIF5B,EIF5B,ELL,ELL,ELMO2,ELMO2,EMC3,EMC3,EMC7,EMC7,EMP1,EMP1,ENPP3,ENPP3,ENSA,ENSA,ENY2,ENY2,EPHA8,EPHA8,EPM2A,EPM2A,ERCC4,ERCC4,EREG,EREG,ESR1,ESR1,ETF1,ETF1,EXOC1,EXOC1,EXOC2,EXOC2,EXOSC3,EXOSC3,EXT1,EXT1,F3,F3,FAH,FAH,FAM53C,FAM53C,FAM98B,FAM98B,FAR1,FAR1,FASTKD5,FASTKD5,FAU,FAU,FBXO22,FBXO22,FBXO38,FBXO38,FFAR3,FFAR3,FGFR3,FGFR3,FKBP5,FKBP5,FOLR1,FOLR1,FOSB,FOSB,FOSL1,FOSL1,FRMD4A,FRMD4A,FTH1,FTH1,FUNDC2,FUNDC2,FUT4,FUT4,G0S2,G0S2,GABARAPL1,GABARAPL1,GADD45B,GADD45B,GADD45G,GADD45G,GART,GART,GATA3,GATA3,GEM,GEM,GEMIN2,GEMIN2,GEMIN5,GEMIN5,GGNBP2,GGNBP2,GIGYF2,GIGYF2,GIMAP7,GIMAP7,GIMAP8,GIMAP8,GIT2,GIT2,GKAP1,GKAP1,GLA,GLA,GMDS,GMDS,GNA15,GNA15,GOLGA7,GOLGA7,GP5,GP5,GPATCH3,GPATCH3,GPM6B,GPM6B,GPR137,GPR137,GPR183,GPR183,GPR75,GPR75,GPR84,GPR84,GRP,GRP,GRPEL1,GRPEL1,GTF2B,GTF2B,GTF2H4,GTF2H4,HAO1,HAO1,HAUS3,HAUS3,HAUS4,HAUS4,HBP1,HBP1,HBS1L,HBS1L,HCAR2,HCAR2,HCAR3,HCAR3,HDAC4,HDAC4,HDC,HDC,HECA,HECA,HERC2,HERC2,HERC4,HERC4,HERPUD1,HERPUD1,HES1,HES1,HES4,HES4,HIBCH,HIBCH,HIC1,HIC1,HIF1A,HIF1A,HIF1AN,HIF1AN,HINT1,HINT1,HLA-DMA,HLA-DMA,HLTF,HLTF,HMG20A,HMG20A,HMGCS1,HMGCS1,HMGN2,HMGN2,HNRNPC,HNRNPC,HNRNPL,HNRNPL,HSP90AB1,HSP90AB1,HSPA14,HSPA14,HSPA1B,HSPA1B,HSPA2,HSPA2,HSPA4,HSPA4,HSPA5,HSPA5,HTT,HTT,ICAM1,ICAM1,ICOS,ICOS,ID1,ID1,ID2,ID2,ID3,ID3,IDI1,IDI1,IDO2,IDO2,IER5,IER5,IFI16,IFI16,IFIH1,IFIH1,IFNG,IFNG,IFT52,IFT52,IFT57,IFT57,IGBP1,IGBP1,IKZF1,IKZF1,IKZF5,IKZF5,IL1B,IL1B,IL6,IL6,ILF2,ILF2,ING3,ING3,INTS12,INTS12,IP6K2,IP6K2,IPO8,IPO8,IRF2BP2,IRF2BP2,ISCA1,ISCA1,ITM2A,ITM2A,ITPRIP,ITPRIP,IVD,IVD,IWS1,IWS1,JMJD6,JMJD6,JMY,JMY,JUN,JUN,JUNB,JUNB,JUND,JUND,KANSL2,KANSL2,KBTBD2,KBTBD2,KBTBD8,KBTBD8,KCNS1,KCNS1,KCNS2,KCNS2,KCTD21,KCTD21,KCTD8,KCTD8,KDM2A,KDM2A,KDM3B,KDM3B,KDM4A,KDM4A,KDM6A,KDM6A,KLB,KLB,KLF10,KLF10,KLF11,KLF11,KLF4,KLF4,KLF5,KLF5,KLF6,KLF6,KLF7,KLF7,KLF9,KLF9,KLHL10,KLHL10,KLK14,KLK14,KMT2C,KMT2C,KPNA1,KPNA1,KPNA2,KPNA2,KRT10,KRT10,KRT20,KRT20,LAMB3,LAMB3,LAMTOR5,LAMTOR5,LAPTM5,LAPTM5,LARP4B,LARP4B,LDHA,LDHA,LDLR,LDLR,LGALS3,LGALS3,LIMD1,LIMD1,LINGO2,LINGO2,LMNA,LMNA,LPXN,LPXN,LRCH3,LRCH3,LRRC28,LRRC28,LRRC59,LRRC59,LRRC8A,LRRC8A,LSM5,LSM5,LUC7L3,LUC7L3,LYRM4,LYRM4,LZTS3,LZTS3,MAEA,MAEA,MAFB,MAFB,MAFF,MAFF,MAP1LC3B,MAP1LC3B,MAP1LC3B2,MAP1LC3B2,MAP3K14,MAP3K14,MAP3K7,MAP3K7,MAP3K8,MAP3K8,MAPK14,MAPK14,MAPK6,MAPK6,MAPK8IP1,MAPK8IP1,MAPKAPK2,MAPKAPK2,MAPRE1,MAPRE1,MARCKS,MARCKS,MARCKSL1,MARCKSL1,MASTL,MASTL,MAT2A,MAT2A,MATN1,MATN1,MBIP,MBIP,MCCC2,MCCC2,MCL1,MCL1,MCM3,MCM3,ME2,ME2,MED10,MED10,MED21,MED21,MED26,MED26,MED30,MED30,MEF2D,MEF2D,METTL13,METTL13,MFAP4,MFAP4,MIA,MIA,MICAL2,MICAL2,MIDN,MIDN,MLF1,MLF1,MN1,MN1,MOAP1,MOAP1,MOB1A,MOB1A,MON2,MON2,MORF4L1,MORF4L1,MPC2,MPC2,MRPL10,MRPL10,MRPL44,MRPL44,MRPL46,MRPL46,MRPL54,MRPL54,MRPL9,MRPL9,MRPS15,MRPS15,MRPS24,MRPS24,MRPS31,MRPS31,MS4A2,MS4A2,MS4A6E,MS4A6E,MTMR1,MTMR1,MUL1,MUL1,MYADM,MYADM,MYLIP,MYLIP,MYNN,MYNN,MZT1,MZT1,NAT10,NAT10,NCBP1,NCBP1,NCKAP1L,NCKAP1L,NCOA5,NCOA5,NDUFA4,NDUFA4,NEMP1,NEMP1,NET1,NET1,NEU1,NEU1,NFIL3,NFIL3,NFKBIA,NFKBIA,NFKBIB,NFKBIB,NFKBIE,NFKBIE,NFKBIZ,NFKBIZ,NGDN,NGDN,NHLRC1,NHLRC1,NINJ1,NINJ1,NIPAL4,NIPAL4,NKX3-1,NKX3-1,NLRP3,NLRP3,NMD3,NMD3,NOCT,NOCT,NOL9,NOL9,NOM1,NOM1,NPC2,NPC2,NR1D1,NR1D1,NR1D2,NR1D2,NR1H2,NR1H2,NR2C2,NR2C2,NR4A2,NR4A2,NR4A3,NR4A3,NRAS,NRAS,NSUN2,NSUN2,NTRK2,NTRK2,NTS,NTS,NUDT15,NUDT15,NUP155,NUP155,NUP160,NUP160,NUP43,NUP43,NXF1,NXF1,NXT1,NXT1,ODC1,ODC1,OLFM2,OLFM2,OMG,OMG,OR1F2P,OR1F2P,OR1J4,OR1J4,OR2AE1,OR2AE1,OR4F3,OR4F3,OR51T1,OR51T1,OR5B21,OR5B21,OSER1,OSER1,OSR2,OSR2,OSTN,OSTN,PABPC4,PABPC4,PAFAH1B1,PAFAH1B1,PAICS,PAICS,PAIP1,PAIP1,PAIP2,PAIP2,PANK2,PANK2,PARP1,PARP1,PARP4,PARP4,PARP6,PARP6,PARS2,PARS2,PCBP2,PCBP2,PCNP,PCNP,PCYT1A,PCYT1A,PDE4B,PDE4B,PDE4D,PDE4D,PDHB,PDHB,PDLIM7,PDLIM7,PDZD8,PDZD8,PDZK1,PDZK1,PELI1,PELI1,PER1,PER1,PEX11A,PEX11A,PEX11B,PEX11B,PEX3,PEX3,PFDN1,PFDN1,PFDN5,PFDN5,PFKFB3,PFKFB3,PHACTR1,PHACTR1,PHC1,PHC1,PHF23,PHF23,PHF5A,PHF5A,PHF6,PHF6,PHLDA1,PHLDA1,PI4K2A,PI4K2A,PIGA,PIGA,PIK3C3,PIK3C3,PIK3R4,PIK3R4,PIM2,PIM2,PIM3,PIM3,PKIA,PKIA,PKNOX1,PKNOX1,PLA1A,PLA1A,PLAU,PLAU,PLCL1,PLCL1,PLEK,PLEK,PLEKHG6,PLEKHG6,PLGRKT,PLGRKT,PLIN2,PLIN2,PLK3,PLK3,PLLP,PLLP,PLRG1,PLRG1,PMAIP1,PMAIP1,PMEL,PMEL,PMF1,PMF1,PNO1,PNO1,PNP,PNP,PNPLA8,PNPLA8,PNRC1,PNRC1,PNRC2,PNRC2,POFUT2,POFUT2,POLH,POLH,POLR1A,POLR1A,POLR1B,POLR1B,POLR2B,POLR2B,POLR2G,POLR2G,POLR2K,POLR2K,POLR2M,POLR2M,POLR3F,POLR3F,POP1,POP1,POPDC3,POPDC3,POU2F1,POU2F1,POU3F1,POU3F1,PPAT,PPAT,PPIF,PPIF,PPME1,PPME1,PPP1R15A,PPP1R15A,PPP1R15B,PPP1R15B,PPP1R2,PPP1R2,PPP2CA,PPP2CA,PPP2R2D,PPP2R2D,PPP3CC,PPP3CC,PPTC7,PPTC7,PRDM10,PRDM10,PRDM4,PRDM4,PRKG1,PRKG1,PRNP,PRNP,PRPF18,PRPF18,PRPH2,PRPH2,PRR7,PRR7,PSMD5,PSMD5,PSMD9,PSMD9,PTGER2,PTGER2,PTGER4,PTGER4,PTP4A1,PTP4A1,PTRH2,PTRH2,PTX3,PTX3,PUM2,PUM2,PVALB,PVALB,RAB1A,RAB1A,RAB32,RAB32,RAB3GAP1,RAB3GAP1,RAD23B,RAD23B,RALGAPB,RALGAPB,RANBP2,RANBP2,RANBP9,RANBP9,RAP2C,RAP2C,RAPGEF6,RAPGEF6,RASD2,RASD2,RASGEF1B,RASGEF1B,RBBP6,RBBP6,RBBP8,RBBP8,RBM12B,RBM12B,RBM22,RBM22,RBM39,RBM39,RBM4,RBM4,RBM4B,RBM4B,RBM7,RBM7,RBMX,RBMX,RBSN,RBSN,RCC1,RCC1,RCCD1,RCCD1,RCL1,RCL1,RCOR2,RCOR2,REG3G,REG3G,RELB,RELB,RFPL4A,RFPL4A,RGCC,RGCC,RGS1,RGS1,RHBDD2,RHBDD2,RHEB,RHEB,RHOH,RHOH,RIPK2,RIPK2,RIT1,RIT1,RLF,RLF,RMI1,RMI1,RNASEL,RNASEL,RND1,RND1,RNF138,RNF138,RNF139,RNF139,RNF19B,RNF19B,RNF34,RNF34,RNPS1,RNPS1,RPF1,RPF1,RPL10A,RPL10A,RPL14,RPL14,RPL21,RPL21,RPL22L1,RPL22L1,RPL23,RPL23,RPL24,RPL24,RPL34,RPL34,RPL35A,RPL35A,RPL39,RPL39,RPL5,RPL5,RPL7A,RPL7A,RPP38,RPP38,RPP40,RPP40,RPRD1A,RPRD1A,RPS12,RPS12,RPS13,RPS13,RPS15A,RPS15A,RPS16,RPS16,RPS20,RPS20,RPS25,RPS25,RPS27,RPS27,RPS27A,RPS27A,RPS29,RPS29,RPS3,RPS3,RPS3A,RPS3A,RPS8,RPS8,RPSA,RPSA,RRAD,RRAD,RRP1B,RRP1B,RWDD1,RWDD1,RXFP4,RXFP4,S100A10,S100A10,SAMD8,SAMD8,SART3,SART3,SBDS,SBDS,SCAF11,SCAF11,SCCPDH,SCCPDH,SCO1,SCO1,SDCBP2,SDCBP2,SDE2,SDE2,SEC11A,SEC11A,SEC61B,SEC61B,SEH1L,SEH1L,SEMA4G,SEMA4G,SEMA6B,SEMA6B,SERTAD1,SERTAD1,SERTAD2,SERTAD2,SF1,SF1,SF3B3,SF3B3,SFR1,SFR1,SGCD,SGCD,SGK1,SGK1,SGMS1,SGMS1,SH2D3C,SH2D3C,SH3BP5L,SH3BP5L,SHQ1,SHQ1,SIK1,SIK1,SIRT2,SIRT2,SLC12A6,SLC12A6,SLC13A4,SLC13A4,SLC22A13,SLC22A13,SLC24A1,SLC24A1,SLC25A25,SLC25A25,SLC25A33,SLC25A33,SLC25A5,SLC25A5,SLC26A2,SLC26A2,SLC2A3,SLC2A3,SLC50A1,SLC50A1,SLC5A2,SLC5A2,SLC7A5P1,SLC7A5P1,SLMAP,SLMAP,SMAD7,SMAD7,SMO,SMO,SNAPC3,SNAPC3,SNRPD2,SNRPD2,SNRPG,SNRPG,SNX1,SNX1,SOCS5,SOCS5,SOCS6,SOCS6,SOX2,SOX2,SPAG4,SPAG4,SPATA2,SPATA2,SPHK1,SPHK1,SPRTN,SPRTN,SPTY2D1,SPTY2D1,SQSTM1,SQSTM1,SRGN,SRGN,SRP54,SRP54,SRSF1,SRSF1,SRSF3,SRSF3,SRSF5,SRSF5,SRSF6,SRSF6,SRSF7,SRSF7,STK17B,STK17B,STK38,STK38,STRAP,STRAP,STX16,STX16,STX5,STX5,STX6,STX6,SUB1,SUB1,SUCO,SUCO,SUFU,SUFU,SUMO3,SUMO3,SUPT16H,SUPT16H,SUPV3L1,SUPV3L1,SUV39H2,SUV39H2,SYCP3,SYCP3,SYNJ1,SYNJ1,SYS1,SYS1,TAF13,TAF13,TAF7,TAF7,TAF9,TAF9,TAGAP,TAGAP,TAGLN2,TAGLN2,TARS2,TARS2,TAS2R9,TAS2R9,TBC1D2B,TBC1D2B,TEAD3,TEAD3,TEC,TEC,TFB2M,TFB2M,TGIF1,TGIF1,TICAM1,TICAM1,TIFAB,TIFAB,TIMM17A,TIMM17A,TIMM21,TIMM21,TIPARP,TIPARP,TLE3,TLE3,TMA16,TMA16,TMED7,TMED7,TMEM100,TMEM100,TMEM144,TMEM144,TMEM14B,TMEM14B,TMEM167B,TMEM167B,TMEM170A,TMEM170A,TMEM242,TMEM242,TMEM41B,TMEM41B,TMSB4X,TMSB4X,TMUB2,TMUB2,TNFAIP3,TNFAIP3,TNFRSF12A,TNFRSF12A,TNFSF9,TNFSF9,TNXB,TNXB,TOB1,TOB1,TOE1,TOE1,TOMM20,TOMM20,TOP1,TOP1,TP53,TP53,TP53BP2,TP53BP2,TP53INP2,TP53INP2,TP53RK,TP53RK,TPPP,TPPP,TPT1,TPT1,TRA2A,TRA2A,TRAF3IP3,TRAF3IP3,TRAF4,TRAF4,TRAF6,TRAF6,TRAPPC11,TRAPPC11,TRAPPC8,TRAPPC8,TRIB1,TRIB1,TRIM23,TRIM23,TRIM25,TRIM25,TRIM4,TRIM4,TRIM56,TRIM56,TRMT13,TRMT13,TRMT1L,TRMT1L,TSC22D2,TSC22D2,TSC22D3,TSC22D3,TSPYL1,TSPYL1,TSPYL2,TSPYL2,TSPYL4,TSPYL4,TTF2,TTF2,TUBA1A,TUBA1A,TUBA1C,TUBA1C,TUBB4B,TUBB4B,TWF1,TWF1,TXN,TXN,UBAP1,UBAP1,UBE2D3,UBE2D3,UBE2J1,UBE2J1,UBE2S,UBE2S,UBQLN1,UBQLN1,UBQLN2,UBQLN2,UBR2,UBR2,UBXN1,UBXN1,UEVLD,UEVLD,UFC1,UFC1,UFL1,UFL1,UHRF1,UHRF1,UIMC1,UIMC1,ULBP2,ULBP2,UNC5A,UNC5A,UQCC1,UQCC1,UQCRFS1,UQCRFS1,USP6NL,USP6NL,UTP6,UTP6,UXT,UXT,VAMP3,VAMP3,VAPA,VAPA,VDAC2,VDAC2,VGLL1,VGLL1,VIM,VIM,VMA21,VMA21,VPS41,VPS41,WARS2,WARS2,WBP11,WBP11,WDR11,WDR11,WDR13,WDR13,WDR3,WDR3,WDR36,WDR36,WDR45B,WDR45B,WHAMM,WHAMM,WNT7A,WNT7A,WTAP,WTAP,XPC,XPC,YEATS4,YEATS4,YPEL5,YPEL5,YRDC,YRDC,YTHDF2,YTHDF2,YTHDF3,YTHDF3,YWHAQ,YWHAQ,ZBED2,ZBED2,ZBTB10,ZBTB10,ZBTB2,ZBTB2,ZBTB21,ZBTB21,ZBTB43,ZBTB43,ZBTB5,ZBTB5,ZBTB6,ZBTB6,ZC3H12A,ZC3H12A,ZC3H15,ZC3H15,ZCCHC7,ZCCHC7,ZDHHC3,ZDHHC3,ZFAND1,ZFAND1,ZFAND2A,ZFAND2A,ZFP36,ZFP36,ZFP62,ZFP62,ZKSCAN4,ZKSCAN4,ZMYM3,ZMYM3,ZNF124,ZNF124,ZNF165,ZNF165,ZNF17,ZNF17,ZNF175,ZNF175,ZNF189,ZNF189,ZNF212,ZNF212,ZNF217,ZNF217,ZNF225,ZNF225,ZNF226,ZNF226,ZNF230,ZNF230,ZNF233,ZNF233,ZNF234,ZNF234,ZNF248,ZNF248,ZNF264,ZNF264,ZNF277,ZNF277,ZNF317,ZNF317,ZNF324,ZNF324,ZNF331,ZNF331,ZNF337,ZNF337,ZNF366,ZNF366,ZNF394,ZNF394,ZNF397,ZNF397,ZNF410,ZNF410,ZNF419,ZNF419,ZNF436,ZNF436,ZNF555,ZNF555,ZNF572,ZNF572,ZNF606,ZNF606,ZNF616,ZNF616,ZNF628,ZNF628,ZNF638,ZNF638,ZNF639,ZNF639,ZNF665,ZNF665,ZNF691,ZNF691,ZNF701,ZNF701,ZNF740,ZNF740,ZNF75D,ZNF75D,ZNF780A,ZNF780A,ZNF784,ZNF784,ZNF786,ZNF786,ZNF821,ZNF821,ZNF879,ZNF879,ZP4,ZP4,ZPR1,ZPR1,ZSCAN26,ZSCAN26,ZXDB,ZXDB,ZXDC,ZXDC",GSE206023,6,"BBIBP (V3, D07)",BBIBP,7,1,3,0,IN,34.61,0,HO,V,H,None,No,Yes,China,"November, 2021",NextSeq 2000
"BBIBP (V3, D07)",Immune system,"ACTL6A,ACTL6A,ACVR2A,ACVR2A,AHR,AHR,AKAP8,AKAP8,AKIRIN1,AKIRIN1,AKIRIN2,AKIRIN2,ANXA1,ANXA1,APLF,APLF,B4GALT1,B4GALT1,BCL3,BCL3,BCL6,BCL6,BRD2,BRD2,C1QA,C1QA,CCL3,CCL3,CCL8,CCL8,CCR2,CCR2,CD80,CD80,CD83,CD83,CDC42,CDC42,CDC42EP4,CDC42EP4,CDKN1A,CDKN1A,CNIH1,CNIH1,CRCP,CRCP,CSF1,CSF1,CSF3,CSF3,CTNNB1,CTNNB1,CTR9,CTR9,CUL4A,CUL4A,CXCL5,CXCL5,CXCL8,CXCL8,CXCR4,CXCR4,DNAJB9,DNAJB9,DOCK8,DOCK8,DUSP1,DUSP1,DUSP10,DUSP10,ENPP3,ENPP3,EREG,EREG,ESR1,ESR1,EXOSC3,EXOSC3,EXT1,EXT1,FAU,FAU,FBXO38,FBXO38,FFAR3,FFAR3,FOSL1,FOSL1,FTH1,FTH1,FUT4,FUT4,GATA3,GATA3,GEM,GEM,GIGYF2,GIGYF2,GPATCH3,GPATCH3,GPR137,GPR137,GPR183,GPR183,GRP,GRP,HCAR2,HCAR2,HDAC4,HDAC4,HES1,HES1,HIF1A,HIF1A,HLA-DMA,HLA-DMA,HMGN2,HMGN2,HSPA1B,HSPA1B,ICAM1,ICAM1,ICOS,ICOS,ID2,ID2,IFI16,IFI16,IFIH1,IFIH1,IFNG,IFNG,IGBP1,IGBP1,IKZF1,IKZF1,IL1B,IL1B,IL6,IL6,IRF2BP2,IRF2BP2,ITM2A,ITM2A,JMJD6,JMJD6,JUNB,JUNB,KLF10,KLF10,KLF6,KLF6,LAPTM5,LAPTM5,LDLR,LDLR,LGALS3,LGALS3,LPXN,LPXN,LRRC8A,LRRC8A,MAEA,MAEA,MAFB,MAFB,MAP3K14,MAP3K14,MAP3K7,MAP3K7,MAP3K8,MAP3K8,MAPK14,MAPK14,MAPK8IP1,MAPK8IP1,MAPKAPK2,MAPKAPK2,MS4A2,MS4A2,MUL1,MUL1,NCKAP1L,NCKAP1L,NEMP1,NEMP1,NFIL3,NFIL3,NFKBIA,NFKBIA,NFKBIZ,NFKBIZ,NINJ1,NINJ1,NLRP3,NLRP3,NR1D1,NR1D1,NR1H2,NR1H2,NR4A3,NR4A3,PAFAH1B1,PAFAH1B1,PARP1,PARP1,PCBP2,PCBP2,PDE4B,PDE4B,PDE4D,PDE4D,PELI1,PELI1,PKNOX1,PKNOX1,PMAIP1,PMAIP1,PNP,PNP,POLR3F,POLR3F,PPP2CA,PPP2CA,PRNP,PRNP,PRR7,PRR7,PSMA1,PSMA1,PTGER4,PTGER4,PTX3,PTX3,PUM2,PUM2,RAB32,RAB32,REG3G,REG3G,RELB,RELB,RFPL4A,RFPL4A,RGCC,RGCC,RGS1,RGS1,RHOH,RHOH,RIPK2,RIPK2,RNF19B,RNF19B,RNF34,RNF34,RPL39,RPL39,RPS3,RPS3,SBDS,SBDS,SIRT2,SIRT2,SLC22A13,SLC22A13,SLC25A5,SLC25A5,SMAD7,SMAD7,SOCS5,SOCS5,SOCS6,SOCS6,SPHK1,SPHK1,SQSTM1,SQSTM1,SRP54,SRP54,TEC,TEC,TICAM1,TICAM1,TNFAIP3,TNFAIP3,TNFSF9,TNFSF9,TP53,TP53,TRAF3IP3,TRAF3IP3,TRAF4,TRAF4,TRAF6,TRAF6,TRIB1,TRIB1,TRIM23,TRIM23,TRIM25,TRIM25,TRIM4,TRIM4,TRIM56,TRIM56,TSC22D3,TSC22D3,TUBB4B,TUBB4B,UBE2J1,UBE2J1,UBQLN1,UBQLN1,UFL1,UFL1,ULBP2,ULBP2,VAMP3,VAMP3,VIM,VIM,YTHDF2,YTHDF2,YTHDF3,YTHDF3,ZBTB2,ZBTB2,ZBTB6,ZBTB6,ZC3H12A,ZC3H12A,ZFP36,ZFP36,ZNF572,ZNF572,ZP4,ZP4",GSE206023,6,"BBIBP (V3, D07)",BBIBP,7,1,3,0,IN,34.61,0,HO,V,H,None,No,Yes,China,"November, 2021",NextSeq 2000
