"Variable","Importance"
"GZMM",0.0253968023361999
"NCF2",0.020893213697209
"ITGAM",0.0174734220008121
"GPR89B",0.017115116181163
"STXBP4",0.0159640738877547
"SARM1",0.0152549332909778
"ADD2",0.0125659523623537
"CD3G",0.0123995906340186
"IL18RAP",0.0120388224217783
"PRKCD",0.0117020689654593
