"Variable","Importance"
"GATA3",0.0285155744180204
"GZMM",0.0243182779238633
"SP100",0.0239153116502409
"ASXL1",0.0230415755318256
"ZNF3",0.0224245210478425
"ITGAM",0.0222280932104291
"LGALS3",0.0220420788241273
"ACTG1",0.021853534327825
"KMT2A",0.0218327902691914
"STAT5B",0.021635854329636
