"Variable","Importance"
"TNFRSF17",0.0552692505859261
"IFI27",0.0193767182468946
"WAS",0.0145447799217278
"CCNB2",0.0137069414238383
"ARTN",0.0134288560101075
"CAV1",0.00968613074327954
"EPB42",0.00945550013702045
"RORC",0.00903933249562634
"OSM",0.00880275433711906
"TREML1",0.00869582258567478
