".metric",".estimator",".estimate",".config"
"accuracy","multiclass",0.892215568862275,"Preprocessor1_Model1"
"roc_auc","hand_till",0.993946110036536,"Preprocessor1_Model1"
"brier_class","multiclass",0.0930694986422991,"Preprocessor1_Model1"
