genes,importance
CFHR1,0.014596003749195136
NTS,0.01454792498695087
FOXI3,0.014247689011368614
REG1B,0.013512851184813877
NKX3-2,0.012231558931846638
TRIM49C,0.012147480443723527
S100A7,0.010794696857802568
CST9,0.010230917743537724
RAG2,0.009875366506464213
NLRP10,0.009222760638856865
