genes,infection_vaccination,n_conditions,comparison
IL1R2,Infection,5,Infection only
IL27,Infection,5,Infection only
IL27RA,Infection,5,Infection only
ITGB7,Infection,5,Infection only
ITK,Infection,5,Infection only
JAG1,Infection,5,Infection only
JAK3,Infection,5,Infection only
JMJD6,Infection,5,Infection only
KIF5B,Infection,5,Infection only
LCP1,Infection,5,Infection only
LILRA5,Infection,5,Infection only
MAP3K8,Infection,5,Infection only
MAPK1,Infection,5,Infection only
MNDA,Infection,5,Infection only
MTOR,Infection,5,Infection only
MX1,Infection,5,Infection only
MYO1C,Infection,5,Infection only
NCAPH2,Infection,5,Infection only
NLRC3,Infection,5,Infection only
OAS2,Infection,5,Infection only
PAFAH1B1,Infection,5,Infection only
PARP1,Infection,5,Infection only
PIK3CG,Infection,5,Infection only
PLCG2,Infection,5,Infection only
PPP2CA,Infection,5,Infection only
PPP3CA,Infection,5,Infection only
PRF1,Infection,5,Infection only
PSEN1,Infection,5,Infection only
PURA,Infection,5,Infection only
RAB10,Infection,5,Infection only
RBPJ,Infection,5,Infection only
RC3H1,Infection,5,Infection only
RELB,Infection,5,Infection only
RNASE3,Infection,5,Infection only
RNF213,Infection,5,Infection only
RORA,Infection,5,Infection only
RPS6KA3,Infection,5,Infection only
SELL,Infection,5,Infection only
SERINC5,Infection,5,Infection only
SLC15A4,Infection,5,Infection only
SNAP23,Infection,5,Infection only
SRC,Infection,5,Infection only
STAT1,Infection,5,Infection only
SYK,Infection,5,Infection only
TAP1,Infection,5,Infection only
TCF3,Infection,5,Infection only
TGFBR3,Infection,5,Infection only
THBS1,Infection,5,Infection only
TREML1,Infection,5,Infection only
TRIM21,Infection,5,Infection only
TRIM65,Infection,5,Infection only
UBA7,Infection,5,Infection only
VAV2,Infection,5,Infection only
VIM,Infection,5,Infection only
ZC3H8,Infection,5,Infection only
ZFP36L2,Infection,5,Infection only
ZFPM1,Infection,5,Infection only
ACKR3,Infection,4,Infection only
ADAMTS13,Infection,4,Infection only
ADAR,Infection,4,Infection only
ADD2,Infection,4,Infection only
ASXL1,Infection,4,Infection only
