genes,infection_vaccination,n_conditions,comparison
ADGRE5,Vaccination,5,Vaccination only
ADGRG3,Vaccination,5,Vaccination only
AIF1,Vaccination,5,Vaccination only
AIMP1,Vaccination,5,Vaccination only
ANKH,Vaccination,5,Vaccination only
APOBEC3H,Vaccination,5,Vaccination only
AVPR1A,Vaccination,5,Vaccination only
BANK1,Vaccination,5,Vaccination only
BARD1,Vaccination,5,Vaccination only
BASP1,Vaccination,5,Vaccination only
BCL11A,Vaccination,5,Vaccination only
BLNK,Vaccination,5,Vaccination only
BPI,Vaccination,5,Vaccination only
BTN3A2,Vaccination,5,Vaccination only
C1S,Vaccination,5,Vaccination only
CCR5,Vaccination,5,Vaccination only
CD300C,Vaccination,5,Vaccination only
CD38,Vaccination,5,Vaccination only
CD55,Vaccination,5,Vaccination only
CD68,Vaccination,5,Vaccination only
CD9,Vaccination,5,Vaccination only
CDH26,Vaccination,5,Vaccination only
CDKN2C,Vaccination,5,Vaccination only
CEBPA,Vaccination,5,Vaccination only
CEBPD,Vaccination,5,Vaccination only
CLEC2D,Vaccination,5,Vaccination only
CLEC4A,Vaccination,5,Vaccination only
CLNK,Vaccination,5,Vaccination only
CLU,Vaccination,5,Vaccination only
CPVL,Vaccination,5,Vaccination only
CRK,Vaccination,5,Vaccination only
CSF1R,Vaccination,5,Vaccination only
CSK,Vaccination,5,Vaccination only
CSRP2,Vaccination,5,Vaccination only
CTSB,Vaccination,5,Vaccination only
CTSC,Vaccination,5,Vaccination only
CTSS,Vaccination,5,Vaccination only
CXCL12,Vaccination,5,Vaccination only
CYP1B1,Vaccination,5,Vaccination only
CYP4F3,Vaccination,5,Vaccination only
DBF4,Vaccination,5,Vaccination only
DCAF12,Vaccination,5,Vaccination only
DCC,Vaccination,5,Vaccination only
DHX9,Vaccination,5,Vaccination only
DNASE1,Vaccination,5,Vaccination only
DUSP1,Vaccination,5,Vaccination only
EGF,Vaccination,5,Vaccination only
EHD3,Vaccination,5,Vaccination only
EPB42,Vaccination,5,Vaccination only
F2,Vaccination,5,Vaccination only
FBXO38,Vaccination,5,Vaccination only
FCGR3A,Vaccination,5,Vaccination only
FCGR3B,Vaccination,5,Vaccination only
FCRL5,Vaccination,5,Vaccination only
FKBP1B,Vaccination,5,Vaccination only
FOS,Vaccination,5,Vaccination only
FOSL2,Vaccination,5,Vaccination only
FOXO1,Vaccination,5,Vaccination only
FPR1,Vaccination,5,Vaccination only
FPR2,Vaccination,5,Vaccination only
GATA3,Vaccination,5,Vaccination only
GBP1,Vaccination,5,Vaccination only
GCNT1,Vaccination,5,Vaccination only
GIMAP2,Vaccination,5,Vaccination only
GPR18,Vaccination,5,Vaccination only
GRAP2,Vaccination,5,Vaccination only
GTPBP1,Vaccination,5,Vaccination only
GXYLT2,Vaccination,5,Vaccination only
GYPE,Vaccination,5,Vaccination only
GZMB,Vaccination,5,Vaccination only
GZMH,Vaccination,5,Vaccination only
HCK,Vaccination,5,Vaccination only
HLA-DMA,Vaccination,5,Vaccination only
HLA-DPA1,Vaccination,5,Vaccination only
ICOS,Vaccination,5,Vaccination only
IDE,Vaccination,5,Vaccination only
IDO1,Vaccination,5,Vaccination only
IER3,Vaccination,5,Vaccination only
IFI35,Vaccination,5,Vaccination only
IFI6,Vaccination,5,Vaccination only
IFITM3,Vaccination,5,Vaccination only
IL21R,Vaccination,5,Vaccination only
IL4I1,Vaccination,5,Vaccination only
IRF9,Vaccination,5,Vaccination only
ITGA2B,Vaccination,5,Vaccination only
ITGB3,Vaccination,5,Vaccination only
ITGB8,Vaccination,5,Vaccination only
ITM2A,Vaccination,5,Vaccination only
JUN,Vaccination,5,Vaccination only
JUNB,Vaccination,5,Vaccination only
KCNJ15,Vaccination,5,Vaccination only
KCNMB3,Vaccination,5,Vaccination only
KCNN3,Vaccination,5,Vaccination only
KHDRBS1,Vaccination,5,Vaccination only
KIAA0513,Vaccination,5,Vaccination only
KLF5,Vaccination,5,Vaccination only
KLRB1,Vaccination,5,Vaccination only
LAG3,Vaccination,5,Vaccination only
LAIR1,Vaccination,5,Vaccination only
LAT2,Vaccination,5,Vaccination only
LBH,Vaccination,5,Vaccination only
LCN2,Vaccination,5,Vaccination only
LILRB1,Vaccination,5,Vaccination only
LILRB2,Vaccination,5,Vaccination only
LIPA,Vaccination,5,Vaccination only
LMO2,Vaccination,5,Vaccination only
LPCAT2,Vaccination,5,Vaccination only
LRG1,Vaccination,5,Vaccination only
LRRC25,Vaccination,5,Vaccination only
LY96,Vaccination,5,Vaccination only
MAP2K1,Vaccination,5,Vaccination only
MARCO,Vaccination,5,Vaccination only
MAZ,Vaccination,5,Vaccination only
MCM3,Vaccination,5,Vaccination only
MFSD1,Vaccination,5,Vaccination only
MMRN1,Vaccination,5,Vaccination only
MPL,Vaccination,5,Vaccination only
MRC1,Vaccination,5,Vaccination only
NEDD4,Vaccination,5,Vaccination only
NFKBID,Vaccination,5,Vaccination only
NLRP6,Vaccination,5,Vaccination only
OAS3,Vaccination,5,Vaccination only
OLFM4,Vaccination,5,Vaccination only
PAG1,Vaccination,5,Vaccination only
PDGFRB,Vaccination,5,Vaccination only
PDZK1IP1,Vaccination,5,Vaccination only
PECAM1,Vaccination,5,Vaccination only
PIK3R1,Vaccination,5,Vaccination only
PKHD1L1,Vaccination,5,Vaccination only
PLAUR,Vaccination,5,Vaccination only
PNP,Vaccination,5,Vaccination only
PPBP,Vaccination,5,Vaccination only
PPIL4,Vaccination,5,Vaccination only
PPP3CB,Vaccination,5,Vaccination only
PROK2,Vaccination,5,Vaccination only
PROS1,Vaccination,5,Vaccination only
PRTN3,Vaccination,5,Vaccination only
PYCARD,Vaccination,5,Vaccination only
RAB10,Vaccination,5,Vaccination only
RAB32,Vaccination,5,Vaccination only
RASGRP1,Vaccination,5,Vaccination only
RNF135,Vaccination,5,Vaccination only
RNF213,Vaccination,5,Vaccination only
RPS6,Vaccination,5,Vaccination only
S100A11,Vaccination,5,Vaccination only
S1PR1,Vaccination,5,Vaccination only
S1PR5,Vaccination,5,Vaccination only
SAMHD1,Vaccination,5,Vaccination only
SAMSN1,Vaccination,5,Vaccination only
SARM1,Vaccination,5,Vaccination only
SCIMP,Vaccination,5,Vaccination only
SERINC5,Vaccination,5,Vaccination only
SERPINB9,Vaccination,5,Vaccination only
SH2D1A,Vaccination,5,Vaccination only
SH2D2A,Vaccination,5,Vaccination only
SIGLEC1,Vaccination,5,Vaccination only
SIRT2,Vaccination,5,Vaccination only
SLA2,Vaccination,5,Vaccination only
SLAMF7,Vaccination,5,Vaccination only
SLAMF8,Vaccination,5,Vaccination only
SLC12A1,Vaccination,5,Vaccination only
SLC12A2,Vaccination,5,Vaccination only
SLC19A2,Vaccination,5,Vaccination only
SLC7A5,Vaccination,5,Vaccination only
SLCO2B1,Vaccination,5,Vaccination only
SMC4,Vaccination,5,Vaccination only
SPN,Vaccination,5,Vaccination only
SRPK2,Vaccination,5,Vaccination only
STAT1,Vaccination,5,Vaccination only
STAT5B,Vaccination,5,Vaccination only
SUCNR1,Vaccination,5,Vaccination only
SYT2,Vaccination,5,Vaccination only
SYVN1,Vaccination,5,Vaccination only
TARM1,Vaccination,5,Vaccination only
TECR,Vaccination,5,Vaccination only
TIMP2,Vaccination,5,Vaccination only
TM2D2,Vaccination,5,Vaccination only
TMCC3,Vaccination,5,Vaccination only
TMEM140,Vaccination,5,Vaccination only
TNFAIP8L2,Vaccination,5,Vaccination only
TNFRSF10C,Vaccination,5,Vaccination only
TNFRSF17,Vaccination,5,Vaccination only
TNFSF13,Vaccination,5,Vaccination only
TNFSF13B,Vaccination,5,Vaccination only
TNFSF14,Vaccination,5,Vaccination only
TNFSF15,Vaccination,5,Vaccination only
TRIM58,Vaccination,5,Vaccination only
TRIM59,Vaccination,5,Vaccination only
TSHR,Vaccination,5,Vaccination only
TXK,Vaccination,5,Vaccination only
TXNDC5,Vaccination,5,Vaccination only
TYRO3,Vaccination,5,Vaccination only
TYROBP,Vaccination,5,Vaccination only
UPP1,Vaccination,5,Vaccination only
USP27X,Vaccination,5,Vaccination only
VAMP2,Vaccination,5,Vaccination only
WFDC3,Vaccination,5,Vaccination only
WNT4,Vaccination,5,Vaccination only
ZBP1,Vaccination,5,Vaccination only
ZC3H8,Vaccination,5,Vaccination only
ZC3HAV1,Vaccination,5,Vaccination only
ABCA6,Vaccination,4,Vaccination only
ABCC3,Vaccination,4,Vaccination only
ABHD12,Vaccination,4,Vaccination only
ACTR3,Vaccination,4,Vaccination only
ADAM28,Vaccination,4,Vaccination only
ADRB2,Vaccination,4,Vaccination only
AGTRAP,Vaccination,4,Vaccination only
ANPEP,Vaccination,4,Vaccination only
ANXA1,Vaccination,4,Vaccination only
AOAH,Vaccination,4,Vaccination only
AP1S2,Vaccination,4,Vaccination only
AQP9,Vaccination,4,Vaccination only
ATF2,Vaccination,4,Vaccination only
ATP1B2,Vaccination,4,Vaccination only
BATF2,Vaccination,4,Vaccination only
BIRC3,Vaccination,4,Vaccination only
BRD2,Vaccination,4,Vaccination only
BRI3,Vaccination,4,Vaccination only
BST1,Vaccination,4,Vaccination only
BST2,Vaccination,4,Vaccination only
C1QB,Vaccination,4,Vaccination only
C4B,Vaccination,4,Vaccination only
C4BPB,Vaccination,4,Vaccination only
CACNB4,Vaccination,4,Vaccination only
CADM2,Vaccination,4,Vaccination only
CAMK4,Vaccination,4,Vaccination only
CAMLG,Vaccination,4,Vaccination only
CAPG,Vaccination,4,Vaccination only
CASP1,Vaccination,4,Vaccination only
CASP3,Vaccination,4,Vaccination only
CASP6,Vaccination,4,Vaccination only
CCR1,Vaccination,4,Vaccination only
CCR3,Vaccination,4,Vaccination only
CCR9,Vaccination,4,Vaccination only
CD14,Vaccination,4,Vaccination only
CD151,Vaccination,4,Vaccination only
CD177,Vaccination,4,Vaccination only
CD274,Vaccination,4,Vaccination only
CD276,Vaccination,4,Vaccination only
CD28,Vaccination,4,Vaccination only
CD33,Vaccination,4,Vaccination only
CD3D,Vaccination,4,Vaccination only
CD4,Vaccination,4,Vaccination only
CD52,Vaccination,4,Vaccination only
CD58,Vaccination,4,Vaccination only
CD74,Vaccination,4,Vaccination only
CD86,Vaccination,4,Vaccination only
CD99,Vaccination,4,Vaccination only
CDA,Vaccination,4,Vaccination only
CDC42,Vaccination,4,Vaccination only
CDK14,Vaccination,4,Vaccination only
CEACAM6,Vaccination,4,Vaccination only
CEACAM8,Vaccination,4,Vaccination only
CHAF1A,Vaccination,4,Vaccination only
CHI3L1,Vaccination,4,Vaccination only
CHRNA4,Vaccination,4,Vaccination only
CIITA,Vaccination,4,Vaccination only
CKAP2,Vaccination,4,Vaccination only
CLC,Vaccination,4,Vaccination only
CLEC12A,Vaccination,4,Vaccination only
CLEC12B,Vaccination,4,Vaccination only
CRTAM,Vaccination,4,Vaccination only
CSE1L,Vaccination,4,Vaccination only
CSF2,Vaccination,4,Vaccination only
CSPG4,Vaccination,4,Vaccination only
CST7,Vaccination,4,Vaccination only
CSTA,Vaccination,4,Vaccination only
CXCL11,Vaccination,4,Vaccination only
CXCL16,Vaccination,4,Vaccination only
DAB2,Vaccination,4,Vaccination only
DENND3,Vaccination,4,Vaccination only
DOCK8,Vaccination,4,Vaccination only
DPEP1,Vaccination,4,Vaccination only
DRAM1,Vaccination,4,Vaccination only
DSE,Vaccination,4,Vaccination only
E2F5,Vaccination,4,Vaccination only
EFNB1,Vaccination,4,Vaccination only
EGR1,Vaccination,4,Vaccination only
EIF2AK2,Vaccination,4,Vaccination only
EMP1,Vaccination,4,Vaccination only
ENPP5,Vaccination,4,Vaccination only
EPHB2,Vaccination,4,Vaccination only
EPS8,Vaccination,4,Vaccination only
ERCC1,Vaccination,4,Vaccination only
FBP1,Vaccination,4,Vaccination only
FCER1G,Vaccination,4,Vaccination only
FCN1,Vaccination,4,Vaccination only
FGR,Vaccination,4,Vaccination only
FKBP1A,Vaccination,4,Vaccination only
FRAT2,Vaccination,4,Vaccination only
GBP2,Vaccination,4,Vaccination only
GBP6,Vaccination,4,Vaccination only
GJB2,Vaccination,4,Vaccination only
GJC1,Vaccination,4,Vaccination only
GNG10,Vaccination,4,Vaccination only
GNG7,Vaccination,4,Vaccination only
GPR137B,Vaccination,4,Vaccination only
GPR15,Vaccination,4,Vaccination only
GPR183,Vaccination,4,Vaccination only
GPR65,Vaccination,4,Vaccination only
GPX1,Vaccination,4,Vaccination only
GRB2,Vaccination,4,Vaccination only
GRINA,Vaccination,4,Vaccination only
GRN,Vaccination,4,Vaccination only
GSDMD,Vaccination,4,Vaccination only
HAMP,Vaccination,4,Vaccination only
HESX1,Vaccination,4,Vaccination only
HK1,Vaccination,4,Vaccination only
HLA-DMB,Vaccination,4,Vaccination only
HLA-E,Vaccination,4,Vaccination only
HM13,Vaccination,4,Vaccination only
HMOX1,Vaccination,4,Vaccination only
HSPA6,Vaccination,4,Vaccination only
IFI30,Vaccination,4,Vaccination only
IFIT3,Vaccination,4,Vaccination only
IFNAR2,Vaccination,4,Vaccination only
IGF1R,Vaccination,4,Vaccination only
IGLL5,Vaccination,4,Vaccination only
IGSF6,Vaccination,4,Vaccination only
IKZF1,Vaccination,4,Vaccination only
IL10RA,Vaccination,4,Vaccination only
IL10RB,Vaccination,4,Vaccination only
IL11,Vaccination,4,Vaccination only
IL12A,Vaccination,4,Vaccination only
IL15,Vaccination,4,Vaccination only
IL17RC,Vaccination,4,Vaccination only
IL31RA,Vaccination,4,Vaccination only
ITGB4,Vaccination,4,Vaccination only
ITM2C,Vaccination,4,Vaccination only
KCNE4,Vaccination,4,Vaccination only
KLHL14,Vaccination,4,Vaccination only
KRT23,Vaccination,4,Vaccination only
KYNU,Vaccination,4,Vaccination only
LAMP2,Vaccination,4,Vaccination only
LAMP3,Vaccination,4,Vaccination only
LCP1,Vaccination,4,Vaccination only
LGALS9,Vaccination,4,Vaccination only
LIF,Vaccination,4,Vaccination only
LILRA1,Vaccination,4,Vaccination only
LILRA5,Vaccination,4,Vaccination only
LPXN,Vaccination,4,Vaccination only
LST1,Vaccination,4,Vaccination only
LTF,Vaccination,4,Vaccination only
MANSC1,Vaccination,4,Vaccination only
MAP3K8,Vaccination,4,Vaccination only
MAPK3,Vaccination,4,Vaccination only
MAPKAPK2,Vaccination,4,Vaccination only
MAPT,Vaccination,4,Vaccination only
MASP1,Vaccination,4,Vaccination only
MBOAT7,Vaccination,4,Vaccination only
MERTK,Vaccination,4,Vaccination only
METTL7A,Vaccination,4,Vaccination only
MGAM,Vaccination,4,Vaccination only
MMP19,Vaccination,4,Vaccination only
MMP8,Vaccination,4,Vaccination only
MPEG1,Vaccination,4,Vaccination only
MS4A6A,Vaccination,4,Vaccination only
MS4A7,Vaccination,4,Vaccination only
MSR1,Vaccination,4,Vaccination only
MTMR11,Vaccination,4,Vaccination only
MYH10,Vaccination,4,Vaccination only
NAV1,Vaccination,4,Vaccination only
NCAPD3,Vaccination,4,Vaccination only
NCAPH2,Vaccination,4,Vaccination only
NCF1,Vaccination,4,Vaccination only
NCF2,Vaccination,4,Vaccination only
NCKAP1L,Vaccination,4,Vaccination only
NFAM1,Vaccination,4,Vaccination only
NFKB1,Vaccination,4,Vaccination only
NKG7,Vaccination,4,Vaccination only
NLRC3,Vaccination,4,Vaccination only
NLRC4,Vaccination,4,Vaccination only
NOD2,Vaccination,4,Vaccination only
NOG,Vaccination,4,Vaccination only
NR4A1,Vaccination,4,Vaccination only
OAS1,Vaccination,4,Vaccination only
OASL,Vaccination,4,Vaccination only
ORM1,Vaccination,4,Vaccination only
P2RY2,Vaccination,4,Vaccination only
PARP1,Vaccination,4,Vaccination only
PDGFRA,Vaccination,4,Vaccination only
PELI3,Vaccination,4,Vaccination only
PF4,Vaccination,4,Vaccination only
PGD,Vaccination,4,Vaccination only
PIK3CA,Vaccination,4,Vaccination only
PIK3CG,Vaccination,4,Vaccination only
PIK3R3,Vaccination,4,Vaccination only
PILRA,Vaccination,4,Vaccination only
PLBD1,Vaccination,4,Vaccination only
PLXDC2,Vaccination,4,Vaccination only
PLXNB2,Vaccination,4,Vaccination only
PML,Vaccination,4,Vaccination only
PPIA,Vaccination,4,Vaccination only
PPP1R16B,Vaccination,4,Vaccination only
PRAM1,Vaccination,4,Vaccination only
PRKAR2B,Vaccination,4,Vaccination only
PRKCD,Vaccination,4,Vaccination only
PTGFRN,Vaccination,4,Vaccination only
PTGIR,Vaccination,4,Vaccination only
PTMS,Vaccination,4,Vaccination only
PTPN11,Vaccination,4,Vaccination only
PTPN22,Vaccination,4,Vaccination only
PTPRJ,Vaccination,4,Vaccination only
PYHIN1,Vaccination,4,Vaccination only
QPCT,Vaccination,4,Vaccination only
RAB43,Vaccination,4,Vaccination only
RARA,Vaccination,4,Vaccination only
RBBP8,Vaccination,4,Vaccination only
RBP7,Vaccination,4,Vaccination only
RBX1,Vaccination,4,Vaccination only
RELB,Vaccination,4,Vaccination only
RFC2,Vaccination,4,Vaccination only
RHOU,Vaccination,4,Vaccination only
RNF130,Vaccination,4,Vaccination only
RRAGD,Vaccination,4,Vaccination only
RSAD2,Vaccination,4,Vaccination only
RXRA,Vaccination,4,Vaccination only
S100A9,Vaccination,4,Vaccination only
S100P,Vaccination,4,Vaccination only
SCARB2,Vaccination,4,Vaccination only
SCN1A,Vaccination,4,Vaccination only
SCNN1B,Vaccination,4,Vaccination only
SERPING1,Vaccination,4,Vaccination only
SFXN3,Vaccination,4,Vaccination only
SHMT2,Vaccination,4,Vaccination only
SIGLEC16,Vaccination,4,Vaccination only
SIGLEC9,Vaccination,4,Vaccination only
SIRPA,Vaccination,4,Vaccination only
SKIL,Vaccination,4,Vaccination only
SLC11A1,Vaccination,4,Vaccination only
SLC16A14,Vaccination,4,Vaccination only
SLC16A3,Vaccination,4,Vaccination only
SLC27A3,Vaccination,4,Vaccination only
SLC43A2,Vaccination,4,Vaccination only
SLCO4C1,Vaccination,4,Vaccination only
SLCO5A1,Vaccination,4,Vaccination only
SLFN11,Vaccination,4,Vaccination only
SMPD1,Vaccination,4,Vaccination only
SMPDL3A,Vaccination,4,Vaccination only
SOCS2,Vaccination,4,Vaccination only
SOD1,Vaccination,4,Vaccination only
SOX4,Vaccination,4,Vaccination only
SP140,Vaccination,4,Vaccination only
SPIB,Vaccination,4,Vaccination only
SRC,Vaccination,4,Vaccination only
SRD5A3,Vaccination,4,Vaccination only
SSC5D,Vaccination,4,Vaccination only
SSPN,Vaccination,4,Vaccination only
ST6GAL1,Vaccination,4,Vaccination only
STAB1,Vaccination,4,Vaccination only
STAT2,Vaccination,4,Vaccination only
STAT4,Vaccination,4,Vaccination only
STAT6,Vaccination,4,Vaccination only
TAP2,Vaccination,4,Vaccination only
TBXAS1,Vaccination,4,Vaccination only
TEK,Vaccination,4,Vaccination only
TFEB,Vaccination,4,Vaccination only
TGFB2,Vaccination,4,Vaccination only
TGFBI,Vaccination,4,Vaccination only
THEMIS,Vaccination,4,Vaccination only
TLR1,Vaccination,4,Vaccination only
TM4SF20,Vaccination,4,Vaccination only
TMEM156,Vaccination,4,Vaccination only
TMEM64,Vaccination,4,Vaccination only
TNFAIP2,Vaccination,4,Vaccination only
TNFRSF10B,Vaccination,4,Vaccination only
TNFRSF13B,Vaccination,4,Vaccination only
TNFSF12,Vaccination,4,Vaccination only
TNIP2,Vaccination,4,Vaccination only
TREM1,Vaccination,4,Vaccination only
TREML4,Vaccination,4,Vaccination only
TRIM26,Vaccination,4,Vaccination only
TTC4,Vaccination,4,Vaccination only
TTLL1,Vaccination,4,Vaccination only
TTYH2,Vaccination,4,Vaccination only
TTYH3,Vaccination,4,Vaccination only
TXNDC15,Vaccination,4,Vaccination only
TYMP,Vaccination,4,Vaccination only
UBA7,Vaccination,4,Vaccination only
UNG,Vaccination,4,Vaccination only
USP18,Vaccination,4,Vaccination only
VANGL1,Vaccination,4,Vaccination only
VASP,Vaccination,4,Vaccination only
VAV2,Vaccination,4,Vaccination only
VEGFA,Vaccination,4,Vaccination only
WFDC11,Vaccination,4,Vaccination only
XBP1,Vaccination,4,Vaccination only
XCL1,Vaccination,4,Vaccination only
XCR1,Vaccination,4,Vaccination only
XRCC5,Vaccination,4,Vaccination only
ZFP36L1,Vaccination,4,Vaccination only
ZNF3,Vaccination,4,Vaccination only
ZNF683,Vaccination,4,Vaccination only
ABLIM1,Vaccination,3,Vaccination only
ACKR3,Vaccination,3,Vaccination only
ADCY9,Vaccination,3,Vaccination only
AFF3,Vaccination,3,Vaccination only
ALDH1A1,Vaccination,3,Vaccination only
ALDH2,Vaccination,3,Vaccination only
ANO10,Vaccination,3,Vaccination only
APBB1IP,Vaccination,3,Vaccination only
APLP2,Vaccination,3,Vaccination only
ARG1,Vaccination,3,Vaccination only
ARRB2,Vaccination,3,Vaccination only
ASGR2,Vaccination,3,Vaccination only
ASRGL1,Vaccination,3,Vaccination only
ATP8B2,Vaccination,3,Vaccination only
ATP8B4,Vaccination,3,Vaccination only
BAX,Vaccination,3,Vaccination only
BCAR1,Vaccination,3,Vaccination only
BCL11B,Vaccination,3,Vaccination only
BCL2,Vaccination,3,Vaccination only
BIN2,Vaccination,3,Vaccination only
BLK,Vaccination,3,Vaccination only
BPIFB3,Vaccination,3,Vaccination only
BRAF,Vaccination,3,Vaccination only
C17orf99,Vaccination,3,Vaccination only
C1QC,Vaccination,3,Vaccination only
C1R,Vaccination,3,Vaccination only
C1orf162,Vaccination,3,Vaccination only
C2,Vaccination,3,Vaccination only
C3,Vaccination,3,Vaccination only
C3AR1,Vaccination,3,Vaccination only
C5AR1,Vaccination,3,Vaccination only
CACNA2D3,Vaccination,3,Vaccination only
CALCRL,Vaccination,3,Vaccination only
CAV1,Vaccination,3,Vaccination only
CBFA2T3,Vaccination,3,Vaccination only
CCL18,Vaccination,3,Vaccination only
CCNE1,Vaccination,3,Vaccination only
CD164,Vaccination,3,Vaccination only
CD180,Vaccination,3,Vaccination only
CD1B,Vaccination,3,Vaccination only
CD2,Vaccination,3,Vaccination only
CD244,Vaccination,3,Vaccination only
CD247,Vaccination,3,Vaccination only
CD27,Vaccination,3,Vaccination only
CD300LD,Vaccination,3,Vaccination only
CD302,Vaccination,3,Vaccination only
CD36,Vaccination,3,Vaccination only
CD40,Vaccination,3,Vaccination only
CD70,Vaccination,3,Vaccination only
CD79A,Vaccination,3,Vaccination only
CD8A,Vaccination,3,Vaccination only
CD8B,Vaccination,3,Vaccination only
CDKN2B,Vaccination,3,Vaccination only
CEBPE,Vaccination,3,Vaccination only
CENPL,Vaccination,3,Vaccination only
CFB,Vaccination,3,Vaccination only
CFD,Vaccination,3,Vaccination only
CFH,Vaccination,3,Vaccination only
CHGA,Vaccination,3,Vaccination only
CHRNA7,Vaccination,3,Vaccination only
CHST15,Vaccination,3,Vaccination only
CHST3,Vaccination,3,Vaccination only
CHUK,Vaccination,3,Vaccination only
CLDN23,Vaccination,3,Vaccination only
CLEC10A,Vaccination,3,Vaccination only
CLEC4E,Vaccination,3,Vaccination only
CLEC6A,Vaccination,3,Vaccination only
CLIC3,Vaccination,3,Vaccination only
CLPTM1,Vaccination,3,Vaccination only
CORO1A,Vaccination,3,Vaccination only
CPNE5,Vaccination,3,Vaccination only
CRISP3,Vaccination,3,Vaccination only
CRKL,Vaccination,3,Vaccination only
CSF3,Vaccination,3,Vaccination only
CSF3R,Vaccination,3,Vaccination only
CSMD1,Vaccination,3,Vaccination only
CTLA4,Vaccination,3,Vaccination only
CTSH,Vaccination,3,Vaccination only
CXADR,Vaccination,3,Vaccination only
CXCL17,Vaccination,3,Vaccination only
CXCL9,Vaccination,3,Vaccination only
CXCR3,Vaccination,3,Vaccination only
CXCR6,Vaccination,3,Vaccination only
CYBB,Vaccination,3,Vaccination only
CYP11B1,Vaccination,3,Vaccination only
DACH1,Vaccination,3,Vaccination only
DDOST,Vaccination,3,Vaccination only
DEFB1,Vaccination,3,Vaccination only
DENND2D,Vaccination,3,Vaccination only
DENND5B,Vaccination,3,Vaccination only
DERL3,Vaccination,3,Vaccination only
DHX58,Vaccination,3,Vaccination only
DNM2,Vaccination,3,Vaccination only
DOCK2,Vaccination,3,Vaccination only
DPYSL2,Vaccination,3,Vaccination only
DYSF,Vaccination,3,Vaccination only
EBI3,Vaccination,3,Vaccination only
EDNRB,Vaccination,3,Vaccination only
EMILIN2,Vaccination,3,Vaccination only
EMP2,Vaccination,3,Vaccination only
EPB41L3,Vaccination,3,Vaccination only
EPHB3,Vaccination,3,Vaccination only
ERI2,Vaccination,3,Vaccination only
FAM20C,Vaccination,3,Vaccination only
FAU,Vaccination,3,Vaccination only
FCGR2B,Vaccination,3,Vaccination only
FCGRT,Vaccination,3,Vaccination only
FCRLA,Vaccination,3,Vaccination only
FER,Vaccination,3,Vaccination only
FGFBP2,Vaccination,3,Vaccination only
FGL2,Vaccination,3,Vaccination only
FLRT2,Vaccination,3,Vaccination only
FLT1,Vaccination,3,Vaccination only
FOLR3,Vaccination,3,Vaccination only
FOXI3,Vaccination,3,Vaccination only
FZD5,Vaccination,3,Vaccination only
FZD9,Vaccination,3,Vaccination only
GABRE,Vaccination,3,Vaccination only
GALNT6,Vaccination,3,Vaccination only
GAS2L3,Vaccination,3,Vaccination only
GBP7,Vaccination,3,Vaccination only
GCA,Vaccination,3,Vaccination only
GEM,Vaccination,3,Vaccination only
GFI1,Vaccination,3,Vaccination only
GIMAP6,Vaccination,3,Vaccination only
GLI3,Vaccination,3,Vaccination only
GLT1D1,Vaccination,3,Vaccination only
GPR171,Vaccination,3,Vaccination only
GPR19,Vaccination,3,Vaccination only
GRAMD1C,Vaccination,3,Vaccination only
GSN,Vaccination,3,Vaccination only
GYPA,Vaccination,3,Vaccination only
GZMK,Vaccination,3,Vaccination only
HAVCR2,Vaccination,3,Vaccination only
HEPH,Vaccination,3,Vaccination only
HERC5,Vaccination,3,Vaccination only
HEXIM1,Vaccination,3,Vaccination only
HHIP,Vaccination,3,Vaccination only
HHLA2,Vaccination,3,Vaccination only
HK3,Vaccination,3,Vaccination only
HLA-DOA,Vaccination,3,Vaccination only
HLA-DOB,Vaccination,3,Vaccination only
HLA-DPB1,Vaccination,3,Vaccination only
HLA-DRA,Vaccination,3,Vaccination only
HMGB1,Vaccination,3,Vaccination only
HMGB2,Vaccination,3,Vaccination only
HSPD1,Vaccination,3,Vaccination only
HTN1,Vaccination,3,Vaccination only
IFIT1,Vaccination,3,Vaccination only
IFIT2,Vaccination,3,Vaccination only
IFITM2,Vaccination,3,Vaccination only
IFNGR2,Vaccination,3,Vaccination only
IFNLR1,Vaccination,3,Vaccination only
IL10,Vaccination,3,Vaccination only
IL12RB2,Vaccination,3,Vaccination only
IL15RA,Vaccination,3,Vaccination only
IL17RB,Vaccination,3,Vaccination only
IL18,Vaccination,3,Vaccination only
IL1A,Vaccination,3,Vaccination only
IL1R1,Vaccination,3,Vaccination only
IL27,Vaccination,3,Vaccination only
IL27RA,Vaccination,3,Vaccination only
IL2RG,Vaccination,3,Vaccination only
IL6ST,Vaccination,3,Vaccination only
IL7,Vaccination,3,Vaccination only
IL7R,Vaccination,3,Vaccination only
IPO7,Vaccination,3,Vaccination only
IRAK3,Vaccination,3,Vaccination only
IRF7,Vaccination,3,Vaccination only
IRGM,Vaccination,3,Vaccination only
ISG15,Vaccination,3,Vaccination only
ITK,Vaccination,3,Vaccination only
JAGN1,Vaccination,3,Vaccination only
JUP,Vaccination,3,Vaccination only
KCNJ2,Vaccination,3,Vaccination only
KCTD12,Vaccination,3,Vaccination only
KIF5B,Vaccination,3,Vaccination only
KIR2DL1,Vaccination,3,Vaccination only
KLF12,Vaccination,3,Vaccination only
KLRC1,Vaccination,3,Vaccination only
KLRC3,Vaccination,3,Vaccination only
KLRD1,Vaccination,3,Vaccination only
