genes,infection_vaccination,n_conditions,comparison
CD244,Infection,6,Infection only
CD274,Infection,6,Infection only
CD40LG,Infection,6,Infection only
CD53,Infection,6,Infection only
CD55,Infection,6,Infection only
CD8A,Infection,6,Infection only
CDA,Infection,6,Infection only
CDK14,Infection,6,Infection only
CDKN2B,Infection,6,Infection only
CEACAM1,Infection,6,Infection only
CEBPD,Infection,6,Infection only
CFH,Infection,6,Infection only
CHUK,Infection,6,Infection only
CIITA,Infection,6,Infection only
CISH,Infection,6,Infection only
CLEC4E,Infection,6,Infection only
CMTM2,Infection,6,Infection only
CREB5,Infection,6,Infection only
CSF1R,Infection,6,Infection only
CSRP2,Infection,6,Infection only
CSTA,Infection,6,Infection only
CTSW,Infection,6,Infection only
DENND3,Infection,6,Infection only
DGAT2,Infection,6,Infection only
DLL1,Infection,6,Infection only
DRAM1,Infection,6,Infection only
EGF,Infection,6,Infection only
EIF2AK2,Infection,6,Infection only
ENG,Infection,6,Infection only
ENPP1,Infection,6,Infection only
EOMES,Infection,6,Infection only
EPHB2,Infection,6,Infection only
EPX,Infection,6,Infection only
EREG,Infection,6,Infection only
F2,Infection,6,Infection only
FAM43A,Infection,6,Infection only
FCAR,Infection,6,Infection only
FCER1A,Infection,6,Infection only
FCGR1A,Infection,6,Infection only
FZD5,Infection,6,Infection only
GALNT6,Infection,6,Infection only
GBP6,Infection,6,Infection only
GCA,Infection,6,Infection only
GIMAP6,Infection,6,Infection only
GLT1D1,Infection,6,Infection only
GPM6B,Infection,6,Infection only
GPR171,Infection,6,Infection only
GPR183,Infection,6,Infection only
GPR87,Infection,6,Infection only
HDAC4,Infection,6,Infection only
HLA-A,Infection,6,Infection only
HLA-B,Infection,6,Infection only
HLA-DQA1,Infection,6,Infection only
HLX,Infection,6,Infection only
IFIH1,Infection,6,Infection only
IFITM3,Infection,6,Infection only
IFNGR1,Infection,6,Infection only
IFNGR2,Infection,6,Infection only
IL10RA,Infection,6,Infection only
IL10RB,Infection,6,Infection only
IL13RA1,Infection,6,Infection only
IL17RB,Infection,6,Infection only
IL18,Infection,6,Infection only
IL1R1,Infection,6,Infection only
IL1R2,Infection,6,Infection only
IL27RA,Infection,6,Infection only
IL4R,Infection,6,Infection only
IRAK1BP1,Infection,6,Infection only
ITGB7,Infection,6,Infection only
ITK,Infection,6,Infection only
JMJD6,Infection,6,Infection only
JUN,Infection,6,Infection only
JUP,Infection,6,Infection only
KCNJ15,Infection,6,Infection only
KIF5B,Infection,6,Infection only
KLF12,Infection,6,Infection only
LAPTM5,Infection,6,Infection only
LCP1,Infection,6,Infection only
LCP2,Infection,6,Infection only
LGALS9,Infection,6,Infection only
LIN7A,Infection,6,Infection only
LPCAT2,Infection,6,Infection only
LPXN,Infection,6,Infection only
LRRC4,Infection,6,Infection only
LRRK2,Infection,6,Infection only
LTA,Infection,6,Infection only
LY75,Infection,6,Infection only
LY9,Infection,6,Infection only
MANSC1,Infection,6,Infection only
MATK,Infection,6,Infection only
MAZ,Infection,6,Infection only
MMP19,Infection,6,Infection only
MMP9,Infection,6,Infection only
MPP1,Infection,6,Infection only
