"Variable","Importance"
"IL23R",0.0261696244029778
"PRKCE",0.0247474932532154
"VIM",0.0246146063700938
"NCF2",0.0233157725985933
"ADAR",0.0224000761578572
"SELL",0.0210168174662732
"STXBP4",0.0199611791564893
"LGALS3",0.019661169008242
"S100A7",0.0191387185115057
"IL1R1",0.0181241470636119
