"Variable","Importance"
"TNFRSF17",0.0509230593633694
"IFI27",0.0165447119852062
"ARTN",0.0126573623153025
"WAS",0.0126152604526732
"CCNB2",0.0111010117295449
"OSM",0.00884696890484331
"TREML1",0.00877486041964505
"RORC",0.00876317941734134
"RPS19",0.00858883400849449
"EPB42",0.0084572979679848
