"mtry","min_n",".metric",".estimator","mean","n","std_err",".config"
100,10,"accuracy","multiclass",0.859294871794872,10,0.0144641706450599,"Preprocessor1_Model20"
100,10,"brier_class","multiclass",0.106753595408857,10,0.00825650590440938,"Preprocessor1_Model20"
100,10,"roc_auc","hand_till",0.986842656213332,10,0.00298981855999449,"Preprocessor1_Model20"
86,11,"accuracy","multiclass",0.861794871794872,10,0.0154530765446564,"Preprocessor1_Model21"
86,11,"brier_class","multiclass",0.107189328006088,10,0.00798408924551249,"Preprocessor1_Model21"
86,11,"roc_auc","hand_till",0.986019639737942,10,0.00323536027042551,"Preprocessor1_Model21"
89,11,"accuracy","multiclass",0.851666666666667,10,0.0165645016843062,"Preprocessor1_Model22"
89,11,"brier_class","multiclass",0.107115850611295,10,0.00831528784589799,"Preprocessor1_Model22"
89,11,"roc_auc","hand_till",0.985732943986122,10,0.00331095899225207,"Preprocessor1_Model22"
93,11,"accuracy","multiclass",0.856730769230769,10,0.0154235174109928,"Preprocessor1_Model23"
93,11,"brier_class","multiclass",0.107028658968174,10,0.00803441395648103,"Preprocessor1_Model23"
93,11,"roc_auc","hand_till",0.986335459913526,10,0.00317045958808393,"Preprocessor1_Model23"
96,11,"accuracy","multiclass",0.864423076923077,10,0.0158036620607812,"Preprocessor1_Model24"
96,11,"brier_class","multiclass",0.106911328548427,10,0.00811288755077369,"Preprocessor1_Model24"
96,11,"roc_auc","hand_till",0.985684112176408,10,0.0037329890911789,"Preprocessor1_Model24"
100,11,"accuracy","multiclass",0.861858974358974,10,0.0139172130647663,"Preprocessor1_Model25"
100,11,"brier_class","multiclass",0.106784254828755,10,0.00808214390619334,"Preprocessor1_Model25"
100,11,"roc_auc","hand_till",0.985111841944954,10,0.00393971347135123,"Preprocessor1_Model25"
