"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"vaccine","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","BNT","BNT","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"Differentiation B cell Marginal zone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.095942",NA,NA
"Differentiation CD4+ T cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.130436",NA,NA
"Differentiation CD8+ abT cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7822766",NA,NA
"Differentiation Immune response B cell Mature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8322029",NA,NA
"Differentiation Langerhans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6697395",NA,NA,NA,NA,NA,NA
"Differentiation Lymphocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9915024",NA,NA
"Differentiation Myeloid Dendritic cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.0274161",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9915024",NA,NA
"Differentiation Plasma cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9915024",NA,NA
"Differentiation T cell",NA,NA,NA,NA,NA,NA,"0.6685521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9467152",NA,NA,"1.3373075",NA,NA
"Differentiation T cell Thymus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.015014",NA,NA
"Differentiation Th cell Follicular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8322029",NA,NA
"Differentiation Th17 cell",NA,NA,NA,NA,NA,"0.6985588","1.0704447",NA,"0.7218946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Differentiation Th2 cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.335168",NA,NA
"Differentiation pro-T cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9668057",NA,NA
"Eosinophil","0.9559937",NA,"1.0976241","0.7033020",NA,NA,NA,NA,NA,NA,"0.7145120",NA,"1.9112119","1.0745412","0.8011248",NA,NA,"1.3304741",NA,NA,NA,NA,NA,"0.7711531"
"Establishment of T cell polarity",NA,NA,NA,NA,NA,NA,"0.7632580",NA,"0.8774738",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8652766",NA,NA,NA,NA,NA
"Extravasation Neutrophil",NA,NA,NA,NA,NA,NA,"1.5092712","0.8428280",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6697395","2.7334600",NA,"0.6579939","0.7655173",NA,NA
"Extravasation Th cell",NA,NA,"0.8303202",NA,NA,NA,NA,"1.0700952",NA,NA,NA,"0.9202971",NA,NA,"1.0892583",NA,NA,"1.3304741",NA,NA,NA,NA,NA,NA
"Fc-gR signaling phagocytosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7302654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Formation Germinal center",NA,NA,NA,NA,NA,NA,NA,"0.7667119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.3351682",NA,NA
"Formation Granuloma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7655173",NA,NA
"Formation Immunological synapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8466686",NA,NA,NA,NA
"Homeostasis B-1 B cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6579939","0.8988507",NA,NA
"Homeostasis Dendritic cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8322029",NA,NA
"Homeostasis Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6697395",NA,NA,NA,NA,NA,NA
"Homeostasis Macrophage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7752520","0.7233831",NA
"Homeostasis Monocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7752520","0.7233831",NA
