"","BBIBP (V3 D14)","BBIBP (V3 D28)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I (D4)","BNT-I-BNT (D51 mild)","BNT-I-BNT (D51 severe)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D6)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd (V2 D3)","ChAd (V2 D7)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 moderate)","I (D51 severe)","I-I (D1)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"ARHGEF5",NA,NA,NA,NA,NA,NA,"-1.55805636125082",NA,"-2.22604618630238",NA,NA,NA,"-2.19822977654795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARID5A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09688184890077",NA,NA,NA,NA,NA,NA,NA,NA
"AXL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.52606493185392",NA,NA,"1.02593344533977",NA,NA,"1.86310785312848",NA,NA,NA,NA,NA,"-2.76486375802137",NA,NA,NA,NA,NA,NA
"AZU1",NA,NA,NA,NA,NA,NA,"3.30851569304825","3.84312488742692",NA,NA,NA,NA,"4.42821472670945",NA,NA,NA,NA,"1.71273932056095",NA,NA,NA,NA,NA,NA,NA,"2.34207610442217","4.4536757018893",NA,NA,"3.05712123852026",NA,NA,NA,NA
"B2M",NA,NA,NA,NA,NA,NA,"1.26266191271428","1.00135800091162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B4GALT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.75575255875016",NA,NA,NA,NA
"BANK1",NA,NA,NA,NA,NA,NA,"-2.56605907078223",NA,"-3.1042636510889",NA,NA,NA,"-3.03674087006184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-3.05376836020584",NA,NA,NA
"BATF2",NA,NA,NA,"3.63513082473623","3.61273997753565",NA,"3.78167537961996","3.40169334787679",NA,NA,NA,NA,NA,NA,"3.85661911322858","2.85603497316128",NA,NA,"2.86050464376537",NA,NA,"2.44729764465969","-1.29791010037843","4.13389810292167","2.77278008727171",NA,NA,NA,NA,"2.56932144567191",NA,NA,NA,NA
"BCAR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.31714371567453",NA,NA,NA,NA,NA,NA,NA,"3.11683362074158",NA,NA
"BCL10",NA,NA,NA,NA,NA,NA,"1.21386728628462","1.04046839963499","1.295665803775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.10226498279107",NA,"1.06040299504149",NA,"1.40730863790467",NA,NA,NA,NA
