"","genes","9","8","7","6","5","4","3","2","1"
"59","CCL20"," "," ","T CELLS","NEUTROPHIL","MONOCYTES","CELLULAR ADAPTIVE IMMUNE SYSTEM","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"60","CCL24"," "," "," ","NEUTROPHIL","MONOCYTES","EOSINOPHIL","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"61","CCL3","T CELLS","NEUTROPHIL","MONOCYTES","EOSINOPHIL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ANTIVIRAL AND INTERFERON","MACROPHAGES","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"62","CCL3L1"," "," "," ","NEUTROPHIL","MONOCYTES","EOSINOPHIL","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"63","CCL4"," "," "," ","NEUTROPHIL","MONOCYTES","EOSINOPHIL","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"64","CCL5"," ","NEUTROPHIL","MONOCYTES","EOSINOPHIL","DENDRITIC CELLS","ANTIVIRAL AND INTERFERON","MACROPHAGES","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"65","CCL7"," "," "," ","NEUTROPHIL","MONOCYTES","EOSINOPHIL","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"66","CCL8"," "," "," ","NEUTROPHIL","MONOCYTES","EOSINOPHIL","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"67","CCNB2"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"68","CCND3"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"69","CCR1"," "," "," "," "," "," "," ","DENDRITIC CELLS","INNATE IMMUNE SYSTEM"
"70","CCR2"," "," ","NEUTROPHIL","MONOCYTES","DENDRITIC CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","MACROPHAGES","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"71","CCR7"," "," "," "," ","T CELLS","DENDRITIC CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"72","CD14"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"73","CD160"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"74","CD177"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"75","CD19"," "," "," "," "," ","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"76","CD1C"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"77","CD1E"," "," "," "," "," "," ","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"78","CD22"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"79","CD24"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"80","CD247"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"81","CD27"," "," "," "," "," ","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"82","CD276"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"83","CD28"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"84","CD38"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"85","CD3G"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"86","CD40"," "," "," "," "," ","B CELLS","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"87","CD40LG"," "," "," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"88","CD44"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"89","CD55"," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"90","CD58"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"91","CD6"," "," "," "," ","T CELLS","INFLAMMATION","HUMORAL ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"92","CD68"," "," "," "," "," "," "," ","INFLAMMATION","INNATE IMMUNE SYSTEM"
"93","CD7"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"94","CD79A"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"95","CD79B"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"96","CD81"," "," "," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"97","CD83"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"98","CD86"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"99","CD8B"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"100","CDC42"," "," "," "," "," "," ","DENDRITIC CELLS","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"101","CDH26"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"102","CDK6"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"103","CDKN2B"," "," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"104","CEBPB"," "," "," "," "," "," ","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"105","CFB"," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"106","CFD"," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"107","CFH"," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"108","CFP"," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"109","CH25H"," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"110","CHGA"," "," "," "," "," "," "," ","MAST CELL","INNATE IMMUNE SYSTEM"
"111","CHRNB2"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"112","CHST3"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"113","CIITA"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"114","CLEC10A"," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"115","CLEC4G"," "," "," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"116","CLEC6A"," "," "," "," "," "," ","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"117","CLNK"," "," "," "," "," "," "," ","MAST CELL","INNATE IMMUNE SYSTEM"
"118","CLU"," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"119","CORO1A"," "," "," "," ","T CELLS","NK CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"120","CPLX2"," "," "," "," "," "," "," ","MAST CELL","INNATE IMMUNE SYSTEM"
"121","CR1"," "," "," "," ","T CELLS","COMPLEMENT IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"122","CR2"," "," "," ","T CELLS","COMPLEMENT IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"123","CRISP3"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"124","CRTAM"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"125","CRTC3"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"126","CSF1"," "," "," "," "," ","NEUTROPHIL","MONOCYTES","MACROPHAGES","INNATE IMMUNE SYSTEM"
"127","CSK"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"128","CTLA4"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"129","CTNNB1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"130","CTSG"," "," "," "," "," "," ","NEUTROPHIL","MONOCYTES","INNATE IMMUNE SYSTEM"
"131","CTSH"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"132","CX3CL1"," "," "," ","NEUTROPHIL","MONOCYTES","EOSINOPHIL","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"133","CX3CR1"," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"134","CXADR"," "," "," "," ","T CELLS","NEUTROPHIL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"135","CXCL1"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"136","CXCL17"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"137","CXCL2"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"138","CXCL3"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"139","CXCL5"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"140","CXCL6"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"141","CXCL8"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"142","CXCL9"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"143","CXCR1"," "," "," "," "," "," ","NEUTROPHIL","DENDRITIC CELLS","INNATE IMMUNE SYSTEM"
"144","CXCR2"," "," "," "," "," ","NEUTROPHIL","INFLAMMATION","DENDRITIC CELLS","INNATE IMMUNE SYSTEM"
"145","CXCR4"," "," "," "," "," "," "," ","DENDRITIC CELLS","INNATE IMMUNE SYSTEM"
"146","CXCR5"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"147","CYBA"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"148","DDX60"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"149","DEFA1"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"150","DEFA3"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"151","DEFA4"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"152","DEFB1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"153","DNASE1"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"154","DPEP1"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"155","DPP4"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"156","DTX1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"157","EDN3"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"158","EDNRB"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"159","EFNB1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"160","EGR1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"161","EIF2AK2"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"162","ELANE"," "," "," "," "," "," ","NEUTROPHIL","INFLAMMATION","INNATE IMMUNE SYSTEM"
"163","EMP2"," "," "," ","T CELLS","NK CELL","NEUTROPHIL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"164","EOMES"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"165","EP300"," "," "," "," "," ","B CELLS","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"166","EPB42"," "," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"167","EPHB1"," "," "," "," "," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"168","EPHB2"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"169","EPHB3"," "," "," "," "," "," "," ","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"170","EPS8"," "," "," "," "," "," "," ","DENDRITIC CELLS","INNATE IMMUNE SYSTEM"
"171","F12"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"172","F2"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"173","F2RL1"," "," "," "," ","T CELLS","NEUTROPHIL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"174","FAS"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"175","FASLG"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"176","FAU"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"177","FBXO38"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"178","FCAR"," "," "," "," "," "," ","NEUTROPHIL","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"179","FCER1A"," "," ","T CELLS","MAST CELL","HUMORAL ADAPTIVE IMMUNE SYSTEM","EOSINOPHIL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"180","FCER1G","T CELLS","NEUTROPHIL","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"181","FCGR1A"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"182","FCGR2B"," "," "," ","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"183","FCGR3A"," "," "," "," "," "," ","NK CELL","MACROPHAGES","INNATE IMMUNE SYSTEM"
"184","FGR"," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"185","FKBP1A"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"186","FKBP1B"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"187","FLT1"," "," "," "," "," "," "," ","MONOCYTES","INNATE IMMUNE SYSTEM"
"188","FLT3"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"189","FOSL1"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"190","FOSL2"," "," "," ","T CELLS","INFLAMMATION","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"191","FOXI3"," "," "," "," "," "," "," ","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"192","FPR1"," "," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM"
"193","FPR2"," "," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM"
"194","FPR3"," "," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM"
"195","FRK"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"196","FUT4"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"197","FUT7"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"198","FYB2"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"199","GAPT"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"200","GARIN5A"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"201","GATA3"," "," ","T CELLS","NK CELL","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"202","GBP1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"203","GBP2"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"204","GBP6"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"205","GBP7"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"206","GCH1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"207","GLI3"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"208","GP2"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"209","GPR15"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"210","GPR183"," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","DENDRITIC CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"211","GPR89A"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"212","GPR89B"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"213","GRB2"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"214","GRN"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"215","GSDMD"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"216","GZMB"," "," "," "," "," "," "," ","NK CELL","INNATE IMMUNE SYSTEM"
"217","GZMM"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"218","HAMP"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"219","HCK"," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"220","HDAC4"," "," "," "," "," ","B CELLS","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"221","HHEX"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"222","HLA-C"," "," "," "," "," "," ","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"223","HLA-DMA"," "," "," "," "," "," ","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"224","HLA-DMB"," "," "," "," "," "," ","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"225","HLA-DPA1"," "," "," "," "," ","ARPP","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"226","HLA-E"," "," "," ","T CELLS","NK CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"227","HLA-F"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"228","HMGB2"," "," "," "," "," "," ","INFLAMMATION","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"229","HOXB4"," "," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"230","IDO1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"231","IFI27"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"232","IFI30"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"233","IFI35"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"234","IFI6"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"235","IFIT1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"236","IFIT2"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"237","IFITM1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"238","IFITM2"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"239","IFITM3"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"240","IFNGR1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"241","IFNGR2"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"242","IFNL1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"243","IFNL2"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"244","IFNLR1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"245","IL10"," "," "," ","T CELLS","INFLAMMATION","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"246","IL10RB"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"247","IL11"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"248","IL12B"," "," "," ","T CELLS","NK CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"249","IL13"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"250","IL15"," "," "," ","T CELLS","NK CELL","NEUTROPHIL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"251","IL17RC"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"252","IL18RAP"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"253","IL1RN"," "," "," "," "," "," "," ","INFLAMMATION","INNATE IMMUNE SYSTEM"
"254","IL2"," "," "," "," ","T CELLS","NK CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"255","IL23R"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"256","IL27"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"257","IL2RB"," "," "," "," "," ","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
