"","genes","9","8","7","6","5","4","3","2","1"
"398","RPL22"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"399","RPS19"," "," "," "," "," "," "," ","MONOCYTES","INNATE IMMUNE SYSTEM"
"400","RPS6"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"401","RPS6KA3"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"402","S100A12"," "," "," "," "," ","NEUTROPHIL","MONOCYTES","MAST CELL","INNATE IMMUNE SYSTEM"
"403","S1PR1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"404","SARM1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"405","SCG2"," "," "," "," "," "," "," ","EOSINOPHIL","INNATE IMMUNE SYSTEM"
"406","SCIMP"," "," "," "," "," "," "," ","ARPP","INNATE IMMUNE SYSTEM"
"407","SCNN1B"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"408","SFTPD"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"409","SIRT2"," "," "," "," "," "," "," ","INFLAMMATION","INNATE IMMUNE SYSTEM"
"410","SKAP1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"411","SKIL"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"412","SLC11A1"," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ARPP","MACROPHAGES","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"413","SLC12A2"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"414","SLC15A3"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"415","SLC15A4"," "," "," "," "," "," "," ","MAST CELL","INNATE IMMUNE SYSTEM"
"416","SLC18A2"," "," "," "," "," "," "," ","MAST CELL","INNATE IMMUNE SYSTEM"
"417","SLC30A8"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"418","SMAD3"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"419","SNAP23"," "," "," "," "," "," "," ","MAST CELL","INNATE IMMUNE SYSTEM"
"420","SNCA"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"421","SOS2"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"422","SOX4"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"423","SP100"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"424","SPACA3"," "," "," "," "," "," "," ","MONOCYTES","INNATE IMMUNE SYSTEM"
"425","SPI1"," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","DENDRITIC CELLS","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"426","SPIRE1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
