"","annotations","genes","process","BBIBP (V3 D14)","BBIBP (V3 D28)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I (D4)","BNT-I-BNT (D51 mild)","BNT-I-BNT (D51 severe)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D6)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd (V2 D3)","ChAd (V2 D7)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 moderate)","I (D51 severe)","I-I (D1)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"1","vaccine",NA,NA,"BBIBP","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","ChAd","ChAd","ChAd","BNT","BNT","BNT","I","I","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"2","day",NA,NA,"14","28"," 6"," 1"," 1"," 1","10","10","26","26"," 3"," 4","51","51"," 1"," 3"," 6"," 7"," 1"," 3"," 7"," 3"," 7"," 1","10","10","26","26","51","51"," 1"," 7","14","28"
"3","week",NA,NA," 2"," 4"," 1"," 1"," 1"," 1"," 2"," 2"," 4"," 4"," 1"," 1"," 7"," 7"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 4"," 4"," 7"," 7"," 1"," 1"," 2"," 4"
"4","dose",NA,NA," 3"," 3"," 1"," 2"," 3"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 3"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 3"," 3"
"5","infection",NA,NA," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 0"," 0"," 0"
"6","type",NA,NA,"IN","IN","RNA","RNA","RNA","I","I","I","I","I","I","I","RNA","RNA","RNA","VV","VV","VV","VV","VV","VV","RNA","RNA","RNA","I","I","I","I","I","I","I","SU","SU","SU"
"7","disease_vac",NA,NA,"V","V","V","V","V","I","I","I","I","I","I","I","I","I","V","V","V","V","V","V","V","V","V","V","I","I","I","I","I","I","I","V","V","V"
"8","V1","WNT4","ADAPTIVE IMMUNE SYSTEM","1.78666326372392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09018155858913",NA,NA,"1.95498552081157",NA
"9","V2","WNT4","B CELLS","1.78666326372392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09018155858913",NA,NA,"1.95498552081157",NA
"10","V3","WNT4","CELLULAR ADAPTIVE IMMUNE SYSTEM","1.78666326372392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09018155858913",NA,NA,"1.95498552081157",NA
"11","V4","WNT4","HUMORAL ADAPTIVE IMMUNE SYSTEM","1.78666326372392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09018155858913",NA,NA,"1.95498552081157",NA
"12","V5","WNT4","T CELLS","1.78666326372392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09018155858913",NA,NA,"1.95498552081157",NA
"13","V6","NLRP9","INNATE IMMUNE SYSTEM","2.68695654972341",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.11667773039146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.58646701777641",NA,"1.39632122001935",NA,NA,NA,NA,NA,NA
"14","V7","CCL3","MACROPHAGES","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"15","V8","CCL3","ADAPTIVE IMMUNE SYSTEM","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"16","V9","CCL3","ANTIVIRAL AND INTERFERON","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"17","V10","CCL3","CELLULAR ADAPTIVE IMMUNE SYSTEM","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"18","V11","CCL3","EOSINOPHIL","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"19","V12","CCL3","EOSINOPHIL","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"20","V13","CCL3","EOSINOPHIL","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"21","V14","CCL3","EOSINOPHIL","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"22","V15","CCL3","INNATE IMMUNE SYSTEM","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"23","V16","CCL3","MONOCYTES","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"24","V17","CCL3","MONOCYTES","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"25","V18","CCL3","MONOCYTES","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"26","V19","CCL3","MONOCYTES","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"27","V20","CCL3","NEUTROPHIL","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"28","V21","CCL3","NEUTROPHIL","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"29","V22","CCL3","NEUTROPHIL","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"30","V23","CCL3","NEUTROPHIL","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"31","V24","CCL3","T CELLS","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"32","V25","CXCL8","INNATE IMMUNE SYSTEM",NA,"-1.59904807452039",NA,NA,NA,NA,NA,"-1.56274230851984",NA,NA,NA,NA,NA,NA,NA,"-2.85162830293526",NA,NA,NA,NA,NA,NA,"-2.18279928215011",NA,"-1.83095729466645",NA,NA,NA,NA,"2.11671933463737",NA,"-3.03207415054439","-2.10952401410755","-2.20092920197501"
"33","V26","CXCL8","NEUTROPHIL",NA,"-1.59904807452039",NA,NA,NA,NA,NA,"-1.56274230851984",NA,NA,NA,NA,NA,NA,NA,"-2.85162830293526",NA,NA,NA,NA,NA,NA,"-2.18279928215011",NA,"-1.83095729466645",NA,NA,NA,NA,"2.11671933463737",NA,"-3.03207415054439","-2.10952401410755","-2.20092920197501"
"34","V27","CXCL8","NEUTROPHIL",NA,"-1.59904807452039",NA,NA,NA,NA,NA,"-1.56274230851984",NA,NA,NA,NA,NA,NA,NA,"-2.85162830293526",NA,NA,NA,NA,NA,NA,"-2.18279928215011",NA,"-1.83095729466645",NA,NA,NA,NA,"2.11671933463737",NA,"-3.03207415054439","-2.10952401410755","-2.20092920197501"
"35","V28","CXCL8","NEUTROPHIL",NA,"-1.59904807452039",NA,NA,NA,NA,NA,"-1.56274230851984",NA,NA,NA,NA,NA,NA,NA,"-2.85162830293526",NA,NA,NA,NA,NA,NA,"-2.18279928215011",NA,"-1.83095729466645",NA,NA,NA,NA,"2.11671933463737",NA,"-3.03207415054439","-2.10952401410755","-2.20092920197501"
"36","V29","CXCL8","NEUTROPHIL",NA,"-1.59904807452039",NA,NA,NA,NA,NA,"-1.56274230851984",NA,NA,NA,NA,NA,NA,NA,"-2.85162830293526",NA,NA,NA,NA,NA,NA,"-2.18279928215011",NA,"-1.83095729466645",NA,NA,NA,NA,"2.11671933463737",NA,"-3.03207415054439","-2.10952401410755","-2.20092920197501"
"37","V30","IFI27","ANTIVIRAL AND INTERFERON",NA,NA,"2.31769988793986","1.60355909825766","1.52906168327971",NA,"9.89813370023058","8.57360540074081",NA,NA,NA,NA,NA,NA,NA,"6.49208983506676","3.80230292777521","2.62954001767109","1.7290438734355",NA,NA,"4.44682320529612",NA,NA,"9.07209902322426","4.73008304173033",NA,"3.08629742630392",NA,NA,NA,NA,NA,NA
"38","V31","IFI27","INNATE IMMUNE SYSTEM",NA,NA,"2.31769988793986","1.60355909825766","1.52906168327971",NA,"9.89813370023058","8.57360540074081",NA,NA,NA,NA,NA,NA,NA,"6.49208983506676","3.80230292777521","2.62954001767109","1.7290438734355",NA,NA,"4.44682320529612",NA,NA,"9.07209902322426","4.73008304173033",NA,"3.08629742630392",NA,NA,NA,NA,NA,NA
"39","V32","IFIT1","ANTIVIRAL AND INTERFERON",NA,NA,NA,"2.40569018906085","2.117704487579",NA,"3.85732371630726","3.66066584167554",NA,NA,NA,NA,NA,NA,"2.32631149634196","1.27265196702355",NA,NA,"3.67481618504957",NA,NA,"2.59958317131019","-1.70551888366743","3.33768465030252","3.46257939738298",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","V33","IFIT1","ANTIVIRAL AND INTERFERON",NA,NA,NA,"2.40569018906085","2.117704487579",NA,"3.85732371630726","3.66066584167554",NA,NA,NA,NA,NA,NA,"2.32631149634196","1.27265196702355",NA,NA,"3.67481618504957",NA,NA,"2.59958317131019","-1.70551888366743","3.33768465030252","3.46257939738298",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","V34","IFIT1","INNATE IMMUNE SYSTEM",NA,NA,NA,"2.40569018906085","2.117704487579",NA,"3.85732371630726","3.66066584167554",NA,NA,NA,NA,NA,NA,"2.32631149634196","1.27265196702355",NA,NA,"3.67481618504957",NA,NA,"2.59958317131019","-1.70551888366743","3.33768465030252","3.46257939738298",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","V35","OAS2","ANTIVIRAL AND INTERFERON",NA,NA,NA,"1.79052339702357","1.73103567830445",NA,"3.16381863423058","2.93014711126848",NA,NA,NA,NA,NA,NA,"1.87408807029322","1.50033712148213",NA,NA,"2.28588268750929",NA,NA,"2.1847263267472",NA,"2.03803718299905","2.72199848230881",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","V36","OAS2","INNATE IMMUNE SYSTEM",NA,NA,NA,"1.79052339702357","1.73103567830445",NA,"3.16381863423058","2.93014711126848",NA,NA,NA,NA,NA,NA,"1.87408807029322","1.50033712148213",NA,NA,"2.28588268750929",NA,NA,"2.1847263267472",NA,"2.03803718299905","2.72199848230881",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","V37","ACOD1","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,"3.7511856783858","3.32570406323056",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.28848661024731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","V38","ACOD1","ANTIVIRAL AND INTERFERON",NA,NA,NA,"3.7511856783858","3.32570406323056",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.28848661024731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","V39","ACOD1","INNATE IMMUNE SYSTEM",NA,NA,NA,"3.7511856783858","3.32570406323056",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.28848661024731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","V40","FAS","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,"1.10345671964718","1.14101675775067",NA,"1.96415576533995","1.62879394762227",NA,NA,NA,NA,NA,NA,"1.43147096241556",NA,NA,NA,NA,NA,NA,NA,NA,"1.45653192287762",NA,NA,NA,"1.12921039058478",NA,"1.44815903512399",NA,NA,NA,NA
"48","V41","FAS","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,"1.10345671964718","1.14101675775067",NA,"1.96415576533995","1.62879394762227",NA,NA,NA,NA,NA,NA,"1.43147096241556",NA,NA,NA,NA,NA,NA,NA,NA,"1.45653192287762",NA,NA,NA,"1.12921039058478",NA,"1.44815903512399",NA,NA,NA,NA
"49","V42","FAS","T CELLS",NA,NA,NA,"1.10345671964718","1.14101675775067",NA,"1.96415576533995","1.62879394762227",NA,NA,NA,NA,NA,NA,"1.43147096241556",NA,NA,NA,NA,NA,NA,NA,NA,"1.45653192287762",NA,NA,NA,"1.12921039058478",NA,"1.44815903512399",NA,NA,NA,NA
"50","V43","CLEC6A","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,"1.39128575039137","1.41729313858524",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.7960029896099","1.07624129477665",NA,NA,"1.18535709967906",NA,NA,"1.70291442154541",NA,"1.67356240784109","1.03665629739361",NA,"1.44401641922656",NA,NA,NA,NA,NA,NA,NA
"51","V44","CLEC6A","ARPP",NA,NA,NA,"1.39128575039137","1.41729313858524",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.7960029896099","1.07624129477665",NA,NA,"1.18535709967906",NA,NA,"1.70291442154541",NA,"1.67356240784109","1.03665629739361",NA,"1.44401641922656",NA,NA,NA,NA,NA,NA,NA
"52","V45","CLEC6A","INNATE IMMUNE SYSTEM",NA,NA,NA,"1.39128575039137","1.41729313858524",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.7960029896099","1.07624129477665",NA,NA,"1.18535709967906",NA,NA,"1.70291442154541",NA,"1.67356240784109","1.03665629739361",NA,"1.44401641922656",NA,NA,NA,NA,NA,NA,NA
"53","V46","BATF2","DENDRITIC CELLS",NA,NA,NA,"3.63513082473623","3.61273997753565",NA,"3.78167537961996","3.40169334787679",NA,NA,NA,NA,NA,NA,"3.85661911322858","2.85603497316128",NA,NA,"2.86050464376537",NA,NA,"2.44729764465969","-1.29791010037843","4.13389810292167","2.77278008727171",NA,NA,NA,NA,"2.56932144567191",NA,NA,NA,NA
"54","V47","BATF2","INNATE IMMUNE SYSTEM",NA,NA,NA,"3.63513082473623","3.61273997753565",NA,"3.78167537961996","3.40169334787679",NA,NA,NA,NA,NA,NA,"3.85661911322858","2.85603497316128",NA,NA,"2.86050464376537",NA,NA,"2.44729764465969","-1.29791010037843","4.13389810292167","2.77278008727171",NA,NA,NA,NA,"2.56932144567191",NA,NA,NA,NA
"55","V48","MX1","ANTIVIRAL AND INTERFERON",NA,NA,NA,"2.17980246049381","2.03059147530972",NA,"3.31440414237753","3.2655228582362",NA,NA,NA,NA,NA,NA,"2.11003564948329","1.51572131846894",NA,NA,"3.09988578738846",NA,NA,"2.29854513822478",NA,"3.20408361781488","2.6497194338032",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","V49","MX1","INNATE IMMUNE SYSTEM",NA,NA,NA,"2.17980246049381","2.03059147530972",NA,"3.31440414237753","3.2655228582362",NA,NA,NA,NA,NA,NA,"2.11003564948329","1.51572131846894",NA,NA,"3.09988578738846",NA,NA,"2.29854513822478",NA,"3.20408361781488","2.6497194338032",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","V50","IL27","INNATE IMMUNE SYSTEM",NA,NA,NA,"1.85824384995394","1.54912826495089",NA,NA,"1.53050926536312",NA,NA,NA,NA,NA,NA,"2.02994077789466","1.50081574524992",NA,NA,"1.54158651550938",NA,NA,"1.69793213281775",NA,"1.76123694311536",NA,NA,NA,NA,NA,"2.48338942778973",NA,NA,NA,NA
"58","V51","IL31RA","INFLAMMATION",NA,NA,NA,"2.12091048236989","1.781085919968",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.89643121313588","1.34411902007784",NA,NA,"1.97019771314822",NA,NA,"2.61208952086013",NA,"2.77113963514311",NA,"-2.68121798174807",NA,NA,NA,NA,NA,NA,NA,NA
"59","V52","IL31RA","INNATE IMMUNE SYSTEM",NA,NA,NA,"2.12091048236989","1.781085919968",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.89643121313588","1.34411902007784",NA,NA,"1.97019771314822",NA,NA,"2.61208952086013",NA,"2.77113963514311",NA,"-2.68121798174807",NA,NA,NA,NA,NA,NA,NA,NA
"60","V53","EDNRB","MACROPHAGES",NA,NA,NA,"1.31224330141951","1.40613509039329",NA,NA,"2.11122519398309",NA,NA,"2.96523819744868",NA,NA,NA,NA,"1.25238910859679",NA,NA,NA,NA,NA,NA,NA,NA,"3.86089818423862",NA,"3.28396593314777",NA,NA,NA,NA,NA,NA,NA
"61","V54","EDNRB","INNATE IMMUNE SYSTEM",NA,NA,NA,"1.31224330141951","1.40613509039329",NA,NA,"2.11122519398309",NA,NA,"2.96523819744868",NA,NA,NA,NA,"1.25238910859679",NA,NA,NA,NA,NA,NA,NA,NA,"3.86089818423862",NA,"3.28396593314777",NA,NA,NA,NA,NA,NA,NA
"62","V55","BST2","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,"1.12335232590805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.16431332303003",NA,NA,NA,"1.30578534503735",NA,NA,"1.01366876906669",NA,"1.15964092232829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","V56","BST2","B CELLS",NA,NA,NA,"1.12335232590805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.16431332303003",NA,NA,NA,"1.30578534503735",NA,NA,"1.01366876906669",NA,"1.15964092232829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","V57","BST2","INNATE IMMUNE SYSTEM",NA,NA,NA,"1.12335232590805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.16431332303003",NA,NA,NA,"1.30578534503735",NA,NA,"1.01366876906669",NA,"1.15964092232829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","V58","STAT1","ANTIVIRAL AND INTERFERON",NA,NA,NA,"1.7669770174703","1.73067522944179",NA,NA,"1.38877202284867",NA,NA,NA,NA,NA,NA,"1.9701187020677","1.34216932377509",NA,NA,"1.70606301563535",NA,NA,"1.71382604327787",NA,"2.43271451601046",NA,NA,NA,NA,NA,"1.92110289227036",NA,NA,NA,NA
"66","V59","STAT1","ANTIVIRAL AND INTERFERON",NA,NA,NA,"1.7669770174703","1.73067522944179",NA,NA,"1.38877202284867",NA,NA,NA,NA,NA,NA,"1.9701187020677","1.34216932377509",NA,NA,"1.70606301563535",NA,NA,"1.71382604327787",NA,"2.43271451601046",NA,NA,NA,NA,NA,"1.92110289227036",NA,NA,NA,NA
"67","V60","STAT1","ANTIVIRAL AND INTERFERON",NA,NA,NA,"1.7669770174703","1.73067522944179",NA,NA,"1.38877202284867",NA,NA,NA,NA,NA,NA,"1.9701187020677","1.34216932377509",NA,NA,"1.70606301563535",NA,NA,"1.71382604327787",NA,"2.43271451601046",NA,NA,NA,NA,NA,"1.92110289227036",NA,NA,NA,NA
"68","V61","STAT1","INNATE IMMUNE SYSTEM",NA,NA,NA,"1.7669770174703","1.73067522944179",NA,NA,"1.38877202284867",NA,NA,NA,NA,NA,NA,"1.9701187020677","1.34216932377509",NA,NA,"1.70606301563535",NA,NA,"1.71382604327787",NA,"2.43271451601046",NA,NA,NA,NA,NA,"1.92110289227036",NA,NA,NA,NA
"69","V62","STAT2","ANTIVIRAL AND INTERFERON",NA,NA,NA,"1.65890003000679","1.63086068350956",NA,"2.07191121374897","1.6937113369519",NA,NA,NA,NA,NA,NA,"1.83732216267663",NA,NA,NA,"1.89720643149312",NA,NA,"1.64108860871204",NA,"2.23715737623384","1.42234265400997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","V63","STAT2","INNATE IMMUNE SYSTEM",NA,NA,NA,"1.65890003000679","1.63086068350956",NA,"2.07191121374897","1.6937113369519",NA,NA,NA,NA,NA,NA,"1.83732216267663",NA,NA,NA,"1.89720643149312",NA,NA,"1.64108860871204",NA,"2.23715737623384","1.42234265400997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","V64","IRF1","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,"1.05269650828394","1.16081047442752",NA,NA,NA,NA,NA,"1.27764846641801",NA,NA,NA,"1.45173299923914",NA,NA,NA,NA,NA,NA,NA,NA,"1.60452101232291",NA,NA,NA,NA,NA,"2.51965649678742",NA,NA,NA,NA
"72","V65","IRF1","ANTIVIRAL AND INTERFERON",NA,NA,NA,"1.05269650828394","1.16081047442752",NA,NA,NA,NA,NA,"1.27764846641801",NA,NA,NA,"1.45173299923914",NA,NA,NA,NA,NA,NA,NA,NA,"1.60452101232291",NA,NA,NA,NA,NA,"2.51965649678742",NA,NA,NA,NA
"73","V66","IRF1","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,"1.05269650828394","1.16081047442752",NA,NA,NA,NA,NA,"1.27764846641801",NA,NA,NA,"1.45173299923914",NA,NA,NA,NA,NA,NA,NA,NA,"1.60452101232291",NA,NA,NA,NA,NA,"2.51965649678742",NA,NA,NA,NA
"74","V67","IRF1","INNATE IMMUNE SYSTEM",NA,NA,NA,"1.05269650828394","1.16081047442752",NA,NA,NA,NA,NA,"1.27764846641801",NA,NA,NA,"1.45173299923914",NA,NA,NA,NA,NA,NA,NA,NA,"1.60452101232291",NA,NA,NA,NA,NA,"2.51965649678742",NA,NA,NA,NA
"75","V68","IRF1","T CELLS",NA,NA,NA,"1.05269650828394","1.16081047442752",NA,NA,NA,NA,NA,"1.27764846641801",NA,NA,NA,"1.45173299923914",NA,NA,NA,NA,NA,NA,NA,NA,"1.60452101232291",NA,NA,NA,NA,NA,"2.51965649678742",NA,NA,NA,NA
"76","V69","DDX60","INNATE IMMUNE SYSTEM",NA,NA,NA,"1.79702657541567","1.7350535379937",NA,"3.03682646678933","3.02733363505264",NA,NA,NA,NA,NA,NA,"1.83424216512794","1.24939148640092",NA,NA,"2.1472720514221",NA,NA,"1.58083813465786",NA,"2.49785780710401","2.60735152403775",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","V70","CXCL17","MACROPHAGES",NA,NA,NA,"2.76439397475026",NA,NA,NA,NA,NA,NA,"2.84029835963389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","V71","CXCL17","INNATE IMMUNE SYSTEM",NA,NA,NA,"2.76439397475026",NA,NA,NA,NA,NA,NA,"2.84029835963389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","V72","CXCL9","INNATE IMMUNE SYSTEM",NA,NA,NA,"2.67882676017925","2.44477928847698",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.65268253468351","1.52018063809042",NA,NA,NA,NA,NA,"2.5797457675519",NA,"3.71499380910112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
