"","condition1","condition2","count","process","pvalue","p_adjust","genes"
"ADAPTIVE IMMUNE SYSTEM...588","BNT-I (D26, hospital)","I (D51, hospital)",112,"ADAPTIVE IMMUNE SYSTEM",0.350925685374391,0.409413299603457,"ADAM17/ADGRG3/ALOX5/APEH/BCL10/BCL3/BCL6/BMX/CACNB3/CAMLG/CCNB2/CCR7/CD1E/CD2/CD24/CD3E/CD3G/CD4/CD40LG/CD46/CDK14/CEBPB/CH25H/CLEC10A/CR1/CSRP2/CX3CR1/CXCR3/DEFA4/DENND2D/EGF/EOMES/ETS1/FAM129C/FAS/FASLG/FUT4/FYN/GIMAP6/GIMAP7/GLP2R/GPM6B/GPR87/GRB2/HDAC4/HLA-C/HLA-DOA/HLA-E/HMGB2/ICAM2/IL17RB/IL1A/IL7R/IMPDH2/IRF1/IRF2BP2/JAG1/JAK3/JMJD6/KLF8/LAT/LAX1/LBH/LCP1/LMBR1L/LRRN3/LY9/MAP3K8/MAPK14/MEN1/MTOR/NFKBIA/NLGN4Y/NLRC3/NOG/NRBP1/PAWR/PCDH9/PDE4B/PDZK1IP1/PLEKHF1/PPP2CA/PRF1/PRKACB/PTH2R/PTPRK/PURA/RAP1GAP/RBPJ/RC3H1/RELB/RNF19B/RORC/RPL22/S1PR1/SH2B1/SH2D2A/SLC24A1/SLC37A3/SOS2/SPN/SRF/STXBP2/TARM1/TARP/TIGIT/TMEM37/TNFAIP3/TOP2B/WNT4/ZC3H8/ZMYND11"
"INNATE IMMUNE SYSTEM...589","BNT-I (D26, hospital)","I-BNT (D5)",73,"INNATE IMMUNE SYSTEM",3.59678866455529e-17,2.15807319873317e-16,"ALOX5/CHST15/DLL1/FCGR2B/IL2RB/LYN/PDE4B/PIK3CG/PLCG2/SYK/TARP/TLR10/FPR1/ABCA1/ACSL1/ALDH1A1/ALPL/ANXA3/APLP2/AQP9/ASGR2/B3GNT5/CDA/CISH/DGAT2/DOK3/DYSF/F12/FRK/HAL/IFNGR1/IFNGR2/IL1R1/LIN7A/LRRC4/LRRK2/MCTP1/MPP1/MXD1/MYO1C/NCF2/PADI2/PADI4/PROK2/PTGDS/PTPRE/PYGL/RAB31/RBM47/S100A11/SAMSN1/SIRPB1/SLC22A4/SLC6A6/SLC8A1/SNAP23/STEAP4/TBXAS1/TRIM25/TRIM64B/VASP/WDFY3/AGPAT9/FCGR1B/AMICA1/F5/FCAR/GLT1D1/KIAA0513/LRRC25/MGAM/RNF24/SERPINA1"
"ADAPTIVE IMMUNE SYSTEM...590","BNT-I (D26, hospital)","I-BNT (D5)",28,"ADAPTIVE IMMUNE SYSTEM",0.0265417570573331,0.0796252711719993,"ADGRG3/ALOX5/APBB1IP/ARHGDIB/BMX/CAMLG/CCR6/CDK14/CHRNA7/CHST15/DLL1/ELOVL4/FCGR2B/IL2RB/LYN/PDE4B/PDZK1IP1/PIK3CG/PLCG2/PTPRJ/STAT3/STXBP2/SYK/TARP/TBC1D9/TFE3/TLR10/TMEM37"
"IMMUNE SYSTEM...591","BNT-I (D26, hospital)","I-BNT (D5)",6,"IMMUNE SYSTEM",0.0513843195945123,0.102768639189025,"LYN/SYK/TLR10/VASP/AGPAT9/FCGR1B"
"Metabolism...592","BNT-I (D26, hospital)","I-BNT (D5)",258,"Metabolism",0.12048028700694,0.18072043051041,"ADGRG3/ALOX5/BMX/CAMLG/CCR6/CDK14/CHRNA7/CHST15/DLL1/ELOVL4/FCGR2B/LYN/PDE4B/PIK3CG/PLCG2/PTPRJ/STAT3/SYK/TFE3/ABCA1/ABCG2/ACSL1/ACSS3/ADGRG1/ADIPOR1/AGO4/AHDC1/AIRE/AKAP12/ALDH1A1/ALDH1A2/ALPK1/ALPL/ALYREF/ANKRD2/ANXA3/ARID4A/ASB16/ASB8/ATP6V1E1/B3GNT5/B4GALT5/BID/BTBD10/C1RL/C2orf69/CA12/CANT1/CASC3/CCDC117/CCND1/CDA/CDC26/CHST12/CIR1/CISH/COG8/CREB3L4/CTSA/CUL3/CWC25/CXXC5/CYP19A1/DAZL/DESI1/DGAT2/DHX35/DIAPH3/DLAT/DNAJB6/DNAJB7/DONSON/DTD2/ERBB2/ERO1A/ETS2/EXOC4/EXTL2/F12/FBXO43/FEZ1/FFAR3/FKBP10/FNTB/FRK/FST/GALNT14/GCDH/GCFC2/GCHFR/GTF2H4/GUCY2C/HAL/HARS2/HOXB3/HP/HTATIP2/HTRA3/HYPK/IFNGR1/IGFBP3/IGFBP7/IL1R1/IL1RAP/IPMK/IST1/ITGA3/JMJD1C/KBTBD2/KCTD5/KLHL18/KRT10/LIMK2/LITAF/LMNB1/LPCAT3/LRRK2/LSS/LYVE1/MAP3K1/MAP3K10/MAP3K5/MAPK12/MBLAC2/MBOAT2/MED13L/MIR21/MPP1/MVK/MXD1/MXD3/NAGS/NAMPT/NCF2/NCSTN/NDUFB11/NDUFC1/NEIL3/NEK2/NFE2L2/NFU1/NPEPPS/NQO2/NR6A1/NT5C2/NXT1/ORM2/PADI2/PADI4/PEG3/PERP/PFKFB3/PGK1/PHF5A/PICALM/PJA2/PKDCC/PLIN5/PLK1/POLR3B/PPIE/PPM1L/PPP3R1/PPT1/PTGDS/PTGFR/PTPN13/PTPRE/PYGL/RAF1/RASSF2/RBM47/RCE1/RCOR1/RCOR3/RILP/RNF13/RNF149/RNGTT/RNU4ATAC/ROCK1/RPAP2/RPGR/RPPH1/RPRD1B/RRP12/RSRC1/RSRP1/S100A11/SAMSN1/SETD4/SFRP2/SGMS1/SIAH2/SLC22A4/SLC25A37/SLC25A44/SLC2A3/SLC8A1/SNORA31/SNORA40/SNORA53/SNORD16/SNORD50B/SNORD54/SNORD72/SNORD77/SNORD89/SNORD9/SPAG8/SRGN/SRSF11/STEAP4/STK3/STK32C/STX3/TBXAS1/TDRD9/TFCP2/THOC5/TICRR/TPO/TRAF3/TRIM25/TRIM64B/TTLL11/UBAP1/UBE2D1/UCHL1/UIMC1/USP4/VARS2/VMP1/WDFY3/WDR33/WDR46/WNK4/WTAP/YWHAZ/ZBTB39/ZMAT2/ZMYM5/ZNF430/ZNF552/ZNF613/ZNF626/ZNF845/ZNF93/ZNRF3/MGAM/SERPINA1/DCAF4/FBXL5/MAN2C1/SPOPL/SPSB1/TPD52L2/UBE2R2"
"INNATE IMMUNE SYSTEM...593","BNT-I (D26, hospital)","I-I (D0-5)",45,"INNATE IMMUNE SYSTEM",0.000647710638995233,0.00453397447296663,"ADARB1/CCR7/CD160/CR2/CX3CR1/HLA-DOA/LAG3/LILRA6/NKG7/FPR3/ABCA1/AIM2/APOBEC3A/ASGR2/CASP1/CD274/DOCK4/EREG/F12/GBP6/IFI27/IFITM1/IFITM3/IL1RN/KLF4/KLRD1/LY96/MAP2K6/MARCKS/MEF2A/PLSCR1/PTGER2/RNF135/SERINC5/SLC1A3/SLC7A8/TBKBP1/TNR/TTYH2/UBA7/ZC3HAV1/BRI3/LHFPL2/PRRG4/TMEM51"
"Metabolism...594","BNT-I (D26, hospital)","I-I (D0-5)",288,"Metabolism",0.0464917893408606,0.162721262693012,"ADARB1/AFF3/CCNB2/CCR7/CD160/CX3CR1/EFNB1/FCER2/FOSB/IMPDH2/LAG3/PAWR/PTH2R/RAG1/RPL22/SPOCK2/ABCA1/ACAD10/ACOT13/ACOXL/ADAMTS6/ADGRG1/AIM2/ALG3/ALYREF/APEX1/APOBEC3A/APOBEC3C/APOBEC3D/APOM/ASB16/ASTL/ATP6V0C/BCLAF1/BIRC5/BIRC7/BRD9/BUB1/BUB1B/C1GALT1/CA12/CA4/CASP1/CCNA2/CCNI/CD274/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDCA2/CDCA5/CDK1/CDK18/CELF1/CENPE/CHST12/CLSPN/CMKLR1/CNR2/CPEB3/CUL3/CWC25/CYB5B/CYP7A1/DAGLA/DAPK2/DAW1/DCAF6/DEPDC1/DHX35/DIAPH3/DISC1/DLAT/DLST/DMAP1/DMC1/DNAJB13/DPH1/DTL/E2F1/E2F2/E2F7/E2F8/EEF1A1/EEF1G/ELOVL3/ELP2/ENPP1/ENPP4/ERBB2/EREG/ESPL1/EXO1/EXOSC2/F12/FABP6/FAM8A1/FBXO43/FFAR3/FIG4/FITM2/FLCN/FST/FUT11/GEMIN4/GINS2/GLG1/GNL3/GNPTAB/GPR143/GTF3C2/HARS2/HMMR/HSPG2/IBA57/IFI27/IGF1R/IGFBP7/IL1RN/ING5/INO80B/IQGAP3/IRS2/ISCU/IST1/IVNS1ABP/JAK2/JUP/KAT8/KDM1B/KDM3A/KIF14/KLF4/KLF6/KPNA1/LARP7/LAS1L/LIPM/LY96/MAP1LC3B2/MAP2K6/MBD4/MCM10/MCM4/MECR/MEF2A/MELK/MIR101-1/MIR29C/MMS19/MOB1A/MRPL20/MRPL44/MRPS18A/MRPS18B/MRPS27/MSI2/MTCL1/MTERF4/NANS/NDUFC1/NEIL3/NEK2/NEU1/NFU1/NMI/NPAS2/NR6A1/NUP62/PATL1/PBK/PCBP2/PCK2/PCNA/PDK1/PHF10/PIGL/PIWIL4/PKMYT1/PLK1/PLSCR1/POLQ/POLR1E/POLR3B/PRPF8/RAD51/RAD51AP1/RHEB/RMI2/RNF135/RPGR/RPL10A/RPL19/RPL8/RPLP0/RPRD1B/RPS17/RPS2/RPS23/RRM2/RRP12/RRP15/RRP7BP/SERINC5/SF3B1/SH3PXD2A/SLC1A3/SLC25A14/SLC25A22/SLC29A3/SLC3A2/SLX4/SMCHD1/SMYD5/SNORA24/SNORA44/SNORA61/SNORD16/SNORD99/STK3/TAF15/TAT/TATDN1/TCP1/TEAD2/TEP1/TICRR/TIGAR/TLR3/TMEM67/TMPRSS2/TOP2A/TOR1A/TPX2/TSEN2/TSPYL5/UBA7/USP13/USP51/VAC14/VCPKMT/VPS51/WDR33/WDR6/WDR75/WDR82/ZBTB40/ZC3HAV1/ZDHHC14/ZDHHC23/ZFP64/ZIK1/ZMYM5/ZNF10/ZNF134/ZNF138/ZNF154/ZNF229/ZNF395/ZNF416/ZNF418/ZNF432/ZNF438/ZNF471/ZNF544/ZNF546/ZNF548/ZNF551/ZNF552/ZNF667/ZNF7/ZNF711/ZNF747/ZNF749/ZNRF3/ZSCAN18/CAPN14/CTSO/DCAF4/DCUN1D2/ITIH1/PCMT1/PSMB4/SERPINA11/TBC1D16/USP48"
"ADAPTIVE IMMUNE SYSTEM...595","BNT-I (D26, hospital)","I-I (D0-5)",27,"ADAPTIVE IMMUNE SYSTEM",0.105429418089099,0.24600197554123,"ADARB1/AFF3/CCNB2/CCR7/CD160/CR2/CX3CR1/CXCR5/EFNB1/FCER2/FOSB/HLA-DOA/ICAM2/IMPDH2/KCNH1/LAG3/LARGE/LILRA6/LMBR1L/MYO1G/NKG7/NLGN4Y/PAWR/PTH2R/RAG1/RPL22/SPOCK2"
"Metabolism...596","BNT-I (D26, hospital)","ZF2001 (V3, D07)",870,"Metabolism",7.01752635147753e-06,4.91226844603427e-05,"ABL1/ADAM28/BCL2/BCL3/BCL6/BLK/BLNK/BMX/CAMLG/CD4/CD81/CEBPB/CHRNA7/CTNNB1/EGF/EMP2/FASLG/FBXO38/FCGR2B/FKBP1A/FUT4/GIMAP7/GRB2/ICOSLG/IL1A/IMPDH2/IRF1/IRF2BP2/ITM2A/JAK3/JMJD6/KLF8/LY9/LYN/MAP3K8/NFKBIA/PDE4B/PLCG2/PPP2CA/PRDX2/PTH2R/PTPRJ/RELB/RHOA/RNF19B/SMAD3/SPOCK2/SRF/STAT5B/TFE3/TNFAIP3/UBE2M/WNT4/ZC3H8/ADM/LGALS3/S100A12/C1R/CLU/AASDH/ABHD12B/ABHD14B/ACO2/ACOT2/ACSL1/ACSS3/ADAM11/ADCK2/ADCY4/ADIPOR1/AGK/AHR/AIFM2/AIP/AIRE/AKIRIN1/AKIRIN2/AKR7A2/ALDH7A1/ALKBH5/ALKBH8/ALPK1/ALPK2/AMDHD1/AMHR2/APOBEC3A/ARF4/ARMC5/ARRB2/ASAH1/ATF6/ATN1/ATP1B1/ATP6V0C/AXIN1/AZIN2/B3GNT2/BCAP31/BCAS2/BCL7C/BDH2/BID/BLOC1S1/BOLL/BST1/BTG1/BTRC/BZW1/C1D/C1GALT1/C2orf69/CA12/CANT1/CARHSP1/CARM1/CCDC85B/CCNE2/CCNI/CD177/CDA/CDC42/CDC6/CDKN2D/CEBPD/CELA2A/CENPE/CERS2/CHCHD2/CHD5/CHDH/CHMP2B/CHMP4B/CHST7/CHTF8/CIB1/CITED4/CLEC16A/CLNK/CLP1/CLSPN/CNGB1/CNN2/CNOT11/CNOT8/COG2/COG6/COQ10B/COQ6/COX5B/COX6A1/COX6B2/CPEB2/CPEB4/CRCP/CREBRF/CSAD/CSNK2A1/CSTA/CTBP1/CTDNEP1/CTTNBP2NL/CUX2/CWF19L2/CXXC5/CYP1A2/CYP2E1/DAD1/DAG1/DAPK2/DAW1/DCTD/DDIT3/DDN/DDX21/DDX54/DEDD/DEPDC1/DERL1/DERL2/DESI1/DHRS3/DHX37/DMRTC2/DNAJB7/DNAJB9/DNAJC17/DNAJC3/DOLK/DOLPP1/DONSON/DOT1L/DPF3/DPM1/DROSHA/DUOX1/DUSP10/DVL1/E2F7/E2F8/EAF1/EDF1/EEF1G/EEF2/EFR3B/EIF1/EIF1B/EIF2B4/EIF3G/EIF5A/EIF5B/ELL/ENG/EPCAM/ERBB3/ERCC4/ERCC5/EREG/ERG/ETF1/ETS2/EXOC1/EXOC8/EXOSC10/EXOSC3/EYA3/EZR/F8/FADS3/FAM8A1/FAN1/FANK1/FASTKD5/FERMT2/FFAR3/FKBP10/FLNA/FLOT1/FOXO3/FOXO4/FOXP4/FRK/FST/FTO/FZD4/G0S2/GABARAP/GABARAPL1/GABARAPL2/GALNT14/GAN/GAPDH/GATAD2B/GCHFR/GCKR/GCM1/GDE1/GEMIN2/GEMIN6/GFER/GFM1/GID8/GIT1/GLA/GMFG/GNA12/GNAI3/GNAQ/GNAS/GPD1/GPR143/GPR3/GPT/GRPEL1/GSTO2/HACD3/HACD4/HCFC1/HDGF/HEATR1/HECW2/HERPUD1/HEXB/HINFP/HIPK1/HLCS/HMG20A/HMMR/HNRNPK/HNRNPL/HNRNPLL/HOXA3/HOXB3/HS6ST1/HSP90AB4P/HSPA13/HSPA5/HSPBP1/HSPE1/HYPK/IER5/IFRD2/IKZF5/IL10RA/IL10RB/IL1RN/INHBB/INO80B/INPP5A/INPP5K/IQGAP3/IRF2BPL/IRS2/ISCA1/ITM2B/JADE2/JDP2/JMJD8/JTB/JUND/KAT5/KBTBD2/KCTD17/KCTD2/KCTD5/KLF10/KLF16/KLF5/KLHDC3/KLK14/KPNA2/KRBA2/KRI1/KRT10/L3MBTL1/LAMP2/LAMTOR1/LAPTM5/LEO1/LIN52/LITAF/LMNB2/LMTK2/LPGAT1/LRRC59/LSM4/LYPLA1/LYVE1/LZTR1/M1AP/MAFF/MAMSTR/MAP1LC3B/MAP2K3/MAP3K1/MAPK15/MAPKAPK2/MBTPS1/MCL1/MDC1/MED30/METTL6/MFSD12/MGAT3/MGAT5B/MIDN/MKNK1/MLF2/MLST8/MLYCD/MMADHC/MOAP1/MOB1A/MORF4L1/MPC2/MPO/MPP1/MRPL2/MRPL44/MRPS15/MRPS7/MSL1/MTCL1/MTFR2/MUL1/MXD1/MXD4/MYADM/MYLIP/MYLK3/MYNN/N6AMT1/NAGS/NCF2/NCOA5/NCOR2/NDRG2/NDUFA4/NDUFB11/NDUFS3/NELFB/NELFE/NFE2L2/NFIL3/NFKBIB/NFKBIZ/NFX1/NFYA/NHLRC1/NME7/NMNAT2/NNT/NOB1/NOC2L/NOP10/NPTN/NR1D1/NR2E1/NTMT1/NUDT21/NUDT9/NVL/NXT1/OAZ2/OGG1/OLAH/ORC6/ORM2/OSGEPL1/P3H2/P4HA2/PAAF1/PACSIN3/PAFAH1B2/PAIP2/PANK1/PANK2/PANK4/PARD6A/PATZ1/PAX6/PCBP1/PCBP2/PCCA/PCSK4/PCSK7/PDK2/PDSS2/PELI1/PELI2/PEMT/PFKFB3/PFKL/PGAM1/PGD/PGK1/PGRMC1/PHC2/PHF5A/PIGA/PIGB/PIGL/PIM2/PIM3/PIWIL2/PJA2/PLA2G2D/PLAUR/PLBD1/PLEC/PLEK/PLIN5/PLK3/PLOD3/PNPLA4/PNRC1/POLR2C/POLR3C/POLR3H/POU5F1/PPEF1/PPHLN1/PPIL3/PPIP5K1/PPM1A/PPP1CB/PPP1R12A/PPP1R15A/PPP1R15B/PPP1R2/PPP2R5A/PPP3R1/PPP4C/PPP6C/PPTC7/PRDM10/PRDM15/PRDM5/PRDX6/PRELID1/PREPL/PRMT1/PROM2/PRPF31/PRPF39/PRPF40B/PSMC3/PSMC3IP/PSME1/PTBP1/PTCH1/PTP4A1/PTPN14/PURB/PUS7L/PYGL/RAB1A/RAB5A/RAC1/RAD21/RAD23A/RAD23B/RAD51D/RAD52/RANBP9/RAP1A/RAP2C/RASSF2/RBFA/RBFOX3/RBM15B/RBM41/RBM44/RBM6/RBM7/RBMX/RDH5/RFX5/RHBDD2/RHEB/RHNO1/RILP/RIOK3/RIPK2/RNASET2/RNF10/RNF122/RNF126/RNF13/RNF130/RNF135/RNF138/RNF139/RNF149/RNF169/RNF187/RNF26/ROPN1B/ROR1/RPAP2/RPL10A/RPL12/RPL35/RPL41/RPL8/RPLP0/RPS2/RPS23/RPS6KA6/RRAGD/RRP1/RRS1/RSRP1/RTN3/RTN4/RUNX3/S100A11/S100A8/S100A9/SAMD1/SBDS/SCD5/SCN2B/SCPEP1/SDE2/SDHB/SEMA4D/SERINC5/SERPINB1/SERTAD2/SF3A1/SF3A2/SF3B6/SGMS1/SGPP1/SH3BGRL/SHMT2/SHOX2/SHPRH/SIAH2/SLAMF6/SLC10A7/SLC1A1/SLC25A5/SLC27A5/SLC2A3/SMAD7/SMARCAD1/SMARCD3/SNAPC3/SND1/SOCS3/SPATA2/SPCS1/SPG7/SPRTN/SPTY2D1/SRA1/SRGN/SRSF11/SRSF9/ST6GALNAC4/STAB2/STAR/STK17B/STK25/STK3/STRADA/STRAP/STYXL1/SULT2B1/SUMO1/SUPT4H1/SVEP1/SWAP70/TADA2B/TAF13/TAT/TBPL1/TBX6/TBXAS1/TCERG1/TEAD1/TEAD2/TESK2/TG/TGFBRAP1/TGIF2/THAP7/THOC2/THRA/TICRR/TIPARP/TKFC/TMED10/TMEM129/TMEM258/TMEM59/TMEM67/TMSB4X/TMUB2/TNIP2/TNRC6A/TPO/TRA2B/TRAF5/TRAF6/TRIB1/TRIM17/TRMT13/TRMT5/TRMT61A/TRNT1/TRPM6/TSC22D3/TSEN2/TULP3/TUSC2/TWF1/TXN/UBAP1/UBASH3B/UBE2B/UBE2D1/UBE2D3/UBE2J1/UBE2W/UBQLN1/UBXN4/UFL1/UGGT2/UQCR11/UQCRFS1/UQCRQ/UROS/USB1/VAMP3/VAPA/VCP/VIM/VPS4A/VPS51/WDR18/WDR3/WDR82/WEE2/WNK4/WTAP/XYLB/XYLT2/YRDC/YTHDF3/YWHAZ/YY2/ZBTB11/ZBTB14/ZBTB2/ZBTB34/ZBTB7C/ZC3H10/ZC3H14/ZDHHC18/ZDHHC3/ZFHX2/ZFP3/ZFP30/ZFP69/ZKSCAN3/ZNF112/ZNF117/ZNF134/ZNF141/ZNF175/ZNF181/ZNF19/ZNF197/ZNF2/ZNF202/ZNF221/ZNF224/ZNF225/ZNF226/ZNF229/ZNF23/ZNF234/ZNF260/ZNF268/ZNF28/ZNF281/ZNF283/ZNF284/ZNF285/ZNF286A/ZNF287/ZNF320/ZNF333/ZNF337/ZNF343/ZNF347/ZNF358/ZNF362/ZNF382/ZNF383/ZNF394/ZNF419/ZNF426/ZNF436/ZNF441/ZNF449/ZNF461/ZNF470/ZNF471/ZNF480/ZNF485/ZNF503/ZNF510/ZNF519/ZNF524/ZNF528/ZNF540/ZNF546/ZNF547/ZNF549/ZNF551/ZNF557/ZNF559/ZNF561/ZNF562/ZNF566/ZNF568/ZNF571/ZNF573/ZNF583/ZNF585B/ZNF594/ZNF606/ZNF610/ZNF613/ZNF615/ZNF616/ZNF619/ZNF621/ZNF624/ZNF655/ZNF660/ZNF665/ZNF667/ZNF675/ZNF687/ZNF689/ZNF696/ZNF7/ZNF701/ZNF721/ZNF737/ZNF75A/ZNF761/ZNF771/ZNF772/ZNF773/ZNF778/ZNF782/ZNF785/ZNF793/ZNF80/ZNF813/ZNF829/ZNF835/ZNF84/ZNF841/ZNF846/ZNF850/ZNF860/ZNF879/ZSCAN22/ZXDC/QPCT/SERPINA1/ABHD13/CAPN13/CHIT1/CTBS/DPP7/DZIP3/FBXL12/FBXL14/FBXO33/HECTD2/ITIH1/ITIH3/METTL9/NAPSA/OTUD1/PSMA7/PSMB4/PSMB5/PSMD2/PSMD4/PSMD7/RNF11/SPOPL/TMCC2/TPD52L2/TRIM50/UBA2/UBC/UBE2D2/UBE2F/UBE2R2/USP24/ZYG11B"
"INNATE IMMUNE SYSTEM...597","BNT-I (D26, hospital)","ZF2001 (V3, D07)",106,"INNATE IMMUNE SYSTEM",0.00195325973298967,0.00683640906546385,"BCL3/BCL6/CD4/CEBPB/EGF/EMP2/FASLG/FCGR2B/GIMAP7/IL1A/IRF1/JAK3/JMJD6/LYN/MAP3K8/NFKBIA/PDE4B/PLCG2/PRDX2/RELB/RNF19B/STAT5B/TLR10/TNFAIP3/LGALS3/S100A12/C1R/CLU/FPR1/PROS1/ACSL1/APOBEC3A/AQP9/ARRB2/ATP1B1/BCL2A1/BST1/CD177/CD53/CDA/CDC42/CEBPD/CLNK/CSTA/DYSF/ENG/EREG/EVI5/FRK/G0S2/GRINA/ICAM1/IFNGR2/IL10RA/IL10RB/IL13RA1/IL1RN/KCNJ15/LAMP2/LAPTM5/MAPKAPK2/MARCKS/MFSD1/MPP1/MXD1/NCF2/NRP2/PGD/PLAUR/PLBD1/PLEK/PSME1/PTGER2/PYGL/RAB31/RAB32/RIPK2/RNF130/RNF135/RRAGD/S100A11/S100A8/S100A9/SCPEP1/SERINC5/SHMT2/SLC15A3/SMARCD3/SPNS1/STXBP4/TBXAS1/TNIP2/TNR/TREML1/TRIB1/VAMP2/VASP/VIM/BRI3/GLT1D1/KIAA0513/LRRC25/QPCT/RNF24/SERPINA1/TMEM158"
"ADAPTIVE IMMUNE SYSTEM...598","BNT-I (D26, hospital)","ZF2001 (V3, D07)",73,"ADAPTIVE IMMUNE SYSTEM",0.0750885143247864,0.175206533424502,"ABL1/ADAM28/BCL2/BCL3/BCL6/BLK/BLNK/BMX/CACNB3/CAMLG/CD4/CD81/CDH26/CEBPB/CHRNA7/CSRP2/CTNNB1/CXCR5/EGF/EMP2/FASLG/FBXO38/FCGR2B/FKBP1A/FLT3LG/FUT4/GIMAP7/GLP2R/GRB2/ICAM2/ICOSLG/IL17RB/IL1A/IMPDH2/IRF1/IRF2BP2/ITM2A/JAK3/JAM2/JMJD6/KLF8/LCP1/LRRC17/LRRC8A/LY9/LYN/MAP3K8/MS4A1/NAV1/NFKBIA/NRBP1/PDE4B/PLCG2/PPP2CA/PRDX2/PTH2R/PTPRCAP/PTPRJ/RELB/RHOA/RNF19B/SLC24A1/SMAD3/SPOCK2/SRF/STAT5B/STXBP2/TFE3/TLR10/TNFAIP3/UBE2M/WNT4/ZC3H8"
