"genes","cluster","gene_set"
"RAB10","cluster 2","Immune genes"
"RAB27A","cluster 2","Immune genes"
"OSM","cluster 2","Immune genes"
"IFNAR1","cluster 2","Immune genes"
"PTPRJ","cluster 2","Immune genes"
"GATA3","cluster 2","Immune genes"
"ITPKB","cluster 2","Immune genes"
"CORO1A","cluster 2","Immune genes"
"VAV1","cluster 2","Immune genes"
"XCL1","cluster 2","Immune genes"
"XCR1","cluster 2","Immune genes"
"IGLC7","cluster 2","Immune genes"
"IGHV4-31","cluster 2","Immune genes"
"IGHV3-74","cluster 2","Immune genes"
"IGKV1D-8","cluster 2","Immune genes"
"TRGV8","cluster 2","Immune genes"
"SLC15A3","cluster 2","Immune genes"
"IL12B","cluster 2","Immune genes"
"PF4V1","cluster 2","Immune genes"
"CLU","cluster 2","Immune genes"
"CXCL1","cluster 2","Immune genes"
"ADGRG3","cluster 2","Immune genes"
"CXCR2","cluster 2","Immune genes"
"TRIM40","cluster 2","Immune genes"
"TREML1","cluster 2","Immune genes"
"BMP6","cluster 2","Immune genes"
"CXCL5","cluster 2","Immune genes"
"SELP","cluster 2","Immune genes"
"CD1E","cluster 2","Immune genes"
"IL3","cluster 2","Immune genes"
"CCL24","cluster 2","Immune genes"
"CFH","cluster 2","Immune genes"
"IL2","cluster 2","Immune genes"
"GZMB","cluster 2","Immune genes"
"GNLY","cluster 2","Immune genes"
"FASLG","cluster 2","Immune genes"
"TRBV6-4","cluster 2","Immune genes"
"PI3","cluster 2","Immune genes"
"CXCR1","cluster 2","Immune genes"
"IL1R2","cluster 2","Immune genes"
"FCGR3A","cluster 2","Immune genes"
"CEBPB","cluster 2","Immune genes"
"CD83","cluster 2","Immune genes"
"CCL18","cluster 2","Immune genes"
"CCR7","cluster 2","Immune genes"
"CCL20","cluster 2","Immune genes"
"B2M","cluster 2","Immune genes"
"TICAM1","cluster 2","Immune genes"
"CXCL2","cluster 2","Immune genes"
"BTNL8","cluster 2","Immune genes"
"CXCL6","cluster 2","Immune genes"
"CD300LD","cluster 2","Immune genes"
"CLNK","cluster 2","Immune genes"
"MRC1","cluster 2","Immune genes"
"CXCL3","cluster 2","Immune genes"
"CCL3","cluster 2","Immune genes"
"CCL3L1","cluster 2","Immune genes"
"PRDX2","cluster 2","Immune genes"
"EPB42","cluster 2","Immune genes"
"SNCA","cluster 2","Immune genes"
"RNASE2","cluster 2","Immune genes"
"LIPA","cluster 2","Immune genes"
"NCF1","cluster 2","Immune genes"
"MNDA","cluster 2","Immune genes"
"IRF2","cluster 2","Immune genes"
