"","...1","condition","genes"
"1",1,"MONOV INFLUENZA A (D1)","ADAMTS7"
"2",2,"MONOV INFLUENZA A (D1)","ATG9B"
"3",3,"MONOV INFLUENZA A (D1)","ATP13A4"
"4",4,"MONOV INFLUENZA A (D1)","KCNJ5-AS1"
"5",5,"MONOV INFLUENZA A (D1)","LINC00612"
"6",6,"MONOV INFLUENZA A (D1)","HEATR9"
"7",7,"MONOV INFLUENZA A (D1)","C2orf27A"
"8",8,"MONOV INFLUENZA A (D1)","CACNA1I"
"9",9,"MONOV INFLUENZA A (D1)","CHD5"
"10",10,"MONOV INFLUENZA A (D1)","COL5A1"
"11",11,"MONOV INFLUENZA A (D1)","COL5A3"
"12",12,"MONOV INFLUENZA A (D1)","CYP4F12"
"13",13,"MONOV INFLUENZA A (D1)","DPEP3"
"14",14,"MONOV INFLUENZA A (D1)","FXYD2"
"15",15,"MONOV INFLUENZA A (D1)","GSDMA"
"16",16,"MONOV INFLUENZA A (D1)","HSPG2"
"17",17,"MONOV INFLUENZA A (D1)","IL23R"
"18",18,"MONOV INFLUENZA A (D1)","LMO7-AS1"
"19",19,"MONOV INFLUENZA A (D1)","MFGE8"
"20",20,"MONOV INFLUENZA A (D1)","MIR635"
"21",21,"MONOV INFLUENZA A (D1)","MMP15"
"22",22,"MONOV INFLUENZA A (D1)","NDRG4"
"23",23,"MONOV INFLUENZA A (D1)","NOG"
"24",24,"MONOV INFLUENZA A (D1)","NRCAM"
"25",25,"MONOV INFLUENZA A (D1)","OCM"
"26",26,"MONOV INFLUENZA A (D1)","SHANK1"
"27",27,"MONOV INFLUENZA A (D1)","SPRY1"
"28",28,"MONOV INFLUENZA A (D1)","SPRY2"
"29",29,"MONOV INFLUENZA A (D1)","STYK1"
"30",30,"MONOV INFLUENZA A (D1)","SYT17"
"31",31,"MONOV INFLUENZA A (D1)","TNNC1"
"32",32,"MONOV INFLUENZA A (D1)","TPBG"
"33",33,"MONOV INFLUENZA A (D1)","TRBJ2-4"
"34",34,"MONOV INFLUENZA A (D1)","TRIM74"
"35",35,"MONOV INFLUENZA A (D1)","ZNF890P"
"36",36,"MONOV INFLUENZA A (D1)","AANAT"
"37",37,"MONOV INFLUENZA A (D1)","ACP3"
"38",38,"MONOV INFLUENZA A (D1)","ACSL1"
"39",39,"MONOV INFLUENZA A (D1)","ACVRL1"
"40",40,"MONOV INFLUENZA A (D1)","ADAM9"
"41",41,"MONOV INFLUENZA A (D1)","ADAMTSL4"
"42",42,"MONOV INFLUENZA A (D1)","ADAP2"
"43",43,"MONOV INFLUENZA A (D1)","ADM"
"44",44,"MONOV INFLUENZA A (D1)","ADPRH"
"45",45,"MONOV INFLUENZA A (D1)","AIF1"
"46",46,"MONOV INFLUENZA A (D1)","AIM2"
"47",47,"MONOV INFLUENZA A (D1)","AK4"
"48",48,"MONOV INFLUENZA A (D1)","ALDH1A1"
"49",49,"MONOV INFLUENZA A (D1)","ANKRD22"
"50",50,"MONOV INFLUENZA A (D1)","ANKRD34B"
"51",51,"MONOV INFLUENZA A (D1)","ANO5"
"52",52,"MONOV INFLUENZA A (D1)","APOBEC3A"
"53",53,"MONOV INFLUENZA A (D1)","APOBEC3B"
"54",54,"MONOV INFLUENZA A (D1)","APOL1"
"55",55,"MONOV INFLUENZA A (D1)","APOL2"
"56",56,"MONOV INFLUENZA A (D1)","APOL3"
"57",57,"MONOV INFLUENZA A (D1)","APOL4"
"58",58,"MONOV INFLUENZA A (D1)","APOL6"
"59",59,"MONOV INFLUENZA A (D1)","AQP9"
"60",60,"MONOV INFLUENZA A (D1)","BMAL2"
"61",61,"MONOV INFLUENZA A (D1)","ASAP2"
"62",62,"MONOV INFLUENZA A (D1)","ASGR2"
"63",63,"MONOV INFLUENZA A (D1)","ATF3"
"64",64,"MONOV INFLUENZA A (D1)","ATF5"
"65",65,"MONOV INFLUENZA A (D1)","ATP6V1B2"
"66",66,"MONOV INFLUENZA A (D1)","BACH1"
"67",67,"MONOV INFLUENZA A (D1)","BATF2"
"68",68,"MONOV INFLUENZA A (D1)","BATF3"
"69",69,"MONOV INFLUENZA A (D1)","BCL2A1"
"70",70,"MONOV INFLUENZA A (D1)","BCL3"
"71",71,"MONOV INFLUENZA A (D1)","BCL6"
"72",72,"MONOV INFLUENZA A (D1)","BEST1"
"73",73,"MONOV INFLUENZA A (D1)","BLVRA"
"74",74,"MONOV INFLUENZA A (D1)","BST1"
"75",75,"MONOV INFLUENZA A (D1)","SMCO4"
"76",76,"MONOV INFLUENZA A (D1)","SCIMP"
"77",77,"MONOV INFLUENZA A (D1)","MCEMP1"
"78",78,"MONOV INFLUENZA A (D1)","C1DP1"
"79",79,"MONOV INFLUENZA A (D1)","C1QA"
"80",80,"MONOV INFLUENZA A (D1)","C1QB"
"81",81,"MONOV INFLUENZA A (D1)","C2"
"82",82,"MONOV INFLUENZA A (D1)","C3AR1"
"83",83,"MONOV INFLUENZA A (D1)","FAM241A"
"84",84,"MONOV INFLUENZA A (D1)","CARD16"
"85",85,"MONOV INFLUENZA A (D1)","CARD17P"
"86",86,"MONOV INFLUENZA A (D1)","CASP1"
"87",87,"MONOV INFLUENZA A (D1)","CASP5"
"88",88,"MONOV INFLUENZA A (D1)","CASP7"
"89",89,"MONOV INFLUENZA A (D1)","CCDC149"
"90",90,"MONOV INFLUENZA A (D1)","CCR1"
"91",91,"MONOV INFLUENZA A (D1)","CCR2"
"92",92,"MONOV INFLUENZA A (D1)","CCRL2"
"93",93,"MONOV INFLUENZA A (D1)","CD14"
"94",94,"MONOV INFLUENZA A (D1)","CD274"
"95",95,"MONOV INFLUENZA A (D1)","CD300E"
"96",96,"MONOV INFLUENZA A (D1)","CD36"
"97",97,"MONOV INFLUENZA A (D1)","CD38"
"98",98,"MONOV INFLUENZA A (D1)","CDC42EP2"
"99",99,"MONOV INFLUENZA A (D1)","CDCP1"
"100",100,"MONOV INFLUENZA A (D1)","CDHR5"
"101",101,"MONOV INFLUENZA A (D1)","CDKN1A"
"102",102,"MONOV INFLUENZA A (D1)","CES1"
"103",103,"MONOV INFLUENZA A (D1)","CHST15"
"104",104,"MONOV INFLUENZA A (D1)","CLEC4D"
"105",105,"MONOV INFLUENZA A (D1)","CLEC4E"
"106",106,"MONOV INFLUENZA A (D1)","CLEC4G"
"107",107,"MONOV INFLUENZA A (D1)","CLEC5A"
"108",108,"MONOV INFLUENZA A (D1)","CLEC6A"
"109",109,"MONOV INFLUENZA A (D1)","CMPK2"
"110",110,"MONOV INFLUENZA A (D1)","COX17P1"
"111",111,"MONOV INFLUENZA A (D1)","CREB5"
"112",112,"MONOV INFLUENZA A (D1)","CRISPLD2"
"113",113,"MONOV INFLUENZA A (D1)","CTSB"
"114",114,"MONOV INFLUENZA A (D1)","CTSL"
"115",115,"MONOV INFLUENZA A (D1)","CTSS"
"116",116,"MONOV INFLUENZA A (D1)","CXCL10"
"117",117,"MONOV INFLUENZA A (D1)","CXCL16"
"118",118,"MONOV INFLUENZA A (D1)","CXCR2P1"
"119",119,"MONOV INFLUENZA A (D1)","CYP1B1"
"120",120,"MONOV INFLUENZA A (D1)","CYP1B1-AS1"
"121",121,"MONOV INFLUENZA A (D1)","CYP27A1"
"122",122,"MONOV INFLUENZA A (D1)","DDO"
"123",123,"MONOV INFLUENZA A (D1)","DDX60"
"124",124,"MONOV INFLUENZA A (D1)","DHRS9"
"125",125,"MONOV INFLUENZA A (D1)","DMXL2"
"126",126,"MONOV INFLUENZA A (D1)","DOCK4"
"127",127,"MONOV INFLUENZA A (D1)","DPYD"
"128",128,"MONOV INFLUENZA A (D1)","DRAM1"
"129",129,"MONOV INFLUENZA A (D1)","DSC2"
"130",130,"MONOV INFLUENZA A (D1)","DSE"
"131",131,"MONOV INFLUENZA A (D1)","DTX3L"
"132",132,"MONOV INFLUENZA A (D1)","DUSP1"
"133",133,"MONOV INFLUENZA A (D1)","DUSP3"
"134",134,"MONOV INFLUENZA A (D1)","DUSP6"
"135",135,"MONOV INFLUENZA A (D1)","DYSF"
"136",136,"MONOV INFLUENZA A (D1)","EGR2"
"137",137,"MONOV INFLUENZA A (D1)","EGR3"
"138",138,"MONOV INFLUENZA A (D1)","EMILIN2"
"139",139,"MONOV INFLUENZA A (D1)","EPB41L3"
"140",140,"MONOV INFLUENZA A (D1)","EPSTI1"
"141",141,"MONOV INFLUENZA A (D1)","ETV7"
"142",142,"MONOV INFLUENZA A (D1)","EXOC3L1"
"143",143,"MONOV INFLUENZA A (D1)","EXT1"
"144",144,"MONOV INFLUENZA A (D1)","FAM110B"
"145",145,"MONOV INFLUENZA A (D1)","FAM151B"
"146",146,"MONOV INFLUENZA A (D1)","FAM157B"
"147",147,"MONOV INFLUENZA A (D1)","GASK1B"
"148",148,"MONOV INFLUENZA A (D1)","FAM20A"
"149",149,"MONOV INFLUENZA A (D1)","FAM20C"
"150",150,"MONOV INFLUENZA A (D1)","CALHM6"
"151",151,"MONOV INFLUENZA A (D1)","FAM72A"
"152",152,"MONOV INFLUENZA A (D1)","FBXO6"
"153",153,"MONOV INFLUENZA A (D1)","FCAR"
"154",154,"MONOV INFLUENZA A (D1)","FCER1G"
"155",155,"MONOV INFLUENZA A (D1)","FCGR1A"
"156",156,"MONOV INFLUENZA A (D1)","FCGR1BP"
"157",157,"MONOV INFLUENZA A (D1)","FCGR2A"
"158",158,"MONOV INFLUENZA A (D1)","FCGR2C"
"159",159,"MONOV INFLUENZA A (D1)","FCN1"
"160",160,"MONOV INFLUENZA A (D1)","FFAR2"
"161",161,"MONOV INFLUENZA A (D1)","FGD4"
"162",162,"MONOV INFLUENZA A (D1)","FGL2"
"163",163,"MONOV INFLUENZA A (D1)","FOS"
"164",164,"MONOV INFLUENZA A (D1)","FPR1"
"165",165,"MONOV INFLUENZA A (D1)","FPR2"
"166",166,"MONOV INFLUENZA A (D1)","FRMD3"
"167",167,"MONOV INFLUENZA A (D1)","FZD5"
"168",168,"MONOV INFLUENZA A (D1)","GBP1"
"169",169,"MONOV INFLUENZA A (D1)","GBP1P1"
"170",170,"MONOV INFLUENZA A (D1)","GBP2"
"171",171,"MONOV INFLUENZA A (D1)","GBP3"
"172",172,"MONOV INFLUENZA A (D1)","GBP4"
"173",173,"MONOV INFLUENZA A (D1)","GBP5"
"174",174,"MONOV INFLUENZA A (D1)","GCA"
"175",175,"MONOV INFLUENZA A (D1)","GCH1"
"176",176,"MONOV INFLUENZA A (D1)","GLT1D1"
"177",177,"MONOV INFLUENZA A (D1)","GLUL"
"178",178,"MONOV INFLUENZA A (D1)","GM2A"
"179",179,"MONOV INFLUENZA A (D1)","GNB4"
"180",180,"MONOV INFLUENZA A (D1)","GNG10"
"181",181,"MONOV INFLUENZA A (D1)","GPBAR1"
"182",182,"MONOV INFLUENZA A (D1)","HCAR2"
"183",183,"MONOV INFLUENZA A (D1)","GPR84"
"184",184,"MONOV INFLUENZA A (D1)","GPRC5C"
"185",185,"MONOV INFLUENZA A (D1)","GRINA"
"186",186,"MONOV INFLUENZA A (D1)","HBEGF"
"187",187,"MONOV INFLUENZA A (D1)","HCK"
"188",188,"MONOV INFLUENZA A (D1)","HERC5"
"189",189,"MONOV INFLUENZA A (D1)","H2BC18"
"190",190,"MONOV INFLUENZA A (D1)","HLA-DQB1-AS1"
"191",191,"MONOV INFLUENZA A (D1)","HLX"
"192",192,"MONOV INFLUENZA A (D1)","HORMAD1"
"193",193,"MONOV INFLUENZA A (D1)","HP"
"194",194,"MONOV INFLUENZA A (D1)","HSPA6"
"195",195,"MONOV INFLUENZA A (D1)","HSPA7"
"196",196,"MONOV INFLUENZA A (D1)","ICAM1"
"197",197,"MONOV INFLUENZA A (D1)","IDO1"
"198",198,"MONOV INFLUENZA A (D1)","IFI30"
"199",199,"MONOV INFLUENZA A (D1)","IFI35"
"200",200,"MONOV INFLUENZA A (D1)","IFI44"
"201",201,"MONOV INFLUENZA A (D1)","IFI44L"
"202",202,"MONOV INFLUENZA A (D1)","IFI6"
"203",203,"MONOV INFLUENZA A (D1)","IFIH1"
"204",204,"MONOV INFLUENZA A (D1)","IFIT1"
"205",205,"MONOV INFLUENZA A (D1)","IFIT2"
"206",206,"MONOV INFLUENZA A (D1)","IFIT3"
"207",207,"MONOV INFLUENZA A (D1)","IFITM3"
"208",208,"MONOV INFLUENZA A (D1)","IFNGR2"
"209",209,"MONOV INFLUENZA A (D1)","IGF2BP3"
"210",210,"MONOV INFLUENZA A (D1)","IGSF6"
"211",211,"MONOV INFLUENZA A (D1)","IL15"
"212",212,"MONOV INFLUENZA A (D1)","IL15RA"
"213",213,"MONOV INFLUENZA A (D1)","IL1B"
"214",214,"MONOV INFLUENZA A (D1)","IL1RN"
"215",215,"MONOV INFLUENZA A (D1)","IL27"
"216",216,"MONOV INFLUENZA A (D1)","IL31RA"
"217",217,"MONOV INFLUENZA A (D1)","IL4I1"
"218",218,"MONOV INFLUENZA A (D1)","IRF1"
"219",219,"MONOV INFLUENZA A (D1)","IRF7"
"220",220,"MONOV INFLUENZA A (D1)","ISG15"
"221",221,"MONOV INFLUENZA A (D1)","ITPRIPL2"
"222",222,"MONOV INFLUENZA A (D1)","JAK2"
"223",223,"MONOV INFLUENZA A (D1)","KCNJ15"
"224",224,"MONOV INFLUENZA A (D1)","KCNJ2"
"225",225,"MONOV INFLUENZA A (D1)","KCTD12"
"226",226,"MONOV INFLUENZA A (D1)","SHTN1"
"227",227,"MONOV INFLUENZA A (D1)","KLF4"
"228",228,"MONOV INFLUENZA A (D1)","KREMEN1"
"229",229,"MONOV INFLUENZA A (D1)","KYNU"
"230",230,"MONOV INFLUENZA A (D1)","LACTB"
"231",231,"MONOV INFLUENZA A (D1)","LAMP3"
"232",232,"MONOV INFLUENZA A (D1)","LAP3"
"233",233,"MONOV INFLUENZA A (D1)","LHFPL2"
"234",234,"MONOV INFLUENZA A (D1)","LILRA1"
"235",235,"MONOV INFLUENZA A (D1)","LILRA3"
"236",236,"MONOV INFLUENZA A (D1)","LILRA5"
"237",237,"MONOV INFLUENZA A (D1)","LILRA6"
"238",238,"MONOV INFLUENZA A (D1)","LILRB1"
"239",239,"MONOV INFLUENZA A (D1)","LILRB2"
"240",240,"MONOV INFLUENZA A (D1)","LILRB3"
"241",241,"MONOV INFLUENZA A (D1)","LILRB4"
"242",242,"MONOV INFLUENZA A (D1)","LILRB5"
"243",243,"MONOV INFLUENZA A (D1)","LINC00482"
"244",244,"MONOV INFLUENZA A (D1)","LIPN"
"245",245,"MONOV INFLUENZA A (D1)","LMNB1"
"246",246,"MONOV INFLUENZA A (D1)","LMO2"
"247",247,"MONOV INFLUENZA A (D1)","LPCAT2"
"248",248,"MONOV INFLUENZA A (D1)","LRG1"
"249",249,"MONOV INFLUENZA A (D1)","LRRC4"
"250",250,"MONOV INFLUENZA A (D1)","LRRK2"
"251",251,"MONOV INFLUENZA A (D1)","LTBR"
"252",252,"MONOV INFLUENZA A (D1)","LYN"
"253",253,"MONOV INFLUENZA A (D1)","LYZ"
"254",254,"MONOV INFLUENZA A (D1)","MAFB"
"255",255,"MONOV INFLUENZA A (D1)","MARCKS"
"256",256,"MONOV INFLUENZA A (D1)","MARCO"
"257",257,"MONOV INFLUENZA A (D1)","MCTP1"
"258",258,"MONOV INFLUENZA A (D1)","MEFV"
"259",259,"MONOV INFLUENZA A (D1)","MEGF9"
"260",260,"MONOV INFLUENZA A (D1)","SLC49A3"
"261",261,"MONOV INFLUENZA A (D1)","MIR22HG"
"262",262,"MONOV INFLUENZA A (D1)","MNDA"
"263",263,"MONOV INFLUENZA A (D1)","MORN2"
"264",264,"MONOV INFLUENZA A (D1)","MPEG1"
"265",265,"MONOV INFLUENZA A (D1)","MPZL2"
"266",266,"MONOV INFLUENZA A (D1)","IRAG1"
"267",267,"MONOV INFLUENZA A (D1)","MS4A4A"
"268",268,"MONOV INFLUENZA A (D1)","MSR1"
"269",269,"MONOV INFLUENZA A (D1)","MT2A"
"270",270,"MONOV INFLUENZA A (D1)","MTHFD2"
"271",271,"MONOV INFLUENZA A (D1)","MUC1"
"272",272,"MONOV INFLUENZA A (D1)","MX1"
"273",273,"MONOV INFLUENZA A (D1)","MYOF"
"274",274,"MONOV INFLUENZA A (D1)","NAMPT"
"275",275,"MONOV INFLUENZA A (D1)","NAMPTP1"
"276",276,"MONOV INFLUENZA A (D1)","NCF1"
"277",277,"MONOV INFLUENZA A (D1)","NCF1B"
"278",278,"MONOV INFLUENZA A (D1)","NCF1C"
"279",279,"MONOV INFLUENZA A (D1)","NEXN"
"280",280,"MONOV INFLUENZA A (D1)","NFAM1"
"281",281,"MONOV INFLUENZA A (D1)","NFIX"
"282",282,"MONOV INFLUENZA A (D1)","NGFR"
"283",283,"MONOV INFLUENZA A (D1)","NHSL1"
"284",284,"MONOV INFLUENZA A (D1)","NLRC4"
"285",285,"MONOV INFLUENZA A (D1)","NLRP3"
"286",286,"MONOV INFLUENZA A (D1)","NMI"
"287",287,"MONOV INFLUENZA A (D1)","NOD2"
"288",288,"MONOV INFLUENZA A (D1)","NPC2"
"289",289,"MONOV INFLUENZA A (D1)","OAS1"
"290",290,"MONOV INFLUENZA A (D1)","OAS2"
"291",291,"MONOV INFLUENZA A (D1)","OAS3"
"292",292,"MONOV INFLUENZA A (D1)","OASL"
"293",293,"MONOV INFLUENZA A (D1)","ODF3B"
"294",294,"MONOV INFLUENZA A (D1)","OPLAH"
"295",295,"MONOV INFLUENZA A (D1)","P2RX7"
"296",296,"MONOV INFLUENZA A (D1)","P2RY12"
"297",297,"MONOV INFLUENZA A (D1)","P2RY13"
"298",298,"MONOV INFLUENZA A (D1)","PARP14"
"299",299,"MONOV INFLUENZA A (D1)","PARP9"
"300",300,"MONOV INFLUENZA A (D1)","PFKFB3"
"301",301,"MONOV INFLUENZA A (D1)","PKHD1L1"
"302",302,"MONOV INFLUENZA A (D1)","PKMYT1"
"303",303,"MONOV INFLUENZA A (D1)","PLA2G4A"
"304",304,"MONOV INFLUENZA A (D1)","PLA2G7"
"305",305,"MONOV INFLUENZA A (D1)","PLBD1"
"306",306,"MONOV INFLUENZA A (D1)","PLEKHG6"
"307",307,"MONOV INFLUENZA A (D1)","PLEKHO1"
"308",308,"MONOV INFLUENZA A (D1)","PLSCR1"
"309",309,"MONOV INFLUENZA A (D1)","PLXDC2"
"310",310,"MONOV INFLUENZA A (D1)","PLXNC1"
"311",311,"MONOV INFLUENZA A (D1)","PRLR"
"312",312,"MONOV INFLUENZA A (D1)","PRRG4"
"313",313,"MONOV INFLUENZA A (D1)","PSMA4"
"314",314,"MONOV INFLUENZA A (D1)","PSMB9"
"315",315,"MONOV INFLUENZA A (D1)","PSME2"
"316",316,"MONOV INFLUENZA A (D1)","PSME2P2"
"317",317,"MONOV INFLUENZA A (D1)","PSTPIP2"
"318",318,"MONOV INFLUENZA A (D1)","NECTIN2"
"319",319,"MONOV INFLUENZA A (D1)","RAB20"
"320",320,"MONOV INFLUENZA A (D1)","RAB31"
"321",321,"MONOV INFLUENZA A (D1)","RAB39A"
"322",322,"MONOV INFLUENZA A (D1)","RASGEF1B"
"323",323,"MONOV INFLUENZA A (D1)","RBM47"
"324",324,"MONOV INFLUENZA A (D1)","RGS1"
"325",325,"MONOV INFLUENZA A (D1)","RHOQP3"
"326",326,"MONOV INFLUENZA A (D1)","RNF217"
"327",327,"MONOV INFLUENZA A (D1)","RSAD2"
"328",328,"MONOV INFLUENZA A (D1)","RTP4"
"329",329,"MONOV INFLUENZA A (D1)","RUFY4"
"330",330,"MONOV INFLUENZA A (D1)","S100A12"
"331",331,"MONOV INFLUENZA A (D1)","S100A8"
"332",332,"MONOV INFLUENZA A (D1)","S100A9"
"333",333,"MONOV INFLUENZA A (D1)","SAMD4A"
"334",334,"MONOV INFLUENZA A (D1)","SAMD9L"
"335",335,"MONOV INFLUENZA A (D1)","SBNO2"
"336",336,"MONOV INFLUENZA A (D1)","SCARB2"
"337",337,"MONOV INFLUENZA A (D1)","SCARF1"
"338",338,"MONOV INFLUENZA A (D1)","SCO2"
"339",339,"MONOV INFLUENZA A (D1)","SDC3"
"340",340,"MONOV INFLUENZA A (D1)","SDSL"
"341",341,"MONOV INFLUENZA A (D1)","SECTM1"
"342",342,"MONOV INFLUENZA A (D1)","SEMA6B"
"343",343,"MONOV INFLUENZA A (D1)","SEPTIN4"
"344",344,"MONOV INFLUENZA A (D1)","MSRB1"
"345",345,"MONOV INFLUENZA A (D1)","SERPINA1"
"346",346,"MONOV INFLUENZA A (D1)","SERPING1"
"347",347,"MONOV INFLUENZA A (D1)","SH3PXD2B"
"348",348,"MONOV INFLUENZA A (D1)","SIGLEC1"
"349",349,"MONOV INFLUENZA A (D1)","SIGLEC11"
"350",350,"MONOV INFLUENZA A (D1)","SIGLEC16"
"351",351,"MONOV INFLUENZA A (D1)","SLAMF8"
"352",352,"MONOV INFLUENZA A (D1)","SLC1A3"
"353",353,"MONOV INFLUENZA A (D1)","SLC22A16"
"354",354,"MONOV INFLUENZA A (D1)","SLC24A4"
"355",355,"MONOV INFLUENZA A (D1)","SLC31A1"
"356",356,"MONOV INFLUENZA A (D1)","SLC31A2"
"357",357,"MONOV INFLUENZA A (D1)","SLC46A2"
"358",358,"MONOV INFLUENZA A (D1)","SLC6A12"
"359",359,"MONOV INFLUENZA A (D1)","SLC8A1"
"360",360,"MONOV INFLUENZA A (D1)","SMAD1"
"361",361,"MONOV INFLUENZA A (D1)","SMTNL1"
"362",362,"MONOV INFLUENZA A (D1)","SNX10"
"363",363,"MONOV INFLUENZA A (D1)","SOCS3"
"364",364,"MONOV INFLUENZA A (D1)","SOD2"
"365",365,"MONOV INFLUENZA A (D1)","SORT1"
"366",366,"MONOV INFLUENZA A (D1)","SQOR"
"367",367,"MONOV INFLUENZA A (D1)","SRC"
"368",368,"MONOV INFLUENZA A (D1)","SRGN"
"369",369,"MONOV INFLUENZA A (D1)","STAT1"
"370",370,"MONOV INFLUENZA A (D1)","STAT2"
"371",371,"MONOV INFLUENZA A (D1)","STEAP4"
"372",372,"MONOV INFLUENZA A (D1)","STK32B"
"373",373,"MONOV INFLUENZA A (D1)","STX11"
"374",374,"MONOV INFLUENZA A (D1)","TAP1"
"375",375,"MONOV INFLUENZA A (D1)","TCN2"
"376",376,"MONOV INFLUENZA A (D1)","TDRD6"
"377",377,"MONOV INFLUENZA A (D1)","TFEC"
"378",378,"MONOV INFLUENZA A (D1)","TGM2"
"379",379,"MONOV INFLUENZA A (D1)","TLR1"
"380",380,"MONOV INFLUENZA A (D1)","TLR2"
"381",381,"MONOV INFLUENZA A (D1)","TLR4"
"382",382,"MONOV INFLUENZA A (D1)","TMEM106A"
"383",383,"MONOV INFLUENZA A (D1)","TMEM150B"
"384",384,"MONOV INFLUENZA A (D1)","TMEM176A"
"385",385,"MONOV INFLUENZA A (D1)","TMEM176B"
"386",386,"MONOV INFLUENZA A (D1)","TMEM51"
"387",387,"MONOV INFLUENZA A (D1)","TMTC1"
"388",388,"MONOV INFLUENZA A (D1)","TNFAIP2"
"389",389,"MONOV INFLUENZA A (D1)","TNFAIP6"
"390",390,"MONOV INFLUENZA A (D1)","TNFSF10"
"391",391,"MONOV INFLUENZA A (D1)","TNFSF13B"
"392",392,"MONOV INFLUENZA A (D1)","TRAFD1"
"393",393,"MONOV INFLUENZA A (D1)","TREM1"
"394",394,"MONOV INFLUENZA A (D1)","TRIB1"
"395",395,"MONOV INFLUENZA A (D1)","TRPV4"
"396",396,"MONOV INFLUENZA A (D1)","TYMP"
"397",397,"MONOV INFLUENZA A (D1)","UBE2D1"
"398",398,"MONOV INFLUENZA A (D1)","UBE2L6"
"399",399,"MONOV INFLUENZA A (D1)","VAMP5"
"400",400,"MONOV INFLUENZA A (D1)","VCAN"
"401",401,"MONOV INFLUENZA A (D1)","VDR"
"402",402,"MONOV INFLUENZA A (D1)","VRK2"
"403",403,"MONOV INFLUENZA A (D1)","WARS1"
"404",404,"MONOV INFLUENZA A (D1)","WDFY3"
"405",405,"MONOV INFLUENZA A (D1)","WDFY3-AS2"
"406",406,"MONOV INFLUENZA A (D1)","WDR49"
"407",407,"MONOV INFLUENZA A (D1)","XAF1"
"408",408,"MONOV INFLUENZA A (D1)","XKR8"
"409",409,"MONOV INFLUENZA A (D1)","ZEB2-AS1"
"410",410,"MONOV INFLUENZA A (D1)","ZMYND15"
"411",411,"MONOV INFLUENZA A (D1)","ZNF702P"
"412",412,"MONOV INFLUENZA A (D1)","ZNF703"
"413",413,"PANDEMRIX (D0)","CD163"
"414",414,"PANDEMRIX (D0)","CLEC4D"
"415",415,"PANDEMRIX (D0)","GLT1D1"
"416",416,"PANDEMRIX (D0)","HK2"
"417",417,"PANDEMRIX (D0)","LYZ"
"418",418,"PANDEMRIX (D0)","NRG1"
"419",419,"PANDEMRIX (D0)","SIRPA"
"420",420,"PANDEMRIX (D0)","TMEM121B"
"421",421,"PANDEMRIX (D1)","GLIPR1"
"422",422,"PANDEMRIX (D1)","PLB1"
"423",423,"PANDEMRIX (D1)","SULT1A2"
"424",424,"PANDEMRIX (D1)","SULT1A4"
"425",425,"PANDEMRIX (D1)","VIPR1"
"426",426,"PANDEMRIX (D1)","BANK1"
"427",427,"PANDEMRIX (D1)","C8G"
"428",428,"PANDEMRIX (D1)","CD19"
"429",429,"PANDEMRIX (D1)","CD22"
"430",430,"PANDEMRIX (D1)","CD72"
"431",431,"PANDEMRIX (D1)","CD79A"
"432",432,"PANDEMRIX (D1)","CD79B"
"433",433,"PANDEMRIX (D1)","CFH"
"434",434,"PANDEMRIX (D1)","CNR2"
"435",435,"PANDEMRIX (D1)","CXCR5"
"436",436,"PANDEMRIX (D1)","DENND5B"
"437",437,"PANDEMRIX (D1)","DOK7"
"438",438,"PANDEMRIX (D1)","EBF1"
"439",439,"PANDEMRIX (D1)","FAM30A"
"440",440,"PANDEMRIX (D1)","FCER2"
"441",441,"PANDEMRIX (D1)","FCRL1"
"442",442,"PANDEMRIX (D1)","FCRL2"
"443",443,"PANDEMRIX (D1)","FCRL5"
"444",444,"PANDEMRIX (D1)","FCRLA"
"445",445,"PANDEMRIX (D1)","GPR20"
"446",446,"PANDEMRIX (D1)","L1TD1"
"447",447,"PANDEMRIX (D1)","LARGE1"
"448",448,"PANDEMRIX (D1)","LINC00926"
"449",449,"PANDEMRIX (D1)","MEG3"
"450",450,"PANDEMRIX (D1)","MOXD1"
"451",451,"PANDEMRIX (D1)","MS4A1"
"452",452,"PANDEMRIX (D1)","MTSS1"
"453",453,"PANDEMRIX (D1)","NIBAN3"
"454",454,"PANDEMRIX (D1)","P2RX5"
"455",455,"PANDEMRIX (D1)","PAWR"
"456",456,"PANDEMRIX (D1)","PCDH9"
"457",457,"PANDEMRIX (D1)","PPP1R17"
"458",458,"PANDEMRIX (D1)","RPS26"
"459",459,"PANDEMRIX (D1)","RUBCNL"
"460",460,"PANDEMRIX (D1)","SETBP1"
"461",461,"PANDEMRIX (D1)","SYT17"
"462",462,"PANDEMRIX (D1)","TNFRSF13C"
"463",463,"PANDEMRIX (D1)","TSPAN13"
"464",464,"PANDEMRIX (D1)","VMO1"
"465",465,"PANDEMRIX (D1)","BCL2L14"
"466",466,"PANDEMRIX (D1)","CNDP2"
"467",467,"PANDEMRIX (D1)","IDO1"
"468",468,"PANDEMRIX (D1)","KRT9"
"469",469,"PANDEMRIX (D1)","LNX2"
"470",470,"PANDEMRIX (D1)","LRRC75B"
"471",471,"PANDEMRIX (D1)","METTL6"
"472",472,"PANDEMRIX (D1)","PLAAT4"
"473",473,"PANDEMRIX (D1)","RMI2"
"474",474,"PANDEMRIX (D1)","TGM2"
"475",475,"PANDEMRIX (D1)","AK1"
"476",476,"PANDEMRIX (D1)","C1D"
