"","vaccine","study","gse_id","genes","process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","base_mean","l2fc","lfcse","stat","pvalue","padj","direction","filter"
"1151","ChAd","ChAd-BNT (V3, D1)","GSE199750","CD81","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,525.235360457409,-0.836839883711577,0.214752873196925,-3.89675756721637,9.74891195254633e-05,0.0030106854543757,"NEUTRAL","p<0.05"
"1152","ChAd","ChAd (V2, D1)","GSE199750","CD81","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,525.235360457409,-0.832929866465759,0.164636742519717,-5.05919792701199,4.2102367271406e-07,2.36846688180051e-05,"NEUTRAL","p<0.05"
"1153","BNT","BNT (V2, D1)","GSE199750","CD81","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,525.235360457409,-0.293718475878733,0.0723284665920109,-4.06089731634344,4.88844696235053e-05,0.00032481624488603,"NEUTRAL","p<0.05"
"1154","ChAd","ChAd (V2, D1)","GSE199750","CD86","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,564.69836210567,0.536184476578173,0.159468919685473,3.36231334378956,0.00077292361379739,0.00905529033792839,"NEUTRAL","p<0.05"
"1155","BNT","BNT (V3, D1)","GSE199750","CD86","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,564.69836210567,0.498911382913425,0.0969111591455141,5.14813141554007,2.6309415032984e-07,6.67328339428685e-06,"NEUTRAL","p<0.05"
"1156","BNT","BNT-MO (V3, D1)","GSE199750","CD86","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,564.69836210567,0.414673752991049,0.131703926209197,3.14852992561806,0.00164093920948897,0.00847322799059492,"NEUTRAL","p<0.05"
"1157","BNT","BNT (V2, D1)","GSE199750","CD86","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,564.69836210567,0.529362009245393,0.0703017862446341,7.52985148063429,5.07980688751719e-14,1.91294833053608e-12,"NEUTRAL","p<0.05"
"1158","ChAd","ChAd-BNT (V3, D1)","GSE199750","CD86","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,564.69836210567,0.905299432593644,0.201889260075122,4.48413864242598,7.320905352428e-06,0.00042070676969867,"NEUTRAL","p<0.05"
"1159","BNT","BNT (V3, D1)","GSE199750","CD8B","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,519.460020010111,-0.432873634034821,0.153621983680919,-2.81778443203755,0.00483562634524778,0.0237311599779122,"NEUTRAL","p<0.05"
"1160","BNT","BNT (V2, D1)","GSE199750","CD8B","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,519.460020010111,-0.375981543407534,0.108505317881989,-3.46509784724517,0.00053003859525666,0.00260535931236507,"NEUTRAL","p<0.05"
