"cell_name","marker","Type"
"Class-switched memory B cell","CD19,CD27,IgD,CD27,CD19","Adaptive"
"Plasmablast","CD38,CD24,CD19,CD38,IgM,CD27,CD38,CD19,CD38,MZB1,CD38,XBP1,IGHG,IGHA,CD27,TNFRSF17,MZB1,CD38,TNFRSF17,CD19,CD27,CD38,CD269,CD38,CD27,CD38,IgM,CD19,CD38,CD27,CD19,CD27,CD38","Adaptive"
"Double-negative B cell","IgD,CD19,CD27,CD20","Adaptive"
"Non-switched B cell","CD27,IgD","Adaptive"
"Resting memory B cell","FcRL5,CD11c,CD19,CD21,CD27","Adaptive"
"Immature B cell","CD10,CD23,IgD,CD38,IgM,CD38,CD5,CD24,HLA-DPB1,HLA-DRB1,HLA-DRA,CD79A,CD74,CD83,IgD,CD24,CD19,IgM,CD38,IgD,CD19","Adaptive"
"Unswitched memory B cell(UnSw MB)","IgD,CD19,CD27,IgM,CD19,CD20,CD27,CD27,IgD,CD19","Adaptive"
"Switched memory B cell(Sw MB)","CD19,CD27,CD27,CD27,CD27,CD19","Adaptive"
"Tissue-like memory B cell","FCRL4,CD21,CD27","Adaptive"
"Marginal zone(MZ)-like B cell","IgD,CD27,IgM,CD27,IgD,IgM,CD19,CD27,IgD,CD20","Adaptive"
"IgA memory B cell","IgA,CD20,CD27","Adaptive"
"Aged memory B cell","FCRL5,Tbet,CD19,CD11c","Adaptive"
"IgM memory B cell","IgM,CD20,CD27,IgD,CD27,IgD,IgM","Adaptive"
"IgG memory B cell","CD27,IgG,CD20","Adaptive"
"CD20+ B cell","CD20","Adaptive"
"Activated memory B cell","ZEB2,DHRS9,POU4F1,FCER1G,CD86,AICDA,ITGAX,STAC3,KREMEN2,HES4,TBX21,FCRL4","Adaptive"
"Mature naive B cell","CD23,CD38,IgM,IgD","Adaptive"
"Intermediate transition memory B cell","IGHD,CD27","Adaptive"
"Dividing plasma B cell","MKI67,MZB1,CD38","Adaptive"
"Germinal center B cell","MS4A1,NEIL1","Adaptive"
"Circulating plasma cell","CD45","Adaptive"
"Atypical B cell(ABC)","CD72,LILRB2,FCRL5,ITGAX","Adaptive"
"Circulating activated B cell","MTG,IgD,CD19","Adaptive"
"Resting naive B cell","CD24,CD38,IgD,CD19","Adaptive"
"Mature B cell","LYN,CD37,CD74,HLA-DRA,CD79A,IGHM,HLADR,CD19","Adaptive"
"Age-associated B cell","ITGAX","Adaptive"
"Non class-switched memory B cell","IgD,IgM,CD27,CD19","Adaptive"
"IgM only B cell","CD19,CD27,CD20,IgM","Adaptive"
"Unswitched plasmablast","IgM,CD38,CD19,CD27","Adaptive"
"Class switched plasmablast","CD27,CD38,CD19","Adaptive"
"Antibody Secreting B cell","CD38,CD27","Adaptive"
"Pan-B cell","CXCR5,HLD-DR,CCR6,CD19,CD19","Adaptive"
"Terminal differentiated B cell","CD38,CD27","Adaptive"
"Plasmablast B cell","CD27,CD38,CD19","Adaptive"
"Follicular B cell","HK2","Adaptive"
"B cell lineage","CD20,CD19","Adaptive"
"Memory-like B cell","CD27","Adaptive"
"CD4+ T cell","CD4,CD3,CD4,CD4,GLUT1,CCR6,LTB,CD4,FOXP3,IL2RA,CTLA4,CD4,CD44,CD28,CD127,CD27,CD4,CD3,CD4,CD4,CD3,rs75862629,HLA-B*2709,HLA-B27,ERAP1,HLA-B*2705,ERAP2,CD4,CD4,CD3,CD4,CD4,CD3,CD79A,CD3D,TRIM21,IFN-γ,HERV-H,IL-10,HERV-W,TNF-α,HERV-K,KHDC3L MII-1,KHDC3L MII-6,KHDC3L MII-2,KHDC3L MII-3,KHDC3L MII-5,TNFSF3,LRRN3,CCR7,SELL,TIGIT,TNFRSF9,IKZF2,FOXP3,CCR7,IL7R,CD4,CD3E,CD4,FAM102A,CD4,IL7R,CCR7,CD4,CCR7,CD3G,SELL,CD3D,IL32,IL7R,S100A4,CD4,CD3D,PTPRC,CD4,CD161,CRTH2,LTB,CD4,CD45,CD4,CD3,CD3E,CD4,CD3,CD4,EN1,IKZF2,SOX,SOHLH2,FOX,rs75712673,CD4,CD3D,CD4,ALDH1A1,ZFP36L1,ZFP36,RORA,LTB,TNFAIP3,CD4,IL7R,CD3D,CD4,CCR7,IL7R,CCR7,SELL,CD4,CD3D,IL7R,Foxp3,CD4,IL4R,IL7R,STAT4,IL12RB1,STAT6,MEIS2,FOXO3,EGFR,CDKN2A,TNFSF13,IDH1,IRF8,TCF7,SELL,CCR7,IL7R,CD3D,DLA-CTC,IL-10,CD4,CD3E,CD4,CD3,CD154,ACTG1,ACTB,S100A10,TUBB,PFN1,S100A11,S100A4,MYO1G,IRF7,IRF9,OAS2,STAT2,OAS1,RNF43,ZNRF3,IL7R,LTB,CD4+,CD8+,CD3,Klrg1,Tcf7,Gzma,Gzmk,Gzmb,Zeb2,Il7r,CD3,CD4,CDR1,CDR2,CD3D,CD4,CD27","Adaptive"
"CD4+ T helper cell","CD4,CD45,CD3,CD3D,CD161,CRTH2,CD4,CD45,CD3,CD3D,CD161,CRTH2","Adaptive"
"CD4+CD25+ regulatory T cell","CD4,CD25,CD45,CD3","Adaptive"
"Activated CD4+ T cell","CD4,CD71,CD29,CD25,CXCR3,CD14,CD45RA,CD38,CD4,CCR6,CD19,CD45RO,CD69,CD69,STAT3,SOCS3,ICOS,CD3D,CD4,IL7R,CD4,CD3E,SELL,CCR7,CD154,TCF7,HLADR,CD4,CD38,CD3","Adaptive"
"CD4-CD28- T cell","Perforin,CD18,CD57,CD25,CD45RA,CD30,BCL2,CD95","Adaptive"
"CD4-CD28+ T cell","CD18,CD25,CD57,CD95,CD45RA,Perforin,CD30,BCL2","Adaptive"
"Naive CD4+ T cell","CD45RA,CD62L,CD4,EIF3L,ACTN1,FHIT,MYC,TCF7,TXK,SERINC5,IL7R,EEF1B2,C1orf162,CD55,CCR7,SATB1,ABLIM1,TSHZ2,RPS5,SLC40A1,TESPA1,SVIL,C6orf48,GIMAP8,NOSIP,LRRN3,TMEM204,GIMAP5,LDLRAP1,LRRC75A-AS1,NELL2,RSL1D1,FAM117B,GPR183,TRABD2A,MAL,PRKCA,CD45RA,CCR7,CD3,CD45RA,CD4,CCR7,CD4,CD45RA,CCR7,CCR7,SELL,CD3E,TCF7,CD4,S1PR1,CCR7,LEF1,CD27,SELL,CD28,CCR7,IL7Rhi,SELL,CCR7,CD3D,CD62L,TCF7,LEF1,SELL,CCR7,CD3,CCR7,CD4,CD45RA,CCR7,CD45RA,TCF7,CCR7,SELL,LEF1,CD3E,CD4,CD27,CD28,TCF7,CCR7,SELL,CD27,CD4,CD3,CD45RA,CD3E,TCF7,CD197,CD4,CD3D,LEF1,SELL,TCF7","Adaptive"
"Effector CD4+ memory T (Tem) cell","CD45RA,CCR7","Adaptive"
"Memory CD4+ T cell","IL7R,CCR7,CD27,CD127,GPR183,S100A4,IL7R,ANXA1,S1PR1,CD4,CD3E,S100A4,CD3D,CD161,CD45RO,CCR6,CD26,CD45RO,CD69,AQP3,CD25,CD3,CD4,CD3D,CD4,GZMK,AQP3,CD3E,CD69","Adaptive"
"Central memory CD4+ T cell","CCR7,CD45RO,CD4,CD3,CCR7,CD27,CD3,CD4,CCR7,CCR7,MAL,SELL,TSHZ2,LEF1,TCF7,MYC,NOSIP,SOCS3,CD69,CD3,CD45RO,CD4,CCR7,CD3,CD4,CD27","Adaptive"
"Terminally differentiated effector memory CD4+ T cell","CD45RA","Adaptive"
"Effector memory CD4+ T cell","CD45RO,CD3,CD4,CD4,CD3,GPR183,GZMA,S100A4,IL7R,GZMA,CD3,CD4,CD45RO,CD4,CD4,CD3,CD4,CD3","Adaptive"
"Effector CD4+ T cell","CD45RA,CD4,CD3,CD62L,GZMK,KLRB1,PRF1,GZMA,IFNG,CD3E,GZMB,PRF1,CD3D,PRDM1,CD4,GNLY","Adaptive"
"CD4 T cell","CD3E,CD4","Adaptive"
"Memory CD4 T cell","CD45RO,CD45RA","Adaptive"
"Cytotoxic CD4+ T cell","CD57,PRF1,GZMB","Adaptive"
"Naive CD4 T cell","TCF7,MAL,CCR7,MYC,TSHZ2,NOSIP,SOCS3,SELL,LEF1,CCR7,CCR7,LEF1","Adaptive"
"CD4+ T helper 1 cell","CXCR3,CXCR3","Adaptive"
"CD4+ T helper 17 cell","CD161,CCR6,CD161,CCR6","Adaptive"
"CD4+ recently activated effector memory or effector T cell (CTL)","S1PR1,GZMH,GNLY,PRF1,KLRG1,NKG7,S1PR5,CD4,TBX21,CD3E,CTSW,CX3CR1","Adaptive"
"Exhausted CD4+ T cell","PD1,LAG3,TIGIT,TIM3,CD279,PDCD1,TIM3,CD4,TIGIT,LAG3,CD3D,CD3E","Adaptive"
"Regulatory CD4+ T cell","CD25,CD4,IL2RA,TIGIT,CTLA4,FOXP3,CD3E,CD4,CD3D,FOXP3","Adaptive"
"Effector memory CD4 T cell","CCR6","Adaptive"
"Regulatory CD4 T cell","FOXP3","Adaptive"
"CD4+ cytotoxic T2 cell","CCL5,CD28,NKG7,CD3E,CD4,GZMB,CD27","Adaptive"
"CD4+ cytotoxic T1 cell","CCL4,CD27,PRF1,CD28,GZMB,CD4,CCL3,NKG7,CD3E","Adaptive"
"Cytotoxic CD4+ T2 cell","NKG7,PRF1,GZMB","Adaptive"
"CD4+ central memory like T (Tcm-like) cell","SELL,CD28,CD3E,CCR7,CD27,CD4,TCF7","Adaptive"
"CD4+ cytotoxic T lymphocyte","FGFBP2","Adaptive"
"CD4+ Terminally Differentiated Effector Memory Cell","CD4,CD45RA","Adaptive"
"CD8+ terminally differentiated effector memory re-expressing CD45RA T cell(CD8+ TEMRA)","CD3,CD8,CD3,CD8","Adaptive"
"EMRA CD4+ T cell","CD3,CD45RA,CD4","Adaptive"
"CD4+ tumor antigen-specific T (Tas) cell","CD200,CXCL13","Adaptive"
"Proliferative CD4+ T cell","TYMS,CD4,CD3E,CD3D,MK167","Adaptive"
"Early activated CD4+ T cell","CD3,CD4,CD25","Adaptive"
"CD8+ T cell","CD8,CD3,CD30,CD8,CD56,CD3,CD8,CD3D,CD8,NKG7,CD4,CD8B,CD8A,GZMK,CD8A,CD8B,CD8A,CD8,CD3,CD3,CD8,CD8,CD3,CD8a,CD3,CD8,CD8,CD3,GWAS,CD27,ICOS,CD28,HLA-DR,MYC-1,TCRβ,ABO,Cdk7,Cdk9,Ctk1,Bur1,Kin28,Cdk12,CD8,CD3,CD8A,CD3D,CD38,HLA-DR,CD8,CD8A,CD3E,TLR10,TLR1,TLR6,CD8,MAL,CD28,THEMIS,AQP3,PRF1,PRDM1,ANK3,CD8B,ZBTB38,CST7,IKZF3,CD8A,CD8A,CD3G,CD8A,CD3D,CD8B,CD8A,FGFBP2,FCGR3A,CD3D,PTPRC,CD8A,CD8,CD8A,GZMA,CD8A,CD45,CD3,CD8a,CD8,CD3E,H1781,HER2,EFGF,CD8a,CD3,CD8A,CD3D,CD8a,LAG3,HAVCR2,PDCD1,HLA-DRA,CD3D,CD8A,CCR7,CCR7,SELL,GPR183,CD8A,CD8A,CD3D,CD8,CD8A,SELL,TCF7,CCR7,CD8B,CD8A,CD3E,CD8,CD3,CD8A,CD3E,CD4,CD8B,CCL4,NKG7,CD8A,CD8B,CD8B,CD8A,GVHD,CD3,HLA-B,HLA-II,HLA-A,HLA-C,CD8A,CD3D,CD28,CD3,CD8","Adaptive"
"Cytotoxic CD8+ T cell","CD8,CD3,GZMA,GZMA,NKG7,FGFBP2,GZMB,GNLY,GZMH,TRGC2,CCL5,KLRG1","Adaptive"
