"cell_name","marker","Type"
"T helper1 (Th1) cell","IFN-gamma,CXCR3,CD3,IFN-gamma,CD4","Adaptive"
"T helper 17(Th17) cell","CCR6,CCR4,CCR6,CD4,CCR6,CD4,IL-6,IL-17,CD3,CD4,CCR6,CD161,CCR6,IL17,CD4,CXCR3,CD4,CCR6,IL17,CD4,CD3,IL22,IL17A,RORC","Adaptive"
"T helper 2(Th2) cell","CCR4,CD4,CD3,CCR6,GATA3,CCR3,CCR4,CD4,CCR6,CXCR3,eEF2,TAF1B,eIF6,eIF5A,eIF4G,eIF2,eEF1α1,IFIT3,IFIT2","Adaptive"
"Activated peripheral helper T cell","HLA-DR,CD38","Adaptive"
"Central memory T helper 1 cell","CD3,CD4,CD45RO,CCR7,T-bet","Adaptive"
"T follicular helper(Tfh) cell","ICOS,CXCR3,CCR6,CXCR5,CD4,CXCR5,PD1,CXCR5,CD4,CXCR5,CD3,CXCL13,PD1,BCL6,ICOS,CD10,CXCR5,PD-1,Tfh17,CXCR3,Tfh2,TIGIT,Tfh1,CCR6,CXCL13,CXCR5,BCL6,ICOS,PDCD1,CD4,CD3,CXCR5,PD1,CXCR5","Adaptive"
"T helper 1(Th1) cell","CD4,CXCR3,IFN-y,CD4,CXCR3,CD3,CXCR5,CCR5,CXCR3,CD161,CCR6,CCR4,CD4,IFNG,CCL4","Adaptive"
"T helper(Th) cell","CD4,THC,CD3,CD4,IL-17a,IFN-γ,CD4,CD3,RORC,IL17RE,CD4,IL6ST,CD3E,CD25,KIR2DL4,KIR3DP1,pp65,CXCR5,ZFP36L2,ZFP36L3,CD38","Adaptive"
"T helper 9(Th9) cell","CD4,CD3","Adaptive"
"Neutrophil","CD14,CD33,CXCR1,CXCR2,TLR2,JAML,CD13,CD88,CD66b,CD66b,CD114,CD64,CD32,CD16,CD16,CD15,CD15,CD10,CD31,CD62L,CD11b,CD11c,CD11b,CD49d,GP110,FMLP,CD11b,CD66b,CD15,NGAL,CD66b,CD66b,HLA-DR,CD11c,CD14,CD11b,CD15,CD16,CD33,CD123,CD16,CD66b,CD11b,Gfi3,Elane,Cepbe,CD66b,CD11b,CD33,CD66b,CD15,CD66b,CD66,CD43,CD10,CD16,CD11b,CD15,CD66b,CD62L,Arg1,CD11a,CD304,CD235a,CD79b,CD117,HLA-DR,CD64,HLA-B,Siglec 8,CD48,CD49d,IdU,HLA-C,CD203c,CD15,CD45RA,CD35,CD56,CD11c,CD34,HLA-A,CD3,CD123,CD10,CD184,CD45,CD86,CD11b,CD182,CD197,CD16,CD33,CD38,CD101,CD71,CD14,CD66b,CD41,CD127,CD19,MPO,ELANE,CAMP,LTF,IL-18,IL-1β,CD16,CD62L,CD11b,SSC,CD16,CSF3R,FCGR3B,CEACAM8,LCN2,DEFA4,CXCR2,CD66b,CD20,CD123,PD-L1,CD177,CD16,CD11a,ITGAL,ITGAM,CXCR1,CXCR2,MME,SELL,CD11b,CD55,CD10,CD11b,CD66b,CD123,CD16,CD10,PD-1,CD64,CD87,MPO,S100A8,ELANE,CSF3R,IFITM1,RSAD2,IFI6,MMP8,S100A9,ISG10,MMP9,CD16,CD66,CD10,CD62L,CD16,CD14,CD11b,LYZ,FCGR3B,CXCR2,CSF3R,CD62L,MPO,CTSG,FCGR3B,CD16,PRTN3,AZU1,ELANE,CD11b,CD64,CD43,CD10,CD49d,CD45,CD11c,CD66b,CD80,CD86,HLA-DR","Innate"
"Polymorphonuclear neutrophil","CD66b","Innate"
"Mature neutrophil","HMOX1,TXNRD1,HMOX2,SRXN1,SOD2,CD16,CD10,CD15,CD66b,CD101,CD16,CD11b,CD10","Innate"
"Immature neutrophil","CD16,CD15,CD16,CD11b,CD101,CD66b,TOP2A","Innate"
"Pro-neutrophil","CD63,CD43,CD66b,CD81,CD15","Innate"
"Pre-neutrophil","CD11b,CD66b,CD45d","Innate"
"Neutrophil lineage","CSF3R,CXCR2","Innate"
"Low-density neutrophil","Lox-1,CD226,CD61,CD36,CD41","Innate"
"Immunosuppressive neutrophil","ARG1,ANXA1","Innate"
"Neutrophil progenitor cell","CAMP,MPO,AZU1,LTF,LCN2","Innate"
"Monocyte","CD14,CD14,HLA-DR,CR3,CD14,CD34,CD56,CD16,CD14,CD242,COX2,CD244,Myeloperoxidase,CD162,CD14,CD163,TCRvbeta11,CD62L,TCRvalpha24,CCR7,CD45RA,CD4,CD8,CD3,CD138,CD27,CD22,CD38,CD19,CD20,CD126,CD203c,CD14,CD45,CD14,CD16,CD86,CD64,B7H1,CD40,CD142,CD80,HLA-DR,CD32,TNFR2,PD-1,EMMPRIN,CD158a,CD56,NKp46,CD158b,CD57,CD117,NKG2C,CD161,CD49b,CD16,CD3,CXCR6,CD49a,CD14,CD20,CD19,CD38,IgA,CD27,CD3,IgG,CD14,CD56,NKG2A,CD16,CD2,CD3,CD11b,CD19,CD94,CD16,CD14,Mac 1,Csf1r,Irf8,Ctsg,CD14,CD14,CD14,CD14,CD14,CD61,CD14,HLA-DR,CD14,CD14,LYZ,CD14,CD64,HLADR,CD14,CD14,CD16,CD8,CD4,CD14,LYZ,FCGR3A,CD14,CD14,CD11c,MT-CO3,HLA-DOA1,CCR2,SOD2,S100A12,S100A8,S100A9,CD14,CD88,CD64,GOS2,VCAN,C5AR1,CD14,CD16,FCGR3A,MS4A7,CCL3,S100A8,S100A9,CST3,FCN1,LYZ,CD68,CD95,CD38,CXCR3,CD14,CD14,CD16,FCGR3A,CD14,CD14,CD16,Ly6c,LYZ,CD14,A100A9,CD14,S100A8,ITGAM,CD14,CD33,GATA2,MPEG1,CD14,CD63,HDC,CD163,CD14,CD16,CD14,IL-1β,IL-18,FCN1,LYZ,VCAN,CD14,FCGR3A,CD45,CD14,CD14,CD11c,CD14,CD14,CD14,CD33,CD14,CD36,IL17RA,HLA-DR,CD16,FCGR2A,CSF3R,CD14,CD31,CD64,CEBPA,CD14,CD14,CD11b,CD112,MPO,CD14,CCR2,CD4,CD163,CD16,HLA-DR,PLAC8,CD14,CD16,CD14,PSAP,S100A6,TYROBP,CST3,OAZ1,LYZ,HLA-DR,TLR-2,CD14,IL-6,TNF-α,IP-10,IL-10,CD14,S100A9,LYZ,S100A8,FCGR3A,CD14,CD68,CD16,FCGR3A,CD14,LYZ,CD1C,FCGR3A,S100A12,TGF-α,OSM,IL18,CD14,IBA1,TMEM119,AIF1,GZMH,LYZ,CST3,FCGR3A,LYZ,CD68,CD14,MNDA,FCGR3A,S100A8,CLU,CD14,VCAN,CD163,ALOX5AP,CREG1,SELL,A12,PLAC8,A9,CD16,CD14,CD87,MS4A7,CD14,LYZ,FCGR3A,IL6,TNF,IL1B,FGL2,MS4A7,LYZ,S100A9,CD14,HLADR,CD14,FCGR3A,CD14,CST3,LYZ,CD14,CD163,IL1B,TNF,FCGR3A,MS4A7,LYZ,FCGR3A,S100A8,CD14,CD14,CD14,FCGR3A,IL1B,FCGR3A,CD14,ISG15,IFI44L,IFI44,CD169,CD14,PRF1,LYZ,GNLY,CSF3R,IL32,IFITM1,STAB1,FCN1,CTSW","Innate"
"CD14++CD16- monocyte","CD14,CD16","Innate"
"CD14+CD16+ monocyte","CD14,CD16,CD68,S100A12,CD16,CD14","Innate"
"Classical monocyte","CD14,CD16,CD14,CD33,CD15,CD123,CD16,CD11c,CD66b,CD11b,HLA-DR,HLA-DR,CD9,CD93,CD16,CD11a,CD61,CD14,CD14,HLA-DR,CD14,CD14,CD14,DR,CD88,CD14,CD89,CD14,CD14,CD14,CD14,CD14,CD14,CD45,BASP1,CXCL8,S100A9,IFITM3,S100A8,VNN2,IFIT3,ALOX5AP,S100A12,HLA-DQA1,IFI6,HLA-DRB1,HLA-DRA,GPR183,ISG15,CD74,PLBD1,QAS3,IFIT2,HLA-DPB1,IFI44L,ITGA4,MX1,CYP1B1,HLA-DPA1,PADI4,EPSTI1,HLA-DQB1,XAF1,CDKN1A,LYZ,FCN1,CD14,FCGR3A,VCAN,CD14,CD16","Innate"
"Intermediate monocyte","CD16,CD14,CD11b,HLA-DR,CD123,CD11c,CD33,CD14,CD15,CD16,CD66b,CD14,CD16,HLA-DR,CD14,DR,CD16,CD16,HLA-DR,CD16,CD14,CD14,CD16,CD14,CD16,CD14,CD16","Innate"
"Non-classical monocyte","CD16,CD14,CD11c,CD11b,CD16,CD14,CD33,CD66b,HLA-DR,CD123,CD15,CD16,HLA-DR,CD16,DR,CD14,CD16,FCGR3A,CD16,CD16,CD16,CD16,CD45,CD16,CD16,TNFRFA1,CD14,TNFRFB2,FCGR3A,CSF1R,FCN1,CDKN1C,LYZ,CD16","Innate"
"Monocyte derived dendritic cell","CD123,CD15,CD33,CD14,CD11b,CD66b,CD16,HLA-DR,CD11c,FCER1A,CST3,CD1C,CD1C,CD1C,CD1C,CD123,CD15,CD33,CD14,CD11b,CD66b,CD16,HLA-DR,CD11c,FCER1A,CST3,CD1C,CD1C,CD1C,CD1C","Innate"
"Suppressive monocyte","CD33,CD14,CD123,CD11b,HLA-DR,CD66b,CD15,CD16,CD11c","Innate"
"Granulocyte-monocyte progenitor","COMMD5,B3GALNT1,PRTN3,RETSAT,AP3S1,NQO1,ERAP2,PTPRE,ASPM,KCNE3,MAMDC2,F13A1,FAM45A,EPX,HAL,ADK,AREG,TYMSOS,TPSD1,USP13,CST7,IFNAR2,CALR,RAD51AP1,RAB44,RNASE2,CPA3,RNASE3,NPM1P37,VIM,IGLL1,TPSB2,M1AP,CD96,TRGC1,SELL,CLSPN,SMIM24,CALCOCO2,MUC1,CTSG,TCF19,HTATSF1,LGALS1,VMP1,NOG,CSTA,RMI2,SHCBP1,SPON2,MAP3K8,ZNF714,PLEK,TM7SF3,TPPP3,KBTBD11,SKA3,TTK,NUF2,PIFO,VPREB1,CP,LRPPRC,FNDC3B,IGFBP7,METTL7B,MCM10,CLEC12A,PTPN14,IL1RAP,ALDH4A1,MGST1,ELANE,MS4A2,CRNDE,APLP2,CCNE2,RAB3D,MS4A3,PYGL,MYBL2,LDHA,CASQ1,CDKN3,PDE3B,FCGR2A,DEPDC7,PEG3,ANXA1,TRGC2,FAM96A,NUCB2,MCM4,ZFP37,GCNT1,APPL1,MPO,UBTD2,SDC4,UBE2J1,BTF3L4,PLD1,VDAC1,MTND4P15,KIAA0101,MCM6,CCDC181,SUCNR1,TNFSF13B,TPSAB1,FAM129A,UHRF1,GAPDHP42,CD38,SERPINB1,TLR4,HGF,CSF3R,COMMD5,B3GALNT1,PRTN3,RETSAT,AP3S1,NQO1,ERAP2,PTPRE,ASPM,KCNE3,MAMDC2,F13A1,FAM45A,EPX,HAL,ADK,AREG,TYMSOS,TPSD1,USP13,CST7,IFNAR2,CALR,RAD51AP1,RAB44,RNASE2,CPA3,RNASE3,NPM1P37,VIM,IGLL1,TPSB2,M1AP,CD96,TRGC1,SELL,CLSPN,SMIM24,CALCOCO2,MUC1,CTSG,TCF19,HTATSF1,LGALS1,VMP1,NOG,CSTA,RMI2,SHCBP1,SPON2,MAP3K8,ZNF714,PLEK,TM7SF3,TPPP3,KBTBD11,SKA3,TTK,NUF2,PIFO,VPREB1,CP,LRPPRC,FNDC3B,IGFBP7,METTL7B,MCM10,CLEC12A,PTPN14,IL1RAP,ALDH4A1,MGST1,ELANE,MS4A2,CRNDE,APLP2,CCNE2,RAB3D,MS4A3,PYGL,MYBL2,LDHA,CASQ1,CDKN3,PDE3B,FCGR2A,DEPDC7,PEG3,ANXA1,TRGC2,FAM96A,NUCB2,MCM4,ZFP37,GCNT1,APPL1,MPO,UBTD2,SDC4,UBE2J1,BTF3L4,PLD1,VDAC1,MTND4P15,KIAA0101,MCM6,CCDC181,SUCNR1,TNFSF13B,TPSAB1,FAM129A,UHRF1,GAPDHP42,CD38,SERPINB1,TLR4,HGF,CSF3R","Innate"
"CD16+ monocyte","CD61,CD16,CD36,HLA-DR,Slan,CD9,CCR2,CD14,LYZ,CD14,FCGR3A,LYZ,MS4A7,FCGR3A,HES4,TCF7L2,LYN,CX3CR1,MTSS1,CD16,NR4A1,CX3CR1,FCGR3A,CD4,FCGR3A,LYZ","Innate"
"CD14+ monocyte","CD14,S100A9,CD14,LYZ,LYZ,SL00A8,CD14,SL00A9,CD14,LYZ,CD9g,IL1R2,F5,ALOX5AP,THBS1,NR4A1,CD14,CD4,CD14,LYZ,FCGR3A,LYZ,CD14","Innate"
"Inflammatory monocyte","CD16,CD14","Innate"
"CD14 monocyte","S100A8,CD14,LYZ","Innate"
"Monocyte precursor","MS4A6A,CCL3,CST3,LYZ,S100A9","Innate"
"Monocyte lineage","CD56,CD3,CD1a,CD14,CD19","Innate"
"Monocyte Myeloid-derived suppressor cell (M-MDSC)","CD14,CD11b,CD33","Innate"
"Patrolling monocyte","HLA-DR,CD16","Innate"
"Monocyte progenitor cell","CD33,MPEG1,CD14","Innate"
"CD16 monocyte","LYZ,FCGR3A","Innate"
"Intermediate monocyte cell","CD14,APOBEC3A,GBP4,MARCO,MARCKSL1,CD16,TNFRFB2,HLA-DR","Innate"
"Myeloid dendritic cell","CD4,CD80,CD86,CD40,CD83,CD209,CD207,CD197,CD205,CD304,CD273,CD11b,CD11c,CD1a,CD1b,CD1c,CD49d,F4/80,HLA-DR,MHC Class II,BDCA1,CD11c,HLA-DR,CD123,CD11c,CD11c,FCER1A,CLEC10A,CD1C,CD1C,ID2,ZEB2,CD1C,KLF4,IRF4,ITGAX,CLEC4A,cDC2,FCER1A,CLEC10A,SIRPA,CD209,CD1C","Innate"
"Plasmacytoid dendritic cell","CD4,CD80,CD86,CD40,CD83,CD8,CD197,CD123,CD45R,CD304,CD85g,CD273,CD303,CD11b,CD11c,CD1a,CD1b,CD1c,CD49d,33D1,F4/80,HLA-DR,MHC Class II,Siglec H,BDCA2,CD123,SORL1,CUX2,GAS6,HPS4,MCOLN2,CTNS,PTPRS,GPR183,ITPR1,SPCS1,CCS,SLC23A2,STAG3L3,PTCRA,PTK7,NFATC2IP,LMAN1,TPM2,TP53I13,SIVA1,ST3GAL4,KRT5,CYTH4,NPC2,PCNX,SYS1,PPFIBP1,TMIGD2,ZNF506,AHNAK2,SPG20,IRF4,TASP1,PTPRCAP,LILRA4,DAAM1,SLC38A1,SEC11C,SCARB2,SMPD3,UBE2J1,NOTCH4,IL3RA,PFKFB2,GPM6B,NCF1,DAB2,SSR4,SEP11,SUSD1,P4HB,ZBTB33,ZDHHC4,FMNL3,SPIB,STRBP,ALDH5A1,C1ORF186,MAP2K6,TACC1,SLC3A2,AK095700,PFKP,TULP4,ZNF527,SUZ12P,DKFZP667P0924,DUSP5,NAPSA,HERPUD1,RASD1,ABHD15,EMB,PPP6R1,C5ORF45,SLC15A4,SLC35E2,TRAM1,SCAMP5,P2RY6,HNRNPA1L2,N4BP2,N4BP2L1,ABCA2,TSPAN3,ASPH,TGFBI,RUNX2,ADA,PIK3CD,SFT2D2,TSPAN13,OGT,SPNS3,TBCC,SEC61A1,CLCN5,C1ORF55,DAPK2,MEF2D,FAM129C,C5ORF62,PMS2P5,PAIP1,FKBP2,EIF4A3,CYBASC3,IRF7,DCK,AK093551,AK057596,ABPARTS,HIGD1A,TRIM74,CEP135,PLD4,ANKRD36B,CRIM1,NPC1,APP,CD2AP,MYBL2,KANK1,ATP13A2,TCF4,TATDN3,USP24,CYP46A1,NOP56,SCN9A,SNRPN,CLIC3,FZD3,TEX2,SLC20A1,LOC652276,SEPT1',OFD1,IGFBP3,GGA2,ITGAE,DERL3,PHLPP2,ITPR2,TGFBR2,IL28RA,ST3GAL2,LRRC36,MGAT4A,EPHB1,UGCG,FCHSD2,CTSB,PDCD4,SERTAD2,TP53I11,MAP1A,TCL1A,GAB1,MAP4K4,QDPR,MYB,MAN2B1,THSD1P1,EGLN3,LIME1,SLC2A1,RREB1,DHTKD1,BTAF1,GALNT2,UBA5,CNP,LAIR1,ZFYVE26,SIT1,LOC285972,ANKRD36,ZCCHC11,SOLH,GLCE,LILRB4,SULF2,AHI1,SIDT1,TXNDC5,TRAF4,ARHGEF4,MZB1,ERP29,TCL6,TRRAP,ZDHHC17,C17ORF109,KIAA0226L,SBDS,NEK8,DCPS,CRYM,CDCA7L,MDN1,NRP1,GPR114,ANKRD36BP1,SEL1L3,KIAA0226,LOC100233209,OVOS2,C18ORF8,NFX1,C12ORF45,CSNK1E,SGSM3,LTB,C9ORF91,DPPA4,SLA2,POLB,TAX1BP3,P2RY14,PCMTD1,DSN1,SNURF-SNRPN,GZMB,IFI44L,ITM2C,C6ORF170,PCYOX1,HSP90B1,SEC61B,PPARA,ZFAT,ERO1LB,IRF8,ADAM19,CSF2RB,ATP2A3,CXCR3,TMEM109,LOC644961,PLAC8,KRR1,CMKLR1,FUT7,SND1,IQGAP2,IGJ,PHEX,IRF2BP2,RNASE6,EFHC1,CCR2,COBLL1,TRDMT1,LAMP5,SETBP1,PMS2L2,MAPKAPK2,TBC1D4,DENND5B,SLC7A5,CYSLTR1,AL833181,LOC284551,BC034268,SLC38A2,LRP8,ABCA7,SRPR,BCL11A,RCL1,NGLY1,MYO1E,CXORF21,SELS,STAG3L1,ARL6IP6,MS4A6A,TNFAIP3,CRYM-AS1,FLJ43663,IDH3A,SPATA5,LOC400657,NUCB2,C12ORF75,TTC24,CLN8,TLR7,ANKS3,MINA,TUBB6,TMEM19,DKFZP586I1420,TXN,LOC100507600,ERN1,RNASET2,C10ORF58,COL24A1,SPICE1,C12ORF44,PHC3,SPON2,PDIA4,DQ576756,LOC100131564,PARK7,FLJ42627,PLP2,S100PBP,ALG2,MDFIC,USP11,SP4,STAMBPL1,SLC12A3,PLXNA4,BLNK,PPP1R14B,PLA2G16,VEGFB,VAMP1,FAM160A1,LOC100131089,C10ORF118,VIPR2,KIRREL3,PAPLN,PACSIN1,B4GALT1,C5ORF64,CD164,C6ORF25,CREB3L2,SLC7A11,SEC61G,AHCY,IGFLR1,CARD11,CLEC4C,LOC642776,LY9,RRBP1,CCDC50,MIF4GD,ST6GALNAC4,PARP10,OCLN,C9ORF142,STT3A,ABI2,DHRS7,DQ572107,NCF1C,SLC12A2,PPM1K,RNASEH2B,AX747844,AK128525,RABGAP1L,MFSD2A,BEX4,TMEM63A,SNRNP25,GAPT,MAGED1,BC051760,CD99,STMN1,TPST2,SELL,LGMN,GNG7,PAFAH2,NICN1,TNFRSF21,PPM1J,SERPINF1,NCF1B,FOXRED2,SLC33A1,CCDC69,MILR1,SMC6,BX647938,ALOX5AP,FLNB,RNF5,MRPL36,NRP1,GZMB,CD123","Innate"
"Dendritic cell","CD83,CD83,CD11c,CLEC9A,CD86,CD80,CD86,MHC class II,CD83,CD34,CD83,IL3RA,NRP1,CLEC4C,FCER1A,CD163,CD141,CD83,CD86,CD80,CD40,CCR7,HLA-DR,CD83,IGJ,LILRA4,MZB1,CLEC10A,FCER1A,HLA-DR,CD11c,HLA-DR,Lin,CST3,FCER1A,CD11c,CD1c,IL5RA,MS4A3,FCER1A,HPGD,CD1C,LYZ,CST3,LILRA4,PLD4,IL3RA,Bmp4,Sox2,CLEC10A,FCER1A,CD11c,CD123,CD11c,HLA-DR,ISG15,UBC,CLEC10A,IRF8,IFITM3,IFI6,CYBA,CD1C,HSPA5,IRF7,CLEC12A,FCER1A,LILRA4,CD1c,FCER1A,CST3,HLADR,FCER1A,FCER1A,LILRB4,CLEC4C,IL3RA,CD1C,CD1E,FCER1A,FLT3,HLA-DPA1,HLA-DQA1,IL3RA,FCER1A,CD141,CD1C,HLADR,CD11c,CD1C,CLEC10A","Innate"
"CD16+ dendritic cell","CD123,CD11b,CD14,CD66b,CD33,CD11c,HLA-DR,CD15,CD16","Innate"
"AXL+SIGLEC6+ dendritic cell","SUCLA2,CEP95,RAD1,ALDH2,SLC35C2,BAIAP2,SLC41A2,SUSD1,MGLL,STX18,MECR,AK125727,RUNX2,PTGDS,SIGLEC6,CD300LG,BIN1,THBD,SLC20A1,CX3CR1,STAG3L4,C5ORF25,MRPS6,CD5,CDH1,ATF5,CD300LB,CD72,AXL,ADAM33,DAB2,IRF4,ZEB1,USF2,NDRG1,SEPT6',PPP1R14A,KLF4,SP4,UPK3A,S100A10,PLAC8,COQ7,LAX1,SCN9A,SOX4,CXCR2,DPYSL2,GGTA1P,TNFSF12,FAM105A,FAM129A,PIM2,LTK,CTSW,KLF12,HIP1,CD22,ENTPD7,RNF141,RNASEL,GPR146,VASH1,SLC4A3,CDKN1A,TXN,BHLHE40,GNAQ,MYH11,ZNF789,TBC1D9,MED12L,ATP2B4,TNNI2,ACPP,SNRNP25,MYO1E,RBL1,LGMN,SIGLEC1,CCND3,ARHGAP18,PLA2G16,APEX1,TSEN54","Innate"
"CD1C-CD141- dendritic cell","BLOC1S3,PELI1,SPN,LRRC25,SIGLEC10,PTPRC,FAM126A,CCM2,CLEC7A,IRF1,VMP1,LCP2,MAGED2,UNC13D,SLC7A7,MAFB,WARS,FCN1,TUBA1A,CALML4,CHST15,FAM46A,TCF7L2,RNF149,PNPLA6,DPEP2,MT2A,IRAK3,POU2F2,TMEM154,TMBIM1,NAMPT,CD97,NBEAL2,DOK3,FPR1,ITM2B,DUSP1,LILRB1,LOC200772,PIEZO1,EVL,ATP1B3,MAP3K1,MYO1G,GPR155,TYROBP,IFITM2,AK124399,KIAA0513,GIMAP2,GRAMD1A,P2RY13,CABP4,AK123771,PLIN2,LOC388312,LILRB2,NCF2,GNS,SVIL,CASP1,SCPEP1,FOXO1,ALDH3B1,C10ORF54,DUSP6,NINJ1,GPBAR1,RAP1B,RAB24,FAM110A,INSIG1,SSH2,CXCL16,TESC,DMXL2,AK307192,ICAM4,PSTPIP2,LOC100133161,DKFZP451J181,VPS53,DNAJB1,PRAM1,NADK,MEFV,HCK,LYST,PLEKHO2,NAAA,C20ORF112,CD244,FCGR2C,KLF3,DENND3,ISG15,NEURL,MSN,TIMP1,IL12RB1,PPM1F,KSR1,GNG2,P2RX1,TMEM176B,CDH23,PECAM1,NR4A1,SOD2,CDKN1C,ARL4A,RAB10,ZFAND5,AP2A1,PHTF2,FCGR3B,FGD3,LRP1,CYTIP,ABHD3,ABCC3,IFITM1,PTPN13,PIK3AP1,CPPED1,RELT,PIK3IP1,UPP1,DDX58,RHOC,TLE4,EHD1,GBP1,IFNGR2,STXBP2,HSPA7,WDR11,RAP1GAP2,TSPAN14,GBP5,C10ORF46,CKB,IFI6,LIMS1,PDLIM5,SLC31A2,HK3,ARRB1,S100A11,APOL6,NFAM1,SLC2A6,SNX18,PTP4A3,CNIH4,TBCD,TBXAS1,PILRA,SAMSN1,SGPL1,PLXNC1,TLR4,SWAP70,MS4A4A,PAG1,CAMKK2,PDP1,SDCBP,GIMAP7,CLEC4F,MS4A7,AL137655,AMPD2,C15ORF39,C11ORF21,SYTL1,CAMK1,SIRPB1,ARRB2,HMOX1,ZNFX1,TNFSF10,LILRA2,ARRDC3,MPP1,CX3CR1,OAS1,LST1,LILRA5,HK1,NFKBIZ,PYGL,DRAP1,WDFY1,RNF144B,SH3BP2,STX11,ICAM2,CMTM7,WSB1,DOK2,AIF1,C3AR1,FGR,LILRA6,BCL2A1,LTA4H,HEG1,NAP1L1,ERICH1,TAGLN,CCPG1,GIMAP4,C9ORF72,C19ORF38,MBD2,KDM1B,NUDT16,ARHGEF3,PTGER2,RXRA,FAM26F,MARCKS,BID,TSC22D3,LYN,IFIT2,SIRPB2,FGD4,TNFRSF14,ZEB2,MYOF,EMR1,PTPN6,TMC6,APOBEC3A,RALB,CD300A,BLVRA,VAMP5,SERPINA1,RASGRP4,TMPO,IFITM3,CTSL1,CDC42EP3,SIDT2,SLA,MCTP1,ABI3,TSPAN32,KLF11,BIN2,CSF1R,ARAP2,TBC1D8,NDUFB3,CD52,TIAM1,DDX60,CSGALNACT2,PITPNM1,HSBP1,CD300LF,GBP4,STK10,BACH1,TMTC1,DDX60L,CLEC12A,PSAP,RAB3D,EMR2,VASP,TMEM134,LY6E,STK38,MTSS1,TTYH3,IMPDH1,YPEL2,TCIRG1,FCAR,SH2D1B,S100A4,TKT,SASH1,DNASE2,CD68,C5AR1,FCGR2A,GLUL,ASAH1,L1TD1,TXNIP,NPL,CORO2A,NLRP1,NEAT1,SLC11A1,FAM45B,PTGER4,SLC44A2,CD300E,SULT1A1,TYMP,ZCCHC6,CD79B,GIMAP1,RAB37,ACOT9,SCIMP,NECAP2,SMAP2,ALOX5,CTSS,CFD,TMEM11,CASP4,UBXN11,FYB,DENND5A,ITGAL,MXD3,GBP2,HLA-E,ITGB1,FCGR3A,TNFRSF1B,FLNA,FTH1,AGTRAP,SAT1,IFIT3,TLR2,IFI30,FTL,LGALS3,ARAP1,CSK,ADRBK1","Innate"
"CD141+CLEC9A+ dendritic cell","LOC645638,LRRC18,C1ORF54,LOC541471,FNBP1,DUSP10,ACSS2,TGM2,HLA-DPB1,DUSP2,AX747832,WHAMMP3,ASAP1,BATF3,ADAM28,KIAA1598,SLC9A9,STX3,BTLA,VAV3,CCND1,DST,LIMA1,LACC1,FAM135A,ENPP1,INF2,C1ORF21,CD93,CD59,HLA-DPA1,HLA-DQB,HLA-DPB2,APOL1,TMEM14A,DPP4,NET1,HAVCR2,BCL6,SLC24A4,TRERF1,CYB5R3,PQLC2,CLEC9A,DENND1B,ACTN1,DHRS3,HLA-DQB1,WDFY4,ASB2,SNX3,DNASE1L3,B3GNT7,RAB11FIP4,THBD,GYPC,CTTNBP2NL,IDO2,PDE4DIP,PIK3CB,FAM160A2,CPVL,CSRP1,GCET2,MTERFD3,PPA1,PALM2,PDLIM1,ANPEP,PPM1M,CAMK2D,CLNK,XCR1,KIF16B,PTK2,FUCA1,NCALD,GSTM4,EHD4,KCNK6,FAM190A,VAC14,ID2,CADM1,CD40,NAV1,IDO1,APOL3,SCARF1,ZNF366,RGS10,DSE,ELOVL5,SLAMF7,CPNE3,HLA-DOB,SLAMF8,TLR10,FLT3,PDLIM7,LMNA,PLCD1,NDRG2,CYP2E1,SNX22,PRELID2,FCRL6,LGALS2,PPM1H,CD38,OSBPL3,PAFAH1B3","Innate"
"CD1C+_A dendritic cell","AGPAT9,AREG,CACNA2D3,NOD2,CLEC17A,MBOAT7,CCR6,C10ORF128,CLEC4A,CD33,CD1E,PTAFR,PER1,ENTPD1,ADAM8,PEA15,PID1,CD1C,SLC2A3,FCER1A,ITGA5,FCGR2B,NR4A2,CD2,CLIC2,CREB5,CLEC10A,CD1D,SMA,ETS2,PTGS1","Innate"
"CD1C+_B dendritic cell","FCN1,LOC284454,HBEGF,RETN,MTMR11,CD163,MICAL2,ADAM15,EREG,F13A1,RNASE2,DQ575504,C9ORF89,RAB27A,IL1RN,PTAFR,NAIP,FPR1,NLRP12,NOD2,MPP7,PID1,CREB5,CD36,S100A12,NFE2,BST1,CD1D,IL1B,PLBD1,CES1P1,SMA,HNMT,IL13RA1,CLEC10A,ITGA5,S100A9,NLRP3,SLC2A3,VCAN,CD14,MNDA,NR4A2,LYZ,ANXA1,CES1,LMNA,LAT2,CSTA,RAB3D,AOAH,IL27RA,TMEM173,TREM1,MGST1,FCER1A,ASGR1,S100A8,CSF3R","Innate"
