process,genes,immune_set,set_size
ADAPTIVE IMMUNE SYSTEM,"CD52,CD4,CD247,CD2,CCR7,BIN2,HLA-DRA,IL12RB1,TRAT1,ZAP70,TRAF3IP3,HLA-DRB1,PRKAR1B,GIMAP6,TRA@,ITK,IL2RG,TRA@ /// TRAC,CD3E,TRA@ /// TRAC /// TRAJ17 /// TRAV20,PTPRC,PRKACB,CD3D,LCK,CD3G,IL7R,KLRB1,CCL5,RASGRP1,SH2D1A,TRAV20,BCL11B,CD6,CD7,TRBC1,LEF1,NKG7,UBASH3A,PTPRCAP,TRAC,TRD@,SLA2,RORA,MAL,EOMES,XCL2,XCL1,ETS1,SAMD3,SIT1,NLRC3,SIRPG,PRKCH,ICOS,CD28,TRAJ17,NELL2,GNLY,CD27,LAT,FLT3LG,PRF1,PRKCQ,GIMAP7,GATA3,GZMA,GZMB,CD96,GZMM,GZMH,TIGIT,GZMK,ITM2A,GPR171,IL32,TARP,THEMIS,TCF7,CD5,MS4A1,PTPN22,TXK,IKZF1,CAMK4,DPP4,RHOH,CD8A,ITPR3,CD8B,CRTAM,KLRK1,IL21R,CORO1A,SLAMF7,SLAMF1,SP140,CCR5,STAT4,CXCR3,IFNG,IL18R1,PTPN7,KLF12,ATP8B2,ZMYND11,GLYR1 /// SEPT6,CHST15,LIME1,CD24,GRAP2,THEM4,LAT /// SPNS1,NOG,LRRN3,SPOCK2,FASLG,ABLIM1,BCL2,PKIA,HNRPLL,TGFB1,AES,FAM108A1,UBE2M,DEF6,H1FX,CCDC22,ACAP1,TECR,HGS,SIPA1,CLPTM1,TSC2,SH2B1,APEH,CBX4,STXBP2,BRD2,ATP5D,DGKZ,NRBP1,MAZ,GNB2,NR1H2,CNOT3,IL2RA,JUNB,FOS,FOSB,EGR1,JUN,TNF,TNFRSF4,ATF3,TNFRSF9,IL2RB,FOSL1,TNFRSF18,CXADR,LILRB4,CD40LG,LILRB2,LILRB1,TYROBP,ITGA4,VCAM1,LILRB3,IL23A,FYN,IFI30,CD37,MAPK14,ARHGDIB,LCP1,SELL,SPI1,GFI1,LPXN,LAG3,PTPN6,UNC93B1,LTB,JAK3,MGC16121,TCF4,SLC40A1,APBB1,CHI3L2,ASRGL1,PCSK5,SLC38A1,HOPX,DENND2D,TC2N,PLEKHF1,CLEC2D,FGFBP2,LBH,TRGC2,LOC439949,NPDC1,ANKH,CD320,SLC37A3,C6orf129,NDFIP2,CXCR6,TMEM106C,C12orf23,GIMAP2,F2R,TMEM200A,GPR19,TSPAN5,SV2A,GPR114,GPR15,CLDND1,SLC4A7,IL17RB,CTLA4,CCL4,FCER2,CAMK2D,CSF3,OSM,IGHD,BLK,CD200,IL1A,KIT,CD79A,MEF2C,DTX3,GAB1,SH2D2A,ADARB1,LARGE,FAM69B,CTGF,PRKCZ,CLIP4,BANK1,DHCR24,NAV1,CD19,FKBP14,PTK2,CD1B,EBF1,GPM6B,ICOSLG,VPREB1,CD9,VPREB3,LOC100132741,PSD3,SAMD13,RGL1,SCD,NDST3,ELOVL4,NTRK2,LOC100130458,RNF150,LRP12,ACPL2,TCL1A,GXYLT2,STK32B,ACCN2,GH1,LOC284757,ADCY9,VSIG10,OGN,FAM150B,CSRP2,HHIP,TNFSF13,LIF,HHEX,CEBPE,CBFA2T3,LTA,TLR4,LYN,STAP1,CD72,TSPAN13,BCL11A,C13orf18,KIAA0125,CD79B,P2RX5,BTLA,AFF3,PPAPDC1B,IGHM,LOC90925,FCRLA,SPIB,FAM129C,ABCB4,FCRL1,FCRL5,KLHL14,CXCR5,PCDH9,RALGPS2,CD22,IGH@,IGKV3-20,MACROD2,PNOC,ADAM28,LOC283663,CR2,PAX5,E2F5,PLEKHG1,PKIG,FCRL2,IGLJ3,HLA-DOB,PTPRK,IGHA1,LOC642838,LOC642424,IGK@,TPD52,CDK14,BLNK,FCGR2B,CELSR1,DENND5B,PAWR,CD180,LOC100130100,POU2AF1,FAM30A,KLF8,LOC652493,IGKC,LOC284749,FCRL3,TBC1D9,ALOX5,CD69,FAIM3,IGLV1-44,IGL@,HLA-DOA,HLA-DQA1,BTK,CPNE5,CIITA,TLR10,IGHG1,GPR18,LY9,INPP5D,SYK,PIK3CD,VAV1,PLCG2,PIK3R5,PIK3R3,RAC2,JAM3,NEDD4,GAB2,DUSP6,NR3C2,NRXN3,LY86,HBEGF,LOC144481,NR4A1,DLL1,LOC100288911,NR4A3,IGKV4-1,LOC100287723,LOC100289053,IGKV1D-13,ITM2C,LOC96610,IGLV4-60,IGLV3-19,LOC91316,LOC100290557,IGLV2-23,IGJ,OSBPL10,CYAT1,LOC100293440,TNFRSF17,GNG7,IGLL3,MGC29506,IGLL5,TXNDC5,DERL3,MUTED,IGHV3-48,IGKV1-5,SSPN,AVPR1A,KCNE4,HEPACAM2,GYPA,SEMA4B,EGF,GPR37,C11orf87,USH2A,PPP1R3A,OR12D3,POPDC3,DCC,SLC12A1,GP5,CDH5,SLITRK6,HLA-DPB1,PCDHA3,TRHDE,GHR,TAS2R13,FLRT2,TPTE,TMEM100,GYPE,PLD4,ADAM7,KCNMB3,GPR6,CSPG4,SYT2,ROBO2,FREM2,TRPC1,GPR116,TMEM47,SCN3A,NPY1R,LPPR4,NOX4,PDZK1IP1,CCR9,GABBR1,EDNRB,GJC1,LHCGR,PCDHB8,NT5E,PDPN,PCDHB4,CLDN8,LRRTM4,HRH4,NMBR,NCAM2,GRM5,TM4SF20,IL5RA,JAM2,IL28RA,MC3R,F2RL3,ASTN1,MOGAT2,SLC26A7,SLC24A1,TACR3,IL13RA2,IMPG2,LRRC19,TMEFF2,PCDH10,BTC,GPR98,AGTR1,TMEM133,UGT2A3,OR11A1,CSMD1,TRPC7,CCR6,GABRA5,PLP1,CLCA4,CNR1,EPHA3,SLC30A10,SGCE,CHRNB4,PCDHB10,PCDHB16,PCDHB15,PCDHB14,CADM2,GPR85,SLC6A15,GPR87,NLGN1,SLC13A1,OR1E1,GABRB1,TAAR2,HHLA2,SLC17A6,CNTNAP3,SLC6A16,HLA-DPA1,ABCA8,OR2J2,CHL1,TMEM156,SLC5A7,OR2W1,LPHN3,LPHN2,LRP1B,PCDH20,KCND2,SLC44A5,ITGB6,NLGN4Y,CHRM2,PTH2R,HEPH,BAI3,PTPRR,SELE,FAM26F,SCN1A,HTR1E,HLA-DMA,PPAP2C,KCNG2,SLC5A4,CAV1,TEK,TMEM37,GP1BB,SLC16A14,ICAM2,SLC44A1,CCR10,CHRM1,CLPTM1L,KCNN3,HM13,GPR25,KCNH1,TXNDC15,SDC1,DRD4,KRTCAP2,TRAM2,SCARB2,AMIGO3,LGR4,TRHR,GHSR,P2RY14,SLC38A11,C4orf34,CXCR4,TMEM56,KCNJ16,SLC26A3,MUC15,OR1G1,TAS2R7,HVCN1,GABRE,CLDN17,SORCS3,LINGO1,NKAIN4,TAS2R10,GRAMD1C,TNFRSF13B,ADAM2,GLP2R",BTM,588
ADAPTIVE IMMUNE SYSTEM,"ABL1,STAT5B,IL2,FAS,RPS6,AKT1,TAP2,HLA-DOB,FBXO38,P0DOX7,MYO1G,BTN3A2,HLA-E,CD19,OTUD7B,HLA-C,CLEC6A,CD1B,LILRB2,RAG1,JAK3,EOMES,THEMIS,HLA-DMB,CD1C,NLRP10,P0DOX6,LAG3,HLA-DRB3,P0DOX8,SYK,CTSS,RAPGEF3,CSK,CD247,ITK,CX3CR1,LILRA6,BCL10,BTLA,LILRB4,VTCN1,KLRC1,TEC,KLRC2,RAP1GAP2,ZNF683,TAP1,C17orf99,CD3G,CD8B,LAIR1,RAP1GAP,CD7,ARG2,ZAP70,CD160,CTSH,ERAP2,BTK,MCOLN2,LILRA3,GPR183,RNF19B,CD1E,P0DOX5,BTNL8,CD6,HLA-DRB4,IFNA8,CTLA4,LILRB1,BMX,CD46,IL2,TXK,P0DOX2,HMGB1,LAX1,CD79B,CD8B2,CLEC10A,CD86,TFEB,C1QBP,HLA-DPA1,TARM1,P0DOX4,HMHB1,CD81,HLA-DMA,CRTAM,SKAP1,PIK3CG,KLRK1,P0DOX3,FGL1,TFE3,IFNE,CD79A,TNFRSF17,CD247,CD3G,RPL22,BRAF,GLI3,ADA,ABL1,ZAP70,RHOA,CLEC4G,PTPRC,TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,BTK,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,MS4A1,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CD79A,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,HDAC4,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,BCL2,GAPT,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,BAX,RAG2,TCF3,BCL2,RAG2,PRKDC,CD40,MSH2,CD70,CD19,BAX,TICAM1,BCL2,MEF2C,CD70,TLR4,IL9,CD40,BCL6,RASGRP1,PTPRC,MS4A1,CD79A,HSPD1,CD40LG,IFNA8,IL10,ABL1,IL7,CR2,PRKCD,CTPS1,IL7R,CD38,IFNE,FOSL2,WNT3A,ABL1,CD19,TLR4,GAPT,BAX,CD79A,BTK,ABL1,BCAR1,BCL2,CTLA4,CD79B,SYK,GRB2,CD19,MEF2C,MNDA,PLCG2,PTPRC,NCKAP1L,SOS1,ITK,MAPK1,BMX,NFKBIA,PTPN6,MS4A1,TEC,CD38,NFAM1,NFKB1,BANK1,CD19,TNFAIP3,ABL1,ZAP70,SYK,RHOA,LRRC17,ASXL1,LIPA,HOXB4,PTPRC,BRAF,CDH26,CD81,CD83,BRAF,TOX,PRKCQ,CD28,FUT7,IL2RG,TOX,HLA-E,WDFY4,PSMB11,IRF1,TNFSF8,EOMES,TOX,BCL2,KLRC1,RAB27A,LIG4,PTPRC,RAG2,ABL1,CCR7,CRTAM,MYH9,IL15,FCER1G,LIMK1,VAV2,SRC,VAV1,SYK,ABL1,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,FCGR2B,FCGR2B,IRF8,SPI1,PLCG2,ITK,CXADR,JAML,CD3G,CD247,SYK,STAT5B,TCF7,PTPRC,CDH17,SPI1,IRF8,MEF2C,UNC13D,BCL6,ADAM17,NFKB2,BCL3,CRKL,CRK,CCL2,BCL3,ZP3,CD81,SPI1,PRKDC,IRF2BP2,KIT,SYVN1,WNT4,CLEC4G,YY1,IL4R,IL9R,CD19,PRKCD,MPL,FCGR2B,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB,TCF3,PRKDC,LIG4,CD6,DOCK8,MSN,CD81,PRF1,EPHB1,LIG4,MSH2,MLH1,ERCC1,CD40LG,UNG,RNF168,SANBR,MSH6,BCL6,STAT6,HSPD1,LAX1,AXL,TYRO3,MERTK,CCL3,CCL18,CCL4,CCL7,XCL1,CCL2,ADAM8,GPR15LG,CX3CL1,CCL4L1,CCL1,CCL3L1,SAA1,CCL8,CCL24,CCL5,CCL20,CCL23,IL2RG,STAT5B,PRKDC,RELB,TOX,SPI1,SPNS2,SOS1,BCL2,TNFRSF17,SKIL,PACS1,SOS2,GATA3,SPNS2,FUT4,CCR7,FUT7,CRTAM,ARTN,FUT7,IL2,IMPDH2,HPRT1,FLT3,TLR4,PURA,CDH17,BCL3,LFNG,NOTCH2,IL2RG,RAG2,GPR183,C17orf99,FCGR2B,ST3GAL1,TNFSF4,ITGAL,DOCK8,THEMIS,ZAP70,GLI3,CD28,CCR7,SPN,PTPRC,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,BCL6,LGALS1,CCR7,THEMIS,BRAF,SRF,ZAP70,ITPKB,PTPRC,CD3G,RAG1,RAG2,LRRC8A,GATA3,SPI1,CD28,ADAR,SHLD3,SHLD1,SHLD2,UNG,MLH1,MSH2,MSH6,PMS2,MSH2,MSH6,MLH1,UNG,PMS2,MSH3,MLH1,MSH2,HOXB4,NKX2-5,BCL3,LIPA,EPB42,ADAM17,CDKN2B,PBX1,NKX3-2,RC3H1,NFKB2,NKX2-3,CDH17,ABL1,CACNB4,BCL2,KMT2A,CD86,PRKCQ,WAS,CHRNA7,CD28,CORO1A,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,PPP3CB,FKBP1A,MFAP3,PIK3CG,DPP4,TNFAIP8L2,CD7,CD276,VAV1,PTPRC,CD44,ITK,RASGRP1,CD80,DCAF12,CD3G,CD8B,ADA,ZAP70,DDOST,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,APBB1IP,ITGAL,CXCL12,CCL3,DEFA4,GPR183,SLC12A2,PIK3CG,DEFA1,CD86,PTPN6,CAV1,SRC,PTPN11,DPP4,SPN,LGALS1,MAP3K8,KLRK1,CD160,CD24,AKT1,CD28,CD80,PIK3CA,EFNB1,EFNB2,VAV1,CSK,MTOR,CD40LG,KDELR1,DTX1,GATA3,ITPKB,KIT,CTNNB1,IL2,FOSL2,PTPRC,ZAP70,VAV1,PPP3CB,SOX4,PTPN2,LIPA,LMBR1L,LFNG,LEPR,BCL2,GPR89A,LEP,EGR1,PKNOX1,IL7R,PIK3R1,NRARP,SP3,RAG2,GPR89B,RAG2,NKAP,STAT5B,IL2RG,IL7R,CTNNB1,RAG1,GLI3,ZFP36L2,NCAPH2,ZFP36L1,BCL2,ADAM17,PRKDC,GATA3,WNT4,RPS6,LIG4,CDK6,BRAF,B2M,JMJD6,PSMB11,TESPA1,FCER1G,XG,CD99,PPP2CA,CHST3,BCL2,SPNS2,JAK3,STAT5B,ZC3H8,NCKAP1L,PPP2R1A,RC3H1,IL7R,CORO1A,RAG1,PPP3CB,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2,BAX,IL7,BCL2,RAG2,PRKDC,MYO1G,GZMM,CTSH,TAP2,PPP3CB,PRF1,EMP2,CTSC,HPRT1,IL7R,B2M,CD46,CLEC4G,JAG1,MYO1G,CR2,BTN3A2,CD70,GNL1,CR1,GPR15,MYO1G,CORO1A,FUT7,ZAP70,S1PR1,MSN,CCL20,ITGB7,PIK3CG,CD28,PSMB10,EFNB1,IL12B,CORO1A,PTPRC,FKBP1B,LIPA,PTPN6,KITLG,PPP3CB,LMBR1L,RASGRP1,IL20RB,MSN,CTPS1,TNFRSF4,IL2,IDO1,RC3H1,CD151,SCGB1A1,SPN,CCND3,PRDX2,LILRB1,SLC11A1,RPS6,GATA3,SKAP1,THEMIS2,THEMIS,CD3G,KHDRBS1,PTPRC,CACNB3,ZAP70,BTK,PDE4B,PDE4D,RC3H1,CD247,ITK,UBE2N,ABL1,NFKBID,BRAF,CRKL,PLCG2,DENND1B,MAPK1,TXK,VTCN1,PSEN1,FYB2,CTLA4,BTNL8,CD8B,BTN3A2,BCL10,CSK,CD28,BTNL10P,TEC,ZNF683,CD276,PLCG1,EIF2B2,FOSL2,PTPN6,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ,PIK3CA,LIG4,PRKDC,CD1D,GPR183,RC3H1,HMGB1,CEBPB,RELB,HMGB1,IL4R,SPN,STAT6,MTOR,TLR4,IL18BP,RELB,IL12B,BCL3,CCR2,RORC,RORA,IL6R,STAT3,IL6ST,JAK1,STAT3,NOTCH1,PHB1,TNFSF4,BCL6,IL4R,GATA3,MYB,MEN1,BCL3,KMT2A,PTGER4,ATP7A,IL12B,ZFPM1,ZAP70,ITPKB,GATA3,CCL20,CORO1A,ABL1,ASXL1,MAP2K1,HAND2,BCL2,MAP2K2,FOXI3,SOD1,PSEN1,CACNB4,TGFBR1,CRKL,MAPK3,EPHB3,SRF,LMO4,GATA3,PBX1,CCNB2,MAPK1,CTNNB1,RAG1,PRDX2,BRAF,TYR,LILRB4,PSG9,TNFAIP3,ACOD1,ABL1,BCL6,FCER1A,IL10,IL33,FCER1A,HMGB1,RAG2,RAG1,LIG4,HMGB2,PRKDC",ImmuneGO,860
IMMUNE SYSTEM,"NCKAP1L,THEMIS,HLA-DPB1,JUN,NFKBIA,PTPN6,TLR5,HLA-DRA,CD4,PRKCQ,PLCG1,CD247,TRBC1,FCGR1B,CCR7,TLR6,TLR10,FYB,TLR2,FCER1G,TRAT1,LILRB2,LILRB1,CLEC7A,BTLA,FYN,FGR,CD86,GRAP2,HLA-DQB1,ZAP70,PAG1,MNDA,IRAK3,LCK,DUSP6,PTPN22,PAK1,CTSH,CTLA4,LCP2,TLR4,CSK,FOS,LAT2,CARD11,HLA-DRB1,CHUK,CD24,UBASH3A,MAP2K6,TLR7,LY96,HCK,VASP,LYN,LIME1,MAPK14,MYD88,INPP5D,ITK,TRAC,SLA2,KLRK1,HLA-DMB,RPS6KA1,HLA-DQA1,MEF2C,SYK,MEF2A,TLR1,PTPRC,HLA-DOA,HLA-DOB,HLA-DMA,HLA-DPA1,CD19,CD3D,CD3E,BTK,CD3G,CD1D,CD1E,CD1B,CD1C,CD1A,CD36,HLA-DRB4,CD8A,CD74,CYP1B1,PLAUR,PTGS2,HMOX1,ASPH,RTN1,FAR2,ITPR3,AGPAT9,SLC27A2,CD53,IL10RA,ITGA4,HLA-DRB1 /// HLA-DRB4,HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4,HCLS1,ITGB2,GIMAP6,EVI2B,PLEK,SLA,SELL,IRF8,FGL2,ITGAL,ITGAM,AIF1,ICAM1,LAPTM5,HLA-C,HLA-B,HLA-A,HLA-G,HLA-F,HLA-E,TLR8,LOC100294224,WDFY4,LOC100294318,LOC100294317,METTL7A,HLA-DQA2",BTM,133
ANTIMICROBIAL,"FAM3A,TAC1,DEFA4,CAMP,CXCL14,CXCL12,CAMP,DEFA1,FAU,CCL20,DEFB130A,TOR2A,CXCL1,DEFA3,DEFB131A,REG1B,H2BC10,ROMO1,TAC1,NTS,CXCL2,HAMP,S100A12,DEFA4,CXCL8,CXCL9,REG3A,GNLY,RNASE3,RPS19,BPI,REG3G,RPL30,DEFB1,LGALS3,PF4V1,H2BC12L,SPAG11A,CCL1,HTN1,DEFB103A,DEFA5,DEFA6,B2M,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,RPL39,HTN3,S100A7,DCD,F2,FAM3A,ADM,CCL18,PRTN3,BCL3,DEFA4,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1",ImmuneGO,68
ANTIVIRAL & IFN,"RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12,IFIT1,DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,STAT1,CLDN1,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,TLR4,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,HLA-DPA1,PDE12,ACOD1,ADAMTS13,AIF1,IFNE,STAT2,HDAC4,STAT1,IFITM1,JAK1,OAS2,TYK2,IFNAR1,IFNAR2,IFI27,TRIM65,TBKBP1,IFITM3,SP100,C9JQL5,IFITM2,IFNA8,MAVS,STAT1,IRF1,JAK1,IFNGR1,TYK2,HCK,IFNGR2,SP100,IFNGR1,IFNLR1,IL10RB,IFNL1,TYK2,IFNL4,IFNGR2,IFNL3,JAK1,IFNL2",ImmuneGO,114
ARPP,"NCKAP1L,THEMIS,HLA-DPB1,JUN,NFKBIA,PTPN6,TLR5,HLA-DRA,CD4,PRKCQ,PLCG1,CD247,TRBC1,FCGR1B,CCR7,TLR6,TLR10,FYB,TLR2,FCER1G,TRAT1,LILRB2,LILRB1,CLEC7A,BTLA,FYN,FGR,CD86,GRAP2,HLA-DQB1,ZAP70,PAG1,MNDA,IRAK3,LCK,DUSP6,PTPN22,PAK1,CTSH,CTLA4,LCP2,TLR4,CSK,FOS,LAT2,CARD11,HLA-DRB1,CHUK,CD24,UBASH3A,MAP2K6,TLR7,LY96,HCK,VASP,LYN,LIME1,MAPK14,MYD88,INPP5D,ITK,TRAC,SLA2,KLRK1,HLA-DMB,RPS6KA1,HLA-DQA1,MEF2C,SYK,MEF2A,TLR1,PTPRC,HLA-DOA,HLA-DOB,HLA-DMA,HLA-DPA1,CD19,CD3D,CD3E,BTK,CD3G,CD1D,CD1E,CD1B,CD1C,CD1A,CD36,HLA-DRB4,CD8A,CD74,CYP1B1,PLAUR,PTGS2,HMOX1,ASPH,RTN1,FAR2,ITPR3,AGPAT9,SLC27A2,CD53,IL10RA,ITGA4,HLA-DRB1 /// HLA-DRB4,HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4,HCLS1,ITGB2,GIMAP6,EVI2B,PLEK,SLA,SELL,IRF8,FGL2,ITGAL,ITGAM,AIF1,ICAM1,LAPTM5,HLA-C,HLA-B,HLA-A,HLA-G,HLA-F,HLA-E,TLR8,LOC100294224,WDFY4,LOC100294318,LOC100294317,METTL7A,HLA-DQA2",BTM,133
ARPP,"MBL2,LBP,CD14,MAVS,RIGI,CGAS,STING1,CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5,GPR183,F2R,ALOX5,CDC42,EPS8,DOCK8,NLRP12,TGFBR2,ITGB8,ITGB6,IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2,TICAM1,IFI35,IL33,PRKCE,SYK,LBP,PLCG2,SFTPD,CCL2,LGALS3,AZU1,EDNRB,EDN2,RPL13A,CXCL17,CCL5,SAA1,CCL3,MMP2,LIPA,CSF1,ROR2,MCOLN2,BCR,CCR2,B4GALT1,AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12,CCR2,JAML,SIRPA,PECAM1,MPL,CSF1,TLR4,REG3G,HSPD1,TIRAP,BTK,TICAM1,HMGB1,HLA-DRB3,CCR7,ARHGEF5,SPI1,BATF2,TGFBR2,NOTCH2,LTBR,PSEN1,RELB,RBPJ,NFKBIA,TLR4,XIAP,TLR4,LACC1,IRGM,XIAP,NFKBIA,RELA,MAP2K6,TNFAIP3,CASP1,LACC1,CGAS,STING1,LAG3,ZBTB46,IRF8,HCK,RNF135,PHB1,RIGI,LSM14A,SYK,PLCG2,KLRC1,EP300,CLEC6A,KLRC2,KLRC3,SRC,KLRK1,TIRAP,PIK3AP1,TNIP2,TNIP2,SCIMP,TICAM1,TLR4,CD14,NAGLU,PIK3AP1,NFKBIA,SCIMP,TIRAP,RELA,PIK3AP1,SCIMP,TNIP2,PIK3AP1,AP3B1,TLR4,FOSL1,RPS6KA3,MAPKAPK2,PLCG2,BCL10,TICAM1,CTSS,SCIMP,PRKCE,TICAM2,RAB11FIP2,TICAM2,TICAM1,TLR4,CD40",ImmuneGO,182
B CELL,"TNFSF13,LIF,HHEX,CEBPE,CBFA2T3,LTA,SPI1,TLR4,CCR7,LYN,TNF,STAP1,BLK,CD72,TSPAN13,BCL11A,C13orf18,KIAA0125,CD200,CD79B,VPREB3,CD79A,P2RX5,BTLA,AFF3,PPAPDC1B,IGHM,LOC90925,FCRLA,SPIB,FAM129C,ABCB4,LOC100130458,FCRL1,BANK1,MS4A1,FCRL5,TCF4,KLHL14,CXCR5,PCDH9,RALGPS2,CD22,TCL1A,CD24,IGH@,IGKV3-20,IGHD,MACROD2,EBF1,PNOC,ADAM28,LOC283663,CR2,PAX5,E2F5,PLEKHG1,FCER2,PKIG,FCRL2,IGLJ3,HLA-DOB,PTPRK,CD19,IGHA1,LOC642838,LOC642424,IGK@,TPD52,CDK14,BLNK,SP140,FCGR2B,CELSR1,DENND5B,PAWR,CD180,LOC100130100,POU2AF1,FAM30A,KLF8,LOC652493,IGKC,MEF2C,LOC284749,FCRL3,TBC1D9,ALOX5,CD69,FAIM3,IGLV1-44,IGL@,HLA-DOA,HLA-DQA1,BTK,CPNE5,CIITA,TLR10,IGHG1,GPR18,LY9,CD37,INPP5D,SYK,PIK3CD,VAV1,PLCG2,PIK3R5,PIK3R3,RAC2,PTPN6,JAM3,NEDD4,GAB2,BCL2,DUSP6,NR3C2,NRXN3,LY86,ICOSLG,HBEGF,LOC144481,NR4A1,GAB1,DLL1,LOC100288911,NR4A3,FAM150B,BCL11B,VPREB1,SSPN,AVPR1A,KCNE4,HEPACAM2,GYPA,SEMA4B,EGF,GPR37,C11orf87,USH2A,PPP1R3A,OR12D3,POPDC3,DCC,SLC12A1,GP5,CDH5,SLITRK6,HLA-DPB1,PCDHA3,TRHDE,GHR,TAS2R13,FLRT2,TPTE,TMEM100,GYPE,PLD4,ADAM7,KCNMB3,GPR6,CSPG4,SYT2,ROBO2,FREM2,TRPC1,GPR116,TMEM47,SCN3A,NPY1R,LPPR4,NOX4,PDZK1IP1,CCR9,GABBR1,EDNRB,GJC1,LHCGR,PCDHB8,NT5E,PDPN,PCDHB4,CLDN8,LRRTM4,HRH4,NMBR,NCAM2,GRM5,TM4SF20,IL5RA,JAM2,IL28RA,MC3R,F2RL3,ASTN1,MOGAT2,SLC26A7,SLC24A1,TACR3,IL13RA2,IMPG2,LRRC19,TMEFF2,ITM2C,PCDH10,BTC,GPR98,AGTR1,TMEM133,UGT2A3,OR11A1,CSMD1,TRPC7,CCR6,GABRA5,PLP1,CLCA4,CNR1,EPHA3,SLC30A10,SGCE,CHRNB4,PCDHB10,PCDHB16,PCDHB15,PCDHB14,CADM2,GPR85,SLC6A15,GPR87,NLGN1,SLC13A1,OR1E1,GABRB1,CXADR,TAAR2,HHLA2,SLC17A6,CNTNAP3,SLC6A16,HLA-DPA1,ABCA8,CD52,OR2J2,CHL1,TMEM156,SLC5A7,OR2W1,LPHN3,LPHN2,HLA-DRA,LRP1B,PCDH20,KCND2,SLC44A5,ITGB6,NLGN4Y,CHRM2,PTH2R,HEPH,BAI3,PTPRR,SELE,FAM26F,SCN1A,HTR1E,HLA-DMA,LGR4,TRHR,GHSR,P2RY14,SLC38A11,C4orf34,CXCR4,TMEM56,KCNJ16,SLC26A3,MUC15,OR1G1,TAS2R7,HVCN1,GABRE,CLDN17,SORCS3,TNFRSF17,LINGO1,NKAIN4,TAS2R10,GRAMD1C,TNFRSF13B,ADAM2,GLP2R",BTM,292
