"","condition","genes"
"1","RVSV ZEBOV (D7)","CCL2"
"2","RVSV ZEBOV (D7)","IFIT1"
"3","RVSV ZEBOV (D7)","NFKB1"
"4","RVSV ZEBOV (D7)","NFKB2"
"5","LVS F TULARENSIS (H18)","B2M"
"6","LVS F TULARENSIS (H18)","CCL18"
"7","LVS F TULARENSIS (H18)","CCL20"
"8","LVS F TULARENSIS (H18)","CCR7"
"9","LVS F TULARENSIS (H18)","CD83"
"10","LVS F TULARENSIS (H18)","FCGR3A"
"11","LVS F TULARENSIS (H18)","IRAK1BP1"
"12","LVS F TULARENSIS (H18)","TAP2"
"13","LVS F TULARENSIS (H18)","TICAM1"
"14","LVS F TULARENSIS (H18)","CCR1"
"15","LVS F TULARENSIS (H18)","CCR2"
"16","LVS F TULARENSIS (H18)","CD1B"
"17","LVS F TULARENSIS (H18)","CD1C"
"18","LVS F TULARENSIS (H18)","CD1D"
"19","LVS F TULARENSIS (H18)","CD44"
"20","LVS F TULARENSIS (H18)","CD58"
"21","LVS F TULARENSIS (H18)","CD68"
"22","LVS F TULARENSIS (H18)","CD80"
"23","LVS F TULARENSIS (H18)","CD81"
"24","LVS F TULARENSIS (H18)","CD86"
"25","LVS F TULARENSIS (H18)","CDC42"
"26","LVS F TULARENSIS (H18)","FAS"
"27","LVS F TULARENSIS (H18)","FCER1A"
"28","LVS F TULARENSIS (H18)","FCER1G"
"29","LVS F TULARENSIS (H18)","FCGR1A"
"30","LVS F TULARENSIS (H18)","FCGR2A"
"31","LVS F TULARENSIS (H18)","FCGR2B"
"32","LVS F TULARENSIS (H18)","LILRB4"
"33","LVS F TULARENSIS (H18)","TAP1"
"34","LVS F TULARENSIS (H18)","TIRAP"
"35","LVS F TULARENSIS (H18)","TLR4"
"36","LVS F TULARENSIS (H192)","B2M"
"37","LVS F TULARENSIS (H192)","CCL18"
"38","LVS F TULARENSIS (H192)","CCL20"
"39","LVS F TULARENSIS (H192)","CCR1"
"40","LVS F TULARENSIS (H192)","CCR7"
"41","LVS F TULARENSIS (H192)","CD44"
"42","LVS F TULARENSIS (H192)","CD58"
"43","LVS F TULARENSIS (H192)","CD68"
"44","LVS F TULARENSIS (H192)","CD80"
"45","LVS F TULARENSIS (H192)","CD83"
"46","LVS F TULARENSIS (H192)","CDC42"
"47","LVS F TULARENSIS (H192)","FAS"
"48","LVS F TULARENSIS (H192)","FCER1A"
"49","LVS F TULARENSIS (H192)","FCER1G"
"50","LVS F TULARENSIS (H192)","FCGR2A"
"51","LVS F TULARENSIS (H192)","FCGR2B"
"52","LVS F TULARENSIS (H192)","FCGR3A"
"53","LVS F TULARENSIS (H192)","TAP2"
"54","LVS F TULARENSIS (H192)","TICAM1"
"55","LVS F TULARENSIS (H192)","CCR2"
"56","LVS F TULARENSIS (H192)","CD1B"
"57","LVS F TULARENSIS (H192)","CD1C"
"58","LVS F TULARENSIS (H192)","CD1D"
"59","LVS F TULARENSIS (H192)","CD81"
"60","LVS F TULARENSIS (H192)","CD86"
"61","LVS F TULARENSIS (H192)","FCGR1A"
"62","LVS F TULARENSIS (H192)","IRAK1BP1"
"63","LVS F TULARENSIS (H192)","LILRB4"
"64","LVS F TULARENSIS (H192)","TAP1"
"65","LVS F TULARENSIS (H192)","TIRAP"
"66","LVS F TULARENSIS (H192)","TLR4"
"67","LVS F TULARENSIS (H336)","B2M"
"68","LVS F TULARENSIS (H336)","CCL18"
"69","LVS F TULARENSIS (H336)","CCL20"
"70","LVS F TULARENSIS (H336)","CCR7"
"71","LVS F TULARENSIS (H336)","CD1B"
"72","LVS F TULARENSIS (H336)","CD44"
"73","LVS F TULARENSIS (H336)","CD58"
"74","LVS F TULARENSIS (H336)","CD68"
"75","LVS F TULARENSIS (H336)","CD80"
"76","LVS F TULARENSIS (H336)","CD81"
"77","LVS F TULARENSIS (H336)","CD83"
"78","LVS F TULARENSIS (H336)","FCGR2B"
"79","LVS F TULARENSIS (H336)","IRAK1BP1"
"80","LVS F TULARENSIS (H336)","TAP2"
"81","LVS F TULARENSIS (H336)","TICAM1"
"82","LVS F TULARENSIS (H336)","CCR1"
"83","LVS F TULARENSIS (H336)","CCR2"
"84","LVS F TULARENSIS (H336)","CD1C"
"85","LVS F TULARENSIS (H336)","CD1D"
"86","LVS F TULARENSIS (H336)","CD86"
"87","LVS F TULARENSIS (H336)","CDC42"
"88","LVS F TULARENSIS (H336)","FAS"
"89","LVS F TULARENSIS (H336)","FCER1A"
"90","LVS F TULARENSIS (H336)","FCER1G"
"91","LVS F TULARENSIS (H336)","FCGR1A"
"92","LVS F TULARENSIS (H336)","FCGR2A"
"93","LVS F TULARENSIS (H336)","FCGR3A"
"94","LVS F TULARENSIS (H336)","LILRB4"
"95","LVS F TULARENSIS (H336)","TAP1"
"96","LVS F TULARENSIS (H336)","TIRAP"
"97","LVS F TULARENSIS (H336)","TLR4"
"98","LVS F TULARENSIS (H48)","CCL18"
"99","LVS F TULARENSIS (H48)","CCR7"
"100","LVS F TULARENSIS (H48)","CD83"
"101","LVS F TULARENSIS (H48)","FCGR1A"
"102","LVS F TULARENSIS (H48)","IRAK1BP1"
"103","LVS F TULARENSIS (H48)","TAP2"
"104","LVS F TULARENSIS (H48)","B2M"
"105","LVS F TULARENSIS (H48)","CCL20"
"106","LVS F TULARENSIS (H48)","CCR1"
"107","LVS F TULARENSIS (H48)","CCR2"
"108","LVS F TULARENSIS (H48)","CD1B"
"109","LVS F TULARENSIS (H48)","CD1C"
"110","LVS F TULARENSIS (H48)","CD1D"
"111","LVS F TULARENSIS (H48)","CD44"
"112","LVS F TULARENSIS (H48)","CD58"
"113","LVS F TULARENSIS (H48)","CD68"
"114","LVS F TULARENSIS (H48)","CD80"
"115","LVS F TULARENSIS (H48)","CD81"
"116","LVS F TULARENSIS (H48)","CD86"
"117","LVS F TULARENSIS (H48)","CDC42"
"118","LVS F TULARENSIS (H48)","FAS"
"119","LVS F TULARENSIS (H48)","FCER1A"
"120","LVS F TULARENSIS (H48)","FCER1G"
"121","LVS F TULARENSIS (H48)","FCGR2A"
"122","LVS F TULARENSIS (H48)","FCGR2B"
"123","LVS F TULARENSIS (H48)","FCGR3A"
"124","LVS F TULARENSIS (H48)","LILRB4"
"125","LVS F TULARENSIS (H48)","TAP1"
"126","LVS F TULARENSIS (H48)","TICAM1"
"127","LVS F TULARENSIS (H48)","TIRAP"
"128","LVS F TULARENSIS (H48)","TLR4"
"129","CN54GP140 (D1)","ARTN"
"130","CN54GP140 (D1)","CBL"
"131","CN54GP140 (D1)","DPP8"
"132","CN54GP140 (D1)","MSN"
"133","CN54GP140 (D1)","MYH9"
"134","CN54GP140 (D1)","RAB5B"
"135","CN54GP140 (D1)","WAS"
"136","CN54GP140 (D3)","ACTG1"
"137","CN54GP140 (D3)","CORO1A"
"138","CN54GP140 (D3)","WAS"
"139","CN54GP140 (D3)","ARTN"
"140","CN54GP140 (D7)","CDK6"
"141","CN54GP140 (D7)","RPS6KA3"
"142","CN54GP140 (H6)","FCGR3A"
"143","CN54GP140 (H6)","LYL1"
"144","CN54GP140 (H6)","CCR2"
"145","CN54GP140 (H6)","CD1C"
"146","HIV-1 GAG-POL NEF (D1)","BANK1"
"147","HIV-1 GAG-POL NEF (D1)","BCL2"
"148","HIV-1 GAG-POL NEF (D1)","BMI1"
"149","HIV-1 GAG-POL NEF (D1)","BTLA"
"150","HIV-1 GAG-POL NEF (D1)","CAMLG"
"151","HIV-1 GAG-POL NEF (D1)","CASP6"
"152","HIV-1 GAG-POL NEF (D1)","CCL5"
"153","HIV-1 GAG-POL NEF (D1)","CCR7"
"154","HIV-1 GAG-POL NEF (D1)","CD160"
"155","HIV-1 GAG-POL NEF (D1)","CD1C"
"156","HIV-1 GAG-POL NEF (D1)","CD22"
"157","HIV-1 GAG-POL NEF (D1)","CD247"
"158","HIV-1 GAG-POL NEF (D1)","CD27"
"159","HIV-1 GAG-POL NEF (D1)","CD28"
"160","HIV-1 GAG-POL NEF (D1)","CD3G"
"161","HIV-1 GAG-POL NEF (D1)","CD40LG"
"162","HIV-1 GAG-POL NEF (D1)","CD44"
"163","HIV-1 GAG-POL NEF (D1)","CD6"
"164","HIV-1 GAG-POL NEF (D1)","CD7"
"165","HIV-1 GAG-POL NEF (D1)","CD79A"
"166","HIV-1 GAG-POL NEF (D1)","CD79B"
"167","HIV-1 GAG-POL NEF (D1)","CD8B"
"168","HIV-1 GAG-POL NEF (D1)","CD96"
"169","HIV-1 GAG-POL NEF (D1)","CDK6"
"170","HIV-1 GAG-POL NEF (D1)","CNR2"
"171","HIV-1 GAG-POL NEF (D1)","CRTAM"
"172","HIV-1 GAG-POL NEF (D1)","CRTC3"
"173","HIV-1 GAG-POL NEF (D1)","CTSW"
"174","HIV-1 GAG-POL NEF (D1)","CXCR4"
"175","HIV-1 GAG-POL NEF (D1)","CXCR5"
"176","HIV-1 GAG-POL NEF (D1)","DPP4"
"177","HIV-1 GAG-POL NEF (D1)","EOMES"
"178","HIV-1 GAG-POL NEF (D1)","ETS1"
"179","HIV-1 GAG-POL NEF (D1)","FCER1A"
"180","HIV-1 GAG-POL NEF (D1)","GNLY"
"181","HIV-1 GAG-POL NEF (D1)","GZMA"
"182","HIV-1 GAG-POL NEF (D1)","H2BC10"
"183","HIV-1 GAG-POL NEF (D1)","HMGB1"
"184","HIV-1 GAG-POL NEF (D1)","IGF1R"
"185","HIV-1 GAG-POL NEF (D1)","IL18RAP"
"186","HIV-1 GAG-POL NEF (D1)","IL2RB"
"187","HIV-1 GAG-POL NEF (D1)","IL32"
"188","HIV-1 GAG-POL NEF (D1)","IL7R"
"189","HIV-1 GAG-POL NEF (D1)","IMPDH2"
"190","HIV-1 GAG-POL NEF (D1)","ITGA6"
"191","HIV-1 GAG-POL NEF (D1)","ITK"
"192","HIV-1 GAG-POL NEF (D1)","ITPKB"
"193","HIV-1 GAG-POL NEF (D1)","KLRC2"
"194","HIV-1 GAG-POL NEF (D1)","KLRK1"
"195","HIV-1 GAG-POL NEF (D1)","KMT2A"
"196","HIV-1 GAG-POL NEF (D1)","LAX1"
"197","HIV-1 GAG-POL NEF (D1)","SLC12A2"
"198","HIV-1 GAG-POL NEF (D1)","LTB"
"199","HIV-1 GAG-POL NEF (D1)","MS4A1"
"200","HIV-1 GAG-POL NEF (D1)","MSH2"
"201","HIV-1 GAG-POL NEF (D1)","NLRC3"
"202","HIV-1 GAG-POL NEF (D1)","PACS1"
"203","HIV-1 GAG-POL NEF (D1)","PAX5"
"204","HIV-1 GAG-POL NEF (D1)","PLCG1"
"205","HIV-1 GAG-POL NEF (D1)","PPIA"
"206","HIV-1 GAG-POL NEF (D1)","PRDX2"
"207","HIV-1 GAG-POL NEF (D1)","PRKCQ"
"208","HIV-1 GAG-POL NEF (D1)","PRKDC"
"209","HIV-1 GAG-POL NEF (D1)","PYHIN1"
"210","HIV-1 GAG-POL NEF (D1)","RASGRP1"
"211","HIV-1 GAG-POL NEF (D1)","RORA"
"212","HIV-1 GAG-POL NEF (D1)","RPL22"
"213","HIV-1 GAG-POL NEF (D1)","RPL30"
"214","HIV-1 GAG-POL NEF (D1)","RPS19"
"215","HIV-1 GAG-POL NEF (D1)","RPS6"
"216","HIV-1 GAG-POL NEF (D1)","RPS6KA3"
"217","HIV-1 GAG-POL NEF (D1)","S1PR1"
"218","HIV-1 GAG-POL NEF (D1)","SERINC5"
"219","HIV-1 GAG-POL NEF (D1)","SKAP1"
"220","HIV-1 GAG-POL NEF (D1)","SOD1"
"221","HIV-1 GAG-POL NEF (D1)","SRPK2"
"222","HIV-1 GAG-POL NEF (D1)","ST3GAL1"
"223","HIV-1 GAG-POL NEF (D1)","ST6GAL1"
"224","HIV-1 GAG-POL NEF (D1)","TCF7"
"225","HIV-1 GAG-POL NEF (D1)","TESPA1"
"226","HIV-1 GAG-POL NEF (D1)","TGFBR3"
"227","HIV-1 GAG-POL NEF (D1)","THEMIS"
"228","HIV-1 GAG-POL NEF (D1)","TOP2B"
"229","HIV-1 GAG-POL NEF (D1)","TOX"
"230","HIV-1 GAG-POL NEF (D1)","TXK"
"231","HIV-1 GAG-POL NEF (D1)","VNN1"
"232","HIV-1 GAG-POL NEF (D1)","ZAP70"
"233","HIV-1 GAG-POL NEF (D1)","ZFP36L2"
"234","HIV-1 GAG-POL NEF (D1)","ADAM17"
"235","HIV-1 GAG-POL NEF (D1)","ADAR"
"236","HIV-1 GAG-POL NEF (D1)","ADGRE5"
"237","HIV-1 GAG-POL NEF (D1)","ADM"
"238","HIV-1 GAG-POL NEF (D1)","ALOX5"
"239","HIV-1 GAG-POL NEF (D1)","AXL"
"240","HIV-1 GAG-POL NEF (D1)","BATF2"
"241","HIV-1 GAG-POL NEF (D1)","BCL6"
"242","HIV-1 GAG-POL NEF (D1)","BST1"
"243","HIV-1 GAG-POL NEF (D1)","BST2"
"244","HIV-1 GAG-POL NEF (D1)","BTK"
"245","HIV-1 GAG-POL NEF (D1)","C5AR1"
"246","HIV-1 GAG-POL NEF (D1)","CASP1"
"247","HIV-1 GAG-POL NEF (D1)","CASP3"
"248","HIV-1 GAG-POL NEF (D1)","CASP4"
"249","HIV-1 GAG-POL NEF (D1)","CCL2"
"250","HIV-1 GAG-POL NEF (D1)","CCL3"
"251","HIV-1 GAG-POL NEF (D1)","CCL8"
"252","HIV-1 GAG-POL NEF (D1)","CCR1"
"253","HIV-1 GAG-POL NEF (D1)","CCR2"
"254","HIV-1 GAG-POL NEF (D1)","CD14"
"255","HIV-1 GAG-POL NEF (D1)","CD151"
"256","HIV-1 GAG-POL NEF (D1)","CD300C"
"257","HIV-1 GAG-POL NEF (D1)","CD300LB"
"258","HIV-1 GAG-POL NEF (D1)","CD38"
"259","HIV-1 GAG-POL NEF (D1)","CD40"
"260","HIV-1 GAG-POL NEF (D1)","CD68"
"261","HIV-1 GAG-POL NEF (D1)","CD86"
"262","HIV-1 GAG-POL NEF (D1)","CEBPB"
"263","HIV-1 GAG-POL NEF (D1)","CFB"
"264","HIV-1 GAG-POL NEF (D1)","CFD"
"265","HIV-1 GAG-POL NEF (D1)","CFP"
"266","HIV-1 GAG-POL NEF (D1)","CGAS"
"267","HIV-1 GAG-POL NEF (D1)","CLEC6A"
"268","HIV-1 GAG-POL NEF (D1)","CSF2RB"
"269","HIV-1 GAG-POL NEF (D1)","CYBA"
"270","HIV-1 GAG-POL NEF (D1)","RIGI"
"271","HIV-1 GAG-POL NEF (D1)","DDX60"
"272","HIV-1 GAG-POL NEF (D1)","EIF2AK2"
"273","HIV-1 GAG-POL NEF (D1)","EPHB2"
"274","HIV-1 GAG-POL NEF (D1)","FAS"
"275","HIV-1 GAG-POL NEF (D1)","FCAR"
"276","HIV-1 GAG-POL NEF (D1)","FCER1G"
"277","HIV-1 GAG-POL NEF (D1)","FCGR2A"
"278","HIV-1 GAG-POL NEF (D1)","FGR"
"279","HIV-1 GAG-POL NEF (D1)","FPR1"
"280","HIV-1 GAG-POL NEF (D1)","FPR2"
"281","HIV-1 GAG-POL NEF (D1)","FPR3"
"282","HIV-1 GAG-POL NEF (D1)","GBP1"
"283","HIV-1 GAG-POL NEF (D1)","GBP2"
"284","HIV-1 GAG-POL NEF (D1)","GCH1"
"285","HIV-1 GAG-POL NEF (D1)","GCNT1"
"286","HIV-1 GAG-POL NEF (D1)","GRN"
"287","HIV-1 GAG-POL NEF (D1)","GSDMD"
"288","HIV-1 GAG-POL NEF (D1)","GTPBP1"
"289","HIV-1 GAG-POL NEF (D1)","HCK"
"290","HIV-1 GAG-POL NEF (D1)","HHEX"
"291","HIV-1 GAG-POL NEF (D1)","HP"
"292","HIV-1 GAG-POL NEF (D1)","HRH2"
"293","HIV-1 GAG-POL NEF (D1)","IDO1"
"294","HIV-1 GAG-POL NEF (D1)","IFI27"
"295","HIV-1 GAG-POL NEF (D1)","IFI30"
"296","HIV-1 GAG-POL NEF (D1)","IFI35"
"297","HIV-1 GAG-POL NEF (D1)","IFI6"
"298","HIV-1 GAG-POL NEF (D1)","IFIT1"
"299","HIV-1 GAG-POL NEF (D1)","IFIT2"
"300","HIV-1 GAG-POL NEF (D1)","IFITM1"
"301","HIV-1 GAG-POL NEF (D1)","IFITM2"
"302","HIV-1 GAG-POL NEF (D1)","IFITM3"
"303","HIV-1 GAG-POL NEF (D1)","IFNGR2"
"304","HIV-1 GAG-POL NEF (D1)","IGSF6"
"305","HIV-1 GAG-POL NEF (D1)","IL10"
"306","HIV-1 GAG-POL NEF (D1)","IL12RB1"
"307","HIV-1 GAG-POL NEF (D1)","IL15"
"308","HIV-1 GAG-POL NEF (D1)","IL1RN"
"309","HIV-1 GAG-POL NEF (D1)","IL27"
"310","HIV-1 GAG-POL NEF (D1)","IRF1"
"311","HIV-1 GAG-POL NEF (D1)","IRF2"
"312","HIV-1 GAG-POL NEF (D1)","IRF9"
"313","HIV-1 GAG-POL NEF (D1)","LAIR1"
"314","HIV-1 GAG-POL NEF (D1)","LGALS9"
"315","HIV-1 GAG-POL NEF (D1)","LILRA2"
"316","HIV-1 GAG-POL NEF (D1)","LILRA3"
"317","HIV-1 GAG-POL NEF (D1)","LILRA5"
"318","HIV-1 GAG-POL NEF (D1)","LILRA6"
"319","HIV-1 GAG-POL NEF (D1)","LILRB1"
"320","HIV-1 GAG-POL NEF (D1)","LILRB2"
"321","HIV-1 GAG-POL NEF (D1)","LILRB4"
"322","HIV-1 GAG-POL NEF (D1)","LIMK1"
"323","HIV-1 GAG-POL NEF (D1)","LTBR"
"324","HIV-1 GAG-POL NEF (D1)","MERTK"
"325","HIV-1 GAG-POL NEF (D1)","MILR1"
"326","HIV-1 GAG-POL NEF (D1)","MNDA"
"327","HIV-1 GAG-POL NEF (D1)","MX1"
"328","HIV-1 GAG-POL NEF (D1)","MX2"
"329","HIV-1 GAG-POL NEF (D1)","NCF2"
"330","HIV-1 GAG-POL NEF (D1)","NFAM1"
"331","HIV-1 GAG-POL NEF (D1)","NOTCH2"
"332","HIV-1 GAG-POL NEF (D1)","NRROS"
"333","HIV-1 GAG-POL NEF (D1)","OAS2"
"334","HIV-1 GAG-POL NEF (D1)","PARP9"
"335","HIV-1 GAG-POL NEF (D1)","PIK3AP1"
"336","HIV-1 GAG-POL NEF (D1)","PML"
"337","HIV-1 GAG-POL NEF (D1)","PRKCD"
"338","HIV-1 GAG-POL NEF (D1)","PRKCE"
"339","HIV-1 GAG-POL NEF (D1)","PSMB10"
"340","HIV-1 GAG-POL NEF (D1)","PSMB8"
"341","HIV-1 GAG-POL NEF (D1)","PSMB9"
"342","HIV-1 GAG-POL NEF (D1)","PSME1"
"343","HIV-1 GAG-POL NEF (D1)","RAB10"
"344","HIV-1 GAG-POL NEF (D1)","RNASE2"
"345","HIV-1 GAG-POL NEF (D1)","RNF135"
"346","HIV-1 GAG-POL NEF (D1)","RNF19B"
"347","HIV-1 GAG-POL NEF (D1)","RNF213"
"348","HIV-1 GAG-POL NEF (D1)","SCIMP"
"349","HIV-1 GAG-POL NEF (D1)","SERPINB9"
"350","HIV-1 GAG-POL NEF (D1)","SIRPA"
"351","HIV-1 GAG-POL NEF (D1)","SLC11A1"
"352","HIV-1 GAG-POL NEF (D1)","SLC15A3"
"353","HIV-1 GAG-POL NEF (D1)","SLC15A4"
"354","HIV-1 GAG-POL NEF (D1)","SLFN11"
"355","HIV-1 GAG-POL NEF (D1)","SNCA"
"356","HIV-1 GAG-POL NEF (D1)","SP100"
"357","HIV-1 GAG-POL NEF (D1)","SPI1"
"358","HIV-1 GAG-POL NEF (D1)","SRC"
"359","HIV-1 GAG-POL NEF (D1)","STAT1"
"360","HIV-1 GAG-POL NEF (D1)","STAT2"
"361","HIV-1 GAG-POL NEF (D1)","STAT3"
"362","HIV-1 GAG-POL NEF (D1)","STING1"
"363","HIV-1 GAG-POL NEF (D1)","TAP1"
"364","HIV-1 GAG-POL NEF (D1)","TAP2"
"365","HIV-1 GAG-POL NEF (D1)","TFE3"
"366","HIV-1 GAG-POL NEF (D1)","THEMIS2"
"367","HIV-1 GAG-POL NEF (D1)","TLR4"
"368","HIV-1 GAG-POL NEF (D1)","TMEM229B"
"369","HIV-1 GAG-POL NEF (D1)","TNFAIP8L2"
"370","HIV-1 GAG-POL NEF (D1)","TNFRSF1B"
"371","HIV-1 GAG-POL NEF (D1)","TNFSF10"
"372","HIV-1 GAG-POL NEF (D1)","TRIM21"
"373","HIV-1 GAG-POL NEF (D1)","TRIM22"
"374","HIV-1 GAG-POL NEF (D1)","TRIM26"
"375","HIV-1 GAG-POL NEF (D1)","UBA7"
"376","HIV-1 GAG-POL NEF (D1)","WAS"
"377","HIV-1 GAG-POL NEF (D3)","CNR2"
"378","HIV-1 GAG-POL NEF (D3)","CXCR5"
"379","HIV-1 GAG-POL NEF (D3)","IL1R2"
"380","HIV-1 GAG-POL NEF (D3)","CCR1"
"381","HIV-1 GAG-POL NEF (D3)","CX3CR1"
"382","HIV-1 GAG-POL NEF (D3)","RIGI"
"383","HIV-1 GAG-POL NEF (D3)","DDX60"
"384","HIV-1 GAG-POL NEF (D3)","EIF2AK2"
"385","HIV-1 GAG-POL NEF (D3)","FCGR3A"
"386","HIV-1 GAG-POL NEF (D3)","FPR2"
"387","HIV-1 GAG-POL NEF (D3)","FPR3"
"388","HIV-1 GAG-POL NEF (D3)","GBP1"
"389","HIV-1 GAG-POL NEF (D3)","GCH1"
"390","HIV-1 GAG-POL NEF (D3)","GRN"
"391","HIV-1 GAG-POL NEF (D3)","IFI27"
"392","HIV-1 GAG-POL NEF (D3)","IFI6"
"393","HIV-1 GAG-POL NEF (D3)","IFIT1"
"394","HIV-1 GAG-POL NEF (D3)","IFIT2"
"395","HIV-1 GAG-POL NEF (D3)","IFITM1"
"396","HIV-1 GAG-POL NEF (D3)","IFITM3"
"397","HIV-1 GAG-POL NEF (D3)","IGSF6"
"398","HIV-1 GAG-POL NEF (D3)","IL1RN"
"399","HIV-1 GAG-POL NEF (D3)","IRF9"
"400","HIV-1 GAG-POL NEF (D3)","LGALS9"
"401","HIV-1 GAG-POL NEF (D3)","MERTK"
"402","HIV-1 GAG-POL NEF (D3)","MX1"
"403","HIV-1 GAG-POL NEF (D3)","MX2"
"404","HIV-1 GAG-POL NEF (D3)","OAS2"
"405","HIV-1 GAG-POL NEF (D3)","PARP9"
"406","HIV-1 GAG-POL NEF (D3)","PML"
"407","HIV-1 GAG-POL NEF (D3)","STAT1"
"408","HIV-1 GAG-POL NEF (D3)","TAP1"
"409","HIV-1 GAG-POL NEF (D3)","TNFSF10"
"410","HIV-1 GAG-POL NEF (D3)","TRIM21"
"411","HIV-1 GAG-POL NEF (D3)","TRIM22"
"412","HPV-VLP (M2)","ADORA2B"
"413","HPV-VLP (M2)","ALOX5"
"414","HPV-VLP (M2)","CD14"
"415","HPV-VLP (M2)","CD99"
"416","HPV-VLP (M2)","CFD"
"417","HPV-VLP (M2)","CHGA"
"418","HPV-VLP (M2)","CHRNA7"
"419","HPV-VLP (M2)","CHST3"
"420","HPV-VLP (M2)","CPLX2"
"421","HPV-VLP (M2)","CTSK"
"422","HPV-VLP (M2)","CXCL2"
"423","HPV-VLP (M2)","CYBA"
"424","HPV-VLP (M2)","DPP4"
"425","HPV-VLP (M2)","FCGRT"
"426","HPV-VLP (M2)","GRN"
"427","HPV-VLP (M2)","HAMP"
"428","HPV-VLP (M2)","ITGA6"
"429","HPV-VLP (M2)","LRP1"
"430","HPV-VLP (M2)","LY86"
"431","HPV-VLP (M2)","MERTK"
"432","HPV-VLP (M2)","MIF"
"433","HPV-VLP (M2)","NAGLU"
"434","HPV-VLP (M2)","PECAM1"
"435","HPV-VLP (M2)","PLD3"
"436","HPV-VLP (M2)","SLC11A1"
"437","HPV-VLP (M2)","SNCA"
"438","HPV-VLP (M2)","SP2"
"439","HPV-VLP (M2)","VNN1"
"440","HPV-VLP (M2)","ADAR"
"441","HPV-VLP (M2)","BAX"
"442","HPV-VLP (M2)","CASP1"
"443","HPV-VLP (M2)","CCL18"
"444","HPV-VLP (M2)","CCL20"
"445","HPV-VLP (M2)","CCL23"
"446","HPV-VLP (M2)","CCL24"
"447","HPV-VLP (M2)","CCL4"
"448","HPV-VLP (M2)","CCL7"
"449","HPV-VLP (M2)","CCNB2"
"450","HPV-VLP (M2)","CD1B"
"451","HPV-VLP (M2)","CD1E"
"452","HPV-VLP (M2)","CD38"
"453","HPV-VLP (M2)","CD40"
"454","HPV-VLP (M2)","CD70"
"455","HPV-VLP (M2)","CD83"
"456","HPV-VLP (M2)","CDK6"
"457","HPV-VLP (M2)","CFB"
"458","HPV-VLP (M2)","CFH"
"459","HPV-VLP (M2)","CH25H"
"460","HPV-VLP (M2)","CLEC10A"
"461","HPV-VLP (M2)","CSF2RB"
"462","HPV-VLP (M2)","CTLA4"
"463","HPV-VLP (M2)","CTSC"
"464","HPV-VLP (M2)","CXCL9"
"465","HPV-VLP (M2)","RIGI"
"466","HPV-VLP (M2)","FASLG"
"467","HPV-VLP (M2)","FPR2"
"468","HPV-VLP (M2)","GCH1"
"469","HPV-VLP (M2)","GCNT1"
"470","HPV-VLP (M2)","GNLY"
"471","HPV-VLP (M2)","GZMA"
"472","HPV-VLP (M2)","GZMB"
"473","HPV-VLP (M2)","IDO1"
"474","HPV-VLP (M2)","IFITM1"
"475","HPV-VLP (M2)","IFITM2"
"476","HPV-VLP (M2)","IL15"
"477","HPV-VLP (M2)","IL1R2"
"478","HPV-VLP (M2)","IL1RN"
"479","HPV-VLP (M2)","IL2"
"480","HPV-VLP (M2)","IL3"
"481","HPV-VLP (M2)","IL6ST"
"482","HPV-VLP (M2)","IRF2"
"483","HPV-VLP (M2)","JAG1"
"484","HPV-VLP (M2)","LIF"
"485","HPV-VLP (M2)","MNDA"
"486","HPV-VLP (M2)","PMS2"
"487","HPV-VLP (M2)","PSMB9"
"488","HPV-VLP (M2)","PTAFR"
"489","HPV-VLP (M2)","RBX1"
"490","HPV-VLP (M2)","RGS1"
"491","HPV-VLP (M2)","TAP2"
"492","HPV-VLP (M2)","TNFSF10"
"493","HPV-VLP (M2)","XCL1"
"494","INFLUENZA (D1)","CLEC6A"
"495","PANDEMRIX (D1)","CD40"
"496","PANDEMRIX (D1)","CD86"
"497","PANDEMRIX (D1)","IRF1"
"498","PANDEMRIX (D1)","IRF2"
"499","PANDEMRIX (D1)","IRF9"
"500","PANDEMRIX (D1)","STAT1"
"501","PANDEMRIX (D1)","TAP1"
"502","PANDEMRIX (D1)","TLR4"
"503","FLUARIX FLUVIRIN (D3)","ARID5A"
"504","FLUARIX FLUVIRIN (D3)","ASXL1"
"505","FLUARIX FLUVIRIN (D3)","BCL3"
"506","FLUARIX FLUVIRIN (D3)","CD6"
"507","FLUARIX FLUVIRIN (D3)","CDC42"
"508","FLUARIX FLUVIRIN (D3)","CXCR4"
"509","FLUARIX FLUVIRIN (D3)","GATA3"
"510","FLUARIX FLUVIRIN (D3)","GNL1"
"511","FLUARIX FLUVIRIN (D3)","GPR183"
"512","FLUARIX FLUVIRIN (D3)","HMGB1"
"513","FLUARIX FLUVIRIN (D3)","IGF1R"
"514","FLUARIX FLUVIRIN (D3)","IL6ST"
"515","FLUARIX FLUVIRIN (D3)","ITPKB"
"516","FLUARIX FLUVIRIN (D3)","JAK1"
"517","FLUARIX FLUVIRIN (D3)","OSM"
"518","FLUARIX FLUVIRIN (D3)","PDE4B"
"519","FLUARIX FLUVIRIN (D3)","PDE4D"
"520","FLUARIX FLUVIRIN (D3)","PPIA"
"521","FLUARIX FLUVIRIN (D3)","PPP2CA"
"522","FLUARIX FLUVIRIN (D3)","RAB11FIP2"
"523","FLUARIX FLUVIRIN (D3)","RORA"
"524","FLUARIX FLUVIRIN (D3)","SFPQ"
