"","genes","process","gene_set_short","go_term","immune_system","immune_sub_system","immune_tissue","set_size"
"1","IL13","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"2","HAMP","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"3","CRTC3","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"4","JMJD6","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"5","FCGR3A","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"6","TMEM229B","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"7","SLC11A1","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"8","ADGRF5","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"9","TLR4","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"10","EDN2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"11","TICAM1","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"12","IFI35","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"13","IL33","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"14","PRKCE","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"15","SYK","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"16","LBP","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"17","PLCG2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"18","SFTPD","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"19","CCL2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"20","LGALS3","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"21","AZU1","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"22","EDNRB","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"23","EDN2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"24","RPL13A","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"25","CXCL17","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"26","CCL5","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"27","SAA1","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"28","CCL3","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"29","MMP2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"30","LIPA","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"31","CSF1","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"32","ROR2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"33","MCOLN2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"34","BCR","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"35","CCR2","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"36","B4GALT1","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"37","ABL1","ACTIVATED T CELL PROLIFERATION","Proliferation, T cell, Activated","GO:0050798","Adaptive","Cellular","T cell",3
"38","STAT5B","ACTIVATED T CELL PROLIFERATION","Proliferation, T cell, Activated","GO:0050798","Adaptive","Cellular","T cell",3
"39","IL2","ACTIVATED T CELL PROLIFERATION","Proliferation, T cell, Activated","GO:0050798","Adaptive","Cellular","T cell",3
"40","HMSD","ACTIVATION OF IMMUNE RESPONSE","Activation, Immune response","GO:0002253","General","Immune","Undefined",1
"41","STING1","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"42","MAVS","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"43","NLRP10","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"44","XRCC5","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"45","MNDA","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"46","CGAS","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"47","TLR4","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"48","CASP6","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"49","XRCC6","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"50","SFPQ","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"51","PYHIN1","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"52","MATR3","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"53","HEXIM1","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"54","GBP2","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"55","PRKDC","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"56","HMGB1","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"57","FAS","ACTIVATION-INDUCED CELL DEATH OF T CELLS","Cell death, Activation-induced, T cell","GO:0006924","Adaptive","Cellular","T cell",3
"58","RPS6","ACTIVATION-INDUCED CELL DEATH OF T CELLS","Cell death, Activation-induced, T cell","GO:0006924","Adaptive","Cellular","T cell",3
"59","AKT1","ACTIVATION-INDUCED CELL DEATH OF T CELLS","Cell death, Activation-induced, T cell","GO:0006924","Adaptive","Cellular","T cell",3
"60","NLRP6","ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Acute inflammatory response to antigenic stimulus","GO:0002438","Innate","Inflammation","Undefined",5
"61","ELANE","ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Acute inflammatory response to antigenic stimulus","GO:0002438","Innate","Inflammation","Undefined",5
"62","IL31RA","ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Acute inflammatory response to antigenic stimulus","GO:0002438","Innate","Inflammation","Undefined",5
"63","CD6","ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Acute inflammatory response to antigenic stimulus","GO:0002438","Innate","Inflammation","Undefined",5
"64","CXCR2","ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Acute inflammatory response to antigenic stimulus","GO:0002438","Innate","Inflammation","Undefined",5
"65","TAP2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"66","HLA-DOB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"67","FBXO38","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"68","P0DOX7","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"69","MYO1G","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"70","BTN3A2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"71","HLA-E","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"72","CD19","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"73","OTUD7B","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"74","HLA-C","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"75","CLEC6A","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"76","CD1B","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"77","LILRB2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"78","RAG1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"79","JAK3","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"80","EOMES","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"81","THEMIS","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"82","HLA-DMB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"83","CD1C","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"84","NLRP10","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"85","P0DOX6","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"86","LAG3","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"87","HLA-DRB3","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"88","P0DOX8","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"89","SYK","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"90","CTSS","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"91","RAPGEF3","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"92","CSK","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"93","CD247","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"94","ITK","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"95","CX3CR1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"96","LILRA6","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"97","BCL10","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"98","BTLA","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"99","LILRB4","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"100","VTCN1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"101","KLRC1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"102","TEC","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"103","KLRC2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"104","RAP1GAP2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"105","ZNF683","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"106","TAP1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"107","C17orf99","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"108","CD3G","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"109","CD8B","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"110","LAIR1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"111","RAP1GAP","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"112","CD7","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"113","ARG2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"114","ZAP70","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"115","CD160","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"116","CTSH","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"117","ERAP2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"118","BTK","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"119","MCOLN2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"120","LILRA3","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"121","GPR183","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"122","RNF19B","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"123","CD1E","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"124","P0DOX5","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"125","BTNL8","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"126","CD6","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"127","HLA-DRB4","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"128","IFNA8","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"129","CTLA4","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"130","LILRB1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"131","BMX","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"132","CD46","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"133","IL2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"134","TXK","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"135","P0DOX2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"136","HMGB1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"137","LAX1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"138","CD79B","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"139","CD8B2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"140","CLEC10A","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"141","CD86","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"142","TFEB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"143","C1QBP","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"144","HLA-DPA1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"145","TARM1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"146","P0DOX4","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"147","HMHB1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"148","CD81","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"149","HLA-DMA","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"150","CRTAM","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"151","SKAP1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"152","PIK3CG","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"153","KLRK1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"154","P0DOX3","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"155","FGL1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"156","TFE3","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"157","IFNE","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"158","CD79A","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"159","TNFRSF17","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"160","RHOA","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"161","GPR183","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"162","BTK","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"163","CH25H","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"164","BAX","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"165","CD19","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"166","BRAF","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"167","CDH26","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"168","CD81","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"169","TOX","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"170","EOMES","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"171","KLRC1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"172","RAB27A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"173","ABL1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"174","IL15","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"175","FCER1G","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"176","CCL2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"177","YY1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"178","HSPD1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"179","IL2RG","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"180","ST3GAL1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"181","TNFSF4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"182","ITGAL","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"183","DOCK8","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"184","THEMIS","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"185","HLA-G","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"186","CCR7","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"187","LRRC8A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"188","CD28","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"189","ADAR","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"190","MYO1G","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"191","CD1D","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"192","CCR2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"193","ZFPM1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"194","LILRB4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"195","PSG9","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"196","FCER1A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"197","CLEC4G","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"198","PTPRC","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"199","RAG2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"200","TNFAIP3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"201","CD83","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"202","PRKCQ","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"203","FUT7","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"204","HLA-E","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"205","WDFY4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"206","BCL2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"207","CRKL","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"208","CRK","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"209","WNT4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"210","BCL6","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"211","STAT6","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"212","GATA3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"213","SPNS2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"214","LGALS1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"215","RAG1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"216","SPI1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"217","MLH1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"218","MSH2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"219","APBB1IP","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"220","XG","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"221","CD99","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"222","LIG4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"223","PRKDC","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"224","RC3H1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"225","HMGB1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"226","CEBPB","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"227","RORC","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"228","RORA","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"229","CCL20","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"230","CORO1A","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"231","ACOD1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"232","STAT5B","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"233","IL2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"234","FAS","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"235","RPS6","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"236","AKT1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"237","CD247","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
