"cell_name","marker","Type"
"Naive CD8+ T cell","TMEM204","Adaptive"
"Naive CD8+ T cell","NPM1","Adaptive"
"Naive CD8+ T cell","AIF1","Adaptive"
"Effector CD8+ memory T (Tem) cell","SLC2A1","Adaptive"
"Effector CD8+ memory T (Tem) cell","SLCO4C1","Adaptive"
"Naive CD8+ T cell","MLXIP","Adaptive"
"Naive CD8+ T cell","TMEM63A","Adaptive"
"Naive CD8+ T cell","CEP68","Adaptive"
"Effector CD8+ memory T (Tem) cell","WDR37","Adaptive"
"Naive CD8+ T cell","RPS8","Adaptive"
"Effector CD8+ memory T (Tem) cell","FCRL6","Adaptive"
"Naive CD8+ T cell","PDE3B","Adaptive"
"Naive CD8+ T cell","CA6","Adaptive"
"Effector CD8+ memory T (Tem) cell","RAP1B","Adaptive"
"Naive CD8+ T cell","SCML4","Adaptive"
"Effector CD8+ memory T (Tem) cell","KCNAB2","Adaptive"
"Naive CD8+ T cell","VIPR1","Adaptive"
"Naive CD8+ T cell","GAS5","Adaptive"
"Naive CD8+ T cell","GIMAP2","Adaptive"
"Effector CD8+ memory T (Tem) cell","ZEB2-AS1","Adaptive"
"Effector CD8+ memory T (Tem) cell","SH3BP5","Adaptive"
"Naive CD8+ T cell","TPCN1","Adaptive"
"Naive CD8+ T cell","THEM4","Adaptive"
"Naive CD8+ T cell","APEX1","Adaptive"
"Effector CD8+ memory T (Tem) cell","ARL4C","Adaptive"
"Naive CD8+ T cell","GPR183","Adaptive"
"Effector CD8+ memory T (Tem) cell","MBP","Adaptive"
"Effector CD8+ memory T (Tem) cell","TPST2","Adaptive"
"Naive CD8+ T cell","R3HDM4","Adaptive"
"Naive CD8+ T cell","LDHB","Adaptive"
"Naive CD8+ T cell","NELL2","Adaptive"
"Effector CD8+ memory T (Tem) cell","KLRD1","Adaptive"
"Naive CD8+ T cell","CD248","Adaptive"
"Effector CD8+ memory T (Tem) cell","LLGL2","Adaptive"
"Effector CD8+ memory T (Tem) cell","RNF166","Adaptive"
"Effector CD8+ memory T (Tem) cell","GZMH","Adaptive"
"Effector CD8+ memory T (Tem) cell","ZNF600","Adaptive"
"Effector CD8+ memory T (Tem) cell","PXN","Adaptive"
"Effector CD8+ memory T (Tem) cell","TAGLN2","Adaptive"
"Naive CD8+ T cell","SH3YL1","Adaptive"
"Naive CD8+ T cell","LRRC75A","Adaptive"
"Effector CD8+ memory T (Tem) cell","FGR","Adaptive"
"Effector CD8+ memory T (Tem) cell","MYO1G","Adaptive"
"Effector CD8+ memory T (Tem) cell","CEP78","Adaptive"
"Naive CD8+ T cell","LRRN3","Adaptive"
"Effector CD8+ memory T (Tem) cell","USP28","Adaptive"
"Effector CD8+ memory T (Tem) cell","ADGRG1","Adaptive"
"Effector CD8+ memory T (Tem) cell","MTSS1","Adaptive"
"Effector CD8+ memory T (Tem) cell","LUZP6","Adaptive"
"Effector CD8+ memory T (Tem) cell","STK10","Adaptive"
"Effector CD8+ memory T (Tem) cell","GAB3","Adaptive"
"Naive CD8+ T cell","STMN3","Adaptive"
"Effector CD8+ memory T (Tem) cell","DSTN","Adaptive"
"Naive CD8+ T cell","FAM117B","Adaptive"
"Naive CD8+ T cell","PSIP1","Adaptive"
"Naive CD8+ T cell","TNFSF8","Adaptive"
"Naive CD8+ T cell","TMEM123","Adaptive"
"Naive CD8+ T cell","IGF1R","Adaptive"
"Naive CD8+ T cell","DGKA","Adaptive"
"Naive CD8+ T cell","EIF3E","Adaptive"
"Naive CD8+ T cell","UBQLN2","Adaptive"
"Naive CD8+ T cell","NDFIP1","Adaptive"
"Effector CD8+ memory T (Tem) cell","ADRB2","Adaptive"
"Naive CD8+ T cell","CD55","Adaptive"
"Effector CD8+ memory T (Tem) cell","GK5","Adaptive"
"Naive CD8+ T cell","SMAP2","Adaptive"
"Effector CD8+ memory T (Tem) cell","PIK3R5","Adaptive"
"Effector CD8+ memory T (Tem) cell","TBX21","Adaptive"
"Effector CD8+ memory T (Tem) cell","ITGAM","Adaptive"
"Naive CD8+ T cell","EPHX2","Adaptive"
"Naive CD8+ T cell","LINC01550","Adaptive"
"Effector CD8+ memory T (Tem) cell","GLUL","Adaptive"
"Naive CD8+ T cell","PASK","Adaptive"
"Effector CD8+ memory T (Tem) cell","RASSF1","Adaptive"
"Naive CD8+ T cell","LRRC75A-AS1","Adaptive"
"Naive CD8+ T cell","EXOSC8","Adaptive"
"Effector CD8+ memory T (Tem) cell","SH3BP5-AS1","Adaptive"
"Naive CD8+ T cell","LEF1","Adaptive"
"Naive CD8+ T cell","LDLRAP1","Adaptive"
"Naive CD8+ T cell","TXK","Adaptive"
"Naive CD8+ T cell","PLEKHB1","Adaptive"
"Naive CD8+ T cell","NOG","Adaptive"
"Naive CD8+ T cell","BACH2","Adaptive"
"Effector CD8+ memory T (Tem) cell","PRKCB","Adaptive"
"Effector CD8+ memory T (Tem) cell","PLEK","Adaptive"
"Naive CD8+ T cell","C6orf48","Adaptive"
"Effector CD8+ memory T (Tem) cell","TM4SF19","Adaptive"
"Naive CD8+ T cell","BEX4","Adaptive"
"Effector CD8+ memory T (Tem) cell","KLRF1","Adaptive"
"Effector CD8+ memory T (Tem) cell","SAMD3","Adaptive"
"Effector CD8+ memory T (Tem) cell","VCL","Adaptive"
"Naive CD8+ T cell","NOSIP","Adaptive"
"Naive CD8+ T cell","SGSM3","Adaptive"
"Naive CD8+ T cell","COQ8A","Adaptive"
"Effector CD8+ memory T (Tem) cell","FCGR3B","Adaptive"
"Naive CD8+ T cell","RASGRP2","Adaptive"
"Naive CD8+ T cell","LMO7","Adaptive"
"Naive CD8+ T cell","C1orf162","Adaptive"
"Effector CD8+ memory T (Tem) cell","LILRB1","Adaptive"
"Naive CD8+ T cell","FKBP5","Adaptive"
"Naive CD8+ T cell","SERINC5","Adaptive"
"Naive CD8+ T cell","ARHGAP45","Adaptive"
"Naive CD8+ T cell","MAL","Adaptive"
"Effector CD8+ memory T (Tem) cell","ADAM8","Adaptive"
"Naive CD8+ T cell","TRABD2A","Adaptive"
"Naive CD8+ T cell","ATM","Adaptive"
"Effector CD8+ memory T (Tem) cell","LITAF","Adaptive"
"Naive CD8+ T cell","RCAN3","Adaptive"
"Effector CD8+ memory T (Tem) cell","OSBPL5","Adaptive"
"Effector CD8+ memory T (Tem) cell","TGFBR3","Adaptive"
"Effector CD8+ memory T (Tem) cell","EMP3","Adaptive"
"Effector CD8+ memory T (Tem) cell","CASP8","Adaptive"
"Naive CD8+ T cell","TOMM7","Adaptive"
"Naive CD8+ T cell","WDR43","Adaptive"
"Effector CD8+ memory T (Tem) cell","BIN2","Adaptive"
"Effector CD8+ memory T (Tem) cell","RAP1GAP2","Adaptive"
"Naive CD8+ T cell","EEF2","Adaptive"
"Naive CD8+ T cell","GLTSCR2","Adaptive"
"CD8+ T cell","CD4","Adaptive"
"CD8+ T cell","CD8B","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","GZMK","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD8B","Adaptive"
"Central memory CD8+ T cell","CCR7","Adaptive"
"Naive CD8+ T cell","CD45RA","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","CD3","Adaptive"
"Effector memory CD8+ T cell","CD8","Adaptive"
"Effector CD8+ T cell","CD8","Adaptive"
"Central memory CD8+ T cell","CD45RO","Adaptive"
"Effector CD8+ T cell","CD45RA","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Naive CD8+ T cell","CD8","Adaptive"
"Naive CD8+ T cell","CD45RA","Adaptive"
"Effector CD8+ T cell","CD3","Adaptive"
"Central memory CD8+ T cell","CD8","Adaptive"
"Naive CD8+ T cell","CD3","Adaptive"
"Central memory CD8+ T cell","CD3","Adaptive"
"Central memory CD8+ T cell","CCR7","Adaptive"
"Effector memory CD8+ T cell","CD3","Adaptive"
"Effector memory CD8+ T cell","CD45RO","Adaptive"
"Effector (EMRA) CD8+ T cell","CD45RA","Adaptive"
"Effector (EMRA) CD8+ T cell","CD45RO","Adaptive"
"Effector (EMRA) CD8+ T cell","CCR7","Adaptive"
"Effector (EMRA) CD8+ T cell","CD27","Adaptive"
"CD8+ T cell","CD3","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"Naive CD8+ T cell","CD3","Adaptive"
"Central memory CD8+ T cell","CD8","Adaptive"
"Naive CD8+ T cell","CD8","Adaptive"
"Central memory CD8+ T cell","CCR7","Adaptive"
"Central memory CD8+ T cell","CD27","Adaptive"
"Naive CD8+ T cell","CD45RA","Adaptive"
"Naive CD8+ T cell","CD27","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Central memory CD8+ T cell","CD3","Adaptive"
"CD8 T cell","CD8B","Adaptive"
"CD8 T cell","CD3E","Adaptive"
"CD8 T cell","CD8A","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","CD3","Adaptive"
"CD8+ T cell","CD8a","Adaptive"
"CD8+ T cell","CD3","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","CD3","Adaptive"
"Revertant memory CD8+ T(TEMRA) cell","CD8","Adaptive"
"Revertant memory CD8+ T(TEMRA) cell","CD3","Adaptive"
"Revertant memory CD8+ T(TEMRA) cell","CD45RA","Adaptive"
"Naive CD8+ T cell","TCF7","Adaptive"
"Naive CD8+ T cell","LEF1","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Memory CD8+ T cell","FGFBP2","Adaptive"
"Memory CD8+ T cell","GZMH","Adaptive"
"Memory CD8+ T cell","GNLY","Adaptive"
"Memory CD8 T cell","CD8A","Adaptive"
"Effector CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","GWAS","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Effector memory CD8+ T cell","CD8","Adaptive"
"Naive CD8+ T cell","CD8","Adaptive"
"Effector memory CD8+ T cell","CD45RO","Adaptive"
"Naive CD8+ T cell","CD45RA","Adaptive"
"CD8+ T cell","CD27","Adaptive"
"CD8+ T cell","ICOS","Adaptive"
"CD8+ T cell","CD28","Adaptive"
"CD8+ T cell","HLA-DR","Adaptive"
"CD8+ T cell","MYC-1","Adaptive"
"CD8+ T cell","TCRβ","Adaptive"
"CD8+ T cell","ABO","Adaptive"
"CD8+ T cell","Cdk7","Adaptive"
"CD8+ T cell","Cdk9","Adaptive"
"CD8+ T cell","Ctk1","Adaptive"
"CD8+ T cell","Bur1","Adaptive"
"CD8+ T cell","Kin28","Adaptive"
"CD8+ T cell","Cdk12","Adaptive"
"Naive CD8+ T cell","RCAN3","Adaptive"
"Naive CD8+ T cell","MAL","Adaptive"
"Naive CD8+ T cell","NOSIP","Adaptive"
"Central memory CD8+ T cell","MYC","Adaptive"
"Naive CD8+ T cell","LEF1","Adaptive"
"Naive CD8+ T cell","SELL","Adaptive"
"Central memory CD8+ T cell","SELL","Adaptive"
"Naive CD8+ T cell","TCF7","Adaptive"
"Effector memory CD8+ T cell","CD8A","Adaptive"
"Naive CD8+ T cell","SOCS3","Adaptive"
"Effector memory CD8+ T cell","CD52","Adaptive"
"Central memory CD8+ T cell","MAL","Adaptive"
"Effector memory CD8+ T cell","CXCR3","Adaptive"
"Central memory CD8+ T cell","SOCS3","Adaptive"
"Central memory CD8+ T cell","LEF1","Adaptive"
"Central memory CD8+ T cell","NOSIP","Adaptive"
"Central memory CD8+ T cell","RCAN3","Adaptive"
"Effector memory CD8+ T cell","CD8B","Adaptive"
"Effector memory CD8+ T cell","ITGA1","Adaptive"
"Central memory CD8+ T cell","TCF7","Adaptive"
"Central memory CD8+ T cell","TSHZ2","Adaptive"
"Naive CD8+ T cell","TSHZ2","Adaptive"
"Naive CD8+ T cell","MYC","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Central memory CD8+ T cell","CCR7","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","CD3","Adaptive"
"CD8+ T helper 1 cell","CXCR3","Adaptive"
"CD8+ T helper 17 cell","CCR6","Adaptive"
"CD8+ T helper 17 cell","CD161","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD3D","Adaptive"
"CD8+ T cell","CD38","Adaptive"
"CD8+ T cell","HLA-DR","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"Cytotoxic CD8+ T cell","GZMA","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD3E","Adaptive"
"Naive CD8+ T cell","CD28","Adaptive"
"Naive CD8+ T cell","CD3E","Adaptive"
"Naive CD8+ T cell","LEF1","Adaptive"
"Effector memory CD8+ T cell","CXCR4","Adaptive"
"Naive CD8+ T cell","SELL","Adaptive"
"Naive CD8+ T cell","CD8A","Adaptive"
"Naive CD8+ T cell","CD4","Adaptive"
"Naive CD8+ T cell","CD8B","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","CD3E","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","FGFBP2","Adaptive"
"Naive CD8+ T cell","CD27","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","CD8A","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","KLRB1","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","S1PR5","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Effector memory CD8+ T cell","CD44","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","CD8B","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","CD4","Adaptive"
"Naive CD8+ T cell","TCF7","Adaptive"
"Effector memory CD8+ T cell","CD8A","Adaptive"
"Effector memory CD8+ T cell","CD3E","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","CD4","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","GZMH","Adaptive"
"Effector memory CD8+ T cell","CD4","Adaptive"
"Effector memory CD8+ T cell","GZMK","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","FCGR3A","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","CD8A","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","PRF1","Adaptive"
"Effector memory CD8+ T cell","CXCR3","Adaptive"
"Effector memory CD8+ T cell","CD8B","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","TBX21","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","ZBTB16","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","S1PR1","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","CD3E","Adaptive"
"Naive CD8+ T cell","S1PR1","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","CD8B","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","EOMES","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","SLC4A10","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","KLRG1","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","RORC","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","RORA","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","NCR3","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","CX3CR1","Adaptive"
"CD8+ T cell","TLR10","Adaptive"
"CD8+ T cell","TLR1","Adaptive"
"CD8+ T cell","TLR6","Adaptive"
"Follicular cytotoxic CD8+ T cell","CXCR5","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","MAL","Adaptive"
"CD8+ T cell","CD28","Adaptive"
"CD8+ T cell","THEMIS","Adaptive"
"CD8+ T cell","AQP3","Adaptive"
"Naive CD8+ T cell","SELL","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"CD8+ T cell","PRF1","Adaptive"
"CD8+ T cell","PRDM1","Adaptive"
"CD8+ T cell","ANK3","Adaptive"
"CD8+ T cell","CD8B","Adaptive"
"CD8+ T cell","ZBTB38","Adaptive"
"CD8+ T cell","CST7","Adaptive"
"CD8+ T cell","IKZF3","Adaptive"
"Naive CD8+ T cell","LEF1","Adaptive"
"Naive CD8+ T cell","TCF7","Adaptive"
"Naive CD8+ T cell","NELL2","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"Naive CD8+ T cell","FOXP1","Adaptive"
"Naive CD8+ T cell","IL7R","Adaptive"
"Exhausted CD8+ T cell","TIGIT","Adaptive"
"Exhausted CD8+ T cell","TIM3","Adaptive"
"Exhausted CD8+ T cell","LAG3","Adaptive"
"Exhausted CD8+ T cell","PD1","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD3G","Adaptive"
"Naive CD8+ T cell","CD8B","Adaptive"
"Naive CD8+ T cell","S100A4","Adaptive"
"Naive CD8+ T cell","CD3D","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD3D","Adaptive"
"Naive CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD8B","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","FGFBP2","Adaptive"
"CD8+ T cell","FCGR3A","Adaptive"
"CD8+ T cell","CD3D","Adaptive"
"CD8+ T cell","PTPRC","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"CD8+ intraepithelial cell","KLRC2","Adaptive"
"CD8+ intraepithelial cell","CD160","Adaptive"
"CD8+ intraepithelial cell","KLRC3","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","GZMA","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD45","Adaptive"
"CD8+ T cell","CD3","Adaptive"
"CD8+ T cell","CD8a","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","CD3E","Adaptive"
"CD8+ T cell","H1781","Adaptive"
"CD8+ T cell","HER2","Adaptive"
"CD8+ T cell","EFGF","Adaptive"
"CD8+ T cell","CD8a","Adaptive"
"Activated memory CD8+ T cell","CD69","Adaptive"
"Activated memory CD8+ T cell","CD45RO","Adaptive"
"Activated naive CD8+ T cell","CD69","Adaptive"
"Activated naive CD8+ T cell","CD45RA","Adaptive"
"Activated memory CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","CD3","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD3D","Adaptive"
"CD8+ T cell","CD8a","Adaptive"
"Effector CD8+ T cell","GZMB","Adaptive"
"Effector CD8+ T cell","PRF1","Adaptive"
"Effector CD8+ T cell","CX3CR1","Adaptive"
"Terminal effector CD8+ T cell","NKG7","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Transitional CD8+ T cell","GZMK","Adaptive"
"Naive CD8+ T cell","SELL","Adaptive"
"Central memory CD8+ T cell","SELL","Adaptive"
"Naive CD8+ T cell","TCF7","Adaptive"
"Terminal effector CD8+ T cell","GZMA","Adaptive"
"Central memory CD8+ T cell","CD27","Adaptive"
"Terminal effector CD8+ T cell","PRF1","Adaptive"
"Naive CD8+ T cell","LEF1","Adaptive"
"Terminal effector CD8+ T cell","GZMB","Adaptive"
"Central memory CD8+ T cell","CCR7","Adaptive"
"Activated CD8+ T cell","CD3E","Adaptive"
"Activated CD8+ T cell","CD8A","Adaptive"
"Activated CD8+ T cell","GZMB","Adaptive"
"Activated CD8+ T cell","NKG7","Adaptive"
"Activated CD8+ T cell","GZMH","Adaptive"
"Activated CD8+ T cell","CCL5","Adaptive"
"CD8+ T cell","LAG3","Adaptive"
"CD8+ T cell","HAVCR2","Adaptive"
"CD8+ T cell","PDCD1","Adaptive"
"CD8+ T cell","HLA-DRA","Adaptive"
"Cytotoxic CD8 T cell","GZMB","Adaptive"
"Effector memory CD8 T cell","GZMK","Adaptive"
"Naive CD8 T cell","CCR7","Adaptive"
"Activated CD8+ T cell","CD8A","Adaptive"
"Activated CD8+ T cell","CCL5","Adaptive"
"CD8+ T cell","CD3D","Adaptive"
"Activated CD8+ T cell","CD3D","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CCR7","Adaptive"
"CD8+ T cell","CCR7","Adaptive"
"CD8+ T cell","SELL","Adaptive"
"CD8+ T cell","GPR183","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"Effector memory CD8+ T cell","CD3","Adaptive"
"Central memory CD8+ T cell","CD3","Adaptive"
"Effector memory CD8+ T cell","CD8","Adaptive"
"Central memory CD8+ T cell","CD45RO","Adaptive"
"Naive CD8+ T cell","CD8","Adaptive"
"Naive CD8+ T cell","CD3","Adaptive"
"Effector memory CD8+ T cell","CD45RO","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Central memory CD8+ T cell","CD8","Adaptive"
"Central memory CD8+ T cell","CCR7","Adaptive"
"Naive CD8+ T cell","CD45RA","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD3D","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","SELL","Adaptive"
"CD8+ T cell","TCF7","Adaptive"
"CD8+ T cell","CCR7","Adaptive"
"CD8 T cell","CD8B","Adaptive"
"CD8 T cell","CD3D","Adaptive"
"CD8 T cell","CD8A","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Naive CD8+ T cell","CD45RA","Adaptive"
"CD8+ T cell","CD8B","Adaptive"
"Revertant memory CD8+ T(TEMRA) cell","CX3CR1","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"Effector CD8+ T cell","S100A4","Adaptive"
"Naive CD8+ T cell","TCF7","Adaptive"
"CD8+ T cell","CD3E","Adaptive"
"Revertant memory CD8+ T(TEMRA) cell","PTPRC","Adaptive"
"Effector CD8+ T cell","GPR183","Adaptive"
"Naive CD8+ T cell","SELL","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Naive CD8+ T cell","LEF1","Adaptive"
"CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","CD3","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD3E","Adaptive"
"CD8+ T cell","CD4","Adaptive"
"CD8+ T cell","CD8B","Adaptive"
"Effector memory CD8+ T cell","FGFBP2","Adaptive"
"Effector memory CD8+ T cell","CD8","Adaptive"
"CD8+ T cell","CCL4","Adaptive"
"CD8+ terminally differentiated effector memory re-expressing CD45RA T cell(CD8+ TEMRA)","CD3","Adaptive"
"Naive CD8+ T cell","CCR7","Adaptive"
"Naive CD8+ T cell","CD3","Adaptive"
"Effector memory CD8+ T cell","CD3","Adaptive"
"CD8+ terminally differentiated effector memory re-expressing CD45RA T cell(CD8+ TEMRA)","CD8","Adaptive"
"Effector memory CD8+ T cell","CD45RO","Adaptive"
"Naive CD8+ T cell","CD8","Adaptive"
"Effector memory CD8+ T cell","CD8","Adaptive"
"Naive CD8+ T cell","CD45RA","Adaptive"
"Central memory CD8+ T cell","CD8a","Adaptive"
"Central memory CD8+ T cell","CD3","Adaptive"
"Naive CD8+ T cell","CD8a","Adaptive"
"CD8+ T cell","NKG7","Adaptive"
"Naive CD8+ T cell","CD3","Adaptive"
"Effector memory CD8+ T cell","CD8a","Adaptive"
"Effector memory CD8+ T cell","CD3","Adaptive"
"EMRA CD8+ T cell","CD8a","Adaptive"
"Naive CD8+ T cell","CD27","Adaptive"
"Central memory CD8+ T cell","CD27","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"EMRA CD8+ T cell","CD45RA","Adaptive"
"CD8+ T cell","CD8B","Adaptive"
"EMRA CD8+ T cell","CD3","Adaptive"
"CD8+ T cell","CD8B","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"Effector CD8 T cell","GZMK","Adaptive"
"Effector CD8 T cell","GZMB","Adaptive"
"Effector CD8 T cell","GZMA","Adaptive"
"Effector CD8 T cell","HLA-DRs","Adaptive"
"Effector CD8 T cell","ZEB2","Adaptive"
"Effector CD8 T cell","NKG7","Adaptive"
"Effector CD8 T cell","CCL5","Adaptive"
"Effector CD8 T cell","FGFBP2","Adaptive"
"Effector CD8 T cell","CX3CR1","Adaptive"
"Effector CD8 T cell","GZMH","Adaptive"
"CD8+ T cell","GVHD","Adaptive"
"CD8+ T cell","CD3","Adaptive"
"CD8+ tumor antigen-specific T (Tas) cell","CXCL13","Adaptive"
"CD8+ tumor antigen-specific T (Tas) cell","ENTPD1","Adaptive"
"Proliferative CD8+ T cell","CD8A","Adaptive"
"Proliferative CD8+ T cell","CD3E","Adaptive"
"Memory CD8+ T cell","CD3E","Adaptive"
"Exhausted CD8+ T cell","TIM3","Adaptive"
"Memory CD8+ T cell","CD3D","Adaptive"
"Exhausted CD8+ T cell","CD279","Adaptive"
"Effector CD8+ T cell","CD8A","Adaptive"
"Memory CD8+ T cell","CD8A","Adaptive"
"Proliferative CD8+ T cell","MK167","Adaptive"
"Exhausted CD8+ T cell","TIGIT","Adaptive"
"Exhausted CD8+ T cell","CD3E","Adaptive"
"Naive CD8+ T cell","TCF7","Adaptive"
"Effector CD8+ T cell","GNLY","Adaptive"
"Effector CD8+ T cell","PRF1","Adaptive"
"Proliferative CD8+ T cell","TYMS","Adaptive"
"Regulatory CD8+ T cell","CD8A","Adaptive"
"Naive CD8+ T cell","CD197","Adaptive"
"Memory CD8+ T cell","AQP3","Adaptive"
"Proliferative CD8+ T cell","CD3D","Adaptive"
"Naive CD8+ T cell","CD8A","Adaptive"
"Effector CD8+ T cell","GZMB","Adaptive"
"Effector CD8+ T cell","CD3D","Adaptive"
"Effector CD8+ T cell","CD3E","Adaptive"
"Exhausted CD8+ T cell","CD8A","Adaptive"
"Exhausted CD8+ T cell","PDCD1","Adaptive"
"Regulatory CD8+ T cell","CD3D","Adaptive"
"Exhausted CD8+ T cell","LAG3","Adaptive"
"Memory CD8+ T cell","CD69","Adaptive"
"Naive CD8+ T cell","CD3D","Adaptive"
"Effector CD8+ T cell","PRDM1","Adaptive"
"Exhausted CD8+ T cell","CD3D","Adaptive"
"Memory CD8+ T cell","GZMK","Adaptive"
"Regulatory CD8+ T cell","FOXP3","Adaptive"
"Naive CD8+ T cell","CD3E","Adaptive"
"Naive CD8+ T cell","LEF1","Adaptive"
"Regulatory CD8+ T cell","CD3E","Adaptive"
"Activated CD8+ T cell","CD8","Adaptive"
"Activated CD8+ T cell","HLADR","Adaptive"
"Memory CD8+ T cell","CD8","Adaptive"
"Memory CD8+ T cell","CD38","Adaptive"
"Memory CD8+ T cell","CD127","Adaptive"
"Activated CD8+ T cell","CD3","Adaptive"
"Memory CD8+ T cell","HLADR","Adaptive"
"Early activated CD8+ T cell","CD8","Adaptive"
"Activated CD8+ T cell","CD38","Adaptive"
"Memory CD8+ T cell","CD3","Adaptive"
"Early activated CD8+ T cell","CD3","Adaptive"
"Early activated CD8+ T cell","CD25","Adaptive"
"CD8+ T cell","HLA-B","Adaptive"
"CD8+ T cell","HLA-II","Adaptive"
"CD8+ T cell","HLA-A","Adaptive"
"CD8+ T cell","HLA-C","Adaptive"
"CD8+ T cell","CD8A","Adaptive"
"CD8+ T cell","CD3D","Adaptive"
"CD8+ T cell","CD28","Adaptive"
"Memory CD8+ T cell","CCL5","Adaptive"
"Cytotoxic CD8+ T cell","GZMA","Adaptive"
"Cytotoxic CD8+ T cell","NKG7","Adaptive"
"Memory CD8+ T cell","TRGC2","Adaptive"
"Cytotoxic CD8+ T cell","FGFBP2","Adaptive"
"Cytotoxic CD8+ T cell","GZMB","Adaptive"
