"","...1","process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","genes","set_size_intervals"
"480",718,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"BTK",NA
"481",719,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CCL3",NA
"482",720,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL17RC",NA
"483",721,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"UNC13D",NA
"484",722,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CEBPB",NA
"485",723,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"LIPA",NA
"486",724,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CSF1",NA
"487",725,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"S100A12",NA
"488",726,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CHGA",NA
"489",727,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"KITLG",NA
"490",728,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"NF1",NA
"491",729,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"KIT",NA
"492",730,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SERPINB9",NA
"493",731,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"NDST2",NA
"494",732,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"STAT5B",NA
"495",733,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CCR7",NA
"496",734,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ARHGEF5",NA
"497",735,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"LGALS9",NA
"498",736,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SCNN1B",NA
"499",737,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"AZU1",NA
"500",738,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"F2",NA
"501",739,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CTSG",NA
"502",740,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MAP2K6",NA
"503",741,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TNFAIP3",NA
"504",742,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CALR",NA
"505",743,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PDIA3",NA
"506",744,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ZBTB46",NA
"507",745,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IRF8",NA
"508",746,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PRDX2",NA
"509",747,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PIK3AP1",NA
"510",748,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TNIP2",NA
"511",749,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PSEN1",NA
"512",750,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"LRP1",NA
"513",751,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"GRN",NA
"514",752,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MBL2",NA
"515",753,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"LBP",NA
"516",754,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CD14",NA
"517",755,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TGFBR2",NA
"518",756,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ITGB8",NA
"519",757,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ITGB6",NA
"520",758,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CX3CR1",NA
"521",759,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL33",NA
"522",760,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IFNA8",NA
"523",761,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IFNE",NA
"524",762,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL12B",NA
"525",763,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"EMP2",NA
"526",764,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ATF2",NA
"527",765,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ITK",NA
"528",766,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"FOSL2",NA
"529",767,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"NFKBIA",NA
"530",768,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TLR4",NA
"531",769,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"XIAP",NA
"532",770,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PRKCE",NA
"533",771,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TICAM2",NA
"534",772,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RAB11FIP2",NA
"535",773,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"FCER1G",NA
"536",774,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IFI30",NA
"537",775,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MFSD6",NA
"538",776,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CD1D",NA
"539",777,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CD1B",NA
"540",778,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CD1E",NA
"541",779,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CD1C",NA
"542",780,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MAVS",NA
"543",781,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RIGI",NA
"544",782,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CGAS",NA
"545",783,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"STING1",NA
"546",784,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"VAMP2",NA
"547",785,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"VAMP7",NA
"548",786,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"FCER1A",NA
"549",787,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SNAP23",NA
"550",788,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CCR2",NA
"551",789,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"JAML",NA
"552",790,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SIRPA",NA
"553",791,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PECAM1",NA
"554",792,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MERTK",NA
"555",793,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"AXL",NA
"556",794,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"STXBP3",NA
"557",795,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"BCR",NA
"558",796,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ANXA3",NA
"559",797,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CASP1",NA
"560",798,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"LACC1",NA
"561",799,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RNF135",NA
"562",800,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PHB1",NA
"563",801,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"LSM14A",NA
"564",802,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CD40",NA
"565",803,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SP100",NA
"566",804,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SHMT2",NA
"567",805,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CH25H",NA
"568",806,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SMPD1",NA
"569",807,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MX1",NA
"570",808,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL31RA",NA
"571",809,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CD6",NA
"572",810,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CXCR2",NA
"573",811,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TAP1",NA
"574",812,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ERAP2",NA
"575",813,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IDE",NA
"576",814,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"AP3B1",NA
"577",815,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ALOX5",NA
"578",816,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CDC42",NA
"579",817,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"EPS8",NA
"580",818,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DOCK8",NA
"581",819,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"NLRP12",NA
"582",820,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ROR2",NA
"583",821,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MCOLN2",NA
"584",822,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"B4GALT1",NA
"585",823,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"REG3G",NA
"586",824,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HSPD1",NA
"587",825,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SYK",NA
"588",826,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DNASE1",NA
"589",827,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CD177",NA
"590",828,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PRTN3",NA
"591",829,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PDE4B",NA
"592",830,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MTHFD1",NA
"593",831,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"JAGN1",NA
"594",832,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CLEC6A",NA
"595",833,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PLCG2",NA
"596",834,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"BCL10",NA
"597",835,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DEFB119",NA
"598",836,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DEFB106A",NA
"599",837,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RAET1L",NA
"600",838,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RAET1G",NA
"601",839,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HLA-C",NA
"602",840,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HLA-G",NA
"603",841,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HLA-DMB",NA
"604",842,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HLA-DRB4",NA
"605",843,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HLA-DMA",NA
"606",844,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HLA-DOB",NA
"607",845,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HLA-DPA1",NA
"608",846,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HYAL2",NA
"609",847,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MT1G",NA
"610",848,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SPACA3",NA
"611",849,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"P0DOX3",NA
"612",850,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"FANCC",NA
"613",851,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"NCKAP1L",NA
"614",852,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SOD1",NA
"615",853,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"BAX",NA
"616",854,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HAMP",NA
"617",855,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ITPKB",NA
"618",856,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"FCGR3A",NA
"619",857,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"KLRF2",NA
"620",858,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RAB27A",NA
"621",859,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CORO1A",NA
"622",860,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ADAM17",NA
"623",861,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ACE",NA
"624",862,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL6R",NA
"625",863,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"KMT2E",NA
"626",864,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"FCAR",NA
"627",865,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IRGM",NA
"628",866,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RELA",NA
"629",867,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IFI35",NA
"630",868,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"STAT1",NA
"631",869,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IRF1",NA
"632",870,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"JAK1",NA
"633",871,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IFNGR1",NA
"634",872,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TYK2",NA
"635",873,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IFNGR2",NA
"636",874,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SPI1",NA
"637",875,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"BATF2",NA
"638",876,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"NOTCH2",NA
"639",877,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"LTBR",NA
"640",878,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RELB",NA
"641",879,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RBPJ",NA
"642",880,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PRDX1",NA
"643",881,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"GATA3",NA
"644",882,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"KLRK1",NA
"645",883,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"BAG6",NA
"646",884,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL2",NA
"647",885,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RASGRP1",NA
"648",886,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"KAT7",NA
"649",887,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SP3",NA
"650",888,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PBX1",NA
"651",889,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PTPRC",NA
"652",890,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TYRO3",NA
"653",891,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"KLRC1",NA
"654",892,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"EP300",NA
"655",893,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"KLRC3",NA
"656",894,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SRC",NA
"657",895,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"NAGLU",NA
"658",897,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"FOSL1",NA
"659",898,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RPS6KA3",NA
"660",899,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MAPKAPK2",NA
"661",900,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CCR1",NA
"662",901,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CXCR4",NA
"663",902,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CXCR1",NA
"664",903,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CCL5",NA
"665",904,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL13",NA
"666",905,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CRTC3",NA
"667",906,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"JMJD6",NA
"668",907,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TMEM229B",NA
"669",908,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ADGRF5",NA
"670",909,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"EDN2",NA
"671",910,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL10RB",NA
"672",911,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IFNL1",NA
"673",912,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IFNL4",NA
"674",913,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IFNL3",NA
"675",914,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IFNL2",NA
"676",915,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"NOTCH1",NA
"677",916,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PNMA1",NA
"678",917,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL20RB",NA
"679",918,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HMGB2",NA
"680",919,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL5RA",NA
"681",920,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL1RN",NA
"682",921,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CD68",NA
"683",922,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SFTPD",NA
"684",923,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CCL2",NA
"685",924,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"EDNRB",NA
"686",925,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RPL13A",NA
"687",926,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CXCL17",NA
"688",927,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SAA1",NA
"689",928,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MMP2",NA
"690",929,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CXCL8",NA
"691",930,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"F2RL1",NA
"692",931,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"IL18RAP",NA
"693",932,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CXCL6",NA
"694",933,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PRKCD",NA
"695",934,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CAMP",NA
"696",935,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DNM2",NA
"697",936,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CTSE",NA
"698",937,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SNCA",NA
"699",938,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ITGAM",NA
"700",939,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"AIF1",NA
"701",940,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TRPV1",NA
"702",941,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"C5AR1",NA
"703",942,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CX3CL1",NA
"704",943,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MAPT",NA
"705",944,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"NOS2",NA
"706",945,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"FAU",NA
"707",946,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"H2BC12L",NA
"708",947,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DEFA3",NA
"709",948,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DEFB1",NA
"710",949,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"H2BC10",NA
"711",950,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DEFA1",NA
"712",951,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RNASE3",NA
"713",952,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RNASE2",NA
"714",953,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DEFA6",NA
"715",954,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DEFA5",NA
"716",955,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"DEFA4",NA
"717",956,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RPL39",NA
"718",957,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CBL",NA
"719",958,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CLNK",NA
"720",959,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"GPR15LG",NA
"721",960,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PTGDS",NA
"722",961,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MILR1",NA
"723",962,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"ADORA2B",NA
"724",963,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CPLX2",NA
"725",964,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PTPN6",NA
"726",965,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"GZMB",NA
"727",966,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"TUBB4B",NA
"728",967,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PLEKHM2",NA
"729",968,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CEBPG",NA
"730",969,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"RNF19B",NA
"731",970,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"KIF5B",NA
"732",971,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"KIR3DL1",NA
"733",972,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CLEC2A",NA
"734",973,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"NLRP10",NA
"735",974,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"XRCC5",NA
"736",975,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MNDA",NA
"737",976,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"CASP6",NA
"738",977,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"XRCC6",NA
"739",978,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"SFPQ",NA
"740",979,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"PYHIN1",NA
"741",980,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"MATR3",NA
"742",981,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"HEXIM1",NA
"743",982,"INNATE IMMUNE SYSTEM","Innate immune system","Innate","General","General",NA,549,"GBP2",NA
