"","...1","process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","genes","set_size_intervals"
"53",53,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"GATA3",NA
"54",54,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SPNS2",NA
"55",55,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"LGALS1",NA
"56",56,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RAG1",NA
"57",57,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SPI1",NA
"58",58,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MLH1",NA
"59",59,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MSH2",NA
"60",60,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"APBB1IP",NA
"61",61,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"XG",NA
"62",62,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD99",NA
"63",65,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"LIG4",NA
"64",66,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PRKDC",NA
"65",67,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RC3H1",NA
"66",68,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"HMGB1",NA
"67",69,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CEBPB",NA
"68",70,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RORC",NA
"69",71,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RORA",NA
"70",72,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CCL20",NA
"71",73,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CORO1A",NA
"72",74,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ACOD1",NA
"73",75,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"STAT5B",NA
"74",76,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IL2",NA
"75",77,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"FAS",NA
"76",78,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RPS6",NA
"77",79,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"AKT1",NA
"78",81,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD247",NA
"79",82,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD3G",NA
"80",83,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ZAP70",NA
"81",84,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SYK",NA
"82",85,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PSMB11",NA
"83",86,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IRF1",NA
"84",87,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"TNFSF8",NA
"85",88,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CRTAM",NA
"86",89,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MYH9",NA
"87",90,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CDH17",NA
"88",91,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IRF8",NA
"89",92,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"BCL3",NA
"90",93,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ZP3",NA
"91",94,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"TCF3",NA
"92",95,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"FUT4",NA
"93",96,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ARTN",NA
"94",97,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SHLD3",NA
"95",98,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SHLD1",NA
"96",99,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SHLD2",NA
"97",100,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"LILRB1",NA
"98",101,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SLC11A1",NA
"99",102,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RELB",NA
"100",103,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IL4R",NA
"101",104,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SPN",NA
"102",105,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MTOR",NA
"103",106,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"STAT3",NA
"104",107,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"NOTCH1",NA
"105",108,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PHB1",NA
"106",109,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PTGER4",NA
"107",110,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ATP7A",NA
"108",111,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IL12B",NA
"109",112,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ITPKB",NA
"110",113,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD40",NA
"111",114,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD70",NA
"112",115,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"TLR4",NA
"113",116,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"GAPT",NA
"114",117,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"FCGR2B",NA
"115",118,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PLCG2",NA
"116",119,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"TCF7",NA
