"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size","gene_set_short_2","process_2","immune_system_2","immune_sub_system_2","immune_tissue_2","go_term_2","genes_2","set_size_2"
"ADAPTIVE IMMUNE SYSTEM","TNFAIP3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CD83","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PRKCQ","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","FUT7","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","HLA-E","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","WDFY4","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","BCL2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CRKL","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CRK","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","WNT4","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","BCL6","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","STAT6","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","GATA3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","SPNS2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","LGALS1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","RAG1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","SPI1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","MLH1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","MSH2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","APBB1IP","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","XG","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CD99","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","LIG4","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PRKDC","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","RC3H1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","HMGB1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CEBPB","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","RORC","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","RORA","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
