"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue"
"1","RVSV ZEBOV (D7)","LVS F TULARENSIS (H18)",1,8,69,45,466,"LAMP3",2.22,0.21,3.83846358033225e-10,1.20779185058394e-10
"2","RVSV ZEBOV (D7)","LVS F TULARENSIS (H192)",1,8,69,45,461,"LAMP3",2.22,0.22,3.83846358033225e-10,1.20779185058394e-10
"3","RVSV ZEBOV (D7)","LVS F TULARENSIS (H336)",1,8,70,45,471,"LAMP3",2.22,0.21,3.44975840764036e-10,1.08908836285481e-10
"4","RVSV ZEBOV (D7)","LVS F TULARENSIS (H48)",1,8,70,45,471,"LAMP3",2.22,0.21,3.44975840764036e-10,1.08908836285481e-10
"5","RVSV ZEBOV (D7)","CN54GP140 (D1)",0,9,14,45,53,"",0,0,1.22370562537476e-06,3.20870935924799e-07
"6","RVSV ZEBOV (D7)","CN54GP140 (D3)",0,9,4,45,26,"",0,0,0.0013986013986014,0.000292692693005166
"7","RVSV ZEBOV (D7)","CN54GP140 (D7)",0,9,2,45,7,"",0,0,0.0181818181818182,0.00340076333019493
"8","RVSV ZEBOV (D7)","CN54GP140 (H6)",0,9,9,45,54,"",0,0,4.11353352529823e-05,9.81900122116241e-06
"9","RVSV ZEBOV (D7)","HIV-1 GAG-POL NEF (D1)",7,2,520,45,2085,"CCL2,CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",15.56,0.34,0.000257776250214812,5.74703191231845e-05
"10","RVSV ZEBOV (D7)","HIV-1 GAG-POL NEF (D3)",4,5,74,45,265,"CXCL10,HERC5,IFIT1,RSAD2",8.89,1.51,4.33968042593344e-06,1.10568042004171e-06
"11","RVSV ZEBOV (D7)","HPV-VLP (M2)",1,8,147,45,647,"LAMP3",2.22,0.15,1.24164236397248e-12,4.4046228783368e-13
"12","RVSV ZEBOV (D7)","INFLUENZA (D1)",2,7,58,45,222,"IFIT1,RSAD2",4.44,0.9,4.13960491941817e-08,1.18438862110706e-08
"13","RVSV ZEBOV (D7)","MONOV INFLUENZA A (D1)",7,2,193,45,763,"CCL2,CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",15.56,0.92,0.00177331165952416,0.000369252412319289
"14","RVSV ZEBOV (D7)","PANDEMRIX (D1)",1,8,39,45,277,"CXCL10",2.22,0.36,2.38506002218201e-08,6.88610158980189e-09
"15","RVSV ZEBOV (D7)","FLUARIX FLUVIRIN (D28)",0,9,31,45,119,"",0,0,3.65712440015846e-09,1.1047659455634e-09
"16","RVSV ZEBOV (D7)","MONOV INFLUENZA A (D28)",0,9,26,45,138,"",0,0,1.41628094255196e-08,4.15027925366285e-09
"17","RVSV ZEBOV (D7)","FLUARIX FLUVIRIN (D3)",0,9,146,45,603,"",0,0,8.90311678524114e-15,3.55214811350735e-15
"18","RVSV ZEBOV (D7)","INFLUENZA (D3)",0,9,121,45,521,"",0,0,4.5420205442155e-14,1.74319127466109e-14
"19","RVSV ZEBOV (D7)","MONOV INFLUENZA A (D3)",5,4,49,45,164,"HERC5,IFIT1,ISG15,LAMP3,RSAD2",11.11,3.05,0.000296980696254743,6.57482635210534e-05
"20","RVSV ZEBOV (D7)","PANDEMRIX (D3)",0,9,5,45,34,"",0,0,0.0004995004995005,0.000107787053427417
"21","RVSV ZEBOV (D7)","PANDEMRIX (D30)",0,9,6,45,39,"",0,0,0.0001998001998002,4.49058119243705e-05
"22","RVSV ZEBOV (D7)","FLUAD (D7)",0,9,52,45,150,"",0,0,5.76642623290112e-11,1.88669124608447e-11
"23","RVSV ZEBOV (D7)","FLUARIX FLUVIRIN (D7)",2,7,311,45,1183,"IFIT1,ISG15",4.44,0.17,5.64129367883442e-13,2.03152319177847e-13
"24","RVSV ZEBOV (D7)","INFLUENZA (D7)",2,7,83,45,252,"ISG15,RSAD2",4.44,0.79,4.10932911758538e-09,1.23241979565931e-09
"25","RVSV ZEBOV (D7)","PANDEMRIX (D7)",2,7,46,45,239,"CXCL10,IFIT1",4.44,0.84,1.77403063085638e-07,4.90286205095339e-08
"26","RVSV ZEBOV (D7)","INACTIVATED INFLUENZA (D0)",0,9,2,45,3,"",0,0,0.0181818181818182,0.00340076333019493
"27","RVSV ZEBOV (D7)","FLUZONE (D1)",0,9,6,45,21,"",0,0,0.0001998001998002,4.49058119243705e-05
"28","RVSV ZEBOV (D7)","FLUZONE (D30)",0,9,2,45,5,"",0,0,0.0181818181818182,0.00340076333019493
"29","RVSV ZEBOV (D7)","FLUZONE (D7)",1,8,10,45,86,"CCL2",2.22,1.16,0.000119075970469159,2.74392339855126e-05
"30","RVSV ZEBOV (D7)","FLUMIST (D3)",0,9,177,45,747,"",0,0,1.65773056982124e-15,6.93407937782648e-16
"31","RVSV ZEBOV (D7)","FLUMIST (D7)",2,7,636,45,2520,"CXCL10,NFKB2",4.44,0.08,4.03647802575605e-15,1.65003529595379e-15
"32","RVSV ZEBOV (D7)","FLUMIST (D1)",0,9,2,45,4,"",0,0,0.0181818181818182,0.00340076333019493
"33","RVSV ZEBOV (D7)","FLUENZ (D3-4)",0,9,5,45,32,"",0,0,0.0004995004995005,0.000107787053427417
"34","RVSV ZEBOV (D7)","FLUMIST (D30)",0,9,2,45,3,"",0,0,0.0181818181818182,0.00340076333019493
"35","RVSV ZEBOV (D7)","FLUENZ (D6-7)",0,9,8,45,67,"",0,0,4.11353352529822e-05,9.81900122116241e-06
"36","RVSV ZEBOV (D7)","MENACTRA (D3)",0,9,29,45,175,"",0,0,6.1345312518787e-09,1.82744054726025e-09
"37","RVSV ZEBOV (D7)","MENACTRA (D7)",0,9,9,45,26,"",0,0,4.11353352529823e-05,9.81900122116241e-06
"38","RVSV ZEBOV (D7)","WETVAX (D2-4)",4,5,35,45,185,"CXCL10,HERC5,IFIT1,RSAD2",8.89,2.16,0.000116021244779044,2.67631202524013e-05
"39","RVSV ZEBOV (D7)","WETVAX (D5-7)",5,4,177,45,859,"CXCL10,HERC5,IFIT1,ISG15,RSAD2",11.11,0.58,2.60992604588126e-06,6.745218312466e-07
"40","RVSV ZEBOV (D7)","WETVAX (D50-60)",0,9,69,45,340,"",0,0,5.48351940047462e-12,1.89080663507404e-12
"41","RVSV ZEBOV (D7)","BCG (D7)",0,9,3,45,4,"",0,0,0.00454545454545454,0.00091416711459909
"42","RVSV ZEBOV (D7)","MVA85A (D2)",5,4,51,45,286,"CCL2,CXCL10,IFIT1,ISG15,RSAD2",11.11,1.75,0.000258389984312037,5.75493105042017e-05
"43","RVSV ZEBOV (D7)","ZOSTAVAX (D1)",0,9,1,45,17,"",0,0,0.1,0.0179185615532
"44","RVSV ZEBOV (D7)","ZOSTAVAX (D3)",0,9,4,45,18,"",0,0,0.0013986013986014,0.000292692693005166
"45","RVSV ZEBOV (D7)","YF VAX (ANY)",0,9,3,45,28,"",0,0,0.00454545454545454,0.00091416711459909
"46","RVSV ZEBOV (D7)","YF17D (D3)",6,3,28,45,114,"CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",13.33,5.26,0.0108108108108108,0.00209326290553782
"47","RVSV ZEBOV (D7)","YF VAX (D4-7)",3,6,110,45,490,"HERC5,IFIT1,ISG15",6.67,0.61,2.42067380823134e-08,6.98589430351288e-09
"48","RVSV ZEBOV (D7)","STAMARIL (D10)",4,5,92,45,440,"HERC5,IFIT1,ISG15,RSAD2",8.89,0.91,1.59073344742427e-06,4.14010854065681e-07
"49","RVSV ZEBOV (D7)","STAMARIL (D14)",0,9,14,45,68,"",0,0,1.22370562537476e-06,3.20870935924799e-07
"50","RVSV ZEBOV (D7)","STAMARIL (D28)",0,9,15,45,79,"",0,0,7.64816015859226e-07,2.03837213500486e-07
"51","RVSV ZEBOV (D7)","STAMARIL (D3)",4,5,104,45,500,"HERC5,IFIT1,ISG15,RSAD2",8.89,0.8,8.97662665950401e-07,2.37814631160384e-07
"52","RVSV ZEBOV (D7)","STAMARIL (D60)",0,9,21,45,100,"",0,0,6.98951223688852e-08,1.97431582119896e-08
"53","RVSV ZEBOV (D7)","STAMARIL (D7)",6,3,144,45,684,"CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",13.33,0.88,0.000143522030631702,3.26988181279865e-05
"54","RVSV ZEBOV (D7)","BBIBP (V3, D14)",0,9,5,45,34,"",0,0,0.0004995004995005,0.000107787053427417
"55","RVSV ZEBOV (D7)","BBIBP (V3, D28)",0,9,1,45,6,"",0,0,0.1,0.0179185615532
"56","RVSV ZEBOV (D7)","BNT (V1, D6)",0,9,2,45,7,"",0,0,0.0181818181818182,0.00340076333019493
"57","RVSV ZEBOV (D7)","BNT (V2, D1)",7,2,93,45,371,"CCL2,CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",15.56,1.89,0.0069889341875364,0.00138425695999219
"58","RVSV ZEBOV (D7)","BNT (V3, D1)",7,2,117,45,463,"CCL2,CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",15.56,1.51,0.00457142857142858,0.000919113165073245
"59","RVSV ZEBOV (D7)","BNT-I (D1)",0,9,120,45,473,"",0,0,4.87985678304144e-14,1.8663920259053e-14
"60","RVSV ZEBOV (D7)","BNT-I (D10, mild)",6,3,511,45,2154,"CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",13.33,0.28,3.60520591734466e-06,9.21016455980883e-07
"61","RVSV ZEBOV (D7)","BNT-I (D10, severe)",6,3,531,45,2204,"CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",13.33,0.27,3.21859057918536e-06,8.2637235646656e-07
"62","RVSV ZEBOV (D7)","BNT-I (D26, mild)",1,8,284,45,1228,"CCL2",2.22,0.08,7.35670453245741e-15,2.9528666161521e-15
"63","RVSV ZEBOV (D7)","BNT-I (D26, severe)",0,9,63,45,265,"",0,0,1.17490858017539e-11,3.98114168752703e-12
"64","RVSV ZEBOV (D7)","BNT-I (D3)",0,9,92,45,331,"",0,0,4.78853883678392e-13,1.73098883980836e-13
"65","RVSV ZEBOV (D7)","BNT-I (D4)",0,9,12,45,34,"",0,0,3.40217058483311e-06,8.70149420776985e-07
"66","RVSV ZEBOV (D7)","BNT-I-BNT (D51, mild)",0,9,57,45,234,"",0,0,2.70167085136389e-11,9.01227799142146e-12
"67","RVSV ZEBOV (D7)","BNT-I-BNT (D51, severe)",0,9,9,45,22,"",0,0,4.11353352529823e-05,9.81900122116241e-06
"68","RVSV ZEBOV (D7)","BNT-MO (V3, D1)",7,2,164,45,624,"CCL2,CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",15.56,1.12,0.0024196800645248,0.000496848471011526
"69","RVSV ZEBOV (D7)","ChAd (V1, D3)",6,3,117,45,511,"CCL2,CXCL10,IFIT1,ISG15,LAMP3,RSAD2",13.33,1.17,0.000258064516129033,5.7496063681186e-05
"70","RVSV ZEBOV (D7)","ChAd (V1, D6)",0,9,83,45,176,"",0,0,1.15107258195669e-12,4.08987443049317e-13
"71","RVSV ZEBOV (D7)","ChAd (V1, D7)",1,8,30,45,151,"CXCL10",2.22,0.66,1.46284976006338e-07,4.06310413702198e-08
"72","RVSV ZEBOV (D7)","ChAd (V2, D1)",7,2,120,45,427,"CCL2,CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",15.56,1.64,0.00436046511627907,0.000879087965000713
"73","RVSV ZEBOV (D7)","ChAd (V2, D3)",0,9,10,45,28,"",0,0,1.0825088224469e-05,2.6920949772442e-06
"74","RVSV ZEBOV (D7)","ChAd (V2, D7)",0,9,1,45,15,"",0,0,0.1,0.0179185615532
"75","RVSV ZEBOV (D7)","ChAd-BNT (V2, D3)",7,2,149,45,606,"CCL2,CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",15.56,1.16,0.00290252358300411,0.00059270206304675
"76","RVSV ZEBOV (D7)","ChAd-BNT (V2, D7)",4,5,88,45,406,"CCL2,CXCL10,IFIT1,RSAD2",8.89,0.99,1.95512449301759e-06,5.06866501665521e-07
"77","RVSV ZEBOV (D7)","ChAd-BNT (V3, D1)",7,2,201,45,785,"CCL2,CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",15.56,0.89,0.00164046479835953,0.000341910973360434
"78","RVSV ZEBOV (D7)","I (D10, moderate)",6,3,385,45,1572,"CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2",13.33,0.38,8.30339498142808e-06,2.0805237070613e-06
"79","RVSV ZEBOV (D7)","I (D10, severe)",1,8,428,45,1793,"CCL2",2.22,0.06,2.91003861051772e-16,1.25917895938285e-16
"80","RVSV ZEBOV (D7)","I (D26, moderate)",0,9,246,45,1024,"",0,0,9.18134617751836e-17,4.09252741284791e-17
"81","RVSV ZEBOV (D7)","I (D26, severe)",0,9,413,45,1585,"",0,0,9.31646308553087e-19,4.50585981460412e-19
"82","RVSV ZEBOV (D7)","I (D51, moderate)",0,9,10,45,26,"",0,0,1.0825088224469e-05,2.6920949772442e-06
"83","RVSV ZEBOV (D7)","I (D51, severe)",1,8,291,45,1214,"NFKB2",2.22,0.08,6.07671962258683e-15,2.45688263098522e-15
"84","RVSV ZEBOV (D7)","I-I (D1)",0,9,14,45,50,"",0,0,1.22370562537476e-06,3.20870935924799e-07
"85","RVSV ZEBOV (D7)","ZF2001 (V3, D07)",0,9,161,45,651,"",0,0,3.79544895315942e-15,1.55341557718171e-15
"86","RVSV ZEBOV (D7)","ZF2001 (V3, D14)",0,9,26,45,98,"",0,0,1.41628094255196e-08,4.15027925366285e-09
"87","RVSV ZEBOV (D7)","ZF2001 (V3, D28)",0,9,17,45,93,"",0,0,3.20046086636474e-07,8.72906519635015e-08
"88","LVS F TULARENSIS (H18)","LVS F TULARENSIS (H192)",69,1,1,466,461,"B2M,CARD9,CCL18,CCL19,CCL20,CCL21,CCR4,CCR6,CCR7,CD83,FCGR3A,ICAM1,ICOS,IRAK1,IRAK1BP1,LAMP3,NOD1,PYCARD,TAP2,TICAM1,ADAMDEC1,CARD8,CCL17,CCL22,CCR1,CCR2,CCR3,CCR5,CD1A,CD1B,CD1C,CD1D,CD209,CD44,CD58,CD68,CD74,CD80,CD81,CD86,CDC42,DCSTAMP,FAS,FCER1A,FCER1G,FCGR1A,FCGR2A,FCGR2B,HLA-DMA,HLA-DQB1,HLA-DRB1,IRAK2,IRAK4,LILRB4,MYD88,NOD2,TAP1,TIRAP,TLR1,TLR10,TLR2,TLR3,TLR4,TLR5,TLR6,TLR7,TLR8,TLR9,TRAF6",14.81,14.97,1,0.173849366793586
"89","LVS F TULARENSIS (H18)","LVS F TULARENSIS (H336)",70,0,1,466,471,"B2M,CARD9,CCL18,CCL19,CCL20,CCL21,CCR4,CCR6,CCR7,CD83,FCGR3A,ICAM1,ICOS,IRAK1,IRAK1BP1,LAMP3,NOD1,PYCARD,TAP2,TICAM1,ADAMDEC1,CARD8,CCL17,CCL22,CCR1,CCR2,CCR3,CCR5,CD1A,CD1B,CD1C,CD1D,CD209,CD44,CD58,CD68,CD74,CD80,CD81,CD86,CDC42,DCSTAMP,FAS,FCER1A,FCER1G,FCGR1A,FCGR2A,FCGR2B,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRB1,IRAK2,IRAK4,LILRB4,MYD88,NOD2,TAP1,TIRAP,TLR1,TLR10,TLR2,TLR3,TLR4,TLR5,TLR6,TLR7,TLR8,TLR9,TRAF6",15.02,14.86,1,0.173849366793586
"90","LVS F TULARENSIS (H18)","LVS F TULARENSIS (H48)",70,0,1,466,471,"B2M,CARD9,CCL18,CCL19,CCL20,CCL21,CCR4,CCR6,CCR7,CD83,FCGR3A,ICAM1,ICOS,IRAK1,IRAK1BP1,LAMP3,NOD1,PYCARD,TAP2,TICAM1,ADAMDEC1,CARD8,CCL17,CCL22,CCR1,CCR2,CCR3,CCR5,CD1A,CD1B,CD1C,CD1D,CD209,CD44,CD58,CD68,CD74,CD80,CD81,CD86,CDC42,DCSTAMP,FAS,FCER1A,FCER1G,FCGR1A,FCGR2A,FCGR2B,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRB1,IRAK2,IRAK4,LILRB4,MYD88,NOD2,TAP1,TIRAP,TLR1,TLR10,TLR2,TLR3,TLR4,TLR5,TLR6,TLR7,TLR8,TLR9,TRAF6",15.02,14.86,1,0.173849366793586
"91","LVS F TULARENSIS (H18)","CN54GP140 (D1)",0,70,14,466,53,"",0,0,3.15086223932188e-16,1.35808565476179e-16
"92","LVS F TULARENSIS (H18)","CN54GP140 (D3)",0,70,4,466,26,"",0,0,8.69092128980224e-07,2.30337233464334e-07
"93","LVS F TULARENSIS (H18)","CN54GP140 (D7)",0,70,2,466,7,"",0,0,0.000391236306729265,8.53379066159389e-05
"94","LVS F TULARENSIS (H18)","CN54GP140 (H6)",3,67,6,466,54,"FCGR3A,CCR2,CD1C",0.64,5.56,3.84230204391257e-07,1.0419862443965e-07
"95","LVS F TULARENSIS (H18)","HIV-1 GAG-POL NEF (D1)",32,38,495,466,2085,"CCR4,CCR6,CCR7,ICAM1,LAMP3,NOD1,PYCARD,TAP2,CCR1,CCR2,CD1C,CD44,CD68,CD86,FAS,FCER1A,FCER1G,FCGR2A,HLA-DMA,HLA-DMB,HLA-DRB1,LILRB4,MYD88,NOD2,TAP1,TLR1,TLR10,TLR2,TLR4,TLR6,TLR7,TLR8",6.87,1.53,4.29665518828882e-40,4.30633156692993e-40
"96","LVS F TULARENSIS (H18)","HIV-1 GAG-POL NEF (D3)",6,64,72,466,265,"FCGR3A,CCR1,TAP1,TLR1,TLR2,TLR6",1.29,2.26,6.9898159067746e-34,5.53772638767832e-34
"97","LVS F TULARENSIS (H18)","HPV-VLP (M2)",14,56,134,466,647,"CCL18,CCL19,CCL20,CD83,ICAM1,LAMP3,PYCARD,TAP2,CCL17,CD1B,CD209,NOD2,TLR1,TLR2",3,2.16,2.64880687416747e-37,2.37250165128244e-37
"98","LVS F TULARENSIS (H18)","INFLUENZA (D1)",6,64,54,466,222,"CD83,CD1D,CD68,FCGR1A,HLA-DMA,HLA-DMB",1.29,2.7,9.19139740265396e-29,6.25442992968678e-29
"99","LVS F TULARENSIS (H18)","MONOV INFLUENZA A (D1)",18,52,182,466,763,"ICAM1,LAMP3,NOD1,TAP2,CCR1,CCR3,CD74,FCER1A,FCGR1A,FCGR2B,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRB1,IRAK2,NOD2,TAP1,TLR5",3.86,2.36,7.21592478557524e-39,6.79231199290462e-39
"100","LVS F TULARENSIS (H18)","PANDEMRIX (D1)",11,59,29,466,277,"CD86,HLA-DRB1,MYD88,NOD2,TAP1,TLR1,TLR2,TLR4,TLR6,TLR7,TLR8",2.36,3.97,2.6235583704946e-16,1.13956739115624e-16
"101","LVS F TULARENSIS (H18)","FLUARIX FLUVIRIN (D28)",1,69,30,466,119,"NOD1",0.21,0.84,1.05541472651735e-24,6.29931498071931e-25
"102","LVS F TULARENSIS (H18)","MONOV INFLUENZA A (D28)",7,63,19,466,138,"CARD9,CD1C,FCER1A,HLA-DMB,HLA-DQB1,HLA-DRB1,NOD2",1.5,5.07,5.80631035146958e-14,2.21310005213195e-14
"103","LVS F TULARENSIS (H18)","FLUARIX FLUVIRIN (D3)",8,62,138,466,603,"ICOS,CCR2,CCR5,CD86,CDC42,FCER1G,TLR5,TLR8",1.72,1.33,1.44778579582767e-44,1.79421741654764e-44
"104","LVS F TULARENSIS (H18)","INFLUENZA (D3)",13,57,108,466,521,"CD1D,CD86,FCER1A,HLA-DQB1,HLA-DRB1,LILRB4,TLR2,TLR3,TLR4,TLR5,TLR7,TLR8,TLR9",2.79,2.5,2.49722715089766e-34,2.02669892921759e-34
"105","LVS F TULARENSIS (H18)","MONOV INFLUENZA A (D3)",3,67,51,466,164,"LAMP3,CCR1,FCGR1A",0.64,1.83,5.69367389590139e-31,4.14110781493231e-31
"106","LVS F TULARENSIS (H18)","PANDEMRIX (D3)",2,68,3,466,34,"TLR3,TLR7",0.43,5.88,0.000160782043861342,3.65186712448309e-05
"107","LVS F TULARENSIS (H18)","PANDEMRIX (D30)",2,68,4,466,39,"TLR7,TLR9",0.43,5.13,1.30363819347033e-05,3.22275330551045e-06
"108","LVS F TULARENSIS (H18)","FLUAD (D7)",1,69,51,466,150,"TLR8",0.21,0.67,1.19364232618476e-33,9.36749349972067e-34
"109","LVS F TULARENSIS (H18)","FLUARIX FLUVIRIN (D7)",13,57,300,466,1183,"CD83,ICAM1,IRAK1,CARD8,CCR2,CD44,CD58,CD86,FAS,LILRB4,TLR6,TLR8,TRAF6",2.79,1.1,7.47031739928074e-55,1.58832641760862e-54
"110","LVS F TULARENSIS (H18)","INFLUENZA (D7)",1,69,84,466,252,"CD1A",0.21,0.4,1.09214885746305e-43,1.2796127018294e-43
"111","LVS F TULARENSIS (H18)","PANDEMRIX (D7)",0,70,48,466,239,"",0,0,3.17430157073309e-34,2.56680804085651e-34
"112","LVS F TULARENSIS (H18)","INACTIVATED INFLUENZA (D0)",0,70,2,466,3,"",0,0,0.000391236306729265,8.53379066159389e-05
"113","LVS F TULARENSIS (H18)","FLUZONE (D1)",1,69,5,466,21,"FCGR1A",0.21,4.76,3.47636851592089e-07,9.45060119655135e-08
"114","LVS F TULARENSIS (H18)","FLUZONE (D30)",0,70,2,466,5,"",0,0,0.000391236306729265,8.53379066159389e-05
"115","LVS F TULARENSIS (H18)","FLUZONE (D7)",0,70,11,466,86,"",0,0,8.24798784647106e-14,3.11697772506459e-14
"116","LVS F TULARENSIS (H18)","FLUMIST (D3)",11,59,166,466,747,"CARD9,PYCARD,CD44,CD86,CDC42,FCER1G,HLA-DMB,HLA-DRB1,MYD88,TLR7,TLR8",2.36,1.47,8.36066734687285e-45,1.04389971113242e-44
"117","LVS F TULARENSIS (H18)","FLUMIST (D7)",25,45,613,466,2520,"CCR6,CCR7,CD83,ICAM1,ICOS,NOD1,TICAM1,CARD8,CCR1,CCR2,CD1C,CD1D,CD209,CD44,CD58,CD86,CDC42,FCER1A,FCGR1A,HLA-DRB1,TLR5,TLR6,TLR7,TLR8,TRAF6",5.36,0.99,9.60433228403933e-53,1.83141510757025e-52
"118","LVS F TULARENSIS (H18)","FLUMIST (D1)",0,70,2,466,4,"",0,0,0.000391236306729265,8.53379066159389e-05
"119","LVS F TULARENSIS (H18)","FLUENZ (D3-4)",1,69,4,466,32,"TLR1",0.21,3.12,4.34546064490113e-06,1.10630603142491e-06
"120","LVS F TULARENSIS (H18)","FLUMIST (D30)",0,70,2,466,3,"",0,0,0.000391236306729265,8.53379066159389e-05
"121","LVS F TULARENSIS (H18)","FLUENZ (D6-7)",0,70,8,466,67,"",0,0,4.2649595337025e-11,1.40789228614695e-11
"122","LVS F TULARENSIS (H18)","MENACTRA (D3)",3,67,26,466,175,"CARD9,CCL20,TLR4",0.64,1.71,1.78000800472602e-20,9.14033253503828e-21
"123","LVS F TULARENSIS (H18)","MENACTRA (D7)",0,70,9,466,26,"",0,0,4.8588146586484e-12,1.68062301901696e-12
"124","LVS F TULARENSIS (H18)","WETVAX (D2-4)",4,66,35,466,185,"FCGR3A,ICAM1,FCGR1A,FCGR2B",0.86,2.16,9.41442516215541e-24,5.37790250121945e-24
"125","LVS F TULARENSIS (H18)","WETVAX (D5-7)",17,53,165,466,859,"CCR7,FCGR3A,ICAM1,TAP2,CCR1,CD1C,CD74,FAS,FCGR1A,FCGR2B,HLA-DQB1,HLA-DRB1,MYD88,TAP1,TLR1,TLR2,TLR8",3.65,1.98,4.18346029253186e-38,3.80858205296675e-38
"126","LVS F TULARENSIS (H18)","WETVAX (D50-60)",4,66,65,466,340,"CCR2,CD1C,TLR5,TLR8",0.86,1.18,3.71819885483e-34,2.9812580063338e-34
"127","LVS F TULARENSIS (H18)","BCG (D7)",0,70,3,466,4,"",0,0,1.60782043861341e-05,3.95270434973603e-06
"128","LVS F TULARENSIS (H18)","MVA85A (D2)",7,63,49,466,286,"ICAM1,PYCARD,CD68,FCGR1A,TLR1,TLR6,TLR8",1.5,2.45,3.03131198217785e-26,1.90134223149197e-26
"129","LVS F TULARENSIS (H18)","ZOSTAVAX (D1)",0,70,1,466,17,"",0,0,0.0140845070422535,0.00268803392918504
"130","LVS F TULARENSIS (H18)","ZOSTAVAX (D3)",0,70,4,466,18,"",0,0,8.69092128980224e-07,2.30337233464334e-07
"131","LVS F TULARENSIS (H18)","YF VAX (ANY)",0,70,3,466,28,"",0,0,1.60782043861341e-05,3.95270434973603e-06
"132","LVS F TULARENSIS (H18)","YF17D (D3)",2,68,32,466,114,"LAMP3,TLR7",0.43,1.75,1.83913853333714e-24,1.08313114151962e-24
"133","LVS F TULARENSIS (H18)","YF VAX (D4-7)",5,65,108,466,490,"FCGR3A,CCR5,CD74,CD86,TAP1",1.07,1.02,3.57202912027132e-43,4.07049462805575e-43
"134","LVS F TULARENSIS (H18)","STAMARIL (D10)",5,65,91,466,440,"TAP2,CCR1,FCER1A,TAP1,TLR7",1.07,1.14,1.30410428850768e-39,1.2744131775853e-39
"135","LVS F TULARENSIS (H18)","STAMARIL (D14)",0,70,14,466,68,"",0,0,3.15086223932188e-16,1.35808565476179e-16
"136","LVS F TULARENSIS (H18)","STAMARIL (D28)",2,68,13,466,79,"FCER1G,MYD88",0.43,2.53,1.98504321077279e-13,7.35134712353864e-14
"137","LVS F TULARENSIS (H18)","STAMARIL (D3)",9,61,99,466,500,"TAP2,TICAM1,CCR1,CD68,CD86,FCER1G,MYD88,TAP1,TLR7",1.93,1.8,1.02425334542611e-36,8.93362864117342e-37
"138","LVS F TULARENSIS (H18)","STAMARIL (D60)",5,65,16,466,100,"CD74,CD86,NOD2,TAP1,TLR7",1.07,5,2.10506907933113e-13,7.77853269648059e-14
"139","LVS F TULARENSIS (H18)","STAMARIL (D7)",12,58,138,466,684,"LAMP3,TAP2,TICAM1,CCR1,CD68,CD74,CD86,FCER1G,MYD88,NOD2,TAP1,TLR7",2.58,1.75,5.92576532617414e-40,5.85968710897284e-40
"140","LVS F TULARENSIS (H18)","BBIBP (V3, D14)",0,70,5,466,34,"",0,0,5.79394752653482e-08,1.64358281679154e-08
"141","LVS F TULARENSIS (H18)","BBIBP (V3, D28)",0,70,1,466,6,"",0,0,0.0140845070422535,0.00268803392918504
"142","LVS F TULARENSIS (H18)","BNT (V1, D6)",0,70,2,466,7,"",0,0,0.000391236306729265,8.53379066159389e-05
"143","LVS F TULARENSIS (H18)","BNT (V2, D1)",6,64,94,466,371,"LAMP3,TAP2,FAS,FCGR1A,TAP1,TLR7",1.29,1.62,4.72332261764556e-39,4.4904990882926e-39
"144","LVS F TULARENSIS (H18)","BNT (V3, D1)",8,62,116,466,463,"ICAM1,LAMP3,TAP2,ADAMDEC1,FAS,FCGR1A,TAP1,TLR7",1.72,1.73,5.83546386403527e-41,6.0115699981912e-41
"145","LVS F TULARENSIS (H18)","BNT-I (D1)",5,65,115,466,473,"CCR6,CD83,ICAM1,CCR5,TLR3",1.07,1.06,1.61977841781956e-44,1.98884695081654e-44
"146","LVS F TULARENSIS (H18)","BNT-I (D10, mild)",24,46,493,466,2154,"B2M,CCR4,CCR6,CCR7,ICOS,IRAK1BP1,LAMP3,PYCARD,ADAMDEC1,CCR3,CD1C,CD58,CD81,FAS,FCER1A,FCER1G,FCGR1A,MYD88,NOD2,TAP1,TLR10,TLR2,TLR3,TLR5",5.15,1.11,3.82936536536089e-50,6.41920640803767e-50
