"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"OTHER","IGF1R","Manual","General","Undefined",NA,NA,NA
"OTHER","CRIP1","Manual","General","Undefined",NA,NA,NA
"OTHER","XBP1","Manual","General","Undefined",NA,NA,NA
"OTHER","GPR65","Manual","General","Undefined",NA,NA,NA
"OTHER","S1PR4","Manual","General","Undefined",NA,NA,NA
"OTHER","LTB","Manual","General","Undefined",NA,NA,NA
"OTHER","PKHD1L1","Manual","General","Undefined",NA,NA,NA
"OTHER","RGS1","Manual","General","Undefined",NA,NA,NA
"OTHER","CD96","Manual","General","Undefined",NA,NA,NA
"OTHER","CTSK","Manual","General","Undefined",NA,NA,NA
"OTHER","ACKR3","Manual","General","Undefined",NA,NA,NA
"OTHER","IL32","Manual","General","Undefined",NA,NA,NA
"OTHER","VPREB1","Manual","General","Undefined",NA,NA,NA
"OTHER","THBS1","Manual","General","Undefined",NA,NA,NA
"OTHER","CNIH1","Manual","General","Undefined",NA,NA,NA
"OTHER","ENDOU","Manual","General","Undefined",NA,NA,NA
"OTHER","OPRD1","Manual","General","Undefined",NA,NA,NA
"OTHER","RFX1","Manual","General","Undefined",NA,NA,NA
"OTHER","CCR10","Manual","General","Undefined",NA,NA,NA
"OTHER","GEM","Manual","General","Undefined",NA,NA,NA
"OTHER","SP2","Manual","General","Undefined",NA,NA,NA
"OTHER","CHST4","Manual","General","Undefined",NA,NA,NA
"OTHER","TNFRSF1B","Manual","General","Undefined",NA,NA,NA
"OTHER","TNFSF10","Manual","General","Undefined",NA,NA,NA
"OTHER","IL27RA","Manual","General","Undefined",NA,NA,NA
"OTHER","KIR2DL3","Manual","General","Undefined",NA,NA,NA
"OTHER","HRH2","Manual","General","Undefined",NA,NA,NA
"OTHER","CSF3","Manual","General","Undefined",NA,NA,NA
"OTHER","BMPR1A","Manual","General","Undefined",NA,NA,NA
"OTHER","PRG2","Manual","General","Undefined",NA,NA,NA
"OTHER","FCGR2C","Manual","General","Undefined",NA,NA,NA
"OTHER","CTSW","Manual","General","Undefined",NA,NA,NA
"OTHER","CNR2","Manual","General","Undefined",NA,NA,NA
"OTHER","IL1R1","Manual","General","Undefined",NA,NA,NA
"OTHER","XCR1","Manual","General","Undefined",NA,NA,NA
"OTHER","IL1R2","Manual","General","Undefined",NA,NA,NA
"OTHER","CXCR3","Manual","General","Undefined",NA,NA,NA
"OTHER","OSM","Manual","General","Undefined",NA,NA,NA
"OTHER","BMP6","Manual","General","Undefined",NA,NA,NA
"OTHER","KIR2DS2","Manual","General","Undefined",NA,NA,NA
"OTHER","OPRK1","Manual","General","Undefined",NA,NA,NA
"OTHER","AZGP1","Manual","General","Undefined",NA,NA,NA
"OTHER","MS4A2","Manual","General","Undefined",NA,NA,NA
"OTHER","GZMA","Manual","General","Undefined",NA,NA,NA
"OTHER","IRAK1BP1","Manual","General","Undefined",NA,NA,NA
"OTHER","FCGRT","Manual","General","Undefined",NA,NA,NA
"OTHER","CD164","Manual","General","Undefined",NA,NA,NA
"OTHER","TNFSF9","Manual","General","Undefined",NA,NA,NA
"OTHER","PIK3R6","Manual","General","Undefined",NA,NA,NA
"OTHER","CYP11B1","Manual","General","Undefined",NA,NA,NA
"OTHER"," TTLL1","Manual","General","Undefined",NA,NA,NA
"OTHER"," RO60","Manual","General","Undefined",NA,NA,NA
"OTHER"," CEACAM20","Manual","General","Undefined",NA,NA,NA
"OTHER","ADSS2","Manual","General","Undefined",NA,NA,NA
"OTHER","OLR1","Manual","General","Undefined",NA,NA,NA
"OTHER","RNF213","Manual","General","Undefined",NA,NA,NA
"OTHER","PTMS","Manual","General","Undefined",NA,NA,NA
"OTHER","PSMA1","Manual","General","Undefined",NA,NA,NA
"OTHER","FCGR2A","Manual","General","Undefined",NA,NA,NA
"OTHER","HP","Manual","General","Undefined",NA,NA,NA
"OTHER","PLD3","Manual","General","Undefined",NA,NA,NA
"OTHER","IDO2","Manual","General","Undefined",NA,NA,NA
"OTHER","PSMB9","Manual","General","Undefined",NA,NA,NA
"OTHER","CD300C","Manual","General","Undefined",NA,NA,NA
"OTHER","CD300LB","Manual","General","Undefined",NA,NA,NA
"OTHER","IRF2","Manual","General","Undefined",NA,NA,NA
"OTHER","SLFN11","Manual","General","Undefined",NA,NA,NA
"OTHER","IRF9","Manual","General","Undefined",NA,NA,NA
"OTHER","CD300LD","Manual","General","Undefined",NA,NA,NA
"OTHER","IL31","Manual","General","Undefined",NA,NA,NA
"OTHER","IRAG2","Manual","General","Undefined",NA,NA,NA
"OTHER","MYSM1","Manual","General","Undefined",NA,NA,NA
"OTHER","VSTM1","Manual","General","Undefined",NA,NA,NA
"OTHER","CD300LG","Manual","General","Undefined",NA,NA,NA
"OTHER","DCAF15","Manual","General","Undefined",NA,NA,NA
"OTHER","ADSS1","Manual","General","Undefined",NA,NA,NA
"OTHER"," ZNF3","Manual","General","Undefined",NA,NA,NA
"OTHER"," CNR2","Manual","General","Undefined",NA,NA,NA
"OTHER","MT-RNR2","Manual","General","Undefined",NA,NA,NA
"OTHER"," PTN","Manual","General","Undefined",NA,NA,NA
"OTHER"," DBH","Manual","General","Undefined",NA,NA,NA
"OTHER"," SELL","Manual","General","Undefined",NA,NA,NA
"OTHER","AIMP1","Manual","General","Undefined",NA,NA,NA
"OTHER","SELP","Manual","General","Undefined",NA,NA,NA
"OTHER","SELE","Manual","General","Undefined",NA,NA,NA
"OTHER","ADORA1","Manual","General","Undefined",NA,NA,NA
"OTHER","ITGA3","Manual","General","Undefined",NA,NA,NA
"OTHER","DBH","Manual","General","Undefined",NA,NA,NA
"OTHER","ADD2","Manual","General","Undefined",NA,NA,NA
"OTHER","ITGA6","Manual","General","Undefined",NA,NA,NA
"OTHER","CD34","Manual","General","Undefined",NA,NA,NA
"OTHER"," SELE","Manual","General","Undefined",NA,NA,NA
"OTHER","SELL","Manual","General","Undefined",NA,NA,NA
"OTHER","JAM2","Manual","General","Undefined",NA,NA,NA
"OTHER","GCNT1","Manual","General","Undefined",NA,NA,NA
"OTHER"," PDPN","Manual","General","Undefined",NA,NA,NA
"OTHER"," PAFAH1B1","Manual","General","Undefined",NA,NA,NA
"OTHER"," HMSD","Manual","General","Undefined",NA,NA,NA
"OTHER"," BST1","Manual","General","Undefined",NA,NA,NA
"OTHER"," ST6GAL1","Manual","General","Undefined",NA,NA,NA
"OTHER"," POU2F2","Manual","General","Undefined",NA,NA,NA
"OTHER"," TNFSF15","Manual","General","Undefined",NA,NA,NA
"OTHER"," PTAFR","Manual","General","Undefined",NA,NA,NA
"OTHER"," CEACAM8","Manual","General","Undefined",NA,NA,NA
"OTHER"," SCAP","Manual","General","Undefined",NA,NA,NA
"OTHER"," IL12A","Manual","General","Undefined",NA,NA,NA
"OTHER"," ETS1","Manual","General","Undefined",NA,NA,NA
"OTHER"," PNP","Manual","General","Undefined",NA,NA,NA
"OTHER"," IL1RL1","Manual","General","Undefined",NA,NA,NA
"OTHER"," DPP8","Manual","General","Undefined",NA,NA,NA
"OTHER"," ENPP1","Manual","General","Undefined",NA,NA,NA
"OTHER"," CRHR1","Manual","General","Undefined",NA,NA,NA
"OTHER"," GTPBP1","Manual","General","Undefined",NA,NA,NA
"OTHER"," IL3","Manual","General","Undefined",NA,NA,NA
"OTHER"," EXOSC9","Manual","General","Undefined",NA,NA,NA
"OTHER"," NRROS","Manual","General","Undefined",NA,NA,NA
"OTHER"," KIR2DL1","Manual","General","Undefined",NA,NA,NA
"OTHER"," LIF","Manual","General","Undefined",NA,NA,NA
"OTHER"," IGSF6","Manual","General","Undefined",NA,NA,NA
"OTHER"," TGFBR3","Manual","General","Undefined",NA,NA,NA
"OTHER"," ADGRE5","Manual","General","Undefined",NA,NA,NA
"OTHER"," IGF1R","Manual","General","Undefined",NA,NA,NA
"OTHER"," CRIP1","Manual","General","Undefined",NA,NA,NA
"OTHER"," XBP1","Manual","General","Undefined",NA,NA,NA
"OTHER"," GPR65","Manual","General","Undefined",NA,NA,NA
"OTHER"," S1PR4","Manual","General","Undefined",NA,NA,NA
"OTHER"," LTB","Manual","General","Undefined",NA,NA,NA
"OTHER"," PKHD1L1","Manual","General","Undefined",NA,NA,NA
"OTHER"," RGS1","Manual","General","Undefined",NA,NA,NA
"OTHER"," CD96","Manual","General","Undefined",NA,NA,NA
"OTHER"," CTSK","Manual","General","Undefined",NA,NA,NA
"OTHER"," ACKR3","Manual","General","Undefined",NA,NA,NA
"OTHER"," IL32","Manual","General","Undefined",NA,NA,NA
"OTHER"," VPREB1","Manual","General","Undefined",NA,NA,NA
"OTHER"," THBS1","Manual","General","Undefined",NA,NA,NA
"OTHER"," CNIH1","Manual","General","Undefined",NA,NA,NA
"OTHER"," ENDOU","Manual","General","Undefined",NA,NA,NA
"OTHER"," OPRD1","Manual","General","Undefined",NA,NA,NA
"OTHER"," RFX1","Manual","General","Undefined",NA,NA,NA
"OTHER"," CCR10","Manual","General","Undefined",NA,NA,NA
"OTHER"," GEM","Manual","General","Undefined",NA,NA,NA
"OTHER"," SP2","Manual","General","Undefined",NA,NA,NA
"OTHER"," CHST4","Manual","General","Undefined",NA,NA,NA
"OTHER"," TNFRSF1B","Manual","General","Undefined",NA,NA,NA
"OTHER"," TNFSF10","Manual","General","Undefined",NA,NA,NA
"OTHER"," IL27RA","Manual","General","Undefined",NA,NA,NA
"OTHER"," KIR2DL3","Manual","General","Undefined",NA,NA,NA
"OTHER"," HRH2","Manual","General","Undefined",NA,NA,NA
"OTHER"," CSF3","Manual","General","Undefined",NA,NA,NA
"OTHER"," BMPR1A","Manual","General","Undefined",NA,NA,NA
"OTHER"," PRG2","Manual","General","Undefined",NA,NA,NA
"OTHER"," FCGR2C","Manual","General","Undefined",NA,NA,NA
"OTHER"," CTSW","Manual","General","Undefined",NA,NA,NA
"OTHER"," IL1R1","Manual","General","Undefined",NA,NA,NA
"OTHER"," XCR1","Manual","General","Undefined",NA,NA,NA
"OTHER"," IL1R2","Manual","General","Undefined",NA,NA,NA
"OTHER"," CXCR3","Manual","General","Undefined",NA,NA,NA
"OTHER"," OSM","Manual","General","Undefined",NA,NA,NA
"OTHER"," BMP6","Manual","General","Undefined",NA,NA,NA
"OTHER"," KIR2DS2","Manual","General","Undefined",NA,NA,NA
"OTHER"," OPRK1","Manual","General","Undefined",NA,NA,NA
"OTHER"," AZGP1","Manual","General","Undefined",NA,NA,NA
"OTHER"," MS4A2","Manual","General","Undefined",NA,NA,NA
"OTHER"," GZMA","Manual","General","Undefined",NA,NA,NA
"OTHER"," IRAK1BP1","Manual","General","Undefined",NA,NA,NA
"OTHER"," FCGRT","Manual","General","Undefined",NA,NA,NA
"OTHER"," CD164","Manual","General","Undefined",NA,NA,NA
"OTHER"," TNFSF9","Manual","General","Undefined",NA,NA,NA
"OTHER"," PIK3R6","Manual","General","Undefined",NA,NA,NA
"OTHER"," CYP11B1","Manual","General","Undefined",NA,NA,NA
"OTHER"," ADSS2","Manual","General","Undefined",NA,NA,NA
"OTHER"," OLR1","Manual","General","Undefined",NA,NA,NA
"OTHER"," RNF213","Manual","General","Undefined",NA,NA,NA
"OTHER"," PTMS","Manual","General","Undefined",NA,NA,NA
"OTHER"," PSMA1","Manual","General","Undefined",NA,NA,NA
"OTHER"," FCGR2A","Manual","General","Undefined",NA,NA,NA
"OTHER"," HP","Manual","General","Undefined",NA,NA,NA
"OTHER"," PLD3","Manual","General","Undefined",NA,NA,NA
"OTHER"," IDO2","Manual","General","Undefined",NA,NA,NA
"OTHER"," PSMB9","Manual","General","Undefined",NA,NA,NA
"OTHER"," CD300C","Manual","General","Undefined",NA,NA,NA
"OTHER"," CD300LB","Manual","General","Undefined",NA,NA,NA
"OTHER"," IRF2","Manual","General","Undefined",NA,NA,NA
"OTHER"," SLFN11","Manual","General","Undefined",NA,NA,NA
"OTHER"," IRF9","Manual","General","Undefined",NA,NA,NA
"OTHER"," CD300LD","Manual","General","Undefined",NA,NA,NA
"OTHER"," IL31","Manual","General","Undefined",NA,NA,NA
"OTHER"," IRAG2","Manual","General","Undefined",NA,NA,NA
"OTHER"," MYSM1","Manual","General","Undefined",NA,NA,NA
"OTHER"," VSTM1","Manual","General","Undefined",NA,NA,NA
"OTHER"," CD300LG","Manual","General","Undefined",NA,NA,NA
"OTHER"," DCAF15","Manual","General","Undefined",NA,NA,NA
"OTHER"," ADSS1","Manual","General","Undefined",NA,NA,NA
"OTHER"," MT-RNR2","Manual","General","Undefined",NA,NA,NA
"OTHER"," AIMP1","Manual","General","Undefined",NA,NA,NA
"OTHER"," SELP","Manual","General","Undefined",NA,NA,NA
"OTHER"," ADORA1","Manual","General","Undefined",NA,NA,NA
"OTHER"," ITGA3","Manual","General","Undefined",NA,NA,NA
"OTHER"," ADD2","Manual","General","Undefined",NA,NA,NA
"OTHER"," ITGA6","Manual","General","Undefined",NA,NA,NA
"OTHER"," CD34","Manual","General","Undefined",NA,NA,NA
"OTHER"," GCNT1","Manual","General","Undefined",NA,NA,NA
"MACROPHAGES","IL13","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","HAMP","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","CRTC3","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","JMJD6","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","FCGR3A","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","TMEM229B","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","SLC11A1","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","ADGRF5","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","TLR4","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","EDN2","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","TICAM1","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","IFI35","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","IL33","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","PRKCE","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","SYK","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","LBP","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","PLCG2","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","SFTPD","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","CCL2","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","LGALS3","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","AZU1","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","EDNRB","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","RPL13A","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","CXCL17","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","CCL5","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","SAA1","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","CCL3","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","MMP2","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","LIPA","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","CSF1","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","ROR2","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","MCOLN2","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","BCR","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","CCR2","Manual","Innate","APC","Macrophages","Macrophages",NA
"MACROPHAGES","B4GALT1","Manual","Innate","APC","Macrophages","Macrophages",NA
"ACTIVATED T CELL PROLIFERATION","ABL1","GO:0050798","Adaptive","Cellular","Proliferation, T cell, Activated","T cell",3
"ACTIVATED T CELL PROLIFERATION","STAT5B","GO:0050798","Adaptive","Cellular","Proliferation, T cell, Activated","T cell",3
"ACTIVATED T CELL PROLIFERATION","IL2","GO:0050798","Adaptive","Cellular","Proliferation, T cell, Activated","T cell",3
"ACTIVATION OF IMMUNE RESPONSE","HMSD","GO:0002253","General","Immune","Activation, Immune response","Undefined",1
"ACTIVATION OF INNATE IMMUNE RESPONSE","STING1","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","MAVS","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","NLRP10","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","XRCC5","GO:0002218","Innate","General","Activation, Innate immune response","Undefined",16
