"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"43","MONOV INFLUENZA A_DOWN","MENACTRA_UP",0,35,43,35,43,"",0,0,5.5127547862678e-23,22.2586313250138
"44","MONOV INFLUENZA A_DOWN","WETVAX_DOWN",0,35,341,35,392,"",0,0,3.90792486273075e-50,49.4080537950083
"45","MONOV INFLUENZA A_DOWN","ZOSTAVAX_UP",0,35,20,35,21,"",0,0,1.98005180978782e-15,14.7033234458947
"46","MONOV INFLUENZA A_DOWN","YF17D_UP",0,35,46,35,94,"",0,0,9.80820647627098e-24,23.0084104002317
"47","MONOV INFLUENZA A_DOWN","STAMARIL_DOWN",0,35,233,35,461,"",0,0,1.09137791958978e-44,43.9620248369715
"48","MONOV INFLUENZA A_DOWN","STAMARIL_UP",0,35,339,35,842,"",0,0,4.75260829433351e-50,49.3230679783877
"49","MONOV INFLUENZA A_DOWN","MMR II_DOWN",5,30,736,35,746,"ADAMTS7, KCNJ5-AS1, DPEP3, NOG, NRCAM",14.29,0.67,3.7293771897344e-49,48.4283636898122
"50","MONOV INFLUENZA A_DOWN","MMR II_UP",0,35,974,35,977,"",0,0,1.37123524020311e-65,64.8628880340811
"51","MONOV INFLUENZA A_DOWN","PREVNAR_UP",0,35,154,35,208,"",0,0,6.2664634825372e-39,38.202977486814
"52","MONOV INFLUENZA A_DOWN","PREVNAR_DOWN",0,35,5,35,5,"",0,0,1.51973836184362e-06,5.81823117375793
"53","MONOV INFLUENZA A_DOWN","DRYVAX_UP",0,35,72,35,74,"",0,0,5.15886095802609e-29,28.2874461771036
"54","MONOV INFLUENZA A_DOWN","BCG_DOWN",0,35,256,35,256,"",0,0,5.0501157401606e-46,45.2966986684681
"55","MONOV INFLUENZA A_DOWN","BCG_UP",0,35,127,35,127,"",0,0,2.53154493765533e-36,35.5966143590129
"56","MONOV INFLUENZA A_DOWN","PPD_DOWN",1,34,180,35,181,"SPRY2",2.86,0.55,8.09934465616759e-39,38.0915501198527
"57","MONOV INFLUENZA A_DOWN","PPD_UP",0,35,92,35,93,"",0,0,4.26626211077037e-32,31.3699524658664
"58","MONOV INFLUENZA A_DOWN","TC-83_DOWN",0,35,41,35,46,"",0,0,1.83331147543323e-22,21.7367637431283
"59","MONOV INFLUENZA A_DOWN","TC-83_UP",0,35,786,35,884,"",0,0,2.14521272410123e-62,61.6685296357298
"60","MONOV INFLUENZA A_DOWN","MVA85A_DOWN",0,35,12,35,12,"",0,0,1.91382428741307e-11,10.718097938299
"61","MONOV INFLUENZA A_UP","IMUVAC_UP",21,356,23,377,44,"ANKRD22, BATF2, CD274, ETV7, FCGR1A, FCGR1BP, GBP1, GBP4, GBP5, ICAM1, IDO1, IRF1, KREMEN1, LPCAT2, NOD2, PRRG4, PSTPIP2, RAB20, SERPING1, TNFAIP2, WARS1",5.57,47.73,1.40885797668175e-25,24.8511327847843
