"source","target","value","type"
"BNT (V2, D1)","KCNJ2",1,"Directed"
"BNT (V2, D1)","TAP2",1,"Directed"
"BNT (V2, D1)","MLKL",1,"Directed"
"BNT (V2, D1)","RSPH9",1,"Directed"
"BNT (V2, D1)","ASPHD2",1,"Directed"
"BNT (V2, D1)","DDX60L",1,"Directed"
"BNT (V2, D1)","IDO1",1,"Directed"
"BNT (V2, D1)","CFB",1,"Directed"
"BNT (V2, D1)","RTP4",1,"Directed"
"BNT (V2, D1)","RBFOX3",-1,"Directed"
"BNT (V2, D1)","IDO2",1,"Directed"
"BNT (V2, D1)","ATF3",1,"Directed"
"BNT (V2, D1)","NUB1",1,"Directed"
"BNT (V2, D1)","IFI16",1,"Directed"
"BNT (V2, D1)","IFI27",1,"Directed"
"BNT (V2, D1)","TCN2",1,"Directed"
"BNT (V2, D1)","IFI35",1,"Directed"
"BNT (V2, D1)","IFI44",1,"Directed"
"BNT (V2, D1)","IFI44L",1,"Directed"
"BNT (V2, D1)","SERPING1",1,"Directed"
"BNT (V2, D1)","IFI6",1,"Directed"
"BNT (V2, D1)","IFIH1",1,"Directed"
"BNT (V2, D1)","TMEM132E",-1,"Directed"
"BNT (V2, D1)","SNORA11",-1,"Directed"
"BNT (V2, D1)","IFIT2",1,"Directed"
"BNT (V2, D1)","KLF5",1,"Directed"
"BNT (V2, D1)","SAMD4A",1,"Directed"
"BNT (V2, D1)","IFIT5",1,"Directed"
"BNT (V2, D1)","DHX58",1,"Directed"
"BNT (V2, D1)","DIAPH2-AS1",1,"Directed"
"BNT (V2, D1)","DIO1",1,"Directed"
"BNT (V2, D1)","RNU4-2",-1,"Directed"
"BNT (V2, D1)","ORM1",-1,"Directed"
"BNT (V2, D1)","TRIM21",1,"Directed"
"BNT (V2, D1)","CD276",1,"Directed"
"BNT (V2, D1)","CCL2",1,"Directed"
"BNT (V2, D1)","MTCO2P12",-1,"Directed"
"BNT (V2, D1)","RHBDF2",1,"Directed"
"BNT (V2, D1)","OTOF",1,"Directed"
"BNT (V2, D1)","SOCS1",1,"Directed"
"BNT (V2, D1)","EIF2AK2",1,"Directed"
"BNT (V2, D1)","SDC3",1,"Directed"
"BNT (V2, D1)","TRIM5",1,"Directed"
"BNT (V2, D1)","TRIM6",1,"Directed"
"BNT (V2, D1)","RIGI",1,"Directed"
"BNT (V2, D1)","DOCK4",1,"Directed"
"BNT (V2, D1)","P2RY6",1,"Directed"
"BNT (V2, D1)","MUC1",1,"Directed"
"BNT (V2, D1)","MUC4",-1,"Directed"
"BNT (V2, D1)","RIPK2",1,"Directed"
"BNT (V2, D1)","CCL8",1,"Directed"
"BNT (V2, D1)","TRPV4",1,"Directed"
"BNT (V2, D1)","FCGR1A",1,"Directed"
"BNT (V2, D1)","BCL2L14",1,"Directed"
"BNT (V2, D1)","MYOF",1,"Directed"
"BNT (V2, D1)","LGALS3BP",1,"Directed"
"BNT (V2, D1)","PARP9",1,"Directed"
"BNT (V2, D1)","CCRL2",1,"Directed"
"BNT (V2, D1)","TPH2",-1,"Directed"
"BNT (V2, D1)","C2",1,"Directed"
"BNT (V2, D1)","GBP3",1,"Directed"
"BNT (V2, D1)","SFRP1",1,"Directed"
"BNT (V2, D1)","GBP6",1,"Directed"
"BNT (V2, D1)","RAB39A",1,"Directed"
"BNT (V2, D1)","PDCD1LG2",1,"Directed"
"BNT (V2, D1)","CD274",1,"Directed"
"BNT (V2, D1)","INSYN2B",1,"Directed"
"BNT (V2, D1)","NCKAP5",-1,"Directed"
"BNT (V2, D1)","CACNA1A",1,"Directed"
"BNT (V2, D1)","KCNJ10",1,"Directed"
"BNT (V2, D1)","CACNA1E",1,"Directed"
"BNT (V2, D1)","GJD4",-1,"Directed"
"BNT (V2, D1)","ETV7",1,"Directed"
"BNT (V2, D1)","EXOC3L4",1,"Directed"
"BNT (V2, D1)","ISG15",1,"Directed"
"BNT (V2, D1)","NRN1",1,"Directed"
"BNT (V2, D1)","SLAMF8",1,"Directed"
"BNT (V2, D1)","FCGR1BP",1,"Directed"
"BNT (V2, D1)","GALNT14",-1,"Directed"
"BNT (V2, D1)","C15orf48",1,"Directed"
"BNT (V2, D1)","CASP5",1,"Directed"
"BNT (V2, D1)","PARP12",1,"Directed"
"BNT (V2, D1)","FGF13",1,"Directed"
"BNT (V2, D1)","C1QA",1,"Directed"
"BNT (V2, D1)","C1QB",1,"Directed"
"BNT (V2, D1)","ENTREP1",-1,"Directed"
"BNT (V2, D1)","C1QC",1,"Directed"
"BNT (V2, D1)","DHRS9",1,"Directed"
"BNT (V2, D1)","OASL",1,"Directed"
"BNT (V2, D1)","EPB41L3",1,"Directed"
"BNT (V2, D1)","SNORA74A",-1,"Directed"
"BNT (V2, D1)","SNORA74B",-1,"Directed"
"BNT (V2, D1)","CDC45",1,"Directed"
"BNT (V2, D1)","SNORA79B",-1,"Directed"
"BNT (V2, D1)","GBP7",1,"Directed"
"BNT (V2, D1)","GCH1",1,"Directed"
"BNT (V2, D1)","TYMP",1,"Directed"
"BNT (V2, D1)","PLA1A",1,"Directed"
"BNT (V2, D1)","CARD10",-1,"Directed"
"BNT (V2, D1)","KCNB1",-1,"Directed"
"BNT (V2, D1)","SCO2",1,"Directed"
"BNT (V2, D1)","PML",1,"Directed"
"BNT (V2, D1)","UBE2L6",1,"Directed"
"BNT (V2, D1)","CCL25",1,"Directed"
"BNT (V2, D1)","KCNMA1",1,"Directed"
"BNT (V2, D1)","SDC2",-1,"Directed"
"BNT (V2, D1)","SIGLEC1",1,"Directed"
"BNT (V2, D1)","VPS9D1",1,"Directed"
"BNT (V2, D1)","OXGR1",-1,"Directed"
"BNT (V2, D1)","LY6E",1,"Directed"
"BNT (V2, D1)","CALHM6",1,"Directed"
"BNT (V2, D1)","LAP3",1,"Directed"
"BNT (V2, D1)","EXOC3L1",1,"Directed"
"BNT (V2, D1)","FBXO6",1,"Directed"
"BNT (V2, D1)","RSAD2",1,"Directed"
"BNT (V2, D1)","FAM20A",1,"Directed"
