"source","target","annotation"
"MONOV INFLUENZA A (D1)","ADAMTS7","DOWN"
"MONOV INFLUENZA A (D1)","ATG9B","DOWN"
"MONOV INFLUENZA A (D1)","ATP13A4","DOWN"
"MONOV INFLUENZA A (D1)","HEATR9","DOWN"
"MONOV INFLUENZA A (D1)","CACNA1I","DOWN"
"MONOV INFLUENZA A (D1)","CHD5","DOWN"
"MONOV INFLUENZA A (D1)","COL5A1","DOWN"
"MONOV INFLUENZA A (D1)","COL5A3","DOWN"
"MONOV INFLUENZA A (D1)","CYP4F12","DOWN"
"MONOV INFLUENZA A (D1)","DPEP3","DOWN"
"MONOV INFLUENZA A (D1)","FXYD2","DOWN"
"MONOV INFLUENZA A (D1)","GSDMA","DOWN"
"MONOV INFLUENZA A (D1)","HSPG2","DOWN"
"MONOV INFLUENZA A (D1)","MFGE8","DOWN"
"MONOV INFLUENZA A (D1)","MMP15","DOWN"
"MONOV INFLUENZA A (D1)","NDRG4","DOWN"
"MONOV INFLUENZA A (D1)","NOG","DOWN"
"MONOV INFLUENZA A (D1)","NRCAM","DOWN"
"MONOV INFLUENZA A (D1)","SHANK1","DOWN"
"MONOV INFLUENZA A (D1)","SPRY1","DOWN"
"MONOV INFLUENZA A (D1)","SPRY2","DOWN"
"MONOV INFLUENZA A (D1)","STYK1","DOWN"
"MONOV INFLUENZA A (D1)","SYT17","DOWN"
"MONOV INFLUENZA A (D1)","TNNC1","DOWN"
"MONOV INFLUENZA A (D1)","TPBG","DOWN"
"MONOV INFLUENZA A (D1)","TRIM74","DOWN"
"MONOV INFLUENZA A (D1)","AANAT","UP"
"MONOV INFLUENZA A (D1)","ACP3","UP"
"MONOV INFLUENZA A (D1)","ACSL1","UP"
"MONOV INFLUENZA A (D1)","ACVRL1","UP"
"MONOV INFLUENZA A (D1)","ADAMTSL4","UP"
"MONOV INFLUENZA A (D1)","ADAP2","UP"
"MONOV INFLUENZA A (D1)","ADPRH","UP"
"MONOV INFLUENZA A (D1)","AK4","UP"
"MONOV INFLUENZA A (D1)","ALDH1A1","UP"
"MONOV INFLUENZA A (D1)","ANKRD34B","UP"
"MONOV INFLUENZA A (D1)","ANO5","UP"
"MONOV INFLUENZA A (D1)","APOL2","UP"
"MONOV INFLUENZA A (D1)","APOL3","UP"
"MONOV INFLUENZA A (D1)","APOL4","UP"
"MONOV INFLUENZA A (D1)","APOL6","UP"
"MONOV INFLUENZA A (D1)","AQP9","UP"
"MONOV INFLUENZA A (D1)","BMAL2","UP"
"MONOV INFLUENZA A (D1)","ASGR2","UP"
"MONOV INFLUENZA A (D1)","ATF3","UP"
"MONOV INFLUENZA A (D1)","ATF5","UP"
"MONOV INFLUENZA A (D1)","ATP6V1B2","UP"
"MONOV INFLUENZA A (D1)","BACH1","UP"
"MONOV INFLUENZA A (D1)","BCL2A1","UP"
"MONOV INFLUENZA A (D1)","BEST1","UP"
"MONOV INFLUENZA A (D1)","BLVRA","UP"
"MONOV INFLUENZA A (D1)","CARD16","UP"
"MONOV INFLUENZA A (D1)","CARD17P","UP"
"MONOV INFLUENZA A (D1)","CASP5","UP"
"MONOV INFLUENZA A (D1)","CASP7","UP"
"MONOV INFLUENZA A (D1)","CD36","UP"
"MONOV INFLUENZA A (D1)","CDHR5","UP"
"MONOV INFLUENZA A (D1)","CDKN1A","UP"
"MONOV INFLUENZA A (D1)","CES1","UP"
"MONOV INFLUENZA A (D1)","CHST15","UP"
"MONOV INFLUENZA A (D1)","CMPK2","UP"
"MONOV INFLUENZA A (D1)","CREB5","UP"
"MONOV INFLUENZA A (D1)","CRISPLD2","UP"
"MONOV INFLUENZA A (D1)","CTSB","UP"
"MONOV INFLUENZA A (D1)","CYP1B1","UP"
"MONOV INFLUENZA A (D1)","CYP27A1","UP"
"MONOV INFLUENZA A (D1)","DDO","UP"
"MONOV INFLUENZA A (D1)","DHRS9","UP"
"MONOV INFLUENZA A (D1)","DOCK4","UP"
"MONOV INFLUENZA A (D1)","DPYD","UP"
"MONOV INFLUENZA A (D1)","DRAM1","UP"
"MONOV INFLUENZA A (D1)","DSC2","UP"
"MONOV INFLUENZA A (D1)","DSE","UP"
"MONOV INFLUENZA A (D1)","DUSP1","UP"
"MONOV INFLUENZA A (D1)","DUSP3","UP"
"MONOV INFLUENZA A (D1)","DUSP6","UP"
"MONOV INFLUENZA A (D1)","EGR2","UP"
"MONOV INFLUENZA A (D1)","EGR3","UP"
"MONOV INFLUENZA A (D1)","EMILIN2","UP"
"MONOV INFLUENZA A (D1)","EPB41L3","UP"
"MONOV INFLUENZA A (D1)","ETV7","UP"
"MONOV INFLUENZA A (D1)","EXOC3L1","UP"
"MONOV INFLUENZA A (D1)","FAM20A","UP"
"MONOV INFLUENZA A (D1)","FAM20C","UP"
"MONOV INFLUENZA A (D1)","CALHM6","UP"
"MONOV INFLUENZA A (D1)","FBXO6","UP"
"MONOV INFLUENZA A (D1)","FGD4","UP"
"MONOV INFLUENZA A (D1)","FOS","UP"
"MONOV INFLUENZA A (D1)","FRMD3","UP"
"MONOV INFLUENZA A (D1)","GBP3","UP"
"MONOV INFLUENZA A (D1)","GCA","UP"
"MONOV INFLUENZA A (D1)","GLUL","UP"
"MONOV INFLUENZA A (D1)","GM2A","UP"
"MONOV INFLUENZA A (D1)","GNB4","UP"
"MONOV INFLUENZA A (D1)","GNG10","UP"
"MONOV INFLUENZA A (D1)","GPBAR1","UP"
"MONOV INFLUENZA A (D1)","HCAR2","UP"
"MONOV INFLUENZA A (D1)","GPR84","UP"
"MONOV INFLUENZA A (D1)","GPRC5C","UP"
"MONOV INFLUENZA A (D1)","GRINA","UP"
"MONOV INFLUENZA A (D1)","HBEGF","UP"
"MONOV INFLUENZA A (D1)","HORMAD1","UP"
"MONOV INFLUENZA A (D1)","HSPA6","UP"
"MONOV INFLUENZA A (D1)","HSPA7","UP"
"MONOV INFLUENZA A (D1)","IGF2BP3","UP"
"MONOV INFLUENZA A (D1)","KCNJ15","UP"
"MONOV INFLUENZA A (D1)","KCNJ2","UP"
"MONOV INFLUENZA A (D1)","KCTD12","UP"
"MONOV INFLUENZA A (D1)","SHTN1","UP"
"MONOV INFLUENZA A (D1)","KLF4","UP"
"MONOV INFLUENZA A (D1)","KREMEN1","UP"
"MONOV INFLUENZA A (D1)","LACTB","UP"
"MONOV INFLUENZA A (D1)","LAP3","UP"
"MONOV INFLUENZA A (D1)","LHFPL2","UP"
"MONOV INFLUENZA A (D1)","LIPN","UP"
"MONOV INFLUENZA A (D1)","LMNB1","UP"
"MONOV INFLUENZA A (D1)","LMO2","UP"
"MONOV INFLUENZA A (D1)","LPCAT2","UP"
"MONOV INFLUENZA A (D1)","LRG1","UP"
"MONOV INFLUENZA A (D1)","LRRC4","UP"
"MONOV INFLUENZA A (D1)","LRRK2","UP"
"MONOV INFLUENZA A (D1)","MARCKS","UP"
"MONOV INFLUENZA A (D1)","MCTP1","UP"
"MONOV INFLUENZA A (D1)","SLC49A3","UP"
"MONOV INFLUENZA A (D1)","MORN2","UP"
"MONOV INFLUENZA A (D1)","MPZL2","UP"
"MONOV INFLUENZA A (D1)","IRAG1","UP"
"MONOV INFLUENZA A (D1)","MSR1","UP"
"MONOV INFLUENZA A (D1)","MT2A","UP"
"MONOV INFLUENZA A (D1)","MTHFD2","UP"
"MONOV INFLUENZA A (D1)","MUC1","UP"
"MONOV INFLUENZA A (D1)","MYOF","UP"
"MONOV INFLUENZA A (D1)","NAMPT","UP"
"MONOV INFLUENZA A (D1)","NCF1B","UP"
"MONOV INFLUENZA A (D1)","NCF1C","UP"
"MONOV INFLUENZA A (D1)","NEXN","UP"
"MONOV INFLUENZA A (D1)","NFIX","UP"
"MONOV INFLUENZA A (D1)","NGFR","UP"
"MONOV INFLUENZA A (D1)","NHSL1","UP"
"MONOV INFLUENZA A (D1)","NPC2","UP"
"MONOV INFLUENZA A (D1)","OPLAH","UP"
"MONOV INFLUENZA A (D1)","P2RY12","UP"
"MONOV INFLUENZA A (D1)","P2RY13","UP"
"MONOV INFLUENZA A (D1)","PFKFB3","UP"
"MONOV INFLUENZA A (D1)","PKMYT1","UP"
"MONOV INFLUENZA A (D1)","PLA2G4A","UP"
"MONOV INFLUENZA A (D1)","PLA2G7","UP"
"MONOV INFLUENZA A (D1)","PLBD1","UP"
"MONOV INFLUENZA A (D1)","PLEKHG6","UP"
"MONOV INFLUENZA A (D1)","PLEKHO1","UP"
"MONOV INFLUENZA A (D1)","PLSCR1","UP"
"MONOV INFLUENZA A (D1)","PLXNC1","UP"
"MONOV INFLUENZA A (D1)","PRLR","UP"
"MONOV INFLUENZA A (D1)","PSMA4","UP"
"MONOV INFLUENZA A (D1)","PSME2","UP"
"MONOV INFLUENZA A (D1)","PSTPIP2","UP"
"MONOV INFLUENZA A (D1)","NECTIN2","UP"
"MONOV INFLUENZA A (D1)","RAB31","UP"
"MONOV INFLUENZA A (D1)","RAB39A","UP"
"MONOV INFLUENZA A (D1)","RASGEF1B","UP"
"MONOV INFLUENZA A (D1)","RBM47","UP"
"MONOV INFLUENZA A (D1)","RNF217","UP"
"MONOV INFLUENZA A (D1)","RTP4","UP"
"MONOV INFLUENZA A (D1)","RUFY4","UP"
"MONOV INFLUENZA A (D1)","SAMD4A","UP"
"MONOV INFLUENZA A (D1)","SCARB2","UP"
"MONOV INFLUENZA A (D1)","SCARF1","UP"
"MONOV INFLUENZA A (D1)","SCO2","UP"
"MONOV INFLUENZA A (D1)","SDC3","UP"
"MONOV INFLUENZA A (D1)","SDSL","UP"
"MONOV INFLUENZA A (D1)","SEMA6B","UP"
"MONOV INFLUENZA A (D1)","SEPTIN4","UP"
"MONOV INFLUENZA A (D1)","SERPINA1","UP"
"MONOV INFLUENZA A (D1)","SH3PXD2B","UP"
"MONOV INFLUENZA A (D1)","SIGLEC1","UP"
"MONOV INFLUENZA A (D1)","SIGLEC11","UP"
"MONOV INFLUENZA A (D1)","SIGLEC16","UP"
"MONOV INFLUENZA A (D1)","SLC1A3","UP"
"MONOV INFLUENZA A (D1)","SLC22A16","UP"
"MONOV INFLUENZA A (D1)","SLC24A4","UP"
"MONOV INFLUENZA A (D1)","SLC31A1","UP"
"MONOV INFLUENZA A (D1)","SLC31A2","UP"
"MONOV INFLUENZA A (D1)","SLC6A12","UP"
"MONOV INFLUENZA A (D1)","SLC8A1","UP"
"MONOV INFLUENZA A (D1)","SMAD1","UP"
"MONOV INFLUENZA A (D1)","SMTNL1","UP"
"MONOV INFLUENZA A (D1)","SNX10","UP"
"MONOV INFLUENZA A (D1)","SOCS3","UP"
"MONOV INFLUENZA A (D1)","SOD2","UP"
"MONOV INFLUENZA A (D1)","SORT1","UP"
"MONOV INFLUENZA A (D1)","SQOR","UP"
"MONOV INFLUENZA A (D1)","SRGN","UP"
"MONOV INFLUENZA A (D1)","STEAP4","UP"
"MONOV INFLUENZA A (D1)","STK32B","UP"
"MONOV INFLUENZA A (D1)","STX11","UP"
"MONOV INFLUENZA A (D1)","TCN2","UP"
"MONOV INFLUENZA A (D1)","TFEC","UP"
"MONOV INFLUENZA A (D1)","TGM2","UP"
"MONOV INFLUENZA A (D1)","TMEM150B","UP"
"MONOV INFLUENZA A (D1)","TMEM176B","UP"
"MONOV INFLUENZA A (D1)","TMTC1","UP"
"MONOV INFLUENZA A (D1)","TNFAIP2","UP"
"MONOV INFLUENZA A (D1)","TNFAIP6","UP"
"MONOV INFLUENZA A (D1)","TRAFD1","UP"
"MONOV INFLUENZA A (D1)","TRIB1","UP"
"MONOV INFLUENZA A (D1)","TRPV4","UP"
"MONOV INFLUENZA A (D1)","TYMP","UP"
"MONOV INFLUENZA A (D1)","UBE2D1","UP"
"MONOV INFLUENZA A (D1)","UBE2L6","UP"
"MONOV INFLUENZA A (D1)","VAMP5","UP"
"MONOV INFLUENZA A (D1)","VCAN","UP"
"MONOV INFLUENZA A (D1)","VDR","UP"
"MONOV INFLUENZA A (D1)","VRK2","UP"
"MONOV INFLUENZA A (D1)","WARS1","UP"
"MONOV INFLUENZA A (D1)","WDFY3","UP"
"MONOV INFLUENZA A (D1)","XAF1","UP"
"MONOV INFLUENZA A (D1)","ZEB2-AS1","UP"
"MONOV INFLUENZA A (D1)","ZMYND15","UP"
"MONOV INFLUENZA A (D1)","ZNF703","UP"
"PANDEMRIX (D1)","PLB1","DOWN"
"PANDEMRIX (D1)","SULT1A2","DOWN"
"PANDEMRIX (D1)","SULT1A4","DOWN"
"PANDEMRIX (D1)","VIPR1","DOWN"
"PANDEMRIX (D1)","CD72","UP"
"PANDEMRIX (D1)","DENND5B","UP"
"PANDEMRIX (D1)","DOK7","UP"
"PANDEMRIX (D1)","EBF1","UP"
"PANDEMRIX (D1)","FCRL2","UP"
"PANDEMRIX (D1)","FCRL5","UP"
"PANDEMRIX (D1)","FCRLA","UP"
"PANDEMRIX (D1)","GPR20","UP"
"PANDEMRIX (D1)","L1TD1","UP"
"PANDEMRIX (D1)","LARGE1","UP"
"PANDEMRIX (D1)","MEG3","UP"
"PANDEMRIX (D1)","MOXD1","UP"
"PANDEMRIX (D1)","MTSS1","UP"
"PANDEMRIX (D1)","P2RX5","UP"
"PANDEMRIX (D1)","PAWR","UP"
"PANDEMRIX (D1)","PCDH9","UP"
"PANDEMRIX (D1)","PPP1R17","UP"
"PANDEMRIX (D1)","RPS26","UP"
"PANDEMRIX (D1)","RUBCNL","UP"
"PANDEMRIX (D1)","SETBP1","UP"
"PANDEMRIX (D1)","SYT17","UP"
"PANDEMRIX (D1)","TSPAN13","UP"
"PANDEMRIX (D1)","BCL2L14","UP"
"PANDEMRIX (D1)","CNDP2","UP"
"PANDEMRIX (D1)","KRT9","UP"
"PANDEMRIX (D1)","LNX2","UP"
"PANDEMRIX (D1)","METTL6","UP"
"PANDEMRIX (D1)","PLAAT4","UP"
"PANDEMRIX (D1)","RMI2","UP"
"PANDEMRIX (D1)","TGM2","UP"
"FLUARIX FLUVIRIN (D3)","AFF3","UP"
"FLUARIX FLUVIRIN (D3)","AFF4","UP"
"FLUARIX FLUVIRIN (D3)","AHCTF1","UP"
"FLUARIX FLUVIRIN (D3)","AK3","UP"
"FLUARIX FLUVIRIN (D3)","AMD1","UP"
"FLUARIX FLUVIRIN (D3)","ANK3","UP"
"FLUARIX FLUVIRIN (D3)","APBA2","UP"
"FLUARIX FLUVIRIN (D3)","AQP3","UP"
"FLUARIX FLUVIRIN (D3)","ARHGAP24","UP"
"FLUARIX FLUVIRIN (D3)","ARL4C","UP"
"FLUARIX FLUVIRIN (D3)","ATF7IP2","UP"
"FLUARIX FLUVIRIN (D3)","ATP2B1","UP"
"FLUARIX FLUVIRIN (D3)","ATRX","UP"
"FLUARIX FLUVIRIN (D3)","ATXN7","UP"
"FLUARIX FLUVIRIN (D3)","B3GNT7","UP"
"FLUARIX FLUVIRIN (D3)","BACH2","UP"
"FLUARIX FLUVIRIN (D3)","BBX","UP"
"FLUARIX FLUVIRIN (D3)","BCLAF1","UP"
"FLUARIX FLUVIRIN (D3)","BEX2","UP"
"FLUARIX FLUVIRIN (D3)","BEX4","UP"
"FLUARIX FLUVIRIN (D3)","BOLA2","UP"
"FLUARIX FLUVIRIN (D3)","BPGM","UP"
"FLUARIX FLUVIRIN (D3)","BRD1","UP"
"FLUARIX FLUVIRIN (D3)","C12orf29","UP"
"FLUARIX FLUVIRIN (D3)","C12orf57","UP"
"FLUARIX FLUVIRIN (D3)","URI1","UP"
"FLUARIX FLUVIRIN (D3)","ADTRP","UP"
"FLUARIX FLUVIRIN (D3)","CBX5","UP"
"FLUARIX FLUVIRIN (D3)","TRMT13","UP"
"FLUARIX FLUVIRIN (D3)","CCND2","UP"
"FLUARIX FLUVIRIN (D3)","CCNT1","UP"
"FLUARIX FLUVIRIN (D3)","CDC14B","UP"
"FLUARIX FLUVIRIN (D3)","CDC42SE2","UP"
"FLUARIX FLUVIRIN (D3)","CDK12","UP"
"FLUARIX FLUVIRIN (D3)","CDK17","UP"
"FLUARIX FLUVIRIN (D3)","CEBPZ","UP"
"FLUARIX FLUVIRIN (D3)","CEP57","UP"
"FLUARIX FLUVIRIN (D3)","CEPT1","UP"
"FLUARIX FLUVIRIN (D3)","CETN2","UP"
"FLUARIX FLUVIRIN (D3)","CHD1","UP"
"FLUARIX FLUVIRIN (D3)","CHD2","UP"
"FLUARIX FLUVIRIN (D3)","CHORDC1","UP"
"FLUARIX FLUVIRIN (D3)","CIR1","UP"
"FLUARIX FLUVIRIN (D3)","UTP4","UP"
"FLUARIX FLUVIRIN (D3)","CLASP1","UP"
"FLUARIX FLUVIRIN (D3)","CLK4","UP"
"FLUARIX FLUVIRIN (D3)","CNOT6L","UP"
"FLUARIX FLUVIRIN (D3)","CNST","UP"
"FLUARIX FLUVIRIN (D3)","COX11","UP"
"FLUARIX FLUVIRIN (D3)","CREBRF","UP"
"FLUARIX FLUVIRIN (D3)","CWF19L2","UP"
"FLUARIX FLUVIRIN (D3)","DBF4","UP"
"FLUARIX FLUVIRIN (D3)","DCAF16","UP"
"FLUARIX FLUVIRIN (D3)","DDHD1","UP"
"FLUARIX FLUVIRIN (D3)","DDX47","UP"
"FLUARIX FLUVIRIN (D3)","DIS3","UP"
"FLUARIX FLUVIRIN (D3)","DLST","UP"
"FLUARIX FLUVIRIN (D3)","DNAJB1","UP"
"FLUARIX FLUVIRIN (D3)","DNAJB14","UP"
"FLUARIX FLUVIRIN (D3)","DNAJC2","UP"
"FLUARIX FLUVIRIN (D3)","DNTTIP2","UP"
"FLUARIX FLUVIRIN (D3)","DUSP11","UP"
"FLUARIX FLUVIRIN (D3)","DUSP4","UP"
"FLUARIX FLUVIRIN (D3)","EAPP","UP"
"FLUARIX FLUVIRIN (D3)","ECD","UP"
"FLUARIX FLUVIRIN (D3)","ELP2","UP"
"FLUARIX FLUVIRIN (D3)","EML4","UP"
"FLUARIX FLUVIRIN (D3)","ESCO1","UP"
"FLUARIX FLUVIRIN (D3)","EWSR1","UP"
"FLUARIX FLUVIRIN (D3)","EZR","UP"
"FLUARIX FLUVIRIN (D3)","FAM162A","UP"
"FLUARIX FLUVIRIN (D3)","FAM20B","UP"
"FLUARIX FLUVIRIN (D3)","TENT5C","UP"
"FLUARIX FLUVIRIN (D3)","SINHCAF","UP"
"FLUARIX FLUVIRIN (D3)","FAM98B","UP"
"FLUARIX FLUVIRIN (D3)","FBXL3","UP"
"FLUARIX FLUVIRIN (D3)","FHL1","UP"
"FLUARIX FLUVIRIN (D3)","FOXO1","UP"
"FLUARIX FLUVIRIN (D3)","FUS","UP"
"FLUARIX FLUVIRIN (D3)","GAS5","UP"
"FLUARIX FLUVIRIN (D3)","GGNBP2","UP"
"FLUARIX FLUVIRIN (D3)","GGTA1","UP"
"FLUARIX FLUVIRIN (D3)","GKAP1","UP"
"FLUARIX FLUVIRIN (D3)","GNAS","UP"
"FLUARIX FLUVIRIN (D3)","GNB5","UP"
"FLUARIX FLUVIRIN (D3)","GNE","UP"
"FLUARIX FLUVIRIN (D3)","GOLGA8A","UP"
"FLUARIX FLUVIRIN (D3)","GOLGA8B","UP"
"FLUARIX FLUVIRIN (D3)","GON4L","UP"
"FLUARIX FLUVIRIN (D3)","GPRASP1","UP"
"FLUARIX FLUVIRIN (D3)","HBP1","UP"
"FLUARIX FLUVIRIN (D3)","HEATR1","UP"
"FLUARIX FLUVIRIN (D3)","HGD","UP"
"FLUARIX FLUVIRIN (D3)","H1-3","UP"
"FLUARIX FLUVIRIN (D3)","HNRNPD","UP"
"FLUARIX FLUVIRIN (D3)","HSF2","UP"
"FLUARIX FLUVIRIN (D3)","ISCA1","UP"
"FLUARIX FLUVIRIN (D3)","ITGB3BP","UP"
"FLUARIX FLUVIRIN (D3)","ITPR1","UP"
"FLUARIX FLUVIRIN (D3)","IVNS1ABP","UP"
"FLUARIX FLUVIRIN (D3)","KDM7A","UP"
"FLUARIX FLUVIRIN (D3)","JMY","UP"
"FLUARIX FLUVIRIN (D3)","JUND","UP"
"FLUARIX FLUVIRIN (D3)","KCNA3","UP"
"FLUARIX FLUVIRIN (D3)","KDM3A","UP"
"FLUARIX FLUVIRIN (D3)","KDM6A","UP"
"FLUARIX FLUVIRIN (D3)","ATG13","UP"
"FLUARIX FLUVIRIN (D3)","VIRMA","UP"
"FLUARIX FLUVIRIN (D3)","KLF12","UP"
"FLUARIX FLUVIRIN (D3)","KLF9","UP"
"FLUARIX FLUVIRIN (D3)","KLHL24","UP"
"FLUARIX FLUVIRIN (D3)","KLRB1","UP"
"FLUARIX FLUVIRIN (D3)","KPNA3","UP"
"FLUARIX FLUVIRIN (D3)","KPNA5","UP"
"FLUARIX FLUVIRIN (D3)","KRR1","UP"
"FLUARIX FLUVIRIN (D3)","PPFIBP1","UP"
"FLUARIX FLUVIRIN (D3)","LCOR","UP"
"FLUARIX FLUVIRIN (D3)","LMO7","UP"
"FLUARIX FLUVIRIN (D3)","LSG1","UP"
"FLUARIX FLUVIRIN (D3)","LUC7L2","UP"
"FLUARIX FLUVIRIN (D3)","MALAT1","UP"
"FLUARIX FLUVIRIN (D3)","MAML2","UP"
"FLUARIX FLUVIRIN (D3)","MAN1C1","UP"
"FLUARIX FLUVIRIN (D3)","MAP3K4","UP"
"FLUARIX FLUVIRIN (D3)","MED21","UP"
"FLUARIX FLUVIRIN (D3)","MED23","UP"
"FLUARIX FLUVIRIN (D3)","MED30","UP"
"FLUARIX FLUVIRIN (D3)","METAP2","UP"
"FLUARIX FLUVIRIN (D3)","METTL16","UP"
"FLUARIX FLUVIRIN (D3)","METTL8","UP"
"FLUARIX FLUVIRIN (D3)","MEX3C","UP"
"FLUARIX FLUVIRIN (D3)","MFSD14A","UP"
"FLUARIX FLUVIRIN (D3)","MGAT4A","UP"
"FLUARIX FLUVIRIN (D3)","MLH3","UP"
"FLUARIX FLUVIRIN (D3)","MPHOSPH8","UP"
"FLUARIX FLUVIRIN (D3)","MSI2","UP"
"FLUARIX FLUVIRIN (D3)","MTF2","UP"
"FLUARIX FLUVIRIN (D3)","KAT6B","UP"
"FLUARIX FLUVIRIN (D3)","N4BP2","UP"
"FLUARIX FLUVIRIN (D3)","NAA25","UP"
"FLUARIX FLUVIRIN (D3)","NAE1","UP"
"FLUARIX FLUVIRIN (D3)","NAP1L5","UP"
"FLUARIX FLUVIRIN (D3)","NDFIP2","UP"
"FLUARIX FLUVIRIN (D3)","NEDD1","UP"
"FLUARIX FLUVIRIN (D3)","NGDN","UP"
"FLUARIX FLUVIRIN (D3)","NKTR","UP"
"FLUARIX FLUVIRIN (D3)","NOL11","UP"
"FLUARIX FLUVIRIN (D3)","NOSIP","UP"
"FLUARIX FLUVIRIN (D3)","NR1D2","UP"
"FLUARIX FLUVIRIN (D3)","NUCB2","UP"
"FLUARIX FLUVIRIN (D3)","NUCKS1","UP"
"FLUARIX FLUVIRIN (D3)","NUFIP1","UP"
"FLUARIX FLUVIRIN (D3)","OCIAD2","UP"
"FLUARIX FLUVIRIN (D3)","P2RY10","UP"
"FLUARIX FLUVIRIN (D3)","TENT4B","UP"
"FLUARIX FLUVIRIN (D3)","PASK","UP"
"FLUARIX FLUVIRIN (D3)","PDE4DIP","UP"
"FLUARIX FLUVIRIN (D3)","PHF20L1","UP"
"FLUARIX FLUVIRIN (D3)","PHF5A","UP"
"FLUARIX FLUVIRIN (D3)","PIK3IP1","UP"
"FLUARIX FLUVIRIN (D3)","PLA2G12A","UP"
"FLUARIX FLUVIRIN (D3)","PNN","UP"
"FLUARIX FLUVIRIN (D3)","POLR2M","UP"
"FLUARIX FLUVIRIN (D3)","PPIG","UP"
"FLUARIX FLUVIRIN (D3)","PPM1A","UP"
"FLUARIX FLUVIRIN (D3)","PPP1CB","UP"
"FLUARIX FLUVIRIN (D3)","PPP1R16B","UP"
"FLUARIX FLUVIRIN (D3)","PPP1R2","UP"
"FLUARIX FLUVIRIN (D3)","PPP4R3A","UP"
"FLUARIX FLUVIRIN (D3)","PRKACB","UP"
"FLUARIX FLUVIRIN (D3)","PRORP","UP"
"FLUARIX FLUVIRIN (D3)","PRRC2C","UP"
"FLUARIX FLUVIRIN (D3)","PTCD3","UP"
"FLUARIX FLUVIRIN (D3)","PTPN4","UP"
"FLUARIX FLUVIRIN (D3)","PTS","UP"
"FLUARIX FLUVIRIN (D3)","PURB","UP"
"FLUARIX FLUVIRIN (D3)","RAB30","UP"
"FLUARIX FLUVIRIN (D3)","RALGAPA1","UP"
"FLUARIX FLUVIRIN (D3)","RANBP2","UP"
"FLUARIX FLUVIRIN (D3)","RAPGEF6","UP"
"FLUARIX FLUVIRIN (D3)","RBM25","UP"
"FLUARIX FLUVIRIN (D3)","RBM38","UP"
"FLUARIX FLUVIRIN (D3)","RBM39","UP"
"FLUARIX FLUVIRIN (D3)","RCAN3","UP"
"FLUARIX FLUVIRIN (D3)","RGPD5","UP"
"FLUARIX FLUVIRIN (D3)","RICTOR","UP"
"FLUARIX FLUVIRIN (D3)","RNF138","UP"
"FLUARIX FLUVIRIN (D3)","RNMT","UP"
"FLUARIX FLUVIRIN (D3)","RPL37","UP"
"FLUARIX FLUVIRIN (D3)","RSBN1","UP"
"FLUARIX FLUVIRIN (D3)","RSL24D1","UP"
"FLUARIX FLUVIRIN (D3)","RUNX3","UP"
"FLUARIX FLUVIRIN (D3)","RYK","UP"
"FLUARIX FLUVIRIN (D3)","SAR1A","UP"
"FLUARIX FLUVIRIN (D3)","CAVIN2","UP"
"FLUARIX FLUVIRIN (D3)","SECISBP2L","UP"
"FLUARIX FLUVIRIN (D3)","SEPSECS","UP"
"FLUARIX FLUVIRIN (D3)","SEPTIN2","UP"
"FLUARIX FLUVIRIN (D3)","SF1","UP"
"FLUARIX FLUVIRIN (D3)","SRSF11","UP"
"FLUARIX FLUVIRIN (D3)","SRSF3","UP"
"FLUARIX FLUVIRIN (D3)","SRSF6","UP"
"FLUARIX FLUVIRIN (D3)","SFXN1","UP"
"FLUARIX FLUVIRIN (D3)","SGTB","UP"
"FLUARIX FLUVIRIN (D3)","SH3YL1","UP"
"FLUARIX FLUVIRIN (D3)","SLC16A7","UP"
"FLUARIX FLUVIRIN (D3)","SLC25A36","UP"
"FLUARIX FLUVIRIN (D3)","SLC38A1","UP"
"FLUARIX FLUVIRIN (D3)","SLC4A7","UP"
"FLUARIX FLUVIRIN (D3)","SMC3","UP"
"FLUARIX FLUVIRIN (D3)","SMN1","UP"
"FLUARIX FLUVIRIN (D3)","SMN2","UP"
"FLUARIX FLUVIRIN (D3)","SNHG1","UP"
"FLUARIX FLUVIRIN (D3)","SNRK","UP"
"FLUARIX FLUVIRIN (D3)","SNRPN","UP"
"FLUARIX FLUVIRIN (D3)","SPTY2D1","UP"
"FLUARIX FLUVIRIN (D3)","SSBP1","UP"
"FLUARIX FLUVIRIN (D3)","STAT4","UP"
"FLUARIX FLUVIRIN (D3)","STK17A","UP"
"FLUARIX FLUVIRIN (D3)","STK4","UP"
"FLUARIX FLUVIRIN (D3)","STMN3","UP"
"FLUARIX FLUVIRIN (D3)","STT3B","UP"
"FLUARIX FLUVIRIN (D3)","SUPV3L1","UP"
"FLUARIX FLUVIRIN (D3)","SVIP","UP"
"FLUARIX FLUVIRIN (D3)","SYNE2","UP"
"FLUARIX FLUVIRIN (D3)","TAF4B","UP"
"FLUARIX FLUVIRIN (D3)","TAF9B","UP"
"FLUARIX FLUVIRIN (D3)","THOC2","UP"
"FLUARIX FLUVIRIN (D3)","TIPARP","UP"
"FLUARIX FLUVIRIN (D3)","TM9SF3","UP"
"FLUARIX FLUVIRIN (D3)","TMEM106B","UP"
"FLUARIX FLUVIRIN (D3)","TNIK","UP"
"FLUARIX FLUVIRIN (D3)","TNKS","UP"
"FLUARIX FLUVIRIN (D3)","TNPO1","UP"
