"condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction","vaccine","day","dose","infection","type","vac_infec","regimen","variant","severity","prior_infection","previous_vaccination","gse_id","participants","bioprocess"
"BBIBP (V3, D07)","ZBTB49",1.91405552642203,-1.66263195463428,0.816944847296208,-2.03518261990022,0.04183250117315,1,"DOWN","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","JUN",2147.97004281352,-0.584029043444613,0.296080716059957,-1.97253320383873,0.0485487697291295,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","CDKN1A",220.058706736532,-0.720587736987455,0.242907630663424,-2.96650926535079,0.00301201285515692,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","PCNP",152.676541153521,-0.265319523898998,0.101511311763506,-2.61369417151381,0.00895691721020285,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","CENPT",18.2781084885615,0.595323343805812,0.282054726709103,2.11066607800478,0.0348010236574891,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","MCM8",0.806612236750652,3.22405796124327,1.27344038509579,2.53176984095785,0.0113488457329196,1,"UP","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","CALM2",190.237114387019,-0.177522483133705,0.089546706491992,-1.98245686623417,0.0474281304254719,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","PPP1R15A",1407.55844639747,-0.520595225056247,0.178592455232511,-2.91499002227434,0.00355699914395109,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","BANF1",126.172443576339,-0.283292969332152,0.134308322540768,-2.10927337913972,0.0349209912413413,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D07)","DUSP1",4810.64949036262,-0.368912275405898,0.177796384011168,-2.07491438848793,0.0379944699411003,1,"NEUTRAL","BBIBP",7,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","GOLGA8B",7.85942945732736,1.10203524051348,0.450747602001534,2.44490538744946,0.0144890145782402,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","GPSM1",4.04200181400853,1.20032702460429,0.483975425506096,2.48014043967026,0.013133064444815,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CCND3",1.85619663588649,2.17060209817819,0.893757589715312,2.42862508039745,0.0151561961798743,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","SNX9",3.76686652580572,1.61493557865096,0.590467354786423,2.73501247030854,0.00623779128652505,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","DDX3X",244.397398820681,-0.411236538418509,0.198878804405112,-2.06777459090527,0.0386612240622815,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CLTC",50.1364901792395,-0.390306115592717,0.151707595472294,-2.57275263230968,0.0100893291085126,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","SFN",47.4177462351768,-0.451001726594,0.194624259628881,-2.31729450097327,0.0204876946589662,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","TOM1L2",84.7214604981721,0.68284456505659,0.254142260744648,2.68685956855749,0.00721272700107935,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","RECQL5",5.29815263488115,1.26147185525866,0.531399504091538,2.37386720451542,0.017602880097481,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CEP192",5.48177523830242,1.16934528351238,0.548053881378548,2.13363197167961,0.0328729187097487,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","PRPF4B",19.3926666530121,0.881884143110112,0.335384412048665,2.62947266309488,0.00855174071703044,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","ACVR1",22.4954711940592,-0.417596080496437,0.181755824611124,-2.29756642677012,0.0215864783184619,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","MAP10",4.37794561061254,1.22291820914939,0.49446042929439,2.4732377692883,0.0133895027236199,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","PAK4",689.590688813223,-0.339512968734776,0.170412540533327,-1.99230037691023,0.0463381103797614,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","POC5",18.5039008824477,-0.562992408208914,0.229327245316131,-2.45497392790298,0.0140894806659772,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","ING5",1.18262726694767,1.99714237431827,0.996655947762919,2.00384333109237,0.0450868455346809,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","NUP43",3.87050844299997,1.44065337014097,0.570584474916181,2.52487306170151,0.0115740087051545,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CCDC57",1.30592099659489,2.19946904156295,1.05976782242482,2.07542538565703,0.0379471274746498,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","FZD9",7.87483662272633,1.20995755670143,0.443030074398033,2.7310957576536,0.00631241276344984,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
